Unicode	Hieroglyph	Experimental Hieratic	Hieratic char	Glyph name
U+13000	𓀀	U+33000	𳀀	u13000
U+13001	𓀁	U+33001	𳀁	u13001
U+13002	𓀂	U+33002	𳀂	u13002
U+13003	𓀃	U+33003	𳀃	u13003
U+13004	𓀄	U+33004	𳀄	u13004
U+13005	𓀅	U+33005	𳀅	u13005
U+13006	𓀆	U+33006	𳀆	u13006
U+13007	𓀇	U+33007	𳀇	u13007
U+13008	𓀈	U+33008	𳀈	u13008
U+13009	𓀉	U+33009	𳀉	u13009
U+1300A	𓀊	U+3300A	𳀊	u1300A
U+1300B	𓀋	U+3300B	𳀋	u1300B
U+1300C	𓀌	U+3300C	𳀌	u1300C
U+1300D	𓀍	U+3300D	𳀍	u1300D
U+1300E	𓀎	U+3300E	𳀎	u1300E
U+1300F	𓀏	U+3300F	𳀏	u1300F
U+13010	𓀐	U+33010	𳀐	u13010
U+13011	𓀑	U+33011	𳀑	u13011
U+13012	𓀒	U+33012	𳀒	u13012
U+13013	𓀓	U+33013	𳀓	u13013
U+13014	𓀔	U+33014	𳀔	u13014
U+13015	𓀕	U+33015	𳀕	u13015
U+13016	𓀖	U+33016	𳀖	u13016
U+13017	𓀗	U+33017	𳀗	u13017
U+13018	𓀘	U+33018	𳀘	u13018
U+13019	𓀙	U+33019	𳀙	u13019
U+1301A	𓀚	U+3301A	𳀚	u1301A
U+1301B	𓀛	U+3301B	𳀛	u1301B
U+1301C	𓀜	U+3301C	𳀜	u1301C
U+1301D	𓀝	U+3301D	𳀝	u1301D
U+1301E	𓀞	U+3301E	𳀞	u1301E
U+1301F	𓀟	U+3301F	𳀟	u1301F
U+13020	𓀠	U+33020	𳀠	u13020
U+13021	𓀡	U+33021	𳀡	u13021
U+13022	𓀢	U+33022	𳀢	u13022
U+13023	𓀣	U+33023	𳀣	u13023
U+13024	𓀤	U+33024	𳀤	u13024
U+13025	𓀥	U+33025	𳀥	u13025
U+13026	𓀦	U+33026	𳀦	u13026
U+13027	𓀧	U+33027	𳀧	u13027
U+13028	𓀨	U+33028	𳀨	u13028
U+13029	𓀩	U+33029	𳀩	u13029
U+1302A	𓀪	U+3302A	𳀪	u1302A
U+1302B	𓀫	U+3302B	𳀫	u1302B
U+1302C	𓀬	U+3302C	𳀬	u1302C
U+1302D	𓀭	U+3302D	𳀭	u1302D
U+1302E	𓀮	U+3302E	𳀮	u1302E
U+1302F	𓀯	U+3302F	𳀯	u1302F
U+13030	𓀰	U+33030	𳀰	u13030
U+13031	𓀱	U+33031	𳀱	u13031
U+13032	𓀲	U+33032	𳀲	u13032
U+13033	𓀳	U+33033	𳀳	u13033
U+13034	𓀴	U+33034	𳀴	u13034
U+13035	𓀵	U+33035	𳀵	u13035
U+13036	𓀶	U+33036	𳀶	u13036
U+13037	𓀷	U+33037	𳀷	u13037
U+13038	𓀸	U+33038	𳀸	u13038
U+13039	𓀹	U+33039	𳀹	u13039
U+1303A	𓀺	U+3303A	𳀺	u1303A
U+1303B	𓀻	U+3303B	𳀻	u1303B
U+1303C	𓀼	U+3303C	𳀼	u1303C
U+1303D	𓀽	U+3303D	𳀽	u1303D
U+1303E	𓀾	U+3303E	𳀾	u1303E
U+1303F	𓀿	U+3303F	𳀿	u1303F
U+13040	𓁀	U+33040	𳁀	u13040
U+13041	𓁁	U+33041	𳁁	u13041
U+13042	𓁂	U+33042	𳁂	u13042
U+13043	𓁃	U+33043	𳁃	u13043
U+13044	𓁄	U+33044	𳁄	u13044
U+13045	𓁅	U+33045	𳁅	u13045
U+13046	𓁆	U+33046	𳁆	u13046
U+13047	𓁇	U+33047	𳁇	u13047
U+13048	𓁈	U+33048	𳁈	u13048
U+13049	𓁉	U+33049	𳁉	u13049
U+1304A	𓁊	U+3304A	𳁊	u1304A
U+1304B	𓁋	U+3304B	𳁋	u1304B
U+1304C	𓁌	U+3304C	𳁌	u1304C
U+1304D	𓁍	U+3304D	𳁍	u1304D
U+1304E	𓁎	U+3304E	𳁎	u1304E
U+1304F	𓁏	U+3304F	𳁏	u1304F
U+13050	𓁐	U+33050	𳁐	u13050
U+13051	𓁑	U+33051	𳁑	u13051
U+13052	𓁒	U+33052	𳁒	u13052
U+13053	𓁓	U+33053	𳁓	u13053
U+13054	𓁔	U+33054	𳁔	u13054
U+13055	𓁕	U+33055	𳁕	u13055
U+13056	𓁖	U+33056	𳁖	u13056
U+13057	𓁗	U+33057	𳁗	u13057
U+13058	𓁘	U+33058	𳁘	u13058
U+13059	𓁙	U+33059	𳁙	u13059
U+1305A	𓁚	U+3305A	𳁚	u1305A
U+1305B	𓁛	U+3305B	𳁛	u1305B
U+1305C	𓁜	U+3305C	𳁜	u1305C
U+1305D	𓁝	U+3305D	𳁝	u1305D
U+1305E	𓁞	U+3305E	𳁞	u1305E
U+1305F	𓁟	U+3305F	𳁟	u1305F
U+13060	𓁠	U+33060	𳁠	u13060
U+13061	𓁡	U+33061	𳁡	u13061
U+13062	𓁢	U+33062	𳁢	u13062
U+13063	𓁣	U+33063	𳁣	u13063
U+13064	𓁤	U+33064	𳁤	u13064
U+13065	𓁥	U+33065	𳁥	u13065
U+13066	𓁦	U+33066	𳁦	u13066
U+13067	𓁧	U+33067	𳁧	u13067
U+13068	𓁨	U+33068	𳁨	u13068
U+13069	𓁩	U+33069	𳁩	u13069
U+1306A	𓁪	U+3306A	𳁪	u1306A
U+1306B	𓁫	U+3306B	𳁫	u1306B
U+1306C	𓁬	U+3306C	𳁬	u1306C
U+1306D	𓁭	U+3306D	𳁭	u1306D
U+1306E	𓁮	U+3306E	𳁮	u1306E
U+1306F	𓁯	U+3306F	𳁯	u1306F
U+13070	𓁰	U+33070	𳁰	u13070
U+13071	𓁱	U+33071	𳁱	u13071
U+13072	𓁲	U+33072	𳁲	u13072
U+13073	𓁳	U+33073	𳁳	u13073
U+13074	𓁴	U+33074	𳁴	u13074
U+13075	𓁵	U+33075	𳁵	u13075
U+13076	𓁶	U+33076	𳁶	u13076
U+13077	𓁷	U+33077	𳁷	u13077
U+13078	𓁸	U+33078	𳁸	u13078
U+13079	𓁹	U+33079	𳁹	u13079
U+1307A	𓁺	U+3307A	𳁺	u1307A
U+1307B	𓁻	U+3307B	𳁻	u1307B
U+1307C	𓁼	U+3307C	𳁼	u1307C
U+1307D	𓁽	U+3307D	𳁽	u1307D
U+1307E	𓁾	U+3307E	𳁾	u1307E
U+1307F	𓁿	U+3307F	𳁿	u1307F
U+13080	𓂀	U+33080	𳂀	u13080
U+13081	𓂁	U+33081	𳂁	u13081
U+13082	𓂂	U+33082	𳂂	u13082
U+13083	𓂃	U+33083	𳂃	u13083
U+13084	𓂄	U+33084	𳂄	u13084
U+13085	𓂅	U+33085	𳂅	u13085
U+13086	𓂆	U+33086	𳂆	u13086
U+13087	𓂇	U+33087	𳂇	u13087
U+13088	𓂈	U+33088	𳂈	u13088
U+13089	𓂉	U+33089	𳂉	u13089
U+1308A	𓂊	U+3308A	𳂊	u1308A
U+1308B	𓂋	U+3308B	𳂋	u1308B
U+1308C	𓂌	U+3308C	𳂌	u1308C
U+1308D	𓂍	U+3308D	𳂍	u1308D
U+1308E	𓂎	U+3308E	𳂎	u1308E
U+1308F	𓂏	U+3308F	𳂏	u1308F
U+13090	𓂐	U+33090	𳂐	u13090
U+13091	𓂑	U+33091	𳂑	u13091
U+13092	𓂒	U+33092	𳂒	u13092
U+13093	𓂓	U+33093	𳂓	u13093
U+13094	𓂔	U+33094	𳂔	u13094
U+13095	𓂕	U+33095	𳂕	u13095
U+13096	𓂖	U+33096	𳂖	u13096
U+13097	𓂗	U+33097	𳂗	u13097
U+13098	𓂘	U+33098	𳂘	u13098
U+13099	𓂙	U+33099	𳂙	u13099
U+1309A	𓂚	U+3309A	𳂚	u1309A
U+1309B	𓂛	U+3309B	𳂛	u1309B
U+1309C	𓂜	U+3309C	𳂜	u1309C
U+1309D	𓂝	U+3309D	𳂝	u1309D
U+1309E	𓂞	U+3309E	𳂞	u1309E
U+1309F	𓂟	U+3309F	𳂟	u1309F
U+130A0	𓂠	U+330A0	𳂠	u130A0
U+130A1	𓂡	U+330A1	𳂡	u130A1
