Unicode	Hieroglyph	PUA	Hieratic/PUA	Glyph name
U+13000	𓀀	U+F3000	󳀀	u13000
U+13001	𓀁	U+F3001	󳀁	u13001
U+13002	𓀂	U+F3002	󳀂	u13002
U+13003	𓀃	U+F3003	󳀃	u13003
U+13004	𓀄	U+F3004	󳀄	u13004
U+13005	𓀅	U+F3005	󳀅	u13005
U+13006	𓀆	U+F3006	󳀆	u13006
U+13007	𓀇	U+F3007	󳀇	u13007
U+13008	𓀈	U+F3008	󳀈	u13008
U+13009	𓀉	U+F3009	󳀉	u13009
U+1300A	𓀊	U+F300A	󳀊	u1300A
U+1300B	𓀋	U+F300B	󳀋	u1300B
U+1300C	𓀌	U+F300C	󳀌	u1300C
U+1300D	𓀍	U+F300D	󳀍	u1300D
U+1300E	𓀎	U+F300E	󳀎	u1300E
U+1300F	𓀏	U+F300F	󳀏	u1300F
U+13010	𓀐	U+F3010	󳀐	u13010
U+13011	𓀑	U+F3011	󳀑	u13011
U+13012	𓀒	U+F3012	󳀒	u13012
U+13013	𓀓	U+F3013	󳀓	u13013
U+13014	𓀔	U+F3014	󳀔	u13014
U+13015	𓀕	U+F3015	󳀕	u13015
U+13016	𓀖	U+F3016	󳀖	u13016
U+13017	𓀗	U+F3017	󳀗	u13017
U+13018	𓀘	U+F3018	󳀘	u13018
U+13019	𓀙	U+F3019	󳀙	u13019
U+1301A	𓀚	U+F301A	󳀚	u1301A
U+1301B	𓀛	U+F301B	󳀛	u1301B
U+1301C	𓀜	U+F301C	󳀜	u1301C
U+1301D	𓀝	U+F301D	󳀝	u1301D
U+1301E	𓀞	U+F301E	󳀞	u1301E
U+1301F	𓀟	U+F301F	󳀟	u1301F
U+13020	𓀠	U+F3020	󳀠	u13020
U+13021	𓀡	U+F3021	󳀡	u13021
U+13022	𓀢	U+F3022	󳀢	u13022
U+13023	𓀣	U+F3023	󳀣	u13023
U+13024	𓀤	U+F3024	󳀤	u13024
U+13025	𓀥	U+F3025	󳀥	u13025
U+13026	𓀦	U+F3026	󳀦	u13026
U+13027	𓀧	U+F3027	󳀧	u13027
U+13028	𓀨	U+F3028	󳀨	u13028
U+13029	𓀩	U+F3029	󳀩	u13029
U+1302A	𓀪	U+F302A	󳀪	u1302A
U+1302B	𓀫	U+F302B	󳀫	u1302B
U+1302C	𓀬	U+F302C	󳀬	u1302C
U+1302D	𓀭	U+F302D	󳀭	u1302D
U+1302E	𓀮	U+F302E	󳀮	u1302E
U+1302F	𓀯	U+F302F	󳀯	u1302F
U+13030	𓀰	U+F3030	󳀰	u13030
U+13031	𓀱	U+F3031	󳀱	u13031
U+13032	𓀲	U+F3032	󳀲	u13032
U+13033	𓀳	U+F3033	󳀳	u13033
U+13034	𓀴	U+F3034	󳀴	u13034
U+13035	𓀵	U+F3035	󳀵	u13035
U+13036	𓀶	U+F3036	󳀶	u13036
U+13037	𓀷	U+F3037	󳀷	u13037
U+13038	𓀸	U+F3038	󳀸	u13038
U+13039	𓀹	U+F3039	󳀹	u13039
U+1303A	𓀺	U+F303A	󳀺	u1303A
U+1303B	𓀻	U+F303B	󳀻	u1303B
U+1303C	𓀼	U+F303C	󳀼	u1303C
U+1303D	𓀽	U+F303D	󳀽	u1303D
U+1303E	𓀾	U+F303E	󳀾	u1303E
U+1303F	𓀿	U+F303F	󳀿	u1303F
U+13040	𓁀	U+F3040	󳁀	u13040
U+13041	𓁁	U+F3041	󳁁	u13041
U+13042	𓁂	U+F3042	󳁂	u13042
U+13043	𓁃	U+F3043	󳁃	u13043
U+13044	𓁄	U+F3044	󳁄	u13044
U+13045	𓁅	U+F3045	󳁅	u13045
U+13046	𓁆	U+F3046	󳁆	u13046
U+13047	𓁇	U+F3047	󳁇	u13047
U+13048	𓁈	U+F3048	󳁈	u13048
U+13049	𓁉	U+F3049	󳁉	u13049
U+1304A	𓁊	U+F304A	󳁊	u1304A
U+1304B	𓁋	U+F304B	󳁋	u1304B
U+1304C	𓁌	U+F304C	󳁌	u1304C
U+1304D	𓁍	U+F304D	󳁍	u1304D
U+1304E	𓁎	U+F304E	󳁎	u1304E
U+1304F	𓁏	U+F304F	󳁏	u1304F
U+13050	𓁐	U+F3050	󳁐	u13050
U+13051	𓁑	U+F3051	󳁑	u13051
U+13052	𓁒	U+F3052	󳁒	u13052
U+13053	𓁓	U+F3053	󳁓	u13053
U+13054	𓁔	U+F3054	󳁔	u13054
U+13055	𓁕	U+F3055	󳁕	u13055
U+13056	𓁖	U+F3056	󳁖	u13056
U+13057	𓁗	U+F3057	󳁗	u13057
U+13058	𓁘	U+F3058	󳁘	u13058
U+13059	𓁙	U+F3059	󳁙	u13059
U+1305A	𓁚	U+F305A	󳁚	u1305A
U+1305B	𓁛	U+F305B	󳁛	u1305B
U+1305C	𓁜	U+F305C	󳁜	u1305C
U+1305D	𓁝	U+F305D	󳁝	u1305D
U+1305E	𓁞	U+F305E	󳁞	u1305E
U+1305F	𓁟	U+F305F	󳁟	u1305F
U+13060	𓁠	U+F3060	󳁠	u13060
U+13061	𓁡	U+F3061	󳁡	u13061
U+13062	𓁢	U+F3062	󳁢	u13062
U+13063	𓁣	U+F3063	󳁣	u13063
U+13064	𓁤	U+F3064	󳁤	u13064
U+13065	𓁥	U+F3065	󳁥	u13065
U+13066	𓁦	U+F3066	󳁦	u13066
U+13067	𓁧	U+F3067	󳁧	u13067
U+13068	𓁨	U+F3068	󳁨	u13068
U+13069	𓁩	U+F3069	󳁩	u13069
U+1306A	𓁪	U+F306A	󳁪	u1306A
U+1306B	𓁫	U+F306B	󳁫	u1306B
U+1306C	𓁬	U+F306C	󳁬	u1306C
U+1306D	𓁭	U+F306D	󳁭	u1306D
U+1306E	𓁮	U+F306E	󳁮	u1306E
U+1306F	𓁯	U+F306F	󳁯	u1306F
U+13070	𓁰	U+F3070	󳁰	u13070
U+13071	𓁱	U+F3071	󳁱	u13071
U+13072	𓁲	U+F3072	󳁲	u13072
U+13073	𓁳	U+F3073	󳁳	u13073
U+13074	𓁴	U+F3074	󳁴	u13074
U+13075	𓁵	U+F3075	󳁵	u13075
U+13076	𓁶	U+F3076	󳁶	u13076
U+13077	𓁷	U+F3077	󳁷	u13077
U+13078	𓁸	U+F3078	󳁸	u13078
U+13079	𓁹	U+F3079	󳁹	u13079
U+1307A	𓁺	U+F307A	󳁺	u1307A
U+1307B	𓁻	U+F307B	󳁻	u1307B
U+1307C	𓁼	U+F307C	󳁼	u1307C
U+1307D	𓁽	U+F307D	󳁽	u1307D
U+1307E	𓁾	U+F307E	󳁾	u1307E
