Stylistically somewhat similar to Ethiopian Ge'ez: ጭ

Only clear connections:
Ⱎ 	Sha 	Sha 	Ш 	/ʃ/ 	Ša 	Sha 	silence/quiet 	Hebrew shin ש‎‎[30]
Ⰵ 	Jestu 	Jestu 	Є, Е, Э, Ё 	/ɛ/ 	Jestъ 	Yest 	is/exists 
Ⱔ 	Ensu (small jousu) 		Ѧ 	/ɛ̃/ 	[Ensь] 	[Small yus] 		Greek epsilon ε
Ⰿ 	Myslite 	Myslite 	М 	/m/ 	Myslite 	Mislete 	thought/think 
Ⱇ 	Fritu 	Fritu 	Ф 	/f/ 	Frьtъ 	Fert 		Variant of Greek phi φ[30]
Ⱉ 	Out 	Out 	Ѡ 	/ɔ/ 	Otъ 	Oht, Omega 
Ⱚ 	Thita 		Ѳ 	/θ/ 	[Thita] 	Fita 	Theta* 	Greek theta θ[30]
Ⱂ 	Pokoi 	Pokoi 	П 	/p/ 	Pokoj 	Pokoy 	calmness/peace 	Possibly a variant of early Greek pi Greek Pi archaic.svg[30]

Otherwise maybe old relationships:
B Ⰱ <> 𓊪 P (hieratic variant) !?
C Ⱌ <> 𓎡 C/K !?	 


Unicode 	Round 	Angular 	Cyrillic 	Sound 	OCS name 	CS name 	Meaning 	Origin
Ⰰ 	Azu 	Azu 	А 	/ɑ/ 	Azъ 	Az 	I 	Phoenician alphabet aleph 𐤀‎ or the sign of the cross[30]
Ⰱ 	Bouky 	Bouky 	Б 	/b/ 	Buky 	Buky 	letters 	Unknown,[30] possibly Hebrew bet בּ‎[31] or Aramaic bīt ܒ‎[32]
Ⱌ 	Ci 	Ci 	Ц 	/t͡s/ 	Ci 	Tsi 		Final form of Hebrew tsade ץ‎[30]
Ⰴ 	Dobro 	Dobro 	Д 	/d/ 	Dobro 	Dobro 	kindness/good 	Greek delta Δ[30]
Ⰷ 	Dzelo 	Dzelo 	Ѕ 	/d͡z/ 	Dzělo 	Zelo 	very 	Unknown,[30] possibly Armenian ja Ձ[34]
Ⱔ 	Ensu (small jousu) 		Ѧ 	/ɛ̃/ 	[Ensь] 	[Small yus] 		Greek epsilon ε, also used to denote nasality[30]
Ⱇ 	Fritu 	Fritu 	Ф 	/f/ 	Frьtъ 	Fert 		Variant of Greek phi φ[30]
Ⱈ 	Heru 	Heru 	Х 	/x/ 	Xěrъ 	Kher 		Unknown, similar to glagoli Ⰳ and Latin h[30]
Ⰼ 	Gjerv 	Gjerv 	Ꙉ, Ћ, Ђ 	/d͡ʑ/ 	Djervь, ǵervь 	Cherv, Djerv 	tree/wood 	Unknown[30]
Ⰳ 	Glagolu 	Glagolu 	Г, Ґ 	/ɡ/ 	Glagoli 	Glagoli 	to do/to speak 	Possibly cursive Greek gamma γ {\displaystyle \gamma } \gamma [30]
Ⰻ 	I 	I 	И 	/i/, /j/ 	I/ižei 	I/izhey 	and 	Possibly mimicking the shape of a fish[35]
Ⰹ, Ⰺ 	I, Izhe 	Izhe 	Ι, Ї 	/i/, /j/ 	Iže 	Izhe 	which is/the 	Possibly Greek upsilon Y[35] or Greek iota with dieresis ϊ[30]
Ⰵ 	Jestu 	Jestu 	Є, Е, Э, Ё 	/ɛ/ 	Jestъ 	Yest 	is/exists 	Possibly Samaritan īy ࠄ‎ or Greek sampi ϡ[30]
Ⱗ 	Jensu (small jousu) 		Ѩ 	/jɛ̃/ 	[Jensь] 	[Small iotated yus] 		Ligature of jestъ Ⰵ and ensь Ⱔ for nasality[30]
