Letter 	Cyrillic 	Sound 	OCS name 	CS name 	Meaning 	Origin
Ⰰ 	Azu 	А 	/ɑ/ 	Azъ 	Az 	I 	Phoenician Aleph or "sign of the cross"
Ⰱ 	Bouky 	Б 	/b/ 	Buky 	Buky 	letters  |	base/Beth ПⰞ=Б
Ⰽ		Cako 	К 	/k/ 	Kako 	Kako 	how/as 	Hebrew qoph ק‎‎
Ⰲ 	Vede 	В 	/ʋ/ 	Vědě 	Vedi 	to know 	V VICI 𓍿!<? vs Ⰳ G
Ⰴ 	Dobro 	Д 	/d/ 	Dobro 	Dobro 	kindness/good 	 delta Δ DOUBLE
Ⰷ 	Dzelo 	Ѕ 	/d͡͡z/ 	Dzělo 	Dzelo 	very 	Dsehr! Δ+ρ 
Ⱔ 	Ensu (small jousu) 	Ѧ 	/ɛ̃/ 	[Ensь] 	Small yus 		 epsilon ε also used to denote nasality
Ⰳ 	Glagolu 	Г 	/ɡ/ 	Glagoli 	Glagoli 	to do/to speak 	<? cursive  gamma γ  gloss! galgen
Ⱈ 	Heru 	Х 	/x/ 	Xěrъ 	Kher 		<? Hjero! ↔ hiero,gero,hora 𓆳!!  ~glagoli and Latin h vs y ! 
Ⰻ 	I 	І Ї 	/i/ /j/ 	I 	I 	y:and (&) 	OY:eye ynd und !  "?"
Ⰵ		jEstu 	Є Е Э 	/ɛ/ 	Jestъ 	Jest 	is/exists 	<? Samaritan he ࠄ or  sampi ϡ ↔ sEIN bE ESTAr !<?!++
Ⰽ		Kako 	К 	/k/ 	Kako 	Kako 	how/as 	Hebrew qoph ק‎‎
Ⰹ Ⰺ 	I Izhe 	И Й 	/i/ /j/ 	Iže 	Izhe 	which is/the 	<?  iota with dieresis ϊ
Ⰾ 	Ljudie 	Л 	/l/ /ʎ/ 	Ljudie 	Ljudi 	Leute:people! 	<<?  lambda λ
Ⰿ 	Myslite 	М 	/m/ 	Myslite 	Mislete 	thought/think  mind	 mu μ	multi **** misle-toe Ⱆ
Ⱀ 	Nashi 	Н 	/n/ /ɲ/ 	Našь 	Nash 	nos:ours   <?
Ⱁ		Onu 	О 	/ɔ/ 	Onъ 	On 	he 	<? Ohren<? Oin 1 vs Ⱉ Outu ↔ Ⰻ oY I
Ⱂ 	Pokoi 	П 	/p/ 	Pokoj 	Pokoj 	calmness/peace 	П+P! <? ~early  pi  Pi archaic.svg
Ⱉ 	Outu 	Ѡ 	/ɔ/ 	Otъ 	Oht Omega 	OO From Ⱁ+Ⱁ 2*1	Ligature of onъ and its mirror image
Ⱃ		Rici 	Р 	/r/ 	Rьci rьtsi 	Rtsi 	Speak! 	 rho ρ
Ⱄ 	Slovo 	С 	/s/ 	Slovo 	Slovo 	word/speech 	<? *SAY Ⱄ Ⰻ Eye (I)
Ⱚ 	Thita 	Ѳ 	/θ/ 	[Thita] 	Fita 	Theta* 	 theta θ
Ⱅ 	Tvrido 	Т 	/t/ 	Tvrьdo 	Tverdo 	solid/hard/surely 	Perhaps from crossbar of  tau τ+w TWO! Ⱅ dura!
Ⱆ 	Uku 	У 	/u/ 	Ukъ 	Uk 	Knowledgeable 	Ligature of onъ and izhitsa
Ⰲ 	Vede 	В 	/ʋ/ 	Vědě 	Vedi 	to know Wisse: 	V VICI 𓍿!<? vs Ⰳ G
Ⱇ 	Fritu 	Ф 	/f/ 	Frьtъ 	Fert 		~  phi φ two! ↔ Ⱚ Fita theta θ
Ⱉ 	Outu 	Ѡ 	/ɔ/ 	Otъ 	Oht Omega 	OO From Ⱁ+Ⱁ 2*1	Ligature of onъ and its mirror image
Ⱌ 	Ci 	Ц 	/t͡s/ 	Ci tsi 	Tsi 		Final form of Hebrew tsade ץ‎ ‎
Ⰶ 	Zhivete 	Ж 	/ʒ/ 	Živěte 	Zhivete 	life/live 	<? <? Coptic janja ϫ or Pisces (astrology) Pisces.svg
Ⱎ 	Sha 	Ш 	/ʃ/ 	Ša 	Sha 	silence/quiet 	Hebrew shin ש‎‎ ↔ Ⰷ Ѕ 	/d͡͡z/ 	Dzělo sehr ++
Ⱋ 	Shta 	Щ 	/tʲ/ /ʃ͡t/ 	Šta/Šča 	Shta/Shcha 		Ligature of sha over tvrьdo?? shade?
Ⱏ 	Jeru 	Ъ 	/ɯ/ 	Jerъ 	Yer 		<? modification of onъ
ⰟⰉ 	Jery 	Ы 	/ɨ/ 	Jery 	Yery 		Ligature see the note under the table
Ⱐ 	Jeri 	Ь 	/ə/ 	Jerь 	Yer` 		<? modification of onъ
Ⱑ 	Jati 	Ѣ Я 	/æ/ /jɑ/ 	Jatь Yatь 	Yat Ya 		<? epigraphic  alpha Α ↔ Ѧ /ɛ̃/ ε nasality
Ⱖ 	GlagolitsaJo.gif 	Ё 	/jo/ 	<?: Hypothetical component of jonsь below; /jo/ was not possible at the time
Ⱓ 	Jou 	Ю 	/ju/ 	Ju yu 	Yu 		<?
Ⱔ 	Ensu (small jousu) 	Ѧ 	/ɛ̃/ 	[Ensь] 	Small yus 		 epsilon ε also used to denote nasality
Ⱗ 	Jensu (small jousu) 	Ѩ 	/jɛ̃/ 	[Jensь] 	[Small iotated yus] 		Ligature of jestъ and ensь for nasality
Ⱘ 	Onsu (big jousu) 	Ѫ 	/ɔ̃/ 	[Onsь] 	[Big yus] 		Ligature of onъ and ensь for nasality
Ⱙ 	Jonsu (big jousu) 	Ѭ 	/jɔ̃/ 	[Jonsь] 	[Big iotated yus] 		Ligature of <? letter and ensь for nasality
Ⱛ 	Yzhica 	Ѵ 	/ʏ/ /i/ 	Ižica 	Izhitsa 	
Ⱍ 	Chrivi 	Ч 	/t͡ʃ/ 	Črьvъ 	Cherv 	worm 	<? similar to shta perhaps non-final form of Hebrew tsade צ‎
Ⰸ 	Zemlja 	З 	/z/ 	Zemlja 	Zemlja 	*TER Earth/ground/soil 	<? ~ theta θ
Ⰼ 	Gjerv 	Ꙉ Ћ Ђ 	/d͡ʑ/ 	Djervь ǵervь 		mwood/tree 	~<?
