Merotic alphabet
Sign	Phone	Egyptian	Note
𐦀 	A	𓀂 	aI er
𐦁 	E	𓆄≈𓇋	βe
𐦂  	I	𓀜	I / He
𐦃 	O 	𓃾 	Ox αlp    
𐦄  	YA 	𓇌 	yee 𓇋𓇋 ii 
	
𐦀 	A	𓀂 	aI er 
𐦆	BA •PHA	𓃒 	BUll alPha
𐦇  	BA-2 BA₂	𓃀 	BEin
𐦘 	TA •TC	𓍿 𓎀 	TA-2  𐦙 
𐦗	QAᵐᵃ	𓏘 @ 𓆎	kar > gj dj d 𐦗
𐦝 	DA	𓂀 	#wDAt viDeyo  𓂇 = 𓂆 • 𓏏 𓇋 𓏏 𓂅 deed, title ☑
𐦁   	E	𓆄≈𓇋	e
𐦁 	*FE	𓆄≈𓇋	β ef
𐦒  	HHA	𓄣	♡  heart 𓈎 𓎛 𓏋 cauldron,cup … 𓍿 𓏏 𓃀 𓏊 𓎸
𐦑	KHA!	𓂋 	kern ↔ 𐦑 𓁹 𒅆 IGI ≈  𐦏 𓁽 𓁹 iri
𐦂  	I	𓀜	I / He
𐦄  	YA	𓇌 	Jie 
𐦖 	KA 	𓅭 	canard ка́чка káčka Kücken кус kus  コペチャ kopeca а-кәата a-kʷʼatʼa  𓅬 ǵʰh₂éns 
𐦐	LA	𓃭 	leo
𐦉 	MA  	𓅓	mwa möwe@
𐦋	NA-2 NA₂ 	𓈖	nile mnemnon 
𐦊 	NA	𓈖𓈖 	'Nauti 𐊾  CARIAN LETTER ''ND''  MAre ニ+二=NI+ER=2+2=4'
𐦌 	NE	𓇑𓇑 	Nature
𐦍  	NE-2 	𓇑𓇑? 	near?
𐦃 	O 	𓃾 	Ox αlp    
𐦈 	PA 	𓉐·𐀞 𓊪·𐀞 	por pho (foot-pad) 
𐦗	QA 	𓏘 	cairn? 
𐦎 	RA	𔖱·𓈘 𓈐 𓂋 𓇳 	rod road
𐦏 	RA-2	 𔖱·𓈘 𐦏 𓁽 𓁹 𓇳 	rod rad iri
𐦓	SA	𓆷 𓇏 	Swamp
𐦔	SA₂ 	𓊃  	ZuSam   𐦯 SA cursive ∑
𐦕  	SE •EŠ	𓈙 	square 𒋛 SI 𓐠 𐦱 seven   চাৰি sari 
𐦘 	TA 	𓍿 𓎀 	•TC
𐦙	TA-2 	𓇿 	t 
𐦚 	TE	󴈿	Tor Tür
𐦛  	TE-2 	𓉔 	dome daheim (tenu)
𐦜 	TO	𓄑	tooth 
𐦜 	TO 	𓄏 	toro 𓄋 𒋰 #tab 𓏏 𓊪 𓇋 𓅱 𓃒 ταῦρος ox-horn
𐦅  	WAʳ 	𓍯	𓍯 𓄿 𓀜 far
𐦄  	YA 	𓇌 	yee 𓇋𓇋 ii 
𐦞	VIDJ	𔖡 #VITA	𓋹 +𐤈 viANKH vinğ
𐦟 	VIDJ	𔖡 #VITA	𓋹 +𐤈 viANKH vinğ
𐦔	•ZA₂  SA-2 	𓊃  	ZuSam   𐦯 SA cursive ∑


Cursive

𐦠 	A
𐦡 	Eˢ	
𐦪 	Eʳ	
𐦢 	I
𐦣 	O

𐦠 	A	𓄿	E <> 𐦡
𐦦 	BA	𓃀 	𓉔 
𐦭 	CHA / KHA	𓂩	
𐦷 	DA	𓂧 𓏏	 dg ≈ ng ? 𐦪 NE
𐦡 	E	eF fE, PE!?
𐦭 	KHA	/ CHA	 𐤂 Ga 
𐦮 	HHA	𓎛 	𐤇ξ  
𐦢 	I 	𓀜	'vs 𐦣  I/E vs ''O'' !?   𐦿'
𐦤 	YA	𓏼 𓏤𓏤𓏤 𓇋𓇋𓇋	iii  𐦄 YA 𓇌 yee 
𐦲 	KA	𓎛 	QA vs 𐦳
𐦬 	LA	𓌳	𓌳ל 𓆓 𐤋
𐦨 	MA	𓐙 𓐝 𓐛 𐤌  ☽
𐦩 	NA	󴃁󴃁	𐬤 𐬢
𐦪 	NE	𐦍	'ng? 𐋁  CARIAN LETTER G (𐦷 	DA)'
𐦣 	O / U	󴃁	↔ 𐦠 A
𐦧 	PA	𐤐 	𐀞 pē  vs 𐦡
𐦳 	QA		KA!
𐦫 	RA	𐦏  𓁹
𐦯 	SA	∑
𐦰 	SA	7	ARCHAIC 
𐦱 	SE	VII SEven :)	↔ 𐦤
𐦴 	TA	  𓆓 𐦘 	
𐦶 	TO	 𐦜 𐦘 
𐦵 	TE	 𐤕 𐤈𐦚   
𐦣 	U / O 	1	oyn 
𐦥 	WA	𐦅	rWa
𐦫 	wRA	rWa
𐦤 	YA	
𐦯 	SA	∑ ZA

𐦾 	RMT(ƒ)	𓀀	𓂋 𓅓 𓍿 𓀀 romanit, human
𐦿 	IMN	𓇋 𓏠 𓈖	amen!
