Inscriptional Pahlavi Pārsīq 𐭯𐭠𐭫𐭮𐭩𐭪
171–38 BC
Sassanid Empire 224–651 (Middle Persian: 𐭠𐭩𐭥𐭠𐭭𐭱𐭲𐭥𐭩 Ayranštry Ērānshahr) Neo-Persian Empire  
Umayyad 661-750-… Arabic … Tahirid … Saffarid … Buyid  ابن سينا Ibn-Sina Avicenna 
Seljuk 1037-1194…1231 Turk!
Ilkhant 1256-1335 Mongol <- Gengis Khan killing 3/4!
Timur 1336-1405…1500
Iranians 1501-1736 Safavid Empire (Ismail I) Shia Islam vs Ottoman, Pashtun, Peter the Great, Delhi ✝
1856 Anglo-Persian war -> 1901 oil rights
1905 Persian Constitutional Revolution -> famine, coup d'etat, dictator 'Iran'
1941 Anglo-Soviet invasion (oil), 1953 US coup d'etat (oil) puppet Rezah Pahlavi '78 black friday (protesters shot)
1979 Iranian Revolution: Ayatollah Khomeini
1980 Irak (US) invaded -1988 Khatami-2005 Ahmadinijad-2013 2018-20 protests

[[RTL]] alphabet
𐭠𐭭𐭡𐭫‎ (ʾnbl /ambar/, “ambergris”.

A	𐭠	ar:𐭥 pha:𐭤 
b	𐭡	n 𐭭 qumb 𐭬
c	𐭢	s 𐭮 
d	𐭣 dg 𐭪 k 𐭢 g 2 𐭽 t 𐭲  
e	𐭣 (dge)
f	𐭯	ph 𐭩 y
g	𐭢	𐭪
h	𐭤	| 𐭮 s | 𐭧 heth
i	𐭩 1 𐭸
j	𐭩
k	𐭪
l	𐭫 r/ɼ/ȓ/ŕ/ŗ/ř/ɽ/ɾ/ɿ/ł/ƪ
m	𐭬	qum 𐭬
n	𐭭
o	𐭥	or
p	𐭯	vs 𐭤 (p)h
q	𐭬	qum! 𐭪 k
r	𐭥	𐭫 lr/rl 
s	𐭮	| 𐭱	š | 𐭤 h
t	𐭲	𐭨 3 𐭧 heth
u	𐭠	au 𐭩 yu 
v	𐭠	va 𐭥 vr 𐭩 vy
w	𐭥	wr
x	𐭧	heth
y	𐭩 vs 𐭥 vr
z	𐭦

Aleph		𐭠	/a/, /ā/	
Heth		𐭧	/h/, /x/	
Samekh	𐭮	/s/, /h/
Beth		𐭡	/b/, /w/	
Teth		𐭨	/ṭ/	
Pe			𐭯	/p/, /b/, /f/
Gimel		𐭢	/g/, /y/	
Yodh		𐭩	/y/, /ē̆/, /ī̆/, /ǰ/	
Sadhe		𐭰	/č/, /ǰ/, /z/
Daleth	𐭣	/d/, /y/	
Kaph		𐭪	/k/, /g/	
Shin		𐭱	/š/
He			𐭤	/h/	
Lamedh	𐭫	/l/, /r/	
Taw			𐭲	/t/, /d/
Waw-Ayin-Resh		𐭥	/w/, /ʿ/, /r/	
Mem-Qoph		𐭬	/m/, /q/ !!
Zayin		𐭦	/z/	
Nun		𐭭	/n/ 


Value 	1 	2 	3 	4 	10 	20 	100 	1000
Text	 	𐭸	 	𐭹 	𐭺 	𐭻 	𐭼 	𐭽 		𐭾		 	𐭿
