Short,Presiding God,𓇼 ,Bashkir,Olympians,Etruscan/Roman,Aesirs,Hittite
𒌚𒁈,Bel - 𒀭𒂗 ,♃,Sky,Zeus,Jupiter,Odin,Tarhun
𒌚𒄞,Ea - 𒂗𒆠 ,♁,earth,Gaia,Tellus/Terra 𒄞,Jörð (Jord),Telipinu
𒌚𒋞 ,Sīn - 𒂗𒍪 ,☽,night,Selene/Luna,Luna,Mani,Aru
𒌚𒋗,Tamuz - 𒀭𒌉𒍣 ,♄,trees,Dionysus,Bacchus/Fufluns,Freyr,Telepinu
𒌚𒉈 ,Gilgamesh - 𒄑𒂅𒈦 ,☿,people,Hermes,Mercury,Loki,Istanu?
𒌚𒆥 ,Ishtar - 𒀭𒈹 ,♀,heaven,Aphrodite,Venus,Frigg,Shaushka (Ishtar)
𒌚𒇯,Shamash - 𒀭𒌓 ,☼,summer,Apollo,Apollo,Balder,Arinna
𒌚𒀳,Marduk - 𒀭𒀫𒌓 ,𓃾,day,Zeus,Tinia,Thor,Tarhun
𒌚𒃶 ,Nergal - 𒀭𒄊𒀕𒃲,♂,death,Hades,Pluto,Hel,Nergal (Death)
𒌚𒀊,Papsukkal - 𒀭𒊩𒆠𒋚 Pegasus?,🜃,horses,Poseidon,Neptune,Sleipnir (Odin's horse),-
𒌚𒍩 ,Adad - 𒀭𒅎,🜁,wind,Aeolus,Venti,Njord,-
𒌚𒊺 ,Erra - 𒀭𒅕𒊏,🜂,winter,Boreas,Febris,Skadi,-
𒌚𒋛𒀀𒊺 ,Assur - 𒀭𒀸𒋩 ,🜄,rain,Zeus,Jupiter,Thor,Tarhun (Storm God)
