Paleo-Hebrew 	Block 	Samaritan 	Phonetic		
Aleph 	א‎ 	ࠀ 	[ʔ], ∅	WA VAR FAIR	ࠀ wa< Tawa ࠕ
Beth 	ב‎ 	ࠁ 	[b], β	BV	
Gimel 	ג‎ 	ࠂ 	[ɡ], ɣ	GC	
Daleth 	ד‎ 	ࠃ 	[d], ð	DG	
Heh 	ה‎ 	ࠄ 	[h], ∅	E	
Waw 	ו‎ 	ࠅ 	[w], ∅	FOUV	
Zayin 	ז‎ 	ࠆ 	[z]	ࠆ	
Heth 	ח‎ 	ࠇ 	[ħ], [χ][55][56]		
Teth 	ט‎ 	ࠈ 	[tʼ][55][56]		
Yodh 	י‎ 	ࠉ 	[j], ∅	ࠉ	
Kaph 	כ‎, ך‎ 	ࠊ 	[k], x		kn
Lamedh 	ל‎ 	ࠋ 	[l]		
Mem 	מ‎, ם‎ 	ࠌ 	[m]		
Nun 	נ‎, ן‎ 	ࠍ 	[n]		gn
Samekh 	ס‎ 	ࠎ 	[s]		
Ayin 	ע‎ 	ࠏ 	[ʕ], [ʁ][55][56]	vide’or aygen	ࠏ
Pe 	פ‎, ף‎ 	ࠐ 	[p], ɸ		
Sadhe 	צ‎, ץ‎ 	ࠑ 	[sʼ][55][56]	ࠑ	ࠉ
Qoph 	ק‎ 	ࠒ 	[q] or [kʼ][55][56]		
Resh 	ר‎ 	ࠓ 	[r]		
Shin 	ש‎ 	ࠔ 	[ʃ], [ɬ][55][56]		
Taw 	ת‎ 	ࠕ 	[t], θ	ࠕ	ࠀTawa > wa
