Phoenician 	Aramaic 	Syriac	Old Sogdian	Later Sogdian	Phoneme 	IPA 	
𐤀 	𐡀 	ܐ	𐼀 	𐼁 (final) 𐼰 	ʾ 	[ā̆], [ə], [ɛ], [ɨ] 	א
𐤁 	𐡁 	ܒ	𐼂 	𐼃 (final) 𐼱 	β 	[β], [f], [v] 	𓆑
𐤂 	𐡂 	ܓ	𐼄 	𐼲 	γ 	[ɣ], [x], [q] 	𓎡
𐤄 	𐡄 	ܗ	𐼅 	𐼆 (final) 𐼳 	h 	[ø], [ā̆] 	c
𐤅 	𐡅 	ܘ	𐼇 	𐼴 	w 	[o], [oː], [u], [uː], [w] 	و
𐤆 	𐡆 	ܙ	𐼈 	𐼵 	z 	[z], [ʒ] 	Δد
𐤇 	𐡇 	ܚ	𐼉 	𐼶 	x 	[x] 	?س
𐤉 	𐡉 	ܝ	𐼊 	𐼷 	y 	[e], [eː], [i] , [iː], [j] 	ι
𐤊 	𐡊 	ܟ	𐼋 	𐼸 	k 	[g], [k] 	𓎡
𐤋 	𐡋 	ܠ	𐼌 	𐼹 	δ 	[ð], [θ] 	L
𐤌 	𐡌 	ܡ	𐼍 	𐼺 	m 	[m] 	
𐤍 	𐡍 	ܢ	𐼎 	 𐼻 𐼏 (final) 𐼐 (final tailed) 	n 	[n] 	ן
𐤎 	𐡎 	ܣ	𐼑 	𐼼 	s 	[s] 	?س
𐤏 	𐡏 	ܥ	𐼒 	 𐼽 𐼓 	ʿ 	[ʕ] 	o!
𐤐 	𐡐 	ܦ	𐼔 	𐼾 	p 	[b], [p] 	b
𐤑 	𐡑 	ܨ	𐼕 	 𐼿 𐼖 (final) 𐼗 (final tailed) 	c 	[t͡ʃ], [d͡ʒ], [t͡s] 	Γ
𐤓 	𐡓 	ܪ	𐼘 	𐽀 	r 	[r] 	亻
𐤔 	𐡔 	ܫ	𐼙 	𐽁 	š 	[ʃ] 	2ˢ
𐤕 	𐡕 	ܬ	𐼚 	 𐽂 𐼚 (final) 𐼜 (final tailed) 	t 	[t], [d] 	D
		ܭ	 	𐽃 	f(?) 	[f](?) 	ⰱ պ 
			 	𐽄 	l 	[l] 	LאL
		ܫ	 	𐽅 	š 	[ʃ] 	?
