Tifinagh Tamazight
SEE BERBER.tsv!!

Libyco-Berber
3rd century BC to the 3rd century AD
Reintroduced: Neo-Tifinagh

U+2D30  ⴰ    a   ا   æ   ya
U+2D31  ⴱ   b   ب   b   yab
U+2D32  ⴲ   b   ٻ   β   yab fricative
U+2D33  ⴳ   g   گ   ɡ   yag
U+2D34  ⴴ   g   ڲ   ɣ   yag fricative
U+2D35  ⴵ   dj  ج   d͡ʒ   Berber Academy yadj
U+2D36  ⴶ   dj  ج   d͡ʒ   yadj
U+2D37  ⴷ   d   د   d   yad   Dal
U+2D38  ⴸ   d   ذ   ð   yad fricative
U+2D39  ⴹ   ḍ   ض   dˤ  yaḍ (hand)
U+2D3A  ⴺ   ḍ   ظ   ðˤ  yaḍ fricative (hand)
U+2D3B  ⴻ   e   ه   ə   yey
U+2D3C  ⴼ   f   ف   f   yaf
U+2D3D  ⴽ   k   ک   q   yak  
U+2D3E  ⴾ   k   ک   k   Tuareg yak
U+2D3F  ⴿ   q   ک   x   yak fricative
U+2D40  ⵀ   h b   ھ ب   h b   yah = Tuareg yab (halb!)
U+2D41  ⵁ   h   ھ   h   Berber Academy yah (halb!)
U+2D42  ⵂ   h   ھ   h   Tuareg yah
U+2D43  ⵃ   ḥ   ح   ħ   yaḥ y! hy
U+2D44  ⵄ   ʕ (ɛ)   ع   ʕ   yaʕ (yaɛ)
U+2D45  ⵅ   kh (x)  خ   χX   yax
U+2D46  ⵆ   kh (x)  خ   χ   Tuareg yax
U+2D47  ⵇ   q   ق   q   yaq vs ⴿ
U+2D48  ⵈ   q   ق   q   Tuareg yaq
U+2D49  ⵉ   i   ي   i   yi Y --
U+2D4A  ⵊ   j   ج   ʒ   yaj I~J
U+2D4B  ⵋ   j   ج   ʒ   Ahaggar yaj J
U+2D4C  ⵌ   j   ج   ʒ   Tuareg yaj  井 jǐng
U+2D4D  ⵍ   l   ل   l   yaL
U+2D4E  ⵎ   m   م   m   yaM
U+2D4F  ⵏ   n   ن   n   yaN
U+2D50  ⵐ   ny  ني  nj  Tuareg yagn egn
U+2D51  ⵑ   ng  ڭ   ŋ   Tuareg yang
U+2D52  ⵒ   p   پ   p   yap
U+2D53  ⵓ   u w   و ۉ   w   yu = Tuareg yaw
U+2D54  ⵔ   r   ر   r   yar Rad/Rund vs qReis  vs SunⵙRa
U+2D55  ⵕ   ṛ   ڕ   rˤ  yaṛ R vs QReis
U+2D56  ⵖ   gh (ɣ)  غ   ɣ   yaɣ ⴳ ⴴ
U+2D57  ⵗ   gh (ɣ)  غ   ɣ   Tuareg yaɣ
U+2D58  ⵘ   gh (ɣ) j   غ ج   ɣ ʒ   Aïr yaɣ = Adrar yaj
U+2D59  ⵙ   s   س   s   yaSun  vs RA
U+2D5A  ⵚ   ṣ   ص   sˤ  yaṣun
U+2D5B  ⵛ   sh (š)  ش   ʃ   yaš
U+2D5C  ⵜ   t   ت   t   yat T!
U+2D5D  ⵝ   t   ت   θ̱  yat fricative TH vs CH/X! 
U+2D5E  ⵞ   ch (tš)   تش  t͡ʃ   yatš   TSCH!
