_	_	EG	__	NAME	modern	Akkad	see	note s	see 
-	-	--	--	-----	-		-	---------------------------  	
A	𐤀	𓌸𓃾𓂣	𐎀	ᵓALPA	α	𒀸𒋩	𐎓	Phai Fai fo [brA]…  1 AINzen 10  anon ¬ 𐎐 naun  	
B	𐤁	𓃀𓃀 𓉐	𐎁	BETA	bi/di 𐎄 tri	𒂗	𐎄	𓉔𓉐 *BRD! *BLD 𒁁𒉌 Beini -> BaaL  	𐎡 vI 𓇌
C	𐤂	𓌙 𓋴 	𐎂 / 𐎕	GAMLA	Γ giraffe	𒄑	𐎋 Car 𐎕 SADE	𐎕 *cade 𐎓𐎗Cur 𓊖  𐎇CETA CTHaar: 𐎃KHA𐎕Zaden 𐎙GHAIN  	
D	𐤃	𓏏𓂧	𐎏	DHALta	Δ D	𒆕𒌓	𐎘THA	𐎁 *brD 𐎄*blDT Bdt 𓉔 Beth 𐎊DVY! PT 𓉐 𐤁~  𐤃 Dar/Weil 𐎃dHair dreh  	Cod 𓆛 Dorsch
E	𐤄	 𓇋 𓉔	𐎅	HE / HO	E	𒂊	dHøme	𐎅 3 thrEes sHen?    𐤇𐤇	
F	𐤅	𓆑𓇋 	𐎛	ƒIr	F		ƒir 	𐎛 4 Fieder Vieh fur𓅨fowl𓅱>𓍢whool ʾu 𐎜 𓊪Ur 𓊖𓏌  	𐎱 Pai
G	𐤂	𓎼?	𐎙 𐎑	GHAIN	¬ Γ x 	𒂷𒄑 	Kein	𐎙 ¬ 𒉡 Nein ↔ shun 𐎌7 6𐎘    𐎑 𒄑 Gish!	
H	𐤇	𓎛𓉔𓀠	𐎅	HE	H E	𒄷	dHøme	ξ Ξ Hexa 𐎈krHOTA 🕂  𐎃 KHAar  ḥaṣr Haus 𓉗 court	𐎼 RE
I	𐤉	𓇋𓂣?	𐎛	ƒIr	FEI	𒄿	ƒir 	𐎛 4 Fieder Vieh fur  	𐎱 Pai 𐎼 RE
J	𐤉	𓇌 𓆳𓆳	𐎊	YOD	JIY	𒐊	*dVyie	𐎃 KHAir  	
K	𐤊	𓎡𓍿𓐍	𐎋	KAF	C q	𒋡𒄑	C 𐎑	𒆳 KUR 𐎃 KHAir 𐎒 SAMKA 𐎋 𓂧 kap/kat/kante/khand/kheiro	
LM	𐤋	𓈗𓌳𓍢!	𐎍𐎎	LAMDA	R/L/M 	𒊑𒇲	RAM	"𐎠   𐎚?  YyλL  line/lun 𓍢<𓏲rwn ! 𓍈lamda ""goad"" "	
