_|_|EG|__|NAME|modern
-|-|--|--|-----|-
A|𐤀|𓌸𓃾𓂣|𐎀|ᵓALPA|α
B|𐤁|𓃀𓃀|𐎁|BETA|bi/di 𐎄 tri
C|𐤂|𓋴|𐎂|GAMLA|Γ giraffe
D|𐤃|𓏏𓂧|𐎏|DHALta|Δ D
E|𐤄| 𓇋 |𐎅|HE / HO|E
F|𐤅|𓆑𓇋 |𐎛|ƒIr|F
G|𐤂|𓎼?|𐎙|GHAIN|¬ Γ x 
H|𐤇|𓉔 𐤇|𐎅|HE|H E
I|𐤉|𓇋|𐎛|ƒIr|FEI
J|𐤉|𓇌 𓆳𓆳|𐎊|YOD|JIY
K|𐤊|𓐍𓎡𓍿|𐎋|KAF|C q
LM|𐤋|𓈗𓌳 |𐎍𐎎|LAMDA|R/L/M 
MN|𐤌|𓌳𓈗 |𐎎𐎍|MEM|¬ µ 
N|𐤍|𓈖|𐎐|NUN|NИN
O|𐤏|𓁹|𐎓|AIN|꜂u
P|𐤐|𓊪|𐎔|PU|πo
Q|𐤒|𓏘 𓁷 |𐎖|QOPA|Q
R|𐤓|𓂋𓁶 |𐎗|RASHAn|R
S|𐤑|𓋴|𐎕 |SADE|S C
T|𐤕|𓏏|𐎚|TO|†TET 𐎉 
U|𐤅|𓁹𓏌𓅱𓍢|𐎆|WOUVL|WAW
V|𐤅|𓆑𓅳𓇌 |𐎁𐎊|*VYOD|
W|𐤅|𓊪𓆷?|𐎜 |Wu Pho|ʾuu 
X |𐤎|𓏴 𓊖?|𐎈|xHOTA 🕂|ḥ ħ ח
Y|𐤅|𓏭  𓇋𓇋 |𐎊|YOD|𓇋𓇋YJI 
Z|𐤆|𓊃|𐎇|ZETA|𐎕 Zahn
TZ TC|𐤂|𓍿|𐎑|ZU|C
SH …|𐤔|𓆰 𓇉 𓆼 𓍱 |𐎌𐎒𐎃|SHINe|SAMKAr
TH TZ|𐤈|𓍿𓇴𓇮|𐎘|THANNA|σ þ
Ḫ||𓎛|𐎃|KHA|𐤇?
TD DT CT||𓍱|𐎝|SSU|XU
DH  ||𓆑|𐎑|ZU|
DZ||𓊃 𓋴|𐎇|ZETA|
D!||𓇏≠𓆷|𐎄|DELTA |(?)
ṭ t̴|𐤈||𐎉 |TET |T
'|,||𐎟|DASH,DE,|A,an,al…
