𑁍		LOTUS !				
						
0	𑁦					
1	𑁧	𑁒	𑁛		α 	A
2	𑁨	𑁓	𑁜		β	Ba
3	𑁩	𑁔	𑁝		Γ	Ca
4	𑁪	𑁕	𑁞		δζ	D' 
5	𑁫	𑁖	𑁟		εj 	
6	𑁬	𑁗	𑁠		ƒε ζ ∑imn	
7	𑁭	𑁘	𑁡		η	sHavn
8	𑁮	𑁙	𑁢		θ	La 𑁙 / Thaural 𑁮 
9	𑁯	𑁚	𑁣		ι Bhim 𑁯𑁚 !?	
10	𑁧𑁦 𑁨𑁦 𑁩𑁦			κ deKa sKore		
100 𑁤						
1000 𑁥		vs 𓍢 α vs 900=30*30				
						
						
Reduced alphabet:						
𑀐	𓂝𓂞𓂢	AI	𑀅	ЯA	𑀏	E  
𑀨	𓃀	PHA 	𑀧	PA	𑀩	BA 
𑀝	𓍿𓎀𓂓 	TTA 	𑀗	NGA	𑀘	CA  δa
𑀥	𓏏	DHA 	𑀤	DA 	𑀠	dDDHA
𑀚	𓇋	JA	ˠε	•eea 	𑀏	Ea  𓂞
𑀊	 𓆑	W	𑀪	FA		
𑀕	𓎼	GA	𑀔	KHA	DG!	Γ Gamma Gabel 𑀕 
𑀅	𓉔 	hA	𑀳	cHA 		
𑀇	𓏥	I 	𑀈	II		
𑀬	𓆳	YA	𑀛		JHA 	
𑀅	𓉔𓊖 	'A	𑀓		KA 	
𑀮	L	LA 	 𑀉	U	 𑀊	UU 
𑀫	 𓅓𓍱 	MAš			 𓍱 𓍲	Meer 𓋳 µocean
𑀦	𓈖𓏤  𐦊𓏤 	NA 	𑀡	NNA	 𑀗	NGA 𓈖 eiNz ¬ zaiN
𑀩	𓊪	BA 	𑀧	PA	𑀑	O
𑀧	𓃀	PA	𑀨	PHA		
𑀪	𓉐 	BHA	𑀪	FAi π !	𑀑	
𑀙	𓁷𓐍𓈎?	CHA		Q		
𑀭	𓎫	rA	𑀌	RRx	𑀶	RRA
𑀱	𓋴	SSAb 	𑀲	SA 	𑀔	KHA
𑀞	𓊘𓇸𓇷𓇳?	TTHA	𑀣	THA 	𑀑	O Θ θ Theta  σ 𑀞𑀑 = Sol
𑀢	𓂞?	TA 		Teil	𑀢	Teil
𑀊	𓆑𓂢	UU	𑀉	ˡUˡ	𑀊	Elle
𑀯	𓎗	VAᵈ	φ	#wD		
𑀋	𓏴𓊖	RR		•CHR		
𑀛	𓆑	YHA				
𑀟	𓊨𓊃	zDDA 			𑀱	SSA 𑀲
𑀰	𓆰𓇐	SHA 				
						
						
𑀃		JIHVAMULIYA 	𑀄		UPADHMANIYA	
						
𑀆		AA				
𑀒	 	AU				
𑀐		AI				
𑀩		BA				
𑀧		PA				
𑀤		DA				
𑀥		DHA				
𑀇		I				
𑀈		II				
𑀋		R				
𑀌		RR				
𑀍		L				
𑀎		LL				
𑀏		E				
𑀑		O				
𑀓		KA				
𑀔		KHA				
𑀕		GA				
𑀖		GHA				
𑀗		NGA				
𑀘		CA				
𑀙		CHA	Q			
𑀚		JA				
𑀛		JHA				
𑀜		NYA				
𑀝		TTA				
𑀞		TTHA				
𑀟		DDA				
𑀠		DDHA				
𑀡		NNA				
𑀢		TA				
𑀉		U				
𑀊		UU				
𑀣		THA				
𑀦		NA				
𑀫		MA				
𑀨		PHA				
𑀪		BHA				
𑀬		YA				
𑀭		RA				
𑀮		LA				
𑀯		VA				
𑀰		SHA				
𑀱		SSA				
𑀲		SA				
𑀳		HA				
𑀴		LLA				
𑀵		LLLA				
𑀶		RRA				
𑀷		NNNA				
𑀸		AA				
𑀹		AA				
𑀺		I				
𑀻		II				
𑀼		U				
𑀽		UU				
𑀾		R				
𑀿		RR				
𑁀		L				
𑁁		LL				
𑁂		E				
𑁃		AI				
𑁄		O				
𑁅		AU				
𑁆		VIRAMA				
𑁇		DANDA				
𑁈		DOUBLE DANDA				
𑁉		DOT				
𑁊		DOUBLE DOT				
𑁋		LINE				
𑁌		CRESCENT BAR				
𑁍		LOTUS !				
						
