≈	NR	ID	#	Compare	Tentative Phonetics
T	E15	1	18	𓏏𓏤 ? 𐠯 ti 𐝇 (𐝓 𐝂 𐝃 𐝄 𐝅 𐝆) ፐ P ≠ ተ t @ Geez 	π/t
𐘀	H7	2	1+5	𐀅 da 𝈩 ⟝ 󴫕 H6   𓂧 <> 𐘇 A 𔔲	DA
+	G17	3	33	𑀓 KA  ⵜ 𐝁 𐘁 † 𓏶 mid 𒈦 maš/pár 𐎉 TET 󲂲 󲉡 󲅚 󲋑 󲂳 󲎂 󲆦 󲊂 󲆧 <> 󲅛 ተ 𐨠 THA	KA ≠ taw X
⭡	B1 	4	3+2	E12 𜒑 𓆭  𐠯 ti see 𐩡 lamedh 	s / zi / tir ?
𐘄	B3	5	22	<> πt :	πTO
𐘂	E17	6	2-	ⵐ 𜎣 𒉺 PA 𐠞 pa 𐘂 PA 𐀞 pa 𓃀  𐎔 PU	PA
士	B7	7	2	𓇓 ≈ 𓇑 B9 󳼦 B6 󳿺 G2    due to curved upper	ß
𐤎	B2	8	4	𓊽 󲆞 󲆝 󲏛 𓎀 󴫘 tc	xj/dj
ꔠ	E18	9	7+2+2+1	⫦ ⫣  󴫒 E18'' ʜ 𐋅 𓐖 𓊃 𝄩 𐋏 E₂ 𒄷 ḫū 𐘇 A 𑀪 ƒE π   ꔠ gee @ Vai	ᵍḪŪ ᵍHE ᵖHE ᵖHA
X	H1	10	10	𓏴 𐘧 𔕂𔘿𔕜𔗃𔕔𔕛𔕝 󴛰 󴝕 󴛱 󴛲 󴛳 󲆰 󲆱 󲎐 󲍩 󲊫 󲋙 󲂱 󲅛 󲋽 <> 󲂲 𐩩 taw 	Taw ᵀjʳ 
𐋄	F1	11	8	𐀋 𒾯 JE ϫ DJ 𜎵 𜎻 𜎺  Ϫ ϫ  ʒ Janjan j dʒ 𔕂 𔕔 10*10=100	JEN / NG 
⨳	H2	12	1+1	𜎦 𒆜 KAS <> I2 ⵌ 𔔁 󴂙 󴂟 cross	K…
𐠀	C1	14	1	CYPRIOT A  𐘥 KE	khA
ⵋ 	E16	13	2	ⵣ 𝙸 <> Y̲ zain	yaz
𐩡	E19	15	18	" 󲅈 󲅉 󲍔 󲍖 󲉟 󲌐 󲅆 󲅇 󲇉 󲀴 󲉵 󲆚 󲀲 󲋐 󲍽 󲀳 󲆠 󲆡 𓍈𓌙 ⥌ ⨡ 𐤋 𒇲𐎍𐎎 𐎂 𐩴 	gimel gamla 𐩡 lamedh ↿ 𐤂 GAML"	g 1 lam 𑀭𑀸 ram
ᖌ	H8 	16	1	 ^^	
