	Forms	Hyllarima 	Euromos 	Mylasa 	Stratonicea 	Kildara 	Sinuri 	Kaunos 	Iasos 	Memphis 	transl.[9] 	IPA[10] 	possible Greek / Byblos / Egyptian origin
A	𐊠 	𐊠 	𐊠 	𐊠 	𐊠 	𐊠[11] 	𐊠[11] 	𐊠 	𐊠 𐌀 	𐊠 	a 	/a/ 	Α
B	𐊡 𐊷  𐋌 𐋍 	𐊡 	𐊷 	« ? 	𐋉[12] 			𐋌 𐋍 	𐋌?[13] 	𐋌[13] 	β 	/ᵐb/ 	'𐊡 µ mb!  𓅓 𐋊  𐋌 𐋍 Ч Ϥ ''Fays''  < Bays < phyton  𐋌 𐋍 P'
Ç	𐊸 ʘ Θ 	𐊸 ʘ 	𐊸 	𐊸 	𐊸 	𐊸 	𐊸 	Θ 	𐊸 	𐊸 Θ 	ś 	/ç/? 	solar semi sun 
δ	𐊢 (<) 	𐊢 (<) 	𐊢 (Ϲ) 	𐊢 (<) 	𐊢 (Ϲ) 	𐊢 (Ϲ) 	𐊢 (Ϲ) 	𐊢 (Ϲ) 		𐊢 (< Ϲ) 	d 	/ð/? 	Δ D δ Deus Zeus ≈ Ceus
E	𐊤 𐋐 Ε  𐋈 	𐊤 	𐊤 	𐋐 	𐊤 	𐋈 	𐋈 	𐊤 	𐊤 𐋐? 	𐊤 Ε 	y 	/y/ 	𐋏 E ee 𐊤𐊤 ≈ y  𓇋𓇋 Perhaps a modified Ϝ.
ʷF	'𐋌 𐋍 	𐋌 𐊿 Ш '	Ш𐋍						𐋌 𐋍 	𐋌 	𐊿 Ш 	w 	/w/ 	'W Ϝ /w/  β phyton 𐋌 𐋍 Ч Ϥ 90 *phth ''Fays'' < Bays see B'
Gɣ	𐋄  𐋁 𐋀 	𐋁 				𐋄 	𐋄 	𐋄  / 𐋁	𐋁 	𐋀 	γ  ŋ 	/ᵑk/ 	𐚌 𐙪 𐋁 𓍲 Ɡ @ Berber <> 𐙿 𓍱 ⴴ ɣ γ gʳ G₂ <> 𐋄  dj ≈ γ ☑
H	𐋏 𐊺 	𐋏 	𐋏 	𐋏 	𐊺 	𐊺 	𐊺 	𐊺 	𐊺 	𐊺 	e 	/e/ 	HE Η, 𐌇  Hetha 𐊺  Hel
ll!	𐋎 𐊣 𐊦 𐋏 	𐋎 𐊣 	𐊣 	𐊣 	𐊦 	𐊦 	𐊦 	𐋏 	𐊦 	𐊦 	λ 	/lː~ld/? 	LD > YD > ID > I    𐋎 from Λ deLata
𐊑	𐋅 𐊑 									𐋅 𐊑 	j 	/j/ 	Perhaps related to Phrygian /j/, 𝈿 ~ 𐌔
𐊽	𐊼 𐊽 	𐊽 	𐊼 𐊽 	𐊼 	𐊽 	𐊼 	𐊼 	𐊼 	𐊼 	𐊼𐊽 	k 	/k/ 	𐀑 ki (locally /kʰ/) rather than Κ.
𐊣 	𐋃  <> 𐊣 	𐋃 	𐋃 	<> 	𐊣 	𐋃 	𐊣 	𐊣 	𐊣 	𐊣 	l 	/l~ɾ/? 	Λ deLata
M	𐊪 𝈋 	𐊪 	𐊪 	𐊪 	𐊪 	𐊪 𝈋 	𐊪 𝈋 	𝈋 	𐊪 	𐊪 𝈋 	m 	/m/ 	𐋊 𓅓  µ  𐋌 𐋍 /ᵐb/  𐌌[15]  Mnemnon meander
N𐀚	𐊵 𐊜 	𐊵 	𐊵 𐊜 	𐊵 	𐊵 	𐊵 𐊜 	𐊵 𐊜 	𐊵 	𐊵 	𐊜 𐊵 	n 	/n/ 	𐀚 NE neptune <> ψ psi Poseidon 9 𓊪 𓋴 𓆓 𐌍[16]
𐊳N!	𐊳 	𐊳 			𐊳 	𐊳 	𐊳 	𐊳 			ñ 	/n̩/ 	phon > ᵛn <<<
O	𐊫 	𐊫 	𐊫 	𐊫 	𐊫 	𐊫 	𐊫 	𐊫 	𐊫 	𐊫 	o 	/o/ 	'Ο 𐊻 UUUU 𐊻 ý 	/ɥ/  𐊺 E '
𐊬	Λ 𐊬 Γ 	Λ 	Λ 	Λ 		Λ 𐊬 	Λ 𐊬 	Γ 	Λ 	𐊬 Λ 	b 	/β/? 	'𐅃 ƒive  𐤐 	pē penta'
B	𐊷 	𐊷 		𐊷 	𐊷 	𐊷 	𐊷 	𐊷 	𐊷 	𐊷 	p 	/p/ 	Β Berge 𔔆 Burg 𐊷 Pike 
Q	ʘ 𐊨? 	ʘ 	ʘ 	ʘ 	ʘ 	ʘ 𐊨? 	ʘ 𐊨? 	𐊨 	𐊨 ʘ 	𐊨 	q 	/kʷ/ 	Ϙ 𐀤 𐘿 QE 𐘾 ka 𐀏 KA 𑁣 керла 
R	𐘟 𐘳 𐊥 	𐘟 𐘳						𐊥 	𐊥 	𐊥 	r 	/r/ 	𓏲 Ρ R ≠ 𐘳 TA 
𓏲	𐋉 𐋃 	𐋉 			𐋃 					𐋉 	ŕ, ĺ[7] 	/rʲ/? 	𓏲 Used in Egypt for Greek ρρ!! ρ ≈ σ ≈ 𓇳
∑	𐊰 	𐊰 	𐊰 	𐊰 	𐊰 	𐊰 	𐊰 	𐊰 	𐊰 	𐊰 	s 	/s/ 	∑ SUM Ϻ 
σ  𓇳	𐊸 Θ 	𐊸 	𐊸 	𐊸 	𐊸 	𐊸 	𐊸 	Θ 	𐊸 	𐊸 Θ 	ś 	/ç/? 	solar semi sun 
σδ	𐊯 𐤭 𐤧 𐌃 	𐤭 𐤧 𐌃 	𐤭 		𐤭 	𐤭 𐌓 	𐤭 𐌓 	𐊯 	𐤭 𐤧 𐌃 	𐊮 Ϸ 	š 	/ʃ/ 	𐘏 QIᵖ > 𐤭 sheep ☑  √capre  𐊮 Ϸ ≈ σ  𐤧 𐌃 ≈ δ 
θ	𐊭  𐌓 	𐊭 	𐊭 	𐊭 	𐊭 	𐊭 	𐊭 	𐌓 	𐊭 	𐊭 	t 	/t/ 	θ Τ  𐘍 ZA 𐘇𐙱𐘍 Ašur < Athur? 𐌓 Ϸ 𐊮   𐤧 𐌃 ≈ δ thor / door
T	𐋇  𐊱 	𐋇 			𐊱 	𐊱 	𐊱 	𐊶?[20] 		𐋇  𐊱 	τ 	/t͡ʃ/ 	𐠯 ti
U	V 𐊲 	𐊲 	𐊲 	𐊲 	𐊲 	𐊲 V 	𐊲 V 	𐊲 	𐊲 V 	V 𐊲 	u 	/u/ 	Υ /u/ 𐊻 UUUU
V	V 𐊲 	𐊲 	𐊲 	𐊲 	𐊲 	𐊲 V 	𐊲 V 	𐊲 	𐊲 V 	V 𐊲 	u 	/u/ 	Υ /u/
W	Ш 𐊿 𐋐	Ш								𐊿 Ш 	w 	/w/ 	W Ϝ /w/ 𐋐 UUU
X	𐊴 𐊛 	𐊴 	𐊴 	𐊴 	𐊛 	𐊴 	𐊴 	𐊴 	𐊴 𐊛 	𐊴 𐊛 	k̂ 	/c/ 	𐀏 ka Kreuz ☑  Not a Greek value. Maybe a modification of Κ, Χ, or 𐊨.
