The Cherokee syllabary is a syllabary invented by Sequoyah to write the Cherokee language in the late 1810s and early 1820s.

Each of the characters represents one syllable, as in the Japanese kana and the Bronze Age Greek Linear B writing systems.

 a 	e 	i 	o 	u 	v
A Ꭰ 	a 	  	Ꭱ 	e 	  	Ꭲ 	i 	  	Ꭳ 	o 	Ꭴ 	u 	Ꭵ 	v
G Ꭶ 	ga 	Ꭷ 	ka 	  	Ꭸ 	ge 	  	Ꭹ 	gi 	  	Ꭺ 	go 	Ꭻ 	gu 	Ꭼ 	gv
H Ꭽ 	ha 	  	Ꭾ 	he 	  	Ꭿ 	hi 	  	Ꮀ 	ho 	Ꮁ 	hu 	Ꮂ 	hv
L Ꮃ 	la 	  	Ꮄ 	le 	  	Ꮅ 	li 	  	Ꮆ 	lo 	Ꮇ 	lu 	Ꮈ 	lv
M Ꮉ 	ma 	  	Ꮊ 	me 	  	Ꮋ 	mi 	  	Ꮌ 	mo 	Ꮍ 	mu 	Ᏽ 	mv
N Ꮎ 	na 	Ꮏ 	hna 	Ꮐ 	nah 	Ꮑ 	ne 	  	Ꮒ 	ni 	  	Ꮓ 	no 	Ꮔ 	nu 	Ꮕ 	nv
Q Ꮖ 	qua 	  	Ꮗ 	que 	  	Ꮘ 	qui 	  	Ꮙ 	quo 	Ꮚ 	quu 	Ꮛ 	quv
S Ꮝ 	s 	Ꮜ 	sa 	  	Ꮞ 	se 	  	Ꮟ 	si 	  	Ꮠ 	so 	Ꮡ 	su 	Ꮢ 	sv
D Ꮣ 	da 	Ꮤ 	ta 	  	Ꮥ 	de 	Ꮦ 	te 	Ꮧ 	di 	Ꮨ 	ti 	Ꮩ 	do 	Ꮪ 	du 	Ꮫ 	dv
DL Ꮬ 	dla 	Ꮭ 	tla 	  	Ꮮ 	tle 	  	Ꮯ 	tli 	  	Ꮰ 	tlo 	Ꮱ 	tlu 	Ꮲ 	tlv
Z Ꮳ 	tsa 	  	Ꮴ 	tse 	  	Ꮵ 	tsi 	  	Ꮶ 	tso 	Ꮷ 	tsu 	Ꮸ 	tsv
W Ꮹ 	wa 	  	Ꮺ 	we 	  	Ꮻ 	wi 	  	Ꮼ 	wo 	Ꮽ 	wu 	Ꮾ 	wv
Y Ꮿ 	ya 	  	Ᏸ 	ye 	  	Ᏹ 	yi 	  	Ᏺ 	yo 	Ᏻ 	yu 	Ᏼ 	yv 
