a / me / ne | nu,𒈨,𒈨 𒉡,𒈨 𒉡,𒈨 𒉡,𒅆≠𒈨 I 𓂣AM *sei 𓂜MO / NO 𒉡   𒈨𒌍MEŠ ≠𒈠, 𒈨Maat~𒈨Law LA¬  da to be 𒈨=𒀀𒀭 estar,I'am sein  𒈨𒌍 = M+ES=mes mas=more 𒈨𒌍 AS! A+S plural τοῖς τάς... OK DUAL τοῖν -iN! *UN:  𒌌u.gud ni.gal = ¬𒄞 = far!                     
igi,𒅆,𒅆,𒅆,𒅆,𒈨≠𒅆Igi:vEye/see face! vs I.aM 𒈨 vs voi,wa𒉿,
,,,,,,,7
,,,,,,,習
a ea o,𒀀,𒀀,𒀀,𒀀,PA→VA!, A, AB  EA  eau  O! pha 𐎀 A 𐎡E/I 𐎠Ar  eau = water!   𒀁=𒀀𒀀=AI AY I Y~𓇌 𒀀𒀀=abba=papa  𒀀💧:𒀊 abyssea  𒀪aḫ:ox:alpha-bull!   𒌷𒉌𒉡𒀀 Kur.NineVa A aplu abzu=abyssea mû MEŠ water  mwA !! mesut:heir! AN/IN ! vs 3𒑗  𒀀𒀀=ø'ø=aNOt! ¬ 𒀁Aa passion: a-as-si-ya = love a-as-ta: rest  pass eaten-se=they-eat warum? vatta voier=äu''er' 𐎀 A 𐎡E/I 𐎠Ar              
BAD be *pen  Til 𓏱 die,𒁁,𒁁,𒁁,𒁁,Die𓏱  laDY𒁁! MorTy TIL:end 𓍘 BAD𓃀 POD vs 𒑖4 ,"Baut𓊅 pen:open! 𓃀  SterBEN 𒋰~di𒁁𒁁bi=𒁉 KAŠ.Bier  𒋰dab:double! [complete,old] 𓏏𓍃𓅓  T___ << B.T. ! 𓎛𓍘𓋴𓐬" bein vs 𒁀Ba  ↔ Bi~𒁁=𒁉bier BI=DI=2=die/the muert↔word? 𓎔  𓏛 ?                         
bar / par / BÁN !,𒁇 𒈦,𒁇 𒈦,𒁇 𒈦,𒁇 𒈦,𓃀 BÁN BEIN vs 𒄊  𐎁 BI  DI 𒈦TI,para! 𓃀  part 𒁇 barriere : ban办 边 biān 𒁇 𒈦 MAŠ mas!  vs Lal,PAN:goat vs𒇻 sheep      bar-fuß +plus? vs 𒉽Pap blocked!𒅂IDIM bar=handle 8 八 bad Bacchus 儿入人丿piě ped pod 𒉺π 𐎁 B                        
B ba,𒁀,𒁀,𒁀,𒁀,B  𒁀 𐎲 𒉺 π BA Part! 𓐝 𐎁 B BI 𒁉DI,be- ab- bei- 半 ban/bar:part! (devide...) vs CUT 𒃰,boobs  vs D be 𒁁 𐎁 B 𐎲Ba ~ 𒉺!     Bull= 𒄞  Ox 𒀪 Gud
C GIŠ ĝeš ez es is iz,𒄑,𒄑 vs 𒃰𒆸,𒄑,𒄑,𓍿eC:’Ce’,Cis 𐎂 G 𐎣 Ka 𓂓 ! 𒄑Ca Ka 𒋡 Qa,Esche𓆭[wood]  𓋴 es  su (sich)! -is (adverb)  𒄑cu vs 𒃰cut 𒋡qu 𒆸kur 口kou  𒄒𒄓𒄔𒄕Esche 𓆭! ↔ mEsa=Haus vs AP AB Pappel 𒄞GUd AR? 𒄑c->zahn   𒆬CU/KUG=pure 𐎂 G 𐎣 Ka 𓂓 !                    
CUT  k/gad/t,𒃰,𒃰,𒃰,𒃰,CUT! Pad 𐎇 CETA 𐎕Sade,linen,flax cloth   𓇳 ⵙ 𒃰Cut → 𒌓 ba-ab-bar:Barber! KÍD 𒅏= cut vs 口 [口] kǒu(phon) 𐎇 CETA 𐎕Sade 𐎨 Ca                      
