gard	glyph	codage
A12	𓀎	mSa
A15	𓀒	xr
A17	𓀔	Xrd
A21	𓀙	sr
A33	𓀦	mniw
A38	𓀫	qiz
A47	𓀸	iry
A50	𓀻	Sps
A51	𓀼	Spsi
B3	𓁒	msi
C10	𓁦	mAat
C11	𓁨	HH
C3	𓁟	DHwty
C4	𓁠	Xnmw
C6	𓁢	inpw
C7	𓁣	stX
C8	𓁤	mnw
D1	𓁶	tp
D10	𓂀	wDAt
D153		R
D19	𓂉	fnD
D2	𓁷	Hr
D21	𓂋	rA
D24	𓂎	spt
D25	𓂏	spty
D27	𓂑	mnD
D28	𓂓	kAr
D3	𓁸	Sny
D34	𓂚	aHA
D36	𓂝	a
D4	𓁹	ir
D45	𓂦	Dsr
D46	𓂧	d
D50	𓂭	Dba
D52	𓂸	mtƒ
D56	𓂾	gH
D56	𓂾	gHs
D56	𓂾	rd
D56	𓂾	sbq
D58	𓃀	b
D59	𓃁	ab
D60	𓃂	wab
D61	𓃃	sAHƒ
D9	𓁿	rmi
E17	𓃤	zAb
E22	𓃬	mAi
E23	𓃭	l
E23	𓃭	rw
E24	𓃮	Aby
E34	𓃹	wn
E6	𓃗	zzmt
F12	𓄊	wsr
F13	𓄋	wp
F16	𓄏	db
F18	𓄑	Hw
F18	𓄑	bH
F20	𓄓	ns
F21	𓄔	DrD
F21	𓄔	idn
F21	𓄔	msDr
F21	𓄔	sDm
F22	𓄖	kfA
F22	𓄖	pH
F23	𓄗	xpS
F25	𓄙	wHm
F26	𓄚	Xn
F29	𓄝	st
F30	𓄞	Sd
F31	𓄟	ms
F32	𓄡	X
F33	𓄢	sd
F34	𓄣	ib
F35	𓄤	nfr
F36	𓄥	zmA
F39	𓄪	imAx
F4	𓄂	HAt
F40	𓄫	Aw
F42	𓄭	spr
F44	𓄯	isw
F44	𓄯	iwa
F46	𓄲	`pXr
F46	𓄲	*tur
F46	𓄲	qAb
F5	𓄃	SsA
G1	𓄿	A
G14	𓅐	mwt
G16	𓅒	nbty
G17	𓅓	m
G18	𓅔	mm
G2	𓅀	AA
G21	𓅘	nH
G22	𓅙	Db
G23	𓅚	rxyt
G25	𓅜	Ax
G27	𓅟	dSr
G28	𓅠	gm
G29	𓅡	bA
G32	𓅤	baHi
G35	𓅧	aq
G36	𓅨	wr
G37	𓅪	nDs
G38	𓅬	gb
G39	𓅭	zA
G4	𓅂	tyw
G40	𓅮	pA
G41	𓅯	xn
G42	𓅰	wSA
G43	𓅱	w
G44	𓅲	ww
G46	𓅴	mAw
G47	𓅷	TA
G54	𓅾	snD
H2	𓆀	wSm
H2	𓆀	pq
H3	𓆁	pAq
H4	𓆂	n*r
H6	𓆄	Sw
I1	𓆈	aSA
I10	𓆓	D
I11	𓆔	DD
I2	𓆉	Styw
I3	𓆊	mzH
I4	𓆋	sbk
I5	𓆌	sAq
I6	𓆎	km
I8	𓆐	Hfn
I9	𓆑	f.sn
J1	𓐍	x
J11	𓐙	mAa
J13	𓐛	gs
J13	𓐛	im
J15	𓐝	M
J17	𓐟	sA
J20	𓐢	apr
J21	𓐣	wDaƒ
J27	𓐩	nD
J28	𓐪	qd
J30	𓐬	Xkr
J5	𓐑	Hp
J8	𓐕	qn
K1	𓆛	
K3	𓆝	ad
K4	𓆞	XA
K5	𓆟	bz
K6	𓆠	nSmt
L1	𓆣	xpr
L2	𓆤	bit
L7	𓆫	srqt
M1	𓆭	iAm
M11	𓆻	wdn
M12	𓆼	1000
M12	𓆼	xA
M13	𓇅	wAD
M16	𓇉	HA
M17	𓇋	i
M18	𓇍	ii
M2	𓆰	Hn
M20	𓇏	sxt
M21	𓇐	sm
M22A	𓇒	nn
M23	𓇓	sw
M24	𓇔	rsw
M26	𓇗	Sma
M29	𓇛	nDm
M3	𓆱	xt
M30	𓇜	bnr
M34	𓇣	bdt
M36	𓇥	Dr
M4	𓆳	rnp
M40	𓇩	iz →enci
M6	𓆵	tr
M8	𓆷	SA
M9	𓆸	zSn
N1	𓇯	pt
N11	𓇹	Abd
N11	𓇹	iaH
N14	𓇼	dwA
N14	𓇼	sbA
N15	𓇽	dwAt
N16	𓇾	tA
N18	𓈀	iw
N20	𓈄	wDb
N24	𓈈	spAt
N25	𓈉	xAst
N26	𓈋	Dw
N27	𓈌	Axt
N28	𓈍	xa
N29	𓈎	q
N30	𓈏	iAt
N35	𓈖	n
N35A	𓈗	mw
N37	𓈙	S
N4	𓇲	iAdt
N40	𓈝	Sm
N41	𓈞	id
N5	𓇳	hrw
N5	𓇳	ra
N5	𓇳	zw
N8	𓇶	Hnmmtƒ
N9	𓇷	pzD
O1	𓉐	pr
O11	𓉥	aH
O15	𓉩	wsxt
O18	𓉬	kAr
O22	𓉲	zHƒ
O25	𓉵	txn
O28	𓉺	iwn
O29	𓉻	aA
O30	𓉽	zxnt
O34	𓊃	z
O35	𓊄	zb
O36	𓊅	inb
O38A	𓊋	qnbt
O4	𓉔	h
O42	𓊏	Szp
O45	𓊒	ipt
O47	𓊔	nxn
O49	𓊖	niwt
O50	𓊗	zp
O51	𓊘	Snwt
O6	𓉗	Hwt
P4	𓊠	wHa
P5	𓊡	TAw
P5	𓊡	nfw
P6	𓊢	aHa
P8	𓊤	xrw
Q1	𓊨	st
Q2	𓊩	wz
Q3	𓊪	p
Q6	𓊭	qrsw
R1	𓊯	xAwt xAt
R11	𓊽	Dd
R14	𓋀	imnt
R15	𓋁	iAb
R16	𓋃	wx
R22	𓋉	xm
R4	𓊵	Htp
R5	𓊶	kAp
R5	𓊶	kp
R7	𓊸	snTr
R8	𓊹	nTr
R8A	𓊹𓊹𓊹	nTrw
R9	𓊺	bdƒ
S1	𓋑	HDt
S10	𓋜	mDH
S11	𓋝	wsx
S12	𓋞	nbw
S15	𓋣	THn
S18	𓋧	mnit
S19	𓋨	sDAw
S20	𓋩	xtm
S22	𓋫	(a)sT
S23	𓋬	dmD
S24	𓋭	Tz
S26	𓋯	Sndyt
S27	𓋲	mnxt
S29	𓋴	s
S3	𓋓	N
S3	𓋓	dSrt
S30	𓋵	sf
S32	𓋷	siA
S33	𓋸	Tb
S34	𓋹	anx
S35	𓋺	Swt
S37	𓋽	xw
S38	𓋾	HqA
S39	𓋿	awt
S40	𓌀	wAs
S41	𓌁	Dam
S42	𓌂	abA
S42	𓌂	sxm
S42	𓌂	xrp
S43	𓌃	md
S44	𓌄	Ams
S45	𓌅	nxxw
S56	?	K
S6	𓋘	sxmty
S7	𓋙	xprS
S8	𓋚	Atf
S9	𓋛	Swty
T10	𓌔	pD
T11	𓌕	sXr
T11	𓌕	zin
T11	𓌕	zwn
T12	𓌗	Ai
T12	𓌗	Ar
T12	𓌗	rwD
T12	𓌗	rwd
T13	𓌘	rs
T14	𓌙	qmA
T17	𓌝	wrrt
T18	𓌞	Sms
T19	𓌟	qs
T21	𓌡	wa
T22	𓌢	sn
T24	𓌤	iH
T25	𓌥	DbA
T28	𓌨	Xr
T29	𓌩	nmt
T3	𓌈	HD
T31	𓌫	sSm
T34	𓌰	nm
T6	𓌎	HDD
T9	𓌒	pd
U1	𓌳	mA
U10	𓌾	it
U11	𓌿	HqAt
U13	𓍁	Sna
U13	𓍁	hb
U15	𓍃	tm
U16	𓍄	biA
U17	𓍅	grg
U21	𓍉	stp
U22	𓍊	mnx
U23	𓍋	Ab
U24	𓍍	Hmt
U26	𓍏	wbA
U28	𓍑	DA
U31	𓍕	rtH
U32	𓍖	zmn
U33	𓍘	ti
U34	𓍙	xsf
U36	𓍛	Hm
U38	𓍝	mxAt
U6	𓌸	mr
V1	𓍢	100
V12	𓍼	arq
V13	𓍿	T
V14	 𓎀 	Tz
V15	𓎁	iTi
V19	𓎅	TmA
V19	𓎅	XAr
V19	𓎅	mDt
V2	𓍬	sTA
V20	𓎆	10
V20	𓎆	mD
V22	𓎔	mH
V24	𓎗	wD
V26	𓎙	aD
V28	𓎛	H
V29	𓎝	sk
V29	𓎝	wAH
V3	𓍮	sTAw
V30	𓎟	nb
V31	𓎡	k
V32	𓎣	msn
V33	𓎤	sSr
V37	𓎪	idr
V4	𓍯	wAƒ
V5	𓍰	snT
V6	𓍱	sS
V7	𓍲	Sn
W10	𓎺	iab
W11	𓎼	g
W11	𓎼	nzt
W14	𓎿	Hzƒ
W17	𓏃	xnt
W19	𓏇	mi
W2	𓎰	bAs
W22	𓏊	Hnqt
W24	𓏌	nwƒ
W25	𓏎	ini
W3	𓎱	Hb
W9	𓎸	Xnm
X1	𓏏	t
X8	𓏙	di
X8	𓏙	rdi
Y1	𓏛	mDAt
Y3	𓏞	mnhd
Y3	𓏞	zS
Y5	𓏠	mn
Y6	𓏡	ibA
Y8	𓏣	zSSt
Z11	𓏶	imi
Z4	𓏮	y
Z7	𓏲	W
