A 	𓂝	arm	अस aṃs	𒀉 AR
b 	𓃀	boot (leg)	foot, Bein, pod, zapato (shoeᵖ)	𜑾 𜎮 𒉺 PA 𒊺𒉺 še-pa sepi 𒊺𒁍 še-pu 𒉺𒅁𒊒 šap-ru 
č	𓍿	Zeh 	𓎀 toe Topfhalter tongs Zangen 	"? 𜏂	𜑠 ??"
D 	𓏏	dent 	Delle / Tell 	𒌇 𒆕 DU 𜏂 dual D/T
δ 	𓂧 	dast	χειρό (hand) 𓂬 dòrn Daumen thumb ⲧⲏⲃ	𒁕 DA 𐀅 da 
E 	𓇋 	feather	(reed)	"𜎆 𒀀 a? 𒍗 uš₂ ? 𒄀 ?	𒉺 PA pen ?"
F 	𓆑 	ƒ	python	ƒ   𜎆 𜐧𜐟 ?
G 	𓎼     	cask	𓎼 𓎛 𓋴 𓂾 𓄛 | gazelleᵍ  𓃲 𓃴	"𒆕 GAG	?  𓎼 𓂜 𓈖 𓀉  ≈ 𒅕 𒉌 DIG  𓎼 𓂋 𓀁  ≈ 𒄣𒇻 	qu-lu calm   𒌋𒅗𒆪𒁉;𒌋𒅗𒌋𒆪𒁉 #uqūpu ≈ 𓎡 𓇋 𓇋 𓃷 ugubi gibbon 𓎼 𓇋 𓆑 goofy gaboon 𓎼 𓄿 𓆑 Gaffe Qooph "
h 	𓉔	house	Hof 𓉗 hut 	𒂍 ʱÉ 𒂊 ʱE Heim hall 𜑰𜑷𜑶 sH shop > Hof ?
I 	𓇋	Fieder	(feather)	𜎆 𒁁𒋻 páttar feather ☑
J 	𓆓	jungle	(cobra) see q	<> 𒈨𒁍šib-bu 𒋛𒊒 si-ru serpent #šerah horned viper?
K 	𓎡	cup	cauldron	𒅗 KA (ration) qu in 𒊿𒄣 šen-qu Schenke 
L 	𓃭𓏯	lion	 	𒊊 lābu 𓃬 ⋍ 𒊋 𓃮 leopard  𓂋 𓏲 𓃭 #rw  𜏿 𜏻 
M 	𓅓	Musen	(owl) 	𜓚 𒄷 mušen (birdˢ) 𒈠 MA 𒈦 MAŠ 𒈨 ME 𒊩 MUNUS 𒂖 owl 𒀀𒁍𒄷 owl!
N 	𓈖	Nile	 	𒉣 NUN ? 𜑎 𜎂
ϱ 	𓍯 𓏲	бρο όριο 	(wrong rogue)	"≠ 𒋛 horn 𒄘𒉌;𒅗𒉌	gu₂zal"
P 	𓊪	pool	𓈜 (well, pit)	𒇥 pú 𜒔 PU
Q 	𓏘	cairn	 	𒃻 gar 𒄥𒊒𒉡 gur-ru-nu (heap)  𜏌 𜐩
R 	𓂋	ⲣⲟ 👄 рот rot 🔴 	(mouth)	𜏵 𜏳 𜏿 𒅗 raš 𒊕 riš (ration, mouth, head) 𒊑 ri 𐎍 R/L IR 𒅕   <> lip
S 	𓋴	sling	(Sofakissen)	𓋴𜎏𜎊 𒈨 sip ;𒄑𒀸𒋼; 𒄑𒅖𒉈 ĝeš aš-te 𒆹 ašte₂ Gestühl
T 	𓏏 	Tell	𓏏𓏏 tits 𐎘𐎄 ṯid 𓂒𓂒 dual	𜏂 T:Dual 𒃮 ≠ 𒂃  TUḪ, DU₈𒌅𒇻 tulu 𒅕𒌅 ᵇirˢtu
ť ṯ	𓎀	tether	toe see Zeh @ c 𓍿 č	𒋰 TAB 𒋫 TA 𐘳 TA 𐀲 ta  𜑠 ? 𒌋 with ?
u 	𓍢	wrong	𓏲 wrung 𓅱 wren	𒌋 ? 𜎆 ? 𒄷 ḪUⁿ 
V 	𓆑	viper	python	𒈦𒈬 baš-mu
W 	𓅱 𓏲	wren	 	𒄷 ḪUⁿ 𒀫 būruⁿ ? ≠ 𒋼𒀕 unu₂   𜐧𜐟 𜒓 𜒙 𜏡 𜏞 ?
X 	𓎛	ḫelix	 	"𒌑 ʰu₂ ?  𒋻𒌅 	ḫaš-tu  𓈋 𓈉 #ḫst hole, pit 𒁍𒋢 	hyena 𓃤 𓃀 𓋴 "
Y 	𓏭	ee	𓇋 𓇋 	𒀀 ay? 𜎆   
Z 	𓊃 	zys	zusammen com/sym 	"𒉌 ZAL  𒍝 ZA 𜎄 ZO  𒂟 zig-zag 𒋝𒆪𒊒 sik-ku-ru secure 𒍠𒂃	za₃-du₈	zadu 𒄑𒋗𒌋𒌋	ĝeš šu-min₃	šumin	(door) bar  𒍩 ZIZ2"
ä 	𓄿	Aar	(eagle) 	𒀝 AK 𒀀𒅆 ÉR  𜎼𜑁?
Khʳ 	𓐍	Kreis	(gray circle)	"𜑤 Keя 𒆠 KI® 𜏌  𒆳 KUR 𜐩 KA 𓊖	"
Ḫ	𓎛	Ḫelix	helix	"𜐾 Hᵘ 𒌅 	tu ? 𒄘 	gù/KA Gurgel/Kehle/кърга  𓐍 𓐍 𓄈 ≈ 𓎛 𓏏 𓏏 𓄈"
SH 	𓈙	sea sluice 	𓈙𓈇 شط Shatt	"𜑇 𒋥	šita₃	šitan 𒋛 si zieh(wasser) 𒀀	eš₁₀ water(s)"
MN				𜑊
