A1	𓀀
A2	𓀁
A3	𓀂
A4	𓀃
A5	𓀄
A5A	𓀅
A6	𓀆
A6A	𓀇
A6B	𓀈
A7	𓀉
A8	𓀊
A9	𓀋
A10	𓀌
A11	𓀍
A12	𓀎
A13	𓀏
A14	𓀐
A14A	𓀑
A15	𓀒
A16	𓀓
A17	𓀔
A17A	𓀕
A18	𓀖
A19	𓀗
A20	𓀘
A21	𓀙
A22	𓀚
A23	𓀛
A24	𓀜
A25	𓀝
A26	𓀞
A27	𓀟
A28	𓀠
A29	𓀡
A30	𓀢
A31	𓀣
A32	𓀤
A32A	𓀥
A33	𓀦
A34	𓀧
A35	𓀨
A36	𓀩
A37	𓀪
A38	𓀫
A39	𓀬
A40	𓀭
A41	𓀮
A42	𓀯
A42A	𓀰
A42B	𓀱
A43	𓀲
A43A	𓀳
A44	𓀴
A45	𓀵
A46A	𓀶
A46	𓀷
A47	𓀸
A48	𓀹
A49	𓀺
A50	𓀻
A51	𓀼
A52	𓀽
A53	𓀾
A54	𓀿
A55	𓁀
A56	𓁁
A57	𓁂
A58	𓁃
A59	𓁄
A60	𓁅
A61	𓁆
A62	𓁇
A63	𓁈
A64	𓁉
A65	𓁊
A66	𓁋
A67	𓁌
A68	𓁍
A69	𓁎
A73	𓁏
B1	𓁐
B2	𓁑
B3	𓁒
B3B	𓁓
B4	𓁔
B5	𓁕
B6	𓁖
B7	𓁗
B8	𓁘
B9	𓁙
B10	𓁚
B75 𓀏 
C1	𓁛
C2	𓁜
C2A	𓁝
C2B	𓁞
C3	𓁟
C4	𓁠
C5	𓁡
C6	𓁢
C7	𓁣
C8	𓁤
C9	𓁥
C10	𓁦
C10A	𓁧
C11	𓁨
C12	𓁩
C13	𓁪
C14	𓁫
C15	𓁬
C16	𓁭
C17	𓁮
C18	𓁯
C19	𓁰
C20	𓁱
C21	𓁲
C22	𓁳
C23	𓁴
C24	𓁵
D1	𓁶
D2	𓁷
D3	𓁸
D4	𓁹
D5	𓁺
D6	𓁻
D7	𓁼
D8	𓁽
D8A	𓁾
D9	𓁿
D10	𓂀
D11	𓂁
D12	𓂂
D13	𓂃
D14	𓂄
D15	𓂅
D16	𓂆
D17	𓂇
D18	𓂈
D19	𓂉
D20	𓂊
D21	𓂋
D22	𓂌
D23	𓂍
D24	𓂎
D25	𓂏
D26	𓂐
D27	𓂑
D27A	𓂒
D28	𓂓
D29	𓂔
D30	𓂕
D31A	𓂖
D31	𓂗
D32	𓂘
D33	𓂙
D34	𓂚
D34A	𓂛
D35	𓂜
D36	𓂝
D37	𓂞
D38	𓂟
D39	𓂠
D40	𓂡
D41	𓂢
D42	𓂣
D43	𓂤
D44	𓂥
D45	𓂦
D46	𓂧
D46A	𓂨
D47	𓂩
D48	𓂪
D48A	𓂫
D49	𓂬
D50	𓂭
D50_2	𓂮
D50_3	𓂯
D50_4	𓂰
D50_5	𓂱
D50_6	𓂲
D50_7	𓂳
D50_8	𓂴
D50_9	𓂵
D50_V	𓂶
D51	𓂷
D52	𓂸
D52S	𓂹
D53	𓂺
D54	𓂻
D54A	𓂼
D55	𓂽
D56	𓂾
D57	𓂿
D58	𓃀
D59	𓃁
D60	𓃂
D61	𓃃
D62	𓃄
D63	𓃅
D64	𓃆
D65	𓃇
D66	𓃈
D67	𓃉
D67_2	𓃊
D67_3	𓃋
D67_4	𓃌
D67_5	𓃍
D67_6	𓃎
D67_7	𓃏
D67_8	𓃐
D67_9	𓃑
E1	𓃒
E2	𓃓
E3	𓃔
E4	𓃕
E5	𓃖
E6	𓃗
E7	𓃘
E8	𓃙
E8A	𓃚
E9	𓃛
E10	𓃜
E11	𓃝
E11A	𓃞
E12	𓃟
E13	𓃠
E14	𓃡
E15	𓃢
E16	𓃣
E17	𓃤
E18	𓃥
E18A	𓃦
E19	𓃧
E19A	𓃨
E20	𓃩
E20A	𓃪
E21	𓃫
E22	𓃬
E23	𓃭
E24	𓃮
E25	𓃯
E26	𓃰
E27	𓃱
E28	𓃲
E29	𓃳
E29A	𓃴
E30	𓃵
E31	𓃶
E32	𓃷
E33	𓃸
E34	𓃹
E34A	𓃺
E35	𓃻
E35A	𓃼
E36	𓃽
F1	𓃾
F1A	𓃿
F2	𓄀
F3	𓄁
F4	𓄂
F5	𓄃
F6	𓄄
F7	𓄅
F8	𓄆
F9	𓄇
F10	𓄈
F11	𓄉
F12	𓄊
F13	𓄋
F14	𓄌
F15	𓄍
F15A	𓄎
F16	𓄏
F17	𓄐
F18	𓄑
F19	𓄒
F20	𓄓
F21	𓄔
F21A	𓄕
F22	𓄖
F23	𓄗
F24	𓄘
F25	𓄙
F26	𓄚
F27	𓄛
F28	𓄜
F29	𓄝
F30	𓄞
F31	𓄟
F31A	𓄠
F32	𓄡
F33	𓄢
F34	𓄣
F35	𓄤
F36	𓄥
F37	𓄦
F37A	𓄧
F38	𓄨
F39A	𓄩
F39	𓄪
F40	𓄫
F41	𓄬
F42	𓄭
F43	𓄮
F44	𓄯
F45	𓄰
F45A	𓄱
F46	𓄲
F46A	𓄳
F46B	𓄴
F47	𓄵
F48	𓄶
F49	𓄷
F50	𓄸
F51	𓄹
F51A	𓄺
F51B	𓄻
F51C	𓄼
F52	𓄽
F53	𓄾
G1	𓄿
G2	𓅀
G3	𓅁
G4	𓅂
G5	𓅃
G5A	𓅄
G6	𓅅
G7	𓅆
GX	𓅇
GXA	𓅈
G8	𓅉
G9	𓅊
G10	𓅋
G11	𓅌
G11A	𓅍
G12	𓅎
G13	𓅏
G14	𓅐
G15	𓅑
G16	𓅒
G17	𓅓
G18	𓅔
G19	𓅕
G20	𓅖
G20X	𓅗
G21	𓅘
G22	𓅙
G23	𓅚
G24	𓅛
G25	𓅜
G26	𓅝
G26A	𓅞
G27	𓅟
G28	𓅠
G29	𓅡
G30	𓅢
G31	𓅣
G32	𓅤
G33	𓅥
G34	𓅦
G35	𓅧
G36	𓅨
G36A	𓅩
G37	𓅪
G37S	𓅫
G38	𓅬
G39	𓅭
G40	𓅮
G41	𓅯
G42	𓅰
G43	𓅱
G44	𓅲
G45	𓅳
G46	𓅴
G46A	𓅵
G46B	𓅶
G47	𓅷
G48	𓅸
G49	𓅹
G50	𓅺
G51	𓅻
G52	𓅼
G53	𓅽
G54	𓅾
H1	𓅿
H2	𓆀
H3	𓆁
H4	𓆂
H5	𓆃
H6	𓆄
H6A	𓆅
H7	𓆆
H8	𓆇
I1	𓆈
I2	𓆉
I3	𓆊
I4	𓆋
I5	𓆌
I5A	𓆍
I6	𓆎
I7	𓆏
I8	𓆐
I9	𓆑
I9A	𓆒
I10	𓆓
I11	𓆔
I11A	𓆕
I11B	𓆖
I12	𓆗
I13	𓆘
I14	𓆙
I15	𓆚
K1	𓆛
K2	𓆜
K3	𓆝
K4	𓆞
K5	𓆟
K6	𓆠
K7	𓆡
K8	𓆢
L1	𓆣
L2	𓆤
L2A	𓆥
L3	𓆦
L4	𓆧
L5	𓆨
L6	𓆩
L7	𓆫
M1a	𓆬
M1	𓆭
M1A	𓆮
M1B	𓆯
M2	𓆰
M3	𓆱
M3A	𓆲
M4	𓆳
M5	𓆴
M6	𓆵
M7	𓆶
M8	𓆷
M9	𓆸
M10	𓆹
M10A	𓆺
M11	𓆻
M12	𓆼
M12_2	𓆽
M12_3	𓆾
M12_4	𓆿
M12_5	𓇀
M12_6	𓇁
M12_7	𓇂
M12_8	𓇃
M12_9	𓇄
M13	𓇅
M13A	𓇅
M14	𓇆
M15	𓇇
M15A	𓇈
M16	𓇉
M16A	𓇊
M17	𓇋
M17A	𓇌
M18	𓇍
M19	𓇎
M20	𓇏
M21	𓇐
M22	𓇑
M22_2	𓇒
M23	𓇓
M24	𓇔
M25	𓇕
M26_R	𓇖
M26	𓇗
M27A	𓇘
M27	𓇙
M28	𓇚
M29	𓇛
M30	𓇜
M31	𓇝
M31X	𓇞
M32	𓇟
M33	𓇠
M33A	𓇡
M33B	𓇢
M34	𓇣
M35	𓇤
M36	𓇥
M37	𓇦
M37A	𓇧
M38	𓇨
M40	𓇩
M40X	𓇪
M41	𓇫
M42	𓇬
M43	𓇭
M44	𓇮
N1	𓇯
N2	𓇰
N3	𓇱
N4	𓇲
N5	𓇳
N6	𓇴
N7	𓇵
N8	𓇶
N9	𓇷
N10	𓇸
N11	𓇹
N12	𓇺
N13	𓇻
N14	𓇼
N15	𓇽
N16	𓇾
N17	𓇿
N18	𓈀
N18X	𓈁
N18A	𓈂
