Monographs,(gojūon),Digraphs,(yōon),connecting with other systems actually confuses :(,,,,,,
a,i,u,e,o,ya,yu,yo,∅,,
アa ャ,[a],A,,,,,,,,
エe,[e],EI,,,,,,,,
イi,[i],I,,,,,,,,
オo ョ,[o],Oョ  ,又  YOUE ョ O ㄡ OU ,,,,,,,
ウu ュ,[ɯ],Um,,,,,,,,
,,,,,,,,,,
K,,,,,,,,,,
カka,[ka],kali:kraft!,,,,,,,,
キki,[ki],Kippe pq!,,,,,,,,
クku,[kɯ],C G,,G ㄍ,,,,,,
ケke,[ke],C,,,,,,,,
コko,[ko],CoU,,,,,,,,
キャkya,[kʲa],,,,,,,,,
キュkyu,[kʲɯ],,,,,,,,,
キョkyo,[kʲo]S,,,,,,,,,
,,,,,,,,,,
S ソ シ,,小  ⺍ ⺌ 少 心,shǎo xiǎo small,,,,,,,
ソso,[so],,,,,,,,,
シshi,[ɕi],ツ tsu,,,,,,,,
サsa,[sa],Saat,,,,,,,,
スsu,[sɯ], ㅅ ㅊ ㅈ,,,,,,,,
セse,[se],,,,,,,,,
シャsha,[ɕa],,,,,,,,,
シュshu,[ɕɯ],🖑,,,,,,,,
ショsho,[ɕo],👉,,,,,,,,
,,,,,,,,,,
T,,,,,,,,,,
タta,[ta],   多 duor ☽ ,달 tal 🌙 ,tell 𓇹 𓇺 ,,,,,,
テte,[te],, ㅅ ㅊ ㅈ,,,,,,,
チchi,[t͡ɕi],𓇒𓇓    𐦌 ,屮 chè,大太天, ㅅ ㅊ ㅈ,,,,,
ツtsu,[t͡sɯ],~ シshi!,,,,,,,,
トto,[to],トto ㅅTHO ,BU卜  ¬ ⺊ DE,dagger@LinA,+++,,,,,
チャcha,[t͡ɕa],,,,,,,,,
チュchu,[t͡ɕɯ],,予 yú : hand out,有 yǒu ,又 汉 HÀNd ,,,,,
チョcho,[t͡ɕo],手shyond hand,,,,,,,,
,,,,,,,,,,
N,,,,,,,,,,
ナna,[na],𐦌 NE nature ¬ 女 nǚ ,𐦌,,,,,,,
ヌnu,[nɯ],女 nǚ ,,,,,,,,
ネne,[ne],ネ ne ¬ 不 bù,+++,,,,,,,
ノno,[no],ネ ne ≠ 不 bù ノno ¬,,,,,,,,
ニni,[ɲi],𐦊 NIR nilus 𓈖,NI/ER 2*2=4,ニni 二 Ér,2. DU=ER,+++,𐦊,,,
ニャnya,[ɲa],,,,,,,,,
ニュnyu,[ɲɯ],,,,,,,,,
ニョnyo,[ɲo],,,,,,,,,
,,,,,,,,,,
H,,,,,,,,,,
フfu,[ɸɯ],,,,,,,,,
ハha,[ha],bha!,,,,,,,,
ヒhi,[çi],bhi!,,,,,,,,
ヘhe,[he],hEI ㄟ  ,he.ge.ma?,,,,,,,
ホho,[ho],≠xiao,,,,,,,,
ヒャhya,[ça],,,,,,,,,
ヒュhyu,[çɯ],,,,,,,,,
ヒョhyo,[ço],,,,,,,,,
,,,,,,,,,,
M,,,,,,,,,,
マma,[ma],מם?,,,,,,,,
ミmi,[mi],𓈗 mee’ !,,,,,,,,
ムmu,[mɯ],move?,,,,,,,,
メme,[me],𓏶 mix ¬ nix 𓏴 ! ,,,,,,,,
モmo,[mo],毛,,,,,,,,
ミャmya,[mʲa],,,,,,,,,
ミュmyu,[mʲɯ],,,,,,,,,
ミョmyo,[mʲo],,,,,,,,,
,,,,,,,,,,
Y,,,,,,,,,,
ヤya,[ja][n,1  ㄚ 丫,,,,于,yú:in?,,,
ユyu,[jɯ],yuㄐ ,,,,,,,,
ヨyo,[jo],yod! 玉 jade jewel,,,,,,,,
,,,,,,,,,,
R,Èr ニ二儿人入𓂻,,,,,,,,,
ラra,[ɾa],,,,,,,,,
リri,[ɾi],,,,,,,,,
ルru,[ɾɯ],er!,,,,,,,,
レre,[ɾe],,,,,,,,,
ロro,[ɾo],"ri,rai, rund",,,,,,,,
リャrya,[ɾʲa],,,,,,,,,
リュryu,[ɾʲɯ],,,,,,,,,
リョryo,[ɾʲo],,,,,,,,,
,,,,,,,,,,
W,,,,,,,,,,
ワwa,[ɰa],,,,,,,,,
ヰwi,[i][n,2] ㄷㅂ dvi!,,,,,,,,
ヱwe,[e][n,2] ㅋqoe!,,,,,,,,
ヲwo,[o][n,2] ㅋqvo!,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Hiragana,Monographs,(gojūon),,,,,,,,
Digraphs,(yōon),a,i,u,e,o,ya,yu,yo,∅
,,,,,,,,,,
あ,an!,[a],ゃや,ya,[ja],,,,,
い,i,[i],,,,,,,,
う,u,[ɯ],ゅゆ,yu,[jɯ],,,,,
え,e,[e],,,,,,,,
お,on,[o],ょよ,yo,[jo],,,,,
,,,,,,,,,,
,,,,,,,,,,
K,,,,,,,,,,
か,ka,[ka],,Kraft,,,,,,
き,ki,[ki],,,,,,,,
く,ku,[kɯ],,Cu@Sumer!,,,,,,
け,ke,[ke],,,,,,,,
こ,ko,[ko],,<>,く,con?==,,,,
,,,,,,,,,,
S,,,,,,,,,,
し,shi,[ɕi],𓋴 C !,,,,,,,
さ,sa,[sa],しa,,,,,,,
す,su,[sɯ],,,,,,,,
せ,se,[se],Sa < ta ,sein!,,,,,,
そ,so,[so],Z,,,,,,,
,,,,,,,,,,
T,,,,,,,,,,
た,ta,[ta],t+,太,,,,,,
ち,chi,[t͡ɕi],tg 太,looks,like,chi;),,,,
つ,tsu,[t͡sɯ],TC,C-Turned,,,,,,
て,te,[te],Tze,T,,,,,,
と,to,[to],,,,,,,,
,,,,,,,,,,
N,,,,,,,,,,
に,ni,[ɲi],二,2^^,,,,,,
の,no,[no],,!,,,,,,
ぬ,nu,[nɯ],のu,,,,,,,
ね,ne,[ne],のe,,,,,,,
な,na,[na],のた not!,,,,,,,
,,,,,,,,,,
H,,,,,,,,,,
は,ha,[ha],([ɰa],'wa',as,particle),,,,
ひ,hi,[çi],,,,,,,,
ふ,fu,[ɸɯ],FIRE 火 huǒ,,,,,,,
へ,he,[he],([e],as,particle),UND!,,,,
ほ,ho,[ho],,,,,,,,
,,,,,,,,,,
M,,,,,,,,,,
ま,ma,[ma],,,,,,,,
み,mi,[mi],,,,,,,,
む,mu,[mɯ],,,,,,,,
め,me,[me],,,,,,,,
も,mo,[mo],毛,Máo,,,,,,
,,,,,,,,,,
Y,,,,,,,,,,
や,ya,[ja],,,,,,,,
ゆ,yu,[jɯ],,,,,,,,
よ,yo,[jo],,,,,,,,
,,,,,,,,,,
R,,,,,,,,,,
ら,ra,[ɾa],,,,,,,,
り,ri,[ɾi],,,,,,,,
る,ru,[ɾɯ],,,,,,,,
れ,re,[ɾe],,,,,,,,
ろ,ro,[ɾo],,,,,,,,
,,,,,,,,,,
W,,,,,,,,,,
わ,wa,[ɰa],,,,,,,,
ゐ,wi,[(ɰ)i],,,,,,,,
ゑ,we,[(ɰ)e],,,,,,,,
を,wo,[(ɰ)o],,,,,,,,
*,,,,,,,,,,
ん,n,[n,m,ŋ],before,stop,consonants;,[ɴ,ɰ̃],elsewhere
っ,(indicates,a,geminate,consonant),,,,,,
ゝ,(reduplicates,and,unvoices,syllable),,,,,,
ゞ,(reduplicates,and,voices,syllable),,Diacritics,(gojūon,with,(han)dakuten),
