𐨀	A	𑀔 KHA 𐀁 e
𐨁	I	
𐨂	U	
𐨃	VOCALIC R	
𐨅	E	
𐨆	O	
𐨌	LENGTH MARK	
𐨍	DOUBLE RING BELOW	
𐨎	ANUSVARA	
𐨏	VISARGA	
𐨐	KA	𑀔 KHA @ BRAHMI 
𐨑	KHA	C
𐨒	GA	𐘺 Q Gabel ⫝ 
𐨓	GHA	^^
𐨕	CA	ζ za
𐨖	CHA	"𐩮 ṣ ጠ ṭ 𐚩 𐀴·U 𓈙 𓂋 𓃭 𓇶 𐨮 	SSA"
𐨗	JA	YA
𐨙	NYA	𐨞+Y
𐨚	TTA	ZA
𐨛	TTHA	𐘄 TO
𐨜	DDA	
𐨝	DDHA	TA
𐨞	NNA	1 𐩬 nun ነ 
𐨟	TA	D
𐨠	THA	ተ TA
𐨡	DA	D
𐨢	DHA	"D²  TWENTY 𐩅	"
𐨣	NA	 𐩬 nun ነ 
𐨤	PA	P
𐨥	PHA	P
𐨦	BA	𐤐 pē
𐨧	BHA	<> 𐨥PHA 
𐨨	MA	𑀫 M 
𐨩	YA	1A
𐨪	RA	" ר 𐩧 	resh"
𐨫	LA	𐝁 LO
𐨬	VA	𒌋 pha pe
𐨭	SHA	𜑶𜑷 ŠE
𐨮	SSA	𐩮 ṣ ጠ ṭ  𐀴 𓈙 𓂋 𓃭 𓇶  𐨖CHA 
𐨯	SA	𐀰 so
𐨰	ZA	
𐨱	HA	𓎛 Ḫ ≈ ჰ HAE 𐤇 ḫayt
𐨲	KKA	
𐨳	TTTHA	𐋃
𐨴	TTTA	
𐨵	VHA	
𐨸	BAR ABOVE	
𐨹	CAUDA	
𐨺	DOT BELOW	
𐩀	ONE	 ١
𐩁	TWO	٢
𐩂	THREE	٣
𐩃	FOUR	𑁕 tetra
𐩄	TEN	𓎆 ten 𐨡 DA 𐨟 TA
𐩅	TWENTY	"𐨢	DHA 𐨟 TA"
𐩆	ONE HUNDRED	𐤙
𐩇	ONE THOUSAND	
𐩈	ONE HALF	
𐩐	DOT	
𐩑	SMALL CIRCLE	
𐩒	CIRCLE	
𐩓	CRESCENT BAR	
𐩔	MANGALAM	
𐩕	LOTUS	
𐩖	DANDA	
𐩗	DOUBLE DANDA	
𐩘	LINES	
