Code 	Canonical name 	Family 	Scripts 	Other names 	Sort? 	Diacr?
aa 	Afar 	Cushitic 	Latin 	Qafar 		
ab 	Abkhaz 	Abkhaz-Abaza 	Cyril, Georgian, Latin 	Abkhazian, Abxazo 		Yes
ae 	Avestan 	Central Iranian 	Avst, Gujr 	Zend, Old Bactrian 		
af 	Afrikaans 	West Germanic 	Latin, Arab 		Yes 	
ak 	Akan 	Kwa 	Latin 	Twi-Fante, Twi, Fante, Fanti, Asante, Akuapem 		
am 	Amharic 	Ethiopian Semitic 	Ethi 			
an 	Aragonese 	West Iberian 	Latin 			
ar 	Arabic 	Arabic 	Arab, Brai 	Modern Standard Arabic, Standard Arabic, Literary Arabic, Classical Arabic 		Yes
as 	Assamese 	Indo-Aryan 	as-Beng 	Asamiya 		
av 	Avar 	Northeast Caucasian 	Cyril 	Avaric 		Yes
ay 	Aymara 	Aymaran 	Latin 	Southern Aymara, Central Aymara 		
az 	Azerbaijani 	Oghuz 	Latin, Cyril, fa-Arab 	Azeri, Azari, Azeri Turkic, Azerbaijani Turkic, North Azerbaijani, South Azerbaijani, Afshar, Afshari, Afshar Azerbaijani, Afchar, Qashqa'i, Qashqai, Kashkay, Sonqor 		
ba 	Bashkir 	Kipchak 	Cyril 			
be 	Belarusian 	East Slavic 	Cyril 	Belorussian, Belarusan, Bielorussian, Byelorussian, Belarussian, White Russian 	Yes 	Yes
bg 	Bulgarian 	South Slavic 	Cyril 			Yes
bh 	Bihari 	Indo-Aryan 	Deva 			
bi 	Bislama 	creole or pidgin 	Latin 			
bm 	Bambara 	Manding 	Latin 	Bamanankan 		
bn 	Bengali 	Indo-Aryan 	Beng, Newa 	Bangla 		
bo 	Tibetan 	Tibeto-Burman 	Tibet 	Ü, Dbus, Lhasa, Lhasa Tibetan, Amdo Tibetan, Amdo, Panang, Khams, Khams Tibetan, Khamba, Tseku, Dolpo, Humla, Limi, Lhomi, Shing Saapa, Mugom, Mugu, Nubri, Walungge, Gola, Thudam, Lowa, Loke, Mustang, Tichurong 		
br 	Breton 	Brythonic 	Latin 			
ca 	Catalan 	Romance 	Latin 	Valencian 	Yes 	
ce 	Chechen 	Nakh 	Cyril 			Yes
ch 	Chamorro 	Sunda-Sulawesi 	Latin 	Chamoru 		
co 	Corsican 	Italo-Dalmatian 	Latin 	Corsu 		
cr 	Cree 	Algonquian 	Cans, Latin 			
cs 	Czech 	West Slavic 	Latin 		Yes 	
cu 	Old Church Slavonic 	South Slavic 	Cyrs, Glag 	Old Church Slavic 	Yes 	Yes
cv 	Chuvash 	Oghur 	Cyril 			
cy 	Welsh 	Brythonic 	Latin 		Yes 	
da 	Danish 	North Germanic 	Latin 			
de 	German 	West Germanic 	Latin, Latf 	High German, New High German, Deutsch 	Yes 	
dv 	Dhivehi 	Indo-Aryan 	Thaana 	Divehi, Mahal, Mahl, Maldivian 		
dz 	Dzongkha 	Tibeto-Burman 	Tibet 			
ee 	Ewe 	Gbe 	Latin 			
el 	Greek 	Hellenic 	Grek, Braille 	Modern Greek, Neo-Hellenic 	Yes 	
en 	English 	West Germanic 	Latin, Brai, Shaw, Dsrt 	Modern English, New English, Hawaiian Creole English, Hawai'ian Creole English, Hawaiian Creole, Hawai'ian Creole, Polari, Yinglish 	Yes 	
eo 	Esperanto 	constructed 	Latin 		Yes 	
es 	Spanish 	West Iberian 	Latin, Braille 	Castilian, Amazonian Spanish, Amazonic Spanish, Loreto-Ucayali Spanish 	Yes 	
et 	Estonian 	Finnic 	Latin 			
eu 	Basque 	Vasconic 	Latin 	Euskara 		
fa 	Persian 	Southwestern Iranian 	fa-Arab 	Farsi, New Persian, Modern Persian, Western Persian, Iranian Persian, Eastern Persian, Dari, Aimaq, Aimak, Aymaq, Eimak 		Yes
ff 	Fula 	Senegambian 	Latin, Adlm 	Adamawa Fulfulde, Bagirmi Fulfulde, Borgu Fulfulde, Central-Eastern Niger Fulfulde, Fulani, Fulfulde, Maasina Fulfulde, Nigerian Fulfulde, Pular, Pulaar, Western Niger Fulfulde 		
fi 	Finnish 	Finnic 	Latin 	Suomi, Botnian 	Yes 	Yes
fj 	Fijian 	Central-Eastern Oceanic 	Latin 			
fo 	Faroese 	North Germanic 	Latin 			
fr 	French 	Oïl 	Latin, Braille 	Modern French 	Yes 	
fy 	West Frisian 	Frisian 	Latin 	Western Frisian, Frisian 	Yes 	
ga 	Irish 	Goidelic 	Latin 	Irish Gaelic 	Yes 	
gd 	Scottish Gaelic 	Goidelic 	Latin 	Gàidhlig, Highland Gaelic, Scots Gaelic, Scottish 	Yes 	
gl 	Galician 	West Iberian 	Latin 		Yes 	
gn 	Guaraní 	Tupi-Guarani 	Latin 			
gu 	Gujarati 	Indo-Aryan 	Gujr 			
gv 	Manx 	Goidelic 	Latin 	Manx Gaelic 	Yes 	
ha 	Hausa 	West Chadic 	Latin, Arab 		Yes 	Yes
he 	Hebrew 	Canaanite 	Hebr, Phnx, Braille 	Ivrit 		Yes
hi 	Hindi 	Indo-Aryan 	Deva, Kthi, Newa 	Hindavi, Khariboli, Khari Boli, Manak Hindi 		
ho 	Hiri Motu 	creole or pidgin 	Latin 	Pidgin Motu, Police Motu 		
ht 	Haitian Creole 	creole or pidgin 	Latin 	Creole, Haitian, Kreyòl 		
hu 	Hungarian 	Ugric 	Latin, Hung 	Magyar 	Yes 	
hy 	Armenian 	Armenian 	Armn, Braille 	Modern Armenian, Eastern Armenian, Western Armenian 	Yes 	Yes
hz 	Herero 	Bantu 	Latin 			
ia 	Interlingua 	constructed 	Latin 			
id 	Indonesian 	Malayic 	Latin 			
ie 	Interlingue 	constructed 	Latin 	Occidental 		
ig 	Igbo 	Benue-Congo 	Latin 			
