Code 	Canonical name 	Family 	Scripts 	Other names 	Sort? 	Diacr?
aa 	Afar 	Cushitic 	Latn 	Qafar 		
ab 	Abkhaz 	Abkhaz-Abaza 	Cyrl, Geor, Latn 	Abkhazian, Abxazo 		Yes
ae 	Avestan 	Central Iranian 	Avst, Gujr 	Zend, Old Bactrian 		
af 	Afrikaans 	West Germanic 	Latn, Arab 		Yes 	
ak 	Akan 	Kwa 	Latn 	Twi-Fante, Twi, Fante, Fanti, Asante, Akuapem 		
am 	Amharic 	Ethiopian Semitic 	Ethi 			
an 	Aragonese 	West Iberian 	Latn 			
ar 	Arabic 	Arabic 	Arab, Brai 	Modern Standard Arabic, Standard Arabic, Literary Arabic, Classical Arabic 		Yes
as 	Assamese 	Indo-Aryan 	as-Beng 	Asamiya 		
av 	Avar 	Northeast Caucasian 	Cyrl 	Avaric 		Yes
ay 	Aymara 	Aymaran 	Latn 	Southern Aymara, Central Aymara 		
az 	Azerbaijani 	Oghuz 	Latn, Cyrl, fa-Arab 	Azeri, Azari, Azeri Turkic, Azerbaijani Turkic, North Azerbaijani, South Azerbaijani, Afshar, Afshari, Afshar Azerbaijani, Afchar, Qashqa'i, Qashqai, Kashkay, Sonqor 		
ba 	Bashkir 	Kipchak 	Cyrl 			
be 	Belarusian 	East Slavic 	Cyrl 	Belorussian, Belarusan, Bielorussian, Byelorussian, Belarussian, White Russian 	Yes 	Yes
bg 	Bulgarian 	South Slavic 	Cyrl 			Yes
bh 	Bihari 	Indo-Aryan 	Deva 			
bi 	Bislama 	creole or pidgin 	Latn 			
bm 	Bambara 	Manding 	Latn 	Bamanankan 		
bn 	Bengali 	Indo-Aryan 	Beng, Newa 	Bangla 		
bo 	Tibetan 	Tibeto-Burman 	Tibt 	Ü, Dbus, Lhasa, Lhasa Tibetan, Amdo Tibetan, Amdo, Panang, Khams, Khams Tibetan, Khamba, Tseku, Dolpo, Humla, Limi, Lhomi, Shing Saapa, Mugom, Mugu, Nubri, Walungge, Gola, Thudam, Lowa, Loke, Mustang, Tichurong 		
br 	Breton 	Brythonic 	Latn 			
ca 	Catalan 	Romance 	Latn 	Valencian 	Yes 	
ce 	Chechen 	Nakh 	Cyrl 			Yes
ch 	Chamorro 	Sunda-Sulawesi 	Latn 	Chamoru 		
co 	Corsican 	Italo-Dalmatian 	Latn 	Corsu 		
cr 	Cree 	Algonquian 	Cans, Latn 			
cs 	Czech 	West Slavic 	Latn 		Yes 	
cu 	Old Church Slavonic 	South Slavic 	Cyrs, Glag 	Old Church Slavic 	Yes 	Yes
cv 	Chuvash 	Oghur 	Cyrl 			
cy 	Welsh 	Brythonic 	Latn 		Yes 	
da 	Danish 	North Germanic 	Latn 			
de 	German 	West Germanic 	Latn, Latf 	High German, New High German, Deutsch 	Yes 	
dv 	Dhivehi 	Indo-Aryan 	Thaa 	Divehi, Mahal, Mahl, Maldivian 		
dz 	Dzongkha 	Tibeto-Burman 	Tibt 			
ee 	Ewe 	Gbe 	Latn 			
el 	Greek 	Hellenic 	Grek, Brai 	Modern Greek, Neo-Hellenic 	Yes 	
en 	English 	West Germanic 	Latn, Brai, Shaw, Dsrt 	Modern English, New English, Hawaiian Creole English, Hawai'ian Creole English, Hawaiian Creole, Hawai'ian Creole, Polari, Yinglish 	Yes 	
eo 	Esperanto 	constructed 	Latn 		Yes 	
es 	Spanish 	West Iberian 	Latn, Brai 	Castilian, Amazonian Spanish, Amazonic Spanish, Loreto-Ucayali Spanish 	Yes 	
et 	Estonian 	Finnic 	Latn 			
eu 	Basque 	Vasconic 	Latn 	Euskara 		
fa 	Persian 	Southwestern Iranian 	fa-Arab 	Farsi, New Persian, Modern Persian, Western Persian, Iranian Persian, Eastern Persian, Dari, Aimaq, Aimak, Aymaq, Eimak 		Yes
ff 	Fula 	Senegambian 	Latn, Adlm 	Adamawa Fulfulde, Bagirmi Fulfulde, Borgu Fulfulde, Central-Eastern Niger Fulfulde, Fulani, Fulfulde, Maasina Fulfulde, Nigerian Fulfulde, Pular, Pulaar, Western Niger Fulfulde 		
fi 	Finnish 	Finnic 	Latn 	Suomi, Botnian 	Yes 	Yes
fj 	Fijian 	Central-Eastern Oceanic 	Latn 			
fo 	Faroese 	North Germanic 	Latn 			
fr 	French 	Oïl 	Latn, Brai 	Modern French 	Yes 	
fy 	West Frisian 	Frisian 	Latn 	Western Frisian, Frisian 	Yes 	
ga 	Irish 	Goidelic 	Latn 	Irish Gaelic 	Yes 	
gd 	Scottish Gaelic 	Goidelic 	Latn 	Gàidhlig, Highland Gaelic, Scots Gaelic, Scottish 	Yes 	
gl 	Galician 	West Iberian 	Latn 		Yes 	
gn 	Guaraní 	Tupi-Guarani 	Latn 			
gu 	Gujarati 	Indo-Aryan 	Gujr 			
gv 	Manx 	Goidelic 	Latn 	Manx Gaelic 	Yes 	
ha 	Hausa 	West Chadic 	Latn, Arab 		Yes 	Yes
he 	Hebrew 	Canaanite 	Hebr, Phnx, Brai 	Ivrit 		Yes
hi 	Hindi 	Indo-Aryan 	Deva, Kthi, Newa 	Hindavi, Khariboli, Khari Boli, Manak Hindi 		
ho 	Hiri Motu 	creole or pidgin 	Latn 	Pidgin Motu, Police Motu 		
ht 	Haitian Creole 	creole or pidgin 	Latn 	Creole, Haitian, Kreyòl 		
hu 	Hungarian 	Ugric 	Latn, Hung 	Magyar 	Yes 	
hy 	Armenian 	Armenian 	Armn, Brai 	Modern Armenian, Eastern Armenian, Western Armenian 	Yes 	Yes
hz 	Herero 	Bantu 	Latn 			
ia 	Interlingua 	constructed 	Latn 			
id 	Indonesian 	Malayic 	Latn 			
ie 	Interlingue 	constructed 	Latn 	Occidental 		
ig 	Igbo 	Benue-Congo 	Latn 			
ii 	Sichuan Yi 	Loloish 	Yiii 	Nuosu, Nosu, Northern Yi, Liangshan Yi 		
ik 	Inupiak 	Inuit 	Latn 	Inupiaq, Iñupiaq, Inupiatun 		
io 	Ido 	constructed 	Latn 			
is 	Icelandic 	North Germanic 	Latn 			
it 	Italian 	Italo-Dalmatian 	Latn 		Yes 	
iu 	Inuktitut 	Inuit 	Cans, Latn 	Eastern Canadian Inuktitut, Eastern Canadian Inuit, Western Canadian Inuktitut, Western Canadian Inuit, Western Canadian Inuktun, Inuinnaq, Inuinnaqtun, Inuvialuk, Inuvialuktun, Nunavimmiutit, Nunatsiavummiut, Aivilimmiut, Natsilingmiut, Kivallirmiut, Siglit, Siglitun 		
ja 	Japanese 	Japonic 	Jpan, Brai 	Modern Japanese, Nipponese, Nihongo 		
jv 	Javanese 	Sunda-Sulawesi 	Latn, Java 			
ka 	Georgian 	Georgian-Zan 	Geor, Geok, Hebr 	Kartvelian, Judeo-Georgian, Kivruli, Gruzinic 		Yes
kg 	Kongo 	Bantu 	Latn 	Kikongo, Koongo, Laari, San Salvador Kongo, Yombe 		
ki 	Kikuyu 	Bantu 	Latn 	Gikuyu, Gĩkũyũ 		
kj 	Kwanyama 	Bantu 	Latn 	Kuanyama, Oshikwanyama 		
kk 	Kazakh 	Kipchak 	Cyrl, Latn, kk-Arab 			
kl 	Greenlandic 	Inuit 	Latn 	Kalaallisut 		
km 	Khmer 	Mon-Khmer 	Khmr 	Cambodian 		
kn 	Kannada 	Dravidian 	Knda 			
ko 	Korean 	Korean 	Kore, Brai 	Modern Korean 		
kr 	Kanuri 	Saharan 	Latn, Arab 	Kanembu, Bilma Kanuri, Central Kanuri, Manga Kanuri, Tumari Kanuri 	Yes 	Yes
ks 	Kashmiri 	Dardic 	ks-Arab, Deva, Shrd, Latn 	Koshur 		
ku 	Kurdish 	Northwestern Iranian 	Latn, ku-Arab, Armn, Cyrl 			
kw 	Cornish 	Brythonic 	Latn 			
ky 	Kyrgyz 	Kipchak 	Cyrl, Latn, Arab 	Kirghiz, Kirgiz 		
la 	Latin 	Italic 	Latn 			Yes
lb 	Luxembourgish 	West Germanic 	Latn 			
lg 	Luganda 	Bantu 	Latn 	Ganda, Oluganda 	Yes 	Yes
li 	Limburgish 	West Germanic 	Latn 	Limburgan, Limburgian, Limburgic 		
ln 	Lingala 	Bantu 	Latn 	Ngala 		
lo 	Lao 	Southwestern Tai 	Laoo 	Laotian 	Yes 	
lt 	Lithuanian 	Baltic 	Latn 			Yes
lu 	Luba-Katanga 	Bantu 	Latn 			
lv 	Latvian 	Baltic 	Latn 	Lettish, Lett 		Yes
mg 	Malagasy 	East Barito 	Latn 	Betsimisaraka Malagasy, Betsimisaraka, Northern Betsimisaraka Malagasy, Northern Betsimisaraka, Southern Betsimisaraka Malagasy, Southern Betsimisaraka, Bara Malagasy, Bara, Masikoro Malagasy, Masikoro, Antankarana, Antankarana Malagasy, Plateau Malagasy, Sakalava, Tandroy Malagasy, Tandroy, Tanosy, Tanosy Malagasy, Tesaka, Tsimihety, Tsimihety Malagasy, Bushi, Shibushi, Kibushi 		
mh 	Marshallese 	Micronesian 	Latn 		Yes 	
mi 	Maori 	Eastern Polynesian 	Latn 	Māori 		
mk 	Macedonian 	South Slavic 	Cyrl 			Yes
ml 	Malayalam 	Dravidian 	Mlym 			
mn 	Mongolian 	Mongolic 	Cyrl, Mong, Soyo, Zanb 	Khalkha Mongolian 		
mr 	Marathi 	Indo-Aryan 	Deva, Modi 			
ms 	Malay 	Malayic 	Latn, ms-Arab 	Malaysian, Standard Malay 		
mt 	Maltese 	Arabic 	Latn 			
my 	Burmese 	Burmish 	Mymr 	Myanmar 		
na 	Nauruan 	Micronesian 	Latn 	Nauru 		
nb 	Norwegian Bokmål 	North Germanic 	Latn 	Bokmål 		
nd 	Northern Ndebele 	Nguni 	Latn 	North Ndebele 		Yes
ne 	Nepali 	Pahari 	Deva, Newa 	Nepalese 		
ng 	Ndonga 	Bantu 	Latn 			
nl 	Dutch 	West Germanic 	Latn 	Netherlandic, Flemish 	Yes 	
nn 	Norwegian Nynorsk 	North Germanic 	Latn 	New Norwegian, Nynorsk 		
no 	Norwegian 	North Germanic 	Latn 			
nr 	Southern Ndebele 	Nguni 	Latn 	South Ndebele 		Yes
nv 	Navajo 	Apachean 	nv-Latn 	Navaho, Diné bizaad 	Yes 	
ny 	Chichewa 	Bantu 	Latn 	Chicheŵa, Chinyanja, Nyanja, Chewa, Cicewa, Cewa, Cinyanja 	Yes 	Yes
oc 	Occitan 	Romance 	Latn, Hebr 	Provençal, Auvergnat, Auvernhat, Gascon, Languedocien, Lengadocian, Shuadit, Chouhadite, Chouhadit, Chouadite, Chouadit, Shuhadit, Judeo-Provençal, Judeo-Provencal, Judeo-Comtadin 	Yes 	
oj 	Ojibwe 	Algonquian 	Cans, Latn 	Chippewa, Ojibway, Ojibwemowin, Southwestern Ojibwa 		
om 	Oromo 	Cushitic 	Latn, Ethi 	Orma, Borana-Arsi-Guji Oromo, West Central Oromo 		
or 	Oriya 	Indo-Aryan 	Orya 	Odia, Oorya 		
os 	Ossetian 	Scythian 	Cyrl, Geor, Latn 	Ossete, Ossetic, Digor, Iron 		Yes
pa 	Punjabi 	Indo-Aryan 	Guru, pa-Arab 	Panjabi 		Yes
pi 	Pali 	Old Indo-Aryan 	Latn, Brah, Deva, Beng, Sinh, Mymr, Thai, Lana, Laoo, Khmr 		Yes 	Yes
pl 	Polish 	Lechitic 	Latn 		Yes 	
ps 	Pashto 	Pathan 	ps-Arab 	Pashtun, Pushto, Pashtu, Central Pashto, Northern Pashto, Southern Pashto, Pukhto, Pakhto, Pakkhto, Afghani 		
pt 	Portuguese 	West Iberian 	Latn, Brai 	Modern Portuguese 	Yes 	
qu 	Quechua 	Quechuan 	Latn 			
rm 	Romansch 	Rhaeto-Romance 	Latn 	Romansh, Rumantsch, Romanche 		
ro 	Romanian 	Eastern Romance 	Latn, Cyrl 	Daco-Romanian, Roumanian, Rumanian 	Yes 	
ru 	Russian 	East Slavic 	Cyrl, Brai 		Yes 	Yes
rw 	Rwanda-Rundi 	Bantu 	Latn 	Rwanda, Kinyarwanda, Rundi, Kirundi, Ha, Giha, Hangaza, Vinza, Shubi, Subi 		
