A	𐎠	A E O ø	𐎠~ω   phai						
U	𐎢	O U	Ur!						
I	𐎡	I Y EE 𓇌 	𐎹I Y 𐎡 IN!!!						
B	𐎲	B V	ba.ga' = 𐎲𐎥 = big / mega! 𐎁π						
C	𐎨	C/K							
DA	𐎭	D Δ δ z	𐎭δ  𐏁sh  𐏀z   ndh    δade 𐎕𐎏		sade				
DI	𐎮	*aD	*ot rot						
DU	𐎯	DU *?*							
EI	𐎡	EE I	Fei 𓇌 <>  𐎱 𐎛						
FA	𐎳	F / PH	voy 𐎓𐎓 veye						
GA	𐎥	G	𐎓 auG						
GU	𐎦	Ghu š X	𐎓 voyG?						
HA	𐏃	He / sHun	*Huhn *Sun ↔ Hel! *shun		 ‘week’, hapta = sapta @ Sanskrit  				
I	𐎡	I	Fi 𓇌 𐎁 Bi						
JI	𐎪	YI							
JA	𐎩	J	Jan 𐎩♀! 𐎺𐎩 Vian	TJ					
YA	𐎹	YA	ƒ? IG/IC/IK ??						
KA	𐎣	K/C	Ca 𐎕 vs 𐎔 pica						
LA	𐎾	L	↔ 𐎼Ra  𐎎𐎍						
MA	𐎶	aM / Ma	Mata𐎶𐎠𐎫𐎠						
MI	𐎷	Mi?							
MU	𐎸	Mu?	Khm? 𓆎 						
NA	𐎴	N	N, Na, Nia, Naun   vs 𐎡 IN / IL	CN!					
NU	𐎵	NG	AuGN 𐎓𐎓	NV!					
PA	𐎱	P	Π 𐎛 Fi vs 𐎺 Va 𐎻Vi  vs 𐎳 F PH		~𐎫pTa !	𐎱𐎫patar 𐎡	I 𓇌 PHAY EE 𐎔𐎀 / zAI 𐎕𐎀		
KU	𐎤	Qu							
RA	𐎼	Ra	↔ LA 𐎾 𐎍L  ƒIR 𐎛	𐎊					
RU	𐎽	R/L ɽⱤ		𐎕					
SA	𐎿	∑, S,TH		𐎑					
TA	𐎫	*T,TH,D	TWI 𐎫 ↔ 𒍣  est↔esse (sein)	𐎌	𐎱~𐎫pTa 				
TU	𐎬	T* Dou	WT UT	𐎌𐎒𐎃					
THA	𐎰	Th	!? 3?	𐎘					
VA	𐎺	Vau/W/U	-via -ua -uo 𐎆	𐎃					
VI	𐎻	Phi/Ve	Π Pit 𐎈 Pihr?	𐎝					
XA	𐎧	X CS KS	K? 𐎀𐎕za	𐎑					
YA	𐎹	Y	vs 𐎡 I	𐎇					
ZA	𐏀	Z 𓊃	Δ δ vs 𐎭 D 	𐎄					
SHA *ASH  š	𐏁	as, os, us	σ vs ς vs ζ    vs  -ON -ING !!?!	𐎉 					
SSA	𐏂	*d 𐎭 !	𐏂𐎶~dom = -tum 𐎕za	𐎟					
									
									
									
𐎠	66464	103A0	A						
𐎡	66465	103A1	I						
𐎢	66466	103A2	U						
𐎣	66467	103A3	KA						
𐎤	66468	103A4	KU						
𐎥	66469	103A5	GA						
𐎦	66470	103A6	GU						
𐎧	66471	103A7	XA						
𐎨	66472	103A8	CA						
𐎩	66473	103A9	JA						
𐎪	66474	103AA	JI						
𐎫	66475	103AB	TA						
𐎬	66476	103AC	TU						
𐎭	66477	103AD	DA						
𐎮	66478	103AE	DI						
𐎯	66479	103AF	DU						
𐎰	66480	103B0	THA						
𐎱	66481	103B1	PA						
𐎲	66482	103B2	BA						
𐎳	66483	103B3	FA						
𐎴	66484	103B4	NA						
𐎵	66485	103B5	NU						
𐎶	66486	103B6	MA						
𐎷	66487	103B7	MI						
𐎸	66488	103B8	MU						
𐎹	66489	103B9	YA						
𐎺	66490	103BA	VA						
𐎻	66491	103BB	VI						
𐎼	66492	103BC	RA						
𐎽	66493	103BD	RU						
𐎾	66494	103BE	LA						
𐎿	66495	103BF	SA						
𐏀	66496	103C0	ZA						
𐏁	66497	103C1	SHA						
𐏂	66498	103C2	SSA						
𐏃	66499	103C3	HA						
									
𐏈	66504	103C8	AURAMAZDAA						
𐏉	66505	103C9	AURAMAZDAA-2						
𐏊	66506	103CA	AURAMAZDAAHA						
𐏋	66507	103CB	XSHAAYATHIYA						
𐏌	66508	103CC	DAHYAAUSH						
𐏍	66509	103CD	DAHYAAUSH-2						
𐏎	66510	103CE	BAGA						
𐏏	66511	103CF	BUUMISH						
𐏐	66512	103D0	OLD		PERSIAN	WORD	DIVIDER		
𐏑	66513	103D1	OLD		PERSIAN	NUMBER	ONE		
𐏒	66514	103D2	OLD		PERSIAN	NUMBER	TWO		
𐏓	66515	103D3	OLD		PERSIAN	NUMBER	TEN		
𐏔	66516	103D4	OLD		PERSIAN	NUMBER	TWENTY		
𐏕	66517	103D5	OLD		PERSIAN	NUMBER	HUNDRED	VS	Tausend!
