Presiding God	𓇼	Bashkir	Olympians	Aesirs	Etruscan/Roman	Hittite
Bel - 𒀭𒂗	♃	Sky	Zeus/Jupiter	Odin	Tinia/Jupiter	Tarhun
Ea - 𒂗𒆠	♁	Earth	Gaia	Jörð (Jord)	Tellus/Terra	Telipinu
Sīn - 𒂗𒍪	☽	Night	Selene/Luna	Mani	Luna	Arinna (Sun Goddess)
Tamuz - 𒀭𒌉𒍣	♄	Trees	Dionysus	Freyr	Bacchus/Fufluns	Telepinu (vegetation)
Gilgamesh - 𒄑𒂅𒈦	☿	People	Hermes	Loki	Mercury	Istanu
Ishtar - 𒀭𒈹	♀	Heaven	Aphrodite	Frigg	Venus	Shaushka (Ishtar)
Shamash - 𒀭𒌓	☼	Summer	Apollo	Balder	Apollo	Arinna
Marduk - 𒀭𒀫𒌓	𓃾	Day	Zeus	Thor	Jupiter	Tarhun
Nergal - 𒀭𒄊𒀕𒃲	♂	Death	Hades	Hel	Pluto	Nergal (Death)
Papsukkal - 𒀭𒊩𒆠𒋚	🜃	Horses	Poseidon	Sleipnir (Odin's horse)	Neptune	-
Adad - 𒀭𒅎	🜁	Wind	Aeolus	Njord	Venti	Tarhun
Erra - 𒀭𒅕𒊏	🜂	Winter	Boreas	Skadi	Febris	-
Assur - 𒀭𒀸𒋩	🜄	Rain	Zeus	Thor	Jupiter	Tarhun (Storm God)
