# Proto-Elamite CDLI sign name → Unicode character mapping
# Extracted from L2/23-196 (Pandey 2023)
# Format: CDLI_Name<TAB>Char<TAB>U+codepoint
# Total: 1636 signs

1(N01)	𛴀	U+1BD00
1(N01@b)	𛴁	U+1BD01
1(N01@c)	𛴂	U+1BD02
1(N02)	𛴃	U+1BD03
1(N08A)	𛴄	U+1BD04
1(N08B)	𛴅	U+1BD05
1(N14)	𛴆	U+1BD06
1(N14@b)	𛴇	U+1BD07
1(N14@c)	𛴈	U+1BD08
1(N23)	𛴉	U+1BD09
1(N24)	𛴊	U+1BD0A
1(N24@b)	𛴋	U+1BD0B
1(N24@c)	𛴌	U+1BD0C
1(N30C)	𛴍	U+1BD0D
1(N30C@b)	𛴎	U+1BD0E
1(N30C@c)	𛴏	U+1BD0F
1(N30D)	𛴐	U+1BD10
1(N30D@b)	𛴑	U+1BD11
1(N30D@c)	𛴒	U+1BD12
1(N34)	𛴓	U+1BD13
1(N34@b)	𛴔	U+1BD14
1(N39A)	𛴕	U+1BD15
1(N39B)	𛴖	U+1BD16
1(N39B@b)	𛴗	U+1BD17
1(N39B@c)	𛴘	U+1BD18
1(N39C)	𛴙	U+1BD19
1(N45)	𛴚	U+1BD1A
1(N45@b)	𛴛	U+1BD1B
1(N46)	𛴜	U+1BD1C
1(N48)	𛴝	U+1BD1D
1(N51)	𛴞	U+1BD1E
1(N51@b)	𛴟	U+1BD1F
1(N51@c)	𛴠	U+1BD20
1(N51G)	𛴡	U+1BD21
1(N54)	𛴢	U+1BD22
1(N54@b)	𛴣	U+1BD23
1(N54G)	𛴤	U+1BD24
2(N01)	𛴥	U+1BD25
2(N01@b)	𛴦	U+1BD26
2(N14)	𛴧	U+1BD27
2(N30C)	𛴨	U+1BD28
2(N30C@b)	𛴩	U+1BD29
3(N01)	𛴪	U+1BD2A
3(N01@b)	𛴫	U+1BD2B
3(N01@c)	𛴬	U+1BD2C
3(N14)	𛴭	U+1BD2D
4(N01)	𛴮	U+1BD2E
4(N14)	𛴯	U+1BD2F
5(N01)	𛴰	U+1BD30
5(N14)	𛴱	U+1BD31
6(N01)	𛴲	U+1BD32
6(N14)	𛴳	U+1BD33
7(N01)	𛴴	U+1BD34
7(N14)	𛴵	U+1BD35
8(N01)	𛴶	U+1BD36
8(N14)	𛴷	U+1BD37
9(N01)	𛴸	U+1BD38
9(N14)	𛴹	U+1BD39
M001	𛴺	U+1BD3A
M001+M379~c	𛴻	U+1BD3B	𛴺 𜋋
M001+M379~d	𛴼	U+1BD3C	𛴺 𜋌
M001~b	𛴽	U+1BD3D
M002	𛴾	U+1BD3E
M002+M379	𛴿	U+1BD3F	𛴾 𜋊
M002~b	𛵀	U+1BD40
M003	𛵁	U+1BD41
M003~b	𛵂	U+1BD42
M003~b+M379~c	𛵃	U+1BD43	𛵂 𜋋
M003~c	𛵄	U+1BD44
M004	𛵅	U+1BD45
M004~x	𛵆	U+1BD46
M005	𛵇	U+1BD47
M005~a	𛵈	U+1BD48
M006	𛵉	U+1BD49
M006@g	𛵊	U+1BD4A
M006@g~1	𛵋	U+1BD4B
M006@g~2	𛵌	U+1BD4C
M006~b	𛵍	U+1BD4D
M006~b@g	𛵎	U+1BD4E
M007~a	𛵏	U+1BD4F
M007~b	𛵐	U+1BD50
M007~c	𛵑	U+1BD51
M007~d	𛵒	U+1BD52
M009	𛵓	U+1BD53
M009~a	𛵔	U+1BD54
M009~c	𛵕	U+1BD55
M009~d+M346+M009~d	𛵖	U+1BD56	[M009~d?] 𜈽 [M009~d?]
M009~e	𛵗	U+1BD57
M009~f	𛵘	U+1BD58
M009~g	𛵙	U+1BD59
M009~h	𛵚	U+1BD5A
M009~i	𛵛	U+1BD5B
M010	𛵜	U+1BD5C
M010~1	𛵝	U+1BD5D
M010~2	𛵞	U+1BD5E
M010~3	𛵟	U+1BD5F
M010~4	𛵠	U+1BD60
M010~5	𛵡	U+1BD61
