𛴀	N01
𛴁	N01@b
𛴂	N01@c
𛴃	N02
𛴄	N08A
𛴅	N08B
𛴆	N14
𛴇	N14@b
𛴈	N14@c
𛴉	N23
𛴊	N24
𛴋	N24@b
𛴌	N24@c
𛴍	N30C
𛴎	N30C@b
𛴏	N30C@c
𛴐	N30D
𛴑	N30D@b
𛴒	N30D@c
𛴓	N34
𛴔	N34@b
𛴕	N39A
𛴖	N39B
𛴗	N39B@b
𛴘	N39B@c
𛴙	N39C
𛴚	N45
𛴛	N45@b
𛴜	N46
𛴝	N48
𛴞	N51
𛴟	N51@b
𛴠	N51@c
𛴡	N51G
𛴢	N54
𛴣	N54@b
𛴤	N54G
𛴥	2·N01
𛴦	2·N01@b
𛴧	2·N14
𛴨	2·N30C
𛴩	2·N30C@b
𛴪	3·N01
𛴫	3·N01@b
𛴬	3·N01@c
𛴭	3·N14
𛴮	4·N01
𛴯	4·N14
𛴰	5·N01
𛴱	5·N14
𛴲	6·N01
𛴳	6·N14
𛴴	7·N01
𛴵	7·N14
𛴶	8·N01
𛴷	8·N14
𛴸	9·N01
𛴹	9·N14
𛴺	M001	M01 M1
𛴻	M001+M379~c	𛴺 𜋋
𛴼	M001+M379~d	𛴺 𜋌
𛴽	M001~b	M01~b
𛴾	M002	M02
𛴿	M002+M379	𛴾 𜋊M02+M379	𛴾 
𛵀	M002~b	M02~b
𛵁	M003	M03
𛵂	M003~b	M03~b
𛵃	M003~b+M379~c	𛵂 𜋋
𛵄	M003~c	M03~c
𛵅	M004	M04
𛵆	M004~x	M04~x
𛵇	M005	M05
𛵈	M005~a	M05~a
𛵉	M006	M06
𛵊	M006@g	M06@g
𛵋	M006@g~1	M06@g~1
𛵌	M006@g~2	M06@g~2
𛵍	M006~b	M06~b
𛵎	M006~b@g	M06~b@g
𛵏	M007~a	M07~a
𛵐	M007~b	M07~b
𛵑	M007~c	M07~c
𛵒	M007~d	M07~d
𛵓	M009	M09
𛵔	M009~a	M09~a
𛵕	M009~c	M09~c
𛶍	M009~d ≈ M035M09~d ≈ M3
𛵖	M009~d+M346+M009~d	  𛶍𜈽 𛶍
𛵗	M009~e	M09~e
𛵘	M009~f	M09~f
𛵙	M009~g	M09~g
𛵚	M009~h	M09~h
𛵛	M009~i	M09~i
𛵜	M010	M10
𛵝	M010~1	M10~1
𛵞	M010~2	M10~2
𛵟	M010~3	M10~3
𛵠	M010~4	M10~4
𛵡	M010~5	M10~5
𛵢	M010~6	M10~6
𛵣	M010~7	M10~7
𛵤	M011	M11
𛵥	M012	M12
𛵦	M013	M13
𛵧	M014~a	M14~a
𛵨	M014~b	M14~b
𛵩	M015	M15
𛵪	M016	M16
𛵫	M017	M17
𛵬	M018	M18
𛵭	M021	M21
𛵮	M024	M24
𛵯	M024~1	M24~1
𛵰	M024~a	M24~a
𛵱	M025	M25
𛵲	M025~a	M25~a
𛵳	M026~a	M26~a
𛵴	M026~b	M26~b
𛵵	M026~d	M26~d
𛵶	M026~h	M26~h
𛵷	M029	M29
𛵸	M029~a	M29~a
𛵹	M029~b	M29~b
𛵺	M029~c	M29~c
𛵻	M029~d	M29~d
𛵼	M029~e	M29~e
𛵽	M029~k	M29~k
𛵾	M029~l 	M29~l
𛵿	M029~l+N08A	𛵾 𛴄
𛶀	M030~a	M30~a
𛶁	M030~c	M30~c
𛶂	M030~g	M30~g
𛶃	M032	M32
𛶄	M032~a	M32~a
𛶅	M032~b	M32~b
𛶆	M032~d	M32~d
𛶇	M032~e	M32~e
𛶈	M033	M33
𛶉	M033~a	M33~a
𛶊	M033~c	M33~c
𛶋	M034	M34
𛶌	M034~a	M34~a
𛶍	M035	M35
𛶎	M036	M36
𛶏	M036+N14	𛶎 𛴆
𛶐	M036+N24	𛶎 𛴊
𛶑	M036+N24+M343~h	𛶎 𛴊 𜈸
𛶒	M036+N30C	𛶎 𛴍
𛶓	M036+N30C+N39C	𛶎 𛴍 𛴙
𛶔	M036+N30D	𛶎 𛴐
𛶕	M036+N30D~1	𛶎 𛴐
𛶖	M036+N30D+M343~h	𛶎 𛴐 𜈸
𛶗	M036+N39B	𛶎 𛴖
𛶘	M036+N39B+M343~h	𛶎 𛴖 𜈸
