0xA500	ꔀ	EE
0xA501	ꔁ	EEN
0xA502	ꔂ	HEE
0xA503	ꔃ	WEE
0xA504	ꔄ	WEEN
0xA505	ꔅ	PEE
0xA506	ꔆ	BHEE
0xA507	ꔇ	BEE
0xA508	ꔈ	MBEE
0xA509	ꔉ	KPEE
0xA50A	ꔊ	MGBEE
0xA50B	ꔋ	GBEE
0xA50C	ꔌ	FEE
0xA50D	ꔍ	VEE
0xA50E	ꔎ	TEE
0xA50F	ꔏ	THEE
0xA510	ꔐ	DHEE
0xA511	ꔑ	DHHEE
0xA512	ꔒ	LEE
0xA513	ꔓ	REE
0xA514	ꔔ	DEE
0xA515	ꔕ	NDEE
0xA516	ꔖ	SEE
0xA517	ꔗ	SHEE
0xA518	ꔘ	ZEE
0xA519	ꔙ	ZHEE
0xA51A	ꔚ	CEE
0xA51B	ꔛ	JEE
0xA51C	ꔜ	NJEE
0xA51D	ꔝ	YEE
0xA51E	ꔞ	KEE
0xA51F	ꔟ	NGGEE
0xA520	ꔠ	GEE
0xA521	ꔡ	MEE
0xA522	ꔢ	NEE
0xA523	ꔣ	NYEE
0xA524	ꔤ	I
0xA525	ꔥ	IN
0xA526	ꔦ	HI
0xA527	ꔧ	HIN
0xA528	ꔨ	WI
0xA529	ꔩ	WIN
0xA52A	ꔪ	PI
0xA52B	ꔫ	BHI
0xA52C	ꔬ	BI
0xA52D	ꔭ	MBI
0xA52E	ꔮ	KPI
0xA52F	ꔯ	MGBI
0xA530	ꔰ	GBI
0xA531	ꔱ	FI
0xA532	ꔲ	VI
0xA533	ꔳ	TI
0xA534	ꔴ	THI
0xA535	ꔵ	DHI
0xA536	ꔶ	DHHI
0xA537	ꔷ	LI
0xA538	ꔸ	RI
0xA539	ꔹ	DI
0xA53A	ꔺ	NDI
0xA53B	ꔻ	SI
0xA53C	ꔼ	SHI
0xA53D	ꔽ	ZI
0xA53E	ꔾ	ZHI
0xA53F	ꔿ	CI
0xA540	ꕀ	JI
0xA541	ꕁ	NJI
0xA542	ꕂ	YI
0xA543	ꕃ	KI
0xA544	ꕄ	NGGI
0xA545	ꕅ	GI
0xA546	ꕆ	MI
0xA547	ꕇ	NI
0xA548	ꕈ	NYI
0xA549	ꕉ	A
0xA54A	ꕊ	AN
0xA54B	ꕋ	NGAN
0xA54C	ꕌ	HA
0xA54D	ꕍ	HAN
0xA54E	ꕎ	WA
0xA54F	ꕏ	WAN
0xA550	ꕐ	PA
0xA551	ꕑ	BHA
0xA552	ꕒ	BA
0xA553	ꕓ	MBA
0xA554	ꕔ	KPA
0xA555	ꕕ	KPAN
0xA556	ꕖ	MGBA
0xA557	ꕗ	GBA
0xA558	ꕘ	FA
0xA559	ꕙ	VA
0xA55A	ꕚ	TA
0xA55B	ꕛ	THA
0xA55C	ꕜ	DHA
0xA55D	ꕝ	DHHA
0xA55E	ꕞ	LA
0xA55F	ꕟ	RA
0xA560	ꕠ	DA
0xA561	ꕡ	NDA
0xA562	ꕢ	SA
0xA563	ꕣ	SHA
0xA564	ꕤ	ZA
0xA565	ꕥ	ZHA
0xA566	ꕦ	CA
0xA567	ꕧ	JA
0xA568	ꕨ	NJA
0xA569	ꕩ	YA
0xA56A	ꕪ	KA
0xA56B	ꕫ	KAN
0xA56C	ꕬ	NGGA
0xA56D	ꕭ	GA
0xA56E	ꕮ	MA
0xA56F	ꕯ	NA
0xA570	ꕰ	NYA
0xA571	ꕱ	OO
0xA572	ꕲ	OON
0xA573	ꕳ	HOO
0xA574	ꕴ	WOO
0xA575	ꕵ	WOON
0xA576	ꕶ	POO
0xA577	ꕷ	BHOO
0xA578	ꕸ	BOO
0xA579	ꕹ	MBOO
0xA57A	ꕺ	KPOO
0xA57B	ꕻ	MGBOO
0xA57C	ꕼ	GBOO
0xA57D	ꕽ	FOO
0xA57E	ꕾ	VOO
0xA57F	ꕿ	TOO
0xA580	ꖀ	THOO
0xA581	ꖁ	DHOO
0xA582	ꖂ	DHHOO
0xA583	ꖃ	LOO
0xA584	ꖄ	ROO
0xA585	ꖅ	DOO
0xA586	ꖆ	NDOO
0xA587	ꖇ	SOO
0xA588	ꖈ	SHOO
0xA589	ꖉ	ZOO
0xA58A	ꖊ	ZHOO
0xA58B	ꖋ	COO
0xA58C	ꖌ	JOO
0xA58D	ꖍ	NJOO
0xA58E	ꖎ	YOO
0xA58F	ꖏ	KOO
0xA590	ꖐ	NGGOO
0xA591	ꖑ	GOO
0xA592	ꖒ	MOO
0xA593	ꖓ	NOO
0xA594	ꖔ	NYOO
0xA595	ꖕ	U
0xA596	ꖖ	UN
0xA597	ꖗ	HU
0xA598	ꖘ	HUN
0xA599	ꖙ	WU
0xA59A	ꖚ	WUN
0xA59B	ꖛ	PU
0xA59C	ꖜ	BHU
0xA59D	ꖝ	BU
0xA59E	ꖞ	MBU
0xA59F	ꖟ	KPU
0xA5A0	ꖠ	MGBU
0xA5A1	ꖡ	GBU
0xA5A2	ꖢ	FU
0xA5A3	ꖣ	VU
0xA5A4	ꖤ	TU
0xA5A5	ꖥ	THU
0xA5A6	ꖦ	DHU
0xA5A7	ꖧ	DHHU
0xA5A8	ꖨ	LU
0xA5A9	ꖩ	RU
0xA5AA	ꖪ	DU
0xA5AB	ꖫ	NDU
0xA5AC	ꖬ	SU
0xA5AD	ꖭ	SHU
0xA5AE	ꖮ	ZU
0xA5AF	ꖯ	ZHU
0xA5B0	ꖰ	CU
0xA5B1	ꖱ	JU
0xA5B2	ꖲ	NJU
0xA5B3	ꖳ	YU
0xA5B4	ꖴ	KU
0xA5B5	ꖵ	NGGU
0xA5B6	ꖶ	GU
0xA5B7	ꖷ	MU
0xA5B8	ꖸ	NU
0xA5B9	ꖹ	NYU
0xA5BA	ꖺ	O
0xA5BB	ꖻ	ON
0xA5BC	ꖼ	NGON
0xA5BD	ꖽ	HO
0xA5BE	ꖾ	HON
0xA5BF	ꖿ	WO
0xA5C0	ꗀ	WON
0xA5C1	ꗁ	PO
0xA5C2	ꗂ	BHO
0xA5C3	ꗃ	BO
0xA5C4	ꗄ	MBO
0xA5C5	ꗅ	KPO
0xA5C6	ꗆ	MGBO
0xA5C7	ꗇ	GBO
0xA5C8	ꗈ	GBON
0xA5C9	ꗉ	FO
0xA5CA	ꗊ	VO
0xA5CB	ꗋ	TO
0xA5CC	ꗌ	THO
0xA5CD	ꗍ	DHO
0xA5CE	ꗎ	DHHO
0xA5CF	ꗏ	LO
0xA5D0	ꗐ	RO
0xA5D1	ꗑ	DO
0xA5D2	ꗒ	NDO
0xA5D3	ꗓ	SO
0xA5D4	ꗔ	SHO
0xA5D5	ꗕ	ZO
0xA5D6	ꗖ	ZHO
0xA5D7	ꗗ	CO
0xA5D8	ꗘ	JO
0xA5D9	ꗙ	NJO
0xA5DA	ꗚ	YO
0xA5DB	ꗛ	KO
0xA5DC	ꗜ	NGGO
0xA5DD	ꗝ	GO
0xA5DE	ꗞ	MO
0xA5DF	ꗟ	NO
0xA5E0	ꗠ	NYO
0xA5E1	ꗡ	E
0xA5E2	ꗢ	EN
0xA5E3	ꗣ	NGEN
0xA5E4	ꗤ	HE
0xA5E5	ꗥ	HEN
0xA5E6	ꗦ	WE
0xA5E7	ꗧ	WEN
0xA5E8	ꗨ	PE
0xA5E9	ꗩ	BHE
0xA5EA	ꗪ	BE
0xA5EB	ꗫ	MBE
0xA5EC	ꗬ	KPE
0xA5ED	ꗭ	KPEN
0xA5EE	ꗮ	MGBE
0xA5EF	ꗯ	GBE
0xA5F0	ꗰ	GBEN
0xA5F1	ꗱ	FE
0xA5F2	ꗲ	VE
0xA5F3	ꗳ	TE
0xA5F4	ꗴ	THE
0xA5F5	ꗵ	DHE
0xA5F6	ꗶ	DHHE
0xA5F7	ꗷ	LE
0xA5F8	ꗸ	RE
0xA5F9	ꗹ	DE
0xA5FA	ꗺ	NDE
0xA5FB	ꗻ	SE
0xA5FC	ꗼ	SHE
0xA5FD	ꗽ	ZE
0xA5FE	ꗾ	ZHE
0xA5FF	ꗿ	CE
0xA600	ꘀ	JE
0xA601	ꘁ	NJE
0xA602	ꘂ	YE
0xA603	ꘃ	KE
0xA604	ꘄ	NGGE
0xA605	ꘅ	NGGEN
0xA606	ꘆ	GE
0xA607	ꘇ	GEN
0xA608	ꘈ	ME
0xA609	ꘉ	NE
0xA60A	ꘊ	NYE
0xA60B	ꘋ	NG
0xA60C	ꘌ	LENGTHENER
0xA60D	꘍	VAI COMMA
0xA60E	꘎	VAI FULL STOP
0xA60F	꘏	VAI QUESTION MARK
0xA610	ꘐ	NDOLE FA
0xA611	ꘑ	NDOLE KA
0xA612	ꘒ	NDOLE SOO
0xA613	ꘓ	VAI SYMBOL FEENG
0xA614	ꘔ	VAI SYMBOL KEENG
0xA615	ꘕ	VAI SYMBOL TING
0xA616	ꘖ	VAI SYMBOL NII
0xA617	ꘗ	VAI SYMBOL BANG
0xA618	ꘘ	VAI SYMBOL FAA
0xA619	ꘙ	VAI SYMBOL TAA
0xA61A	ꘚ	VAI SYMBOL DANG
0xA61B	ꘛ	VAI SYMBOL DOONG
0xA61C	ꘜ	VAI SYMBOL KUNG
0xA61D	ꘝ	VAI SYMBOL TONG
0xA61E	ꘞ	VAI SYMBOL DO-O
0xA61F	ꘟ	VAI SYMBOL JONG
0xA620	꘠	VAI DIGIT ZERO
0xA621	꘡	VAI DIGIT ONE
0xA622	꘢	VAI DIGIT TWO
0xA623	꘣	VAI DIGIT THREE
0xA624	꘤	VAI DIGIT FOUR
0xA625	꘥	VAI DIGIT FIVE
0xA626	꘦	VAI DIGIT SIX
0xA627	꘧	VAI DIGIT SEVEN
0xA628	꘨	VAI DIGIT EIGHT
