#chinese mnemonics

★Stars 	Chinese 	Pinyin 	Hook 	Meaning
★★★★½	揍	zòu	zuhau (Schlag)	beat up
★★★★	掳走	lǔzǒu	Luchs zog ab	abduct, carry off
★★★★	掳	lǔ	Luchs (Raub), lock in	take captive
★★★½	喷嚏	pēntì	pant sneeze	sneeze
★★★★★	啧	zé	ze ze ze	tsk, disapproval
★★★★	蜗牛	wōniú	worm + horn	snail
★★★★	咳嗽	késou	Keuchhusten, cough	cough
★★★★½	河边	hébiān	riverbank	riverside, riverbank
★★★★	锅	guō	Koch(topf), cauldron, Guss	pot, pan, wok
★★★★	面粉	miànfěn	Mehl fein	flour
★★★	种子	zhǒngzi	Samen, seed	seed
★★★★	隧道	suìdào	souterrain, Tunnel	tunnel
★★★★	带着	dàizhe	take	carrying, bringing along, with (general 'taking' auxiliary: 带着孩子 with the kids)
★★★★★	腼	miǎn	Miene	shy face (only in 腼腆); 月 flesh + 面 face
★★★½	腼腆	miǎntiǎn	mindful maiden	shy, bashful
★★★★★	帽子	màozi	Mütze	hat, cap
★★★★	回到	huídào	return	return to, go back to
★★★★★	恼	nǎo	nerv, annoy	annoyed, angry, vexed
★★★★½	烦恼	fánnǎo	fan noise, annoy	trouble, worry, vexation
★★★★★	惦	diàn	denk (an)	think of, keep in mind, worry about (惦记)
★★★★	婊	biǎo	bitch	prostitute
★★★★	醺	xūn	duhn	drunk
★★★★	茉	mò	jasmine	jasmine
★★★★	梆	bāng	bang!	watchman's rattle
★★★★	镁	měi	magnesium	magnesium
★★★★	檬	méng	lemon	lemon
★★★★	蜿	wān	wind	wriggle, wind
★★★★	媲	pì	pair	match, pair
★★★★	酮	tóng	ketone	ketone
★★★★	嚏	tì	hatschi	sneeze
★★★★	瓮	wèng	Wanne	earthen jar
★★★★★	呸	pēi	pfui!	pah! (spit in contempt)
★★★★	塾	shú	school	private school
★★★★	钡	bèi	barium	barium
★★★★	釜	fǔ	Fass	cauldron
★★★★	讹	é	error	error; extort
★★★★	鳄	è	alligator	crocodile
★★★★	戍	shù	Schutz	garrison
★★★★	台	tái	table	platform, stage
★★★★	塌	tā	tumble	collapse
★★★★★	塔	tǎ	tower	tower, pagoda
★★★★	嗦	suō	saug / suck	suck
★★★★	梭	suō	shuttle	shuttle
★★★★	隧	suì	sous / sub	tunnel
★★★★	绥	suí	soothe	pacify
★★★★★	随	suí	suivre	follow
★★★★	嗽	sòu	cough / sough	cough
★★★★	蜗	wō	worm	snail, slug
★★★★	碘	diǎn	iodine	iodine
★★★★	刁	diāo	diabol	artful, wicked
★★★★	错	cuò	cross (✗)	wrong, mistake
★★★★	翠	cuì	cyan	bluish green
★★★★	衰	shuāi	schwach	weak, decline
★★★★	粗	cū	crude	coarse
★★★★	瓷	cí	China-ware	porcelain
★★★★	辞	cí	ciao	bid farewell, resign
★★★★	串	chuàn	chain	string together
★★★★	船	chuán	Schoner	boat
★★★★	川	chuān	channel	river
★★★★	瞅	chǒu	schau	look
★★★★	充	chōng	charging	fill, charge
★★★★½	瞟	piǎo	floating peek (flüchtig)	glance sideways, peek (目 eye + 票 cf. 漂 float)
★★★★	刨	páo	plane	plane (tool)
★★★★	羔	gāo	goat	lamb, kid
★★★★	氖	nǎi	neon	neon
★★★★★	钵	bō	bowl	alms bowl
★★★★	籽	zǐ	seed	seed
★★★★	悸	jì	jitter	palpitate, afraid
★★★★	墩	dūn	dam / dune	mound, pier
★★★★	吆	yāo	yell	shout
★★★★	揍	zòu	zuhau	beat up
★★★★	锌	xīn	Zinn	zinc
★★★★	蘑	mó	mushroom	mushroom
★★★★	溉	gài	irrigate	irrigate
★★★★	秧	yāng	young	seedling
★★★★★	乓	pāng	bang	bang
★★★★	匾	biǎn	Planke	inscribed board
★★★★	咀	jǔ	chew	chew
★★★★	袄	ǎo	anorak	lined jacket
★★★★★	钠	nà	natrium	sodium
★★★★	呱	gū	guaaa	baby's cry
★★★★	岑	cén	cairn	small hill
★★★★	噗	pū	puhaha	puff, splutter
★★★★	埠	bù	port / Puerto	port, quay
★★★★	胺	àn	amine	amine
★★★★★	肛	gāng	Ausgang	anus
★★★★	筛	shāi	Sieb	sieve
★★★★	骡	luó	mule	mule
★★★★	柿	shì	persimmon	persimmon
★★★★	啃	kěn	gnaw	gnaw
★★★★	拭	shì	swipe	wipe
★★★★★	屎	shǐ	shit	feces
★★★★	咪	mī	miao	sound to call a cat
★★★★	嗨	hāi	hey	hey; alas
★★★★	迸	bèng	beng!	burst forth
★★★★	勺	sháo	Schaufel	spoon, ladle
★★★★	榆	yú	Ulme	elm
★★★★	绫	líng	linen	thin silk
★★★★	幌	huǎng	hanging sign	shop sign
★★★★	辫	biàn	plait	braid
★★★★	矶	jī	jetty	jetty
★★★★	炳	bǐng	bling	bright
★★★★	洼	wā	Weiher	hollow, swamp
★★★★	巍	wēi	way high	towering
★★★★	臀	tún	button (butt)	buttocks
★★★★	褂	guà	coat	coat
★★★★	瀑	pù	pour	waterfall
★★★★	趾	zhǐ	Zeh	toe
★★★★	濒	bīn	beinah	near, on the verge
★★★★	髦	máo	mane	mane; fashionable
★★★★	殆	dài	danger	dangerous; almost
★★★★★	屉	tì	tier	drawer, tier
★★★★	芭	bā	banana	banana plant
★★★★	糙	cāo	coarse	rough, coarse
★★★★	铀	yóu	uranium	uranium
★★★★	赁	lìn	leihen	rent
★★★★	酱	jiàng	jam	sauce, paste
★★★★	婢	bì	bitch	maidservant
★★★★	咦	yí	yiii!	expression of surprise
★★★★	唾	tuò	ptou!	spit, saliva
★★★★	氨	ān	ammonia	ammonia
★★★★	沧	cāng	cyan	blue-green (water)
★★★★	涕	tì	tears	tears, snot
★★★★	栅	zhà	Zaun	fence
★★★★	淌	tǎng	Träne	shed (tears), drip
★★★★	磕	kē	knock	knock, tap
★★★★	慑	shè	shiver	fear, intimidate
★★★★	磅	bàng	pound	pound (weight)
★★★★	窟	kū	Kuhle	cave, hole
★★★★	枉	wǎng	wrong / vain	in vain, wrong
★★★★	歹	dǎi	devil	evil
★★★★	叩	kòu	knock	knock
★★★★	帖	tiē	tight	fit snugly; card
★★★★	砰	pēng	peng	crash, bang
★★★★	喔	ō	oh	oh
★★★★	牟	móu	moo	moo; seek
★★★★	嘎	gā	cackle	cackling sound
★★★★★	啤	pí	beer	beer
★★★★	簿	bù	book	register, notebook
★★★★	嘟	dū	duut / toot	toot, honk
★★★★	碟	dié	dish	dish, plate
★★★★	揉	róu	rub	knead, rub
★★★★	矢	shǐ	shoot	arrow
★★★★	挠	náo	nail	scratch
★★★★	萎	wěi	wither	wither
★★★★	窥	kuī	kuck	peep
★★★★	腥	xīng	stink	fishy smell
★★★★	坪	píng	plain	flat ground
★★★★	砂	shā	Sand	sand, gravel
★★★★	瞥	piē	peek	glance
★★★★	叭	bā	ba! / bang	sharp noise
★★★★	纬	wěi	Weite	latitude
★★★★	澡	zǎo	sauber	bath
★★★★	耘	yún	Unkraut	weed
★★★★	嫉	jí	jealous	jealousy
★★★★	垮	kuǎ	collapse	collapse
★★★★	陋	lòu	low	humble, ugly
★★★★	昼	zhòu	jour	daytime
★★★★	蹄	tí	toe	hoof
★★★★	逛	guàng	going	stroll
★★★★	晒	shài	shine	sun-dry, bask
★★★★★	黛	dài	dye	eyebrow dye, dark
★★★★	叮	dīng	sting	sting
★★★★	垫	diàn	divan	cushion, pad
★★★★	笛	dí	flute	flute
★★★★	诵	sòng	song	recite
★★★★	汁	zhī	juice	juice
★★★★	毙	bì	bye	die, kill
★★★★	豹	bào	leopard	leopard
★★★★	蹲	dūn	down	squat
★★★★	嗓	sǎng	sing	throat, voice
★★★★	劈	pī	Beil	chop, split
★★★★	譬	pì	Beispiel	example
★★★★	塘	táng	Teich	pond
★★★★	杖	zhàng	Stange	cane, staff
★★★★	哇	wa	waaa	wow; crying sound
★★★★	嘻	xī	hihi / giggle	giggle
★★★★	裙	qún	gown	skirt
★★★★	绑	bǎng	bind	tie, bind
★★★★	糕	gāo	cake	cake
★★★★	罐	guàn	can	can, jar
★★★★	姜	jiāng	ginger	ginger
★★★★★	咖	kā	coffee	coffee
★★★★	搏	bó	box	fight
★★★★	砖	zhuān	Ziegel	brick
★★★★	舶	bó	boat	ship
★★★★	躯	qū	Körper	body
★★★★	嚷	rǎng	rant	shout
★★★★	姊	zǐ	Sis	older sister
★★★★	抄	chāo	copy	copy
★★★★	狮	shī	shir (Persian lion)	lion
★★★★	菩	pú	Buddha	Bodhisattva
★★★★	伞	sǎn	sun (shade)	umbrella
★★★★	摊	tān	stand	vendor's stand
★★★★	吁	xū	hush	sigh; implore
★★★★	妮	nī	Nina	girl
★★★★	匠	jiàng	engineer	craftsman
★★★★	誓	shì	swear	oath
★★★★★	筒	tǒng	Tonne	tube, cylinder
★★★★	勉	miǎn	mahnen	exhort
★★★★	卑	bēi	base	low, humble
★★★★	斑	bān	bunt	spotted, variegated
★★★★	羞	xiū	shy	shy, ashamed
★★★★	畏	wèi	oh weh!	fear
★★★★	僧	sēng	Sankt	monk
★★★★★	爹	diē	daddy	dad
★★★★	饱	bǎo	Bauch	full (eaten)
★★★★★	傻	shǎ	Schaf	foolish
★★★★	绳	shéng	Strang	rope
★★★★	柴	chái	char	firewood
★★★★	饲	sì	silage	feed, raise
★★★★	傲	ào	arrogant	proud, arrogant
★★★★	舌	shé	schleck	tongue
★★★★	唬	hǔ	howl	tiger's roar; bluff
★★★★	忽	hū	huh!	suddenly
★★★★	候	hòu	hours	wait
★★★★	喉	hóu	Hals	throat
★★★★	轰	hōng	honk / bang	boom, bang
★★★★	褐	hè	hemp	brown; hemp cloth
★★★★★	鹤	hè	heron	crane
★★★★	涸	hé	hay (dried)	dry up
★★★★	禾	hé	hay	cereal crop
★★★★	何	hé	how?	what, how
★★★★	号	hào	howl	roar; number
★★★★★	嚎	háo	howl	howl
★★★★	豪	háo	hero / huge	heroic, grand
★★★★★	毫	háo	Haar	hair; least
★★★★	航	háng	hangar	navigate, sail
★★★★	碗	wǎn	Wanne	bowl
★★★★	聊	liáo	plauschen	chat
★★★★	忌	jì	jealous	jealous; taboo
★★★★	匹	pǐ	peer / pair	one of a pair; measure word for horses
★★★★	辱	rǔ	rude	insult, disgrace
★★★★★	酷	kù	cool	cool; cruel
★★★★	址	zhǐ	site	site, location
★★★★	霸	bà	boss / pasha	tyrant, overlord
★★★★	瓜	guā	gourd	melon, gourd
★★★★	墓	mù	mort / mausoleum	tomb
★★★★	伐	fá	fell / fäll	cut down
★★★★	豆	dòu	tofu	bean
★★★★	斜	xié	schief	slanting
★★★★	怖	bù	Buh!	fear, terror
★★★★	涂	tú	Tusche / daub	smear, daub
★★★★	赔	péi	pay (damage)	compensate
★★★★	抚	fǔ	Pfote	stroke, comfort
