simplified	traditional	pinyin	added	categories
困	困	kùn	2026-05-08	
初	初	chū	2026-05-08	
廿	廿	niàn	2026-05-08	
安非他明	安非他明	ān fēi tā míng	2026-03-23	
口是心非	口是心非	kǒu shì xīn fēi	2026-03-23	
准备	準備	zhǔn bèi	2026-02-27	
丰富多彩	豐富多彩	fēng fù duō cǎi	2026-01-21	
复兴	復興	fù xīng	2025-12-01	
忌妒	忌妒	jì du	2025-11-11	
与	與	yǔ	2025-11-06	
无与伦比	無與倫比	wú yǔ lún bǐ	2025-11-06	
旁	旁	páng	2025-11-04	
帝	帝	dì	2025-11-04	
朿	朿	cì	2025-11-04	
戊	戊	wù	2025-10-14	
前进	前進	qián jìn	2025-10-04	
页	頁	xié	2025-09-27	
倦色	倦色	juàn sè	2025-09-26	
音调	音調	yīn diào	2025-09-22	
此时	此時	cǐ shí	2025-09-20	
林子	林子	lín zi	2025-09-18	
充满	充滿	chōng mǎn	2025-08-27	
光临	光臨	guāng lín	2025-08-12	
历史	歷史	lì shǐ	2025-08-03	
天使	天使	tiān shǐ	2025-08-03	
弗	弗	fú	2025-07-12	
天马行空	天馬行空	tiān mǎ xíng kōng	2025-06-07	
久	久	jiǔ	2025-05-29	
早晨	早晨	zǎo chen	2025-05-27	
缎	緞	duàn	2025-05-27	
段	段	duàn	2025-05-27	
猛然	猛然	měng rán	2025-05-24	
返	返	fǎn	2025-05-24	
返回	返回	fǎn huí	2025-05-24	
短暂	短暫	duǎn zàn	2025-05-24	
春夏秋冬	春夏秋冬	chūn xià qiū dōng	2025-05-19	
Ｚｅｉｇｅｎ			2025-05-19	
围棋	圍棋	wéi qí	2025-05-18	
窑	窯	yáo	2025-05-18	
豹	豹	bào	2025-05-17	
自个儿	自個兒	zì gě r	2025-05-13	
策	策	cè	2025-05-11	
胸口	胸口	xiōng kǒu	2025-05-10	
无表情	無表情	wú biǎo qíng	2025-05-10	
陆地	陸地	lù dì	2025-05-06	
巨星	巨星	jù xīng	2025-05-04	
一闪而过	一閃而過	yī shǎn ér guò	2025-05-01	
扁	扁	biǎn	2025-04-30	
骗	騙	piàn	2025-04-30	
背包	背包	bēi bāo	2025-04-21	
末儿	末兒	mò r	2025-04-21	
泡沫玻璃	泡沫玻璃	pào mò bō li	2025-04-21	
微弱	微弱	wēi ruò	2025-04-21	
哭泣	哭泣	kū qì	2025-04-13	
端	端	duān	2025-04-13	
衣	衣	yì	2024-08-29	
低头族	低頭族	dī tóu zú	2024-08-25	
禺	禺	yú	2024-07-16	
绳	繩	shéng	2024-07-16	
小镇	小鎮	xiǎo zhèn	2024-06-29	
民兵	民兵	mín bīng	2024-05-12	
黄岩岛	黃岩島	huáng yán dǎo	2024-05-12	
玉兔	玉兔	yù tù	2024-05-12	
回忆	迴憶	huí yì	2024-03-31	
管	管	guǎn	2024-03-23	
到	到	dào	2024-03-23	
足	足	zú	2024-03-23	
捉	捉	zhuō	2024-03-23	
迷茫	迷茫	mí máng	2024-03-23	
季风	季風	jì fēng	2024-03-23	
熏	熏	xūn	2024-03-19	
仁	仁	rén	2024-03-19	
员	員	yuán	2024-03-19	
元勋	元勛	yuán xūn	2024-03-19	
勋	勳	xūn	2024-03-19	
程度	程度	chéng dù	2024-01-31	
态度	態度	tài du	2024-01-31	
制度	制度	zhì dù	2024-01-31	
做作	做作	zuò zuo	2024-01-11	
镰刀	鐮刀	lián dāo	2023-11-29	
汽酒	汽酒	qì jiǔ	2023-11-29	
盟	盟	méng	2023-02-01	
守	守	shǒu	2022-04-29	
环境	環境	huán jìng	2022-04-27	
服	服	fú	2022-04-23	
新冠肺炎	新冠肺炎	xīn guān fèi yán	2022-04-23	
广告	廣告	guǎng gào	2022-03-30	
杆儿	桿兒	gǎn r	2021-11-25	
跪	跪	guì	2021-10-27	
辱	辱	rǔ	2021-10-27	
骄傲	驕傲	jiāo ào	2021-09-24	
告别	告別	gào bié	2020-11-25	
峁	峁	mǎo	2020-08-10	
啰嗦	啰嗦	luō suo	2020-06-24	
五洲	五洲	wǔ zhōu	2020-06-24	
洲	洲	zhōu	2020-06-24	
绿洲	綠洲	lǜ zhōu	2020-06-24	
红尘	紅塵	hóng chén	2020-06-24	
万丈	萬丈	wàn zhàng	2020-06-24	
擦肩而过	擦肩而過	cā jiān ér guò	2020-06-24	
就算	就算	jiù suàn	2020-06-24	
从没	從沒	cóng méi	2020-06-24	
了解	了解	liǎo jiě	2020-06-24	
陌头	陌頭	mò tóu	2020-06-23	
美索不达米亚	美索不達米亞	měi suǒ bù dá mǐ yà	2020-06-23	
母带	母帶	mǔ dài	2020-06-23	
谈何容易	談何容易	tán hé róng yì	2020-06-22	
磨折	磨折	mó zhé	2020-06-22	
勾引	勾引	gōu yǐn	2020-06-22	
承诺	承諾	chéng nuò	2020-06-22	
义无反顾	義無反顧	yì wú fǎn gù	2020-06-22	
拒绝	拒絕	jù jué	2020-06-22	
或许	或許	huò xǔ	2020-06-21	
以为	以為	yǐ wéi	2020-06-21	
解	解	jiě	2020-06-21	
解	解	xiè	2020-06-21	
心灵	心靈	xīn líng	2020-06-21	
交流	交流	jiāo liú	2020-06-21	
担忧	擔憂	dān yōu	2020-06-21	
烦恼	煩惱	fán nǎo	2020-06-21	
刻	刻	kè	2020-06-21	
片刻	片刻	piàn kè	2020-06-21	
沉默	沉默	chén mò	2020-06-21	
向好	向好	xiàng hǎo	2020-06-19	
友情	友情	yǒu qíng	2020-06-18	
录	錄	lù	2020-06-15	
