MEANING,Connecting DE / EN / FR / GR,CHINESE,PIE,SIMILAR / DERIVED,NOTE
brothers/ comrades,Germans,哥 門 gēmen ,,A21 quieri  𓀙,Hier~Ger~Alt  Kuh-arier @ Georgia/ Herman@Armenia   𓌽 Gerste vs Aquaria
bear child,gen(erate) kin(der) @channel,产 chǎn,,,<> beer bear bur bar El-burz birth birds   <> venu/ you/ youth
sehr,, 好生 hǎoshēng,,,
I / we,we,wo 我,,,wo ist/ wo sind? ;)
Thing (holy assembly),Ding (Alten-Rat) Thaiding,丁 Ting / Dīng 厅,*dingir,` dian ≠ 斤 jīn ☉,(♀diang?)  件 jiàn =ding  -> Schranne~Schrein?  	灯 dēng=lamp Unding
∑3 zusam some,san => shuan … 彡巛川山,三  sān,sankh,saint trinity三彡巛川山,sancta 3 vs sin 4 𓇬 si=death   => 3:dra/terra/trans 𓇶
 Jupiter/Shu/Ashur/Sun,saint trinity 三彡巛川shān山,三  sān,Ω𓋩𓋹𓃙𓃶𓋸𓄟,木 mù	杉shān,单 Shàn ~ ☿ 1/7 Godly planets. Which?  木星 mùxīng=Jupiter
some 𓏤𓏤𓏤,s/n s/m,三 sān  num.,𓏪 𓏤𓏤𓏤 𓏼 𓏨 S'men,3 shamnt 𓐍𓂸𓏏,somne ☾☾☾ Samen! 𓇡  'EŠ' 𒀼 <<< +++
each,je/ jeweils,个 ge    各 gè,,,
weil / wegen  Präp.,why,为 [為] wèi,,文 Wén,
wait (service),wait (for s.o.),为 wèi,,卫 wèi,
Master,school Sultan Ashur/ Shu.piter,主 zhǔ,,M23 shu 𓇓 王 Wáng,Kwang 王 ašhur 主 King Kong 龙 lóng kaiserlich
to be/ nun(then),né << mes/mais?,乃 nǎi(s) = sein,nǎis moith,𓁒 𓁓 𓏇 mnøilk,nation/nest/nässen? 女 nǚ nu/ nuckel-milk奶 nǎi=moilk breast
geben : ghaben,hand out,予 yú ,,,
ich,yo io ixo,予 yú  余 yú ,,于 [於] yú in/ bei,vs you
men,Herren,人 rén,,,⽒ clan
rest/ leftovers,junk!,余 yú ,,,
whole,ganz,光 guāng,,,
all (quantity),quanto? tuti!,全体 quántǐ ,quanta,,
8,arabic 8  ba=osch 𓍱,八 bā , ,<<<,Bulle Ba’al
gen.erate zeugen,shoots! nat.chu zeu.gen,出 chū,nat.chur,M23 shu 𓇓,Na.Shun God:
straw,Kau-Heu,刍 chú  芻 ,,艸 (艹) cǎo,das Heu/ sprout = Sproth=Spross
pack,Paket / Ballen,包 bāo,,-> Ballen,巴 bā b p P פ ף 
back of south: north,back (rück),北 bei / puuk, ,脊背 jǐbèi=Rücken !,<> Berg Rücken!!  Gebail!
pile,pile,匹 pǐ,,M35 𓇤 pile 𓊪 phooi     π  ,compile   P6     𓊢 ?
30,san*10,卅 sà,,,
noon,fünf Uhr (0/5 von 10),午 wǔ,uon,un=1st,wu=0/10 5/10 : low/high noon 	五 更 wǔ gēng=5*2 Stunden Wachen
Wache,watch,午 wǔ,,卫 wèi ,午 wǔ Siebte Ziffer der Erdzweige
south,nicht Norden,南 [南] nán,,,
card / carta / map,die Karte ,卡  kǎ,ka-bull?,`K` Ka  𓂓 (D28)                                 ,卡斯滕 Kǎsīténg  Karsten  
wait (watch),wait (watch),卫 wèi,,韦 wéi (have nothing),-> weigh: measure!?
defend,wehren,卫 wèi ,waitch,𓄓 F20 waitcher,T4  watch 𓌉  
sickle 7,Mond Sichel -> 7(sieben),厶 si  xī夕,7,四 sì <> sick,尸 shi = corpse    𓊹  shi.piter?  pei=schief 尺 chǐ R8 <> sick 4
chew mouth,kauen,口  kǒu,,,sumer: kau.chu -> Kau-gummi
opening (mouth),open,口 ou(phon),,,
ego,ego : echo ich=eyo,吾 old: egaa/ ngú/ wú,,,
chew,kau,咀 jǔ  (dshu),,,
district / nation,Gau de   <> Kur?,国 [國] guó,gy,Gōt,das Gut vs Gehöft Cept Satrap/ Hebrew “goy -> Köy
land,Gautal/ gorge,國 guó  (戈 ge + kou),,谷 gǔ   沟 gōu (gorge),gôy@SEM = foreign nation
many,>=2,多 duō,duo,,
got gut,Handsome! schön!,好 hǎo(n)  好 hǎo(d),,𓂧 汉又,I’ve gut Glück!
,schief ,尸 shi 尺 chǐ 斜 xié,,,
