Rank 	Rank 	Character 	Character 	Romanizations 	Notes 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Notes 	Notes 	Notes 
2007	1982	Trad. 	Simp. 	Pinyin 	Meaning 	Wade 	Jyutping 	HK 	Other 	POJ[a] 	Other 	PFS 	Other 	GP 	Other 	Other 	Other 	Old Chinese 	Middle Chinese 	Meaning 
1	2	王 	王 	Wáng 	"King" 	Wang2 	Wong4 	Wong 	Vang 	Ông 	Bong Heng  	Vòng 	Wong 	Uōng 	Wong 	Viet. 	Vương 	*ɢʷaŋ 	Hjwang 	"King" 
2	1	李 	李 	Lǐ 	"Plum" 	Li3 	Lei5 	LeeLi 	Ly 	Lí 	Lee 	Lí 	Lee 	Lî 	Lee 	Viet. 	Lý/Lí 	*C.rəʔ 	LiX 	"Plum" 
3	3	張 	张 	Zhāng 	"Expanding" (bowstring pulling) 	Chang1 	Zoeng1 	Cheung 	CheongChong 	Tiuⁿ (X, Q, K, T)Tioⁿ (Z) 	TeoTeohTio 	Chông 	Chong 	Tong 	CheongThong 	Viet. 	Trương 	*C.traŋ 	Trjang 	"Expanding" (bowstring pulling) 
4	4	劉 	刘 	Liú 	Han Dynasty royalty ; To kill 	Liu2 	Lau4 	Lau 	LaoLou 	Lâu 	LauLowLao 	Liù 	Liew 	Liu 	Lew Lieu 	Viet. 	Lưu 	*mə-ru 	Ljuw 	Han Dynasty royalty ; To kill 
5	5	陳 	陈 	Chén 	"Exhibit", "Old" State of Chen 	Chen2 	Can4 	Chan 	ChunCheanChin 	Tân 	TanTangTing 	chhìn 	chin 	Thín 	ThinChin 	Viet. 	Trần 	*lrin 	Drin 	"Exhibit", "Old" State of Chen 
6	6	楊 	杨 	Yáng 	"Aspen" State of Yang 	Yang2 	Joeng4 	Yeung 	YeongIeongYoung 	Iûⁿ (X, Q, K, T)Iôⁿ (Z) 	YeohYeo Yo Nyo  	Yòng 	YongYeong 	Iōng 	Yeong 	Viet. 	Dương 	*laŋ 	Yang 	"Aspen" State of Yang 
7	8	黃 	黄 	Huáng 	"Yellow" State of Huang 	Huang2 	Wong4 	Wong 	WangVong 	N̂g (X, Q, K, T)Ûiⁿ (Z) 	NgUng Uy  	Vòng 	Wong Bong  	Uōng 	WongFong 	Viet. 	Hoàng/Huỳnh 	*N-kʷˤaŋ 	Hwang 	"Yellow" State of Huang 
8	7	趙 	赵 	Zhào 	 State of Zhao 	Chao2 	Ziu6 	Chiu 	ChuChioJiu 	Tiō (X, Z, K, T)Tiǒ (Q) 	TeoTeoh 	Chhau 	Chau 	Thèu 	CheuChew 	Viet. 	Triệu 	 	 	 State of Zhao 
9	10	吳 	吴 	Wú 	"Loud" State of Wu 	Wu2 	Ng4 	Ng 	Ung, Eng 	Gô͘Ngô͘ (X, Q, K, T) 	Goh 	Ǹg 	Ng 	Ng 	Ng 	Viet. 	Ngô 	*ŋʷˤa 	Ngu 	"Loud" State of Wu 
10	9	周 	周 	Zhōu 	Circumference, Cycle, Week, Surroundings  Zhou dynasty   State of Zhou 	Chou1 	Zau1 	ChowChau 	JaoChauChao 	Chiu 	ChewJew 	Chiû 	ChewChiew 	Tiu 	ChewCheu 	Viet. 	Chu, Châu 	*tiw 	Tsyuw 	Circumference, Cycle, Week, Surroundings  Zhou dynasty   State of Zhou 
11	11	徐 	徐 	Xú 	Slow State of Xu 	Hsü2 	Ceoi4 	Tsui 	ChoiChuiTsua 	Chhî (X, Z, K, T)Sîr (Q) 	CheeCherCheuSwee Ji Jee  	Chhì 	Chi 	Chhié 	CheeChui 	Viet. 	Từ 	*sə.la 	Zjo 	Slow State of Xu 
12	12	孫 	孙 	Sūn 	"Grandson" 	Sun1 	Syun1 	Suen 	Sun 	Sng (X, Q, K, T)Sun (X, Q, K, T)Suiⁿ (Z) 	SngSoon 	Sûn 	Sun 	Sun 	Suen 	Viet. 	Tôn 	*sˤun 	Swon 	"Grandson" 
