Nr	english	normed cuneiform 	word / syllables		PIE
1.212 	earth=ground, soil 	𒉠;𒈬𒊒𒀉;𒈬𒊒𒌦	muru-; mu-ru-it; mu-ru-un	++?	Moor <> Modder mêre mu-ru-it
1.213 	dust 	𒋢𒊌𒈠	su-uk-ma	ok?	xâk 𐭧𐭠𐭪‎ > ˢhak.ma
1.220 	mountain, hill 	𒄠𒉌	am-ni	+++?	moun™
1.270 	shore 	𒊮𒊑𒌓	šà-ri-ut	+++	shore™
1.280 	cave 	𒁺𒊕	du-ráš	™!	door <> duras 𒆢 ᵈḫurru غار‎ ᵈḡār غار‎ ğâr ғор ġor <>  groto печера pečera үңкүр üŋkür
1.310 	water 	𒂄;𒍪𒌌	zul; zu-ul	OK??	quell, aqual, azur; 𒂄 ŠUL ~ Siel sea see ~ sow wa.zul ~ wa.dîr 
1.370 	spring, well 	𒍪𒌌𒆷𒇷	zu-ul.la-li	++?	Quelle
1.320 	sea 	𒄰	kam	<<<	aquam 𒄰𒈨𒌍 aquamaris
1.420 	tree 	𒄷𒊓;𒄷𒊓𒀀	husa; hu-sa; hu-sa-a	+++>	ʰEsche haEsche PIE *Heh₃s-. QED  bush Busch? π.esche
1.430 	wood 	𒄷𒊌;𒄷𒄴𒋗;𒈠𒇻	hu-uk; hu-h-qat; ma-lu	++?	"Hecke, hacked  2. 木林 mulin™ 木头 mùtou madera ໄມ້ mai 𑜉𑜩 may მერქანი merkani 목재  木材 mokjae ""goat-food"""
1.440 	stone, rock 	𒄯;𒌑𒄴𒌝𒈠;𒄴?	har; ú-h-um-ma; h.har.lg, HAR.MEŠ	++	"chert  քար kʿar kʰɑɾ	ढुंगा kerre  ქვა kva ကျောက် kyau' quartz حجر ħája  Ħaġra kura@Peru (Ge)rock"
1.440 	rock 	𒌑𒄴𒌝𒈠	úᶺh-um-ma	<<	rumi камък kamǎk  ថ្ម ᵘtmor スマ suma
1.440 	stone	𒌑𒄴𒌝𒈠	úᶺh-um-ma	^^	𓏠 akmuo スマ suma 𒉌𒌓 ថ្ម tmɑɑ < ថ្ម tmor  tomoki гамачІ gamačІ камък kamǎk kam ка́мень kámjen  ка́мінь káminʹ Kamin akmiņs akmens maen mein @ Breton Mauern
1.520 	sun 	𒈾𒄴𒄷𒌦𒋼;𒈾𒄭𒋾;𒈾𒄷𒋼	na-ˢh-hu-un-te; na-hi-ti; na-hu-te	OK!?	"𒀭𒌓 AN.UTU 𒄷𒌦;𒄷𒉌𒅔	𓇑hun; hu-un; hu-ni-in shine > sun => Tarhunt Tarḫunt Tarḫunz Tarḫunna Teshub"
1.530 	moon 	𒈾𒀊𒅕;𒈾𒎕;	na-ap-ir; na-pir; 	OK???	"𒀭𒌗 AN.buran@Malay  𒈾𒀊𒅕 <> 𒈾𒀊 Nabu ""God"" <> Amun nantu buran bulan bu.lune mnapir >  მთვარე mtvare"
1.530 	moon 	𒀭𒌗 ?	itud 	OK???	𒀭𒌗 AN.ITI <> tide, Zeit 𓇋𓂝𓎛𓌇 𓇋𓎛𓅆  ⲁⲃⲟⲧ ɑouːt  𓇋𓆵𓇳 Iterate  𓇹  𓀭 <> ⲁⲛⲁⲧⲟⲗⲏ anatole 
1.540 	star 	𒈥𒁺	mar-du	++?	Mars! 𒀯 MULti <> Perseus
1.550 	lightning 	𒇻𒊌	luk; lu-uk	++	ligh™
1.590 	rainbow 	𒈠𒀭𒍝𒀜	ma-an-za-at	/	mánakʷan ደመና dämäna ಕಾಮನಬಿಲ್ಲು kāmana manlaa-taŋa …manitra یالمان (yâlemân)
1.610 	light (noun) 	𒄷𒌦;𒄷𒉌𒅔	hun; hu-un; hu-ni-in	ok?	shine / phoine (see bush)
1.630 	shade, shadow 	𒆳𒁕𒆪	šad-da-ku	++	schattig shade{que} 
1.710 	air 	𒋛𒈨𒅔	si-me-in •sai-Г-in	<<<	 𒅎 ᵡIM “wind” ἄνεμος салгын salgın@Turk/Mongol  𓊃 Simon  <?> 𜑰𜎐𜎅 Šimut 𒀭♂
1.750 	rain (noun) 	𒋼𒅁	te-ip	ok?	Tropf drop
1.810 	fire 	𒅆;𒇷𒅎;𒇷𒈪𒅔	lim; li-im; li-mi-in	™	π flame 𓊪 𓂝 𓅱 𓊮 𓏪 🍋 lemon 🚨(lighthouse ⛯)     <<< 𓈎 𓂋 𓂋 𓊮   ⲭⲣⲱⲙ khrōm(i)   le.mi  मि mi Proto-Sino-Tibetan *mej  火  𓏠𓈖 𓄤𓆑𓂋𓉴𓊖 muliro@Bantu
1.852 	burn (vb intrans) 	𒅆;𒈝;𒇷𒅎𒈠𒀸𒉿;𒇷𒅎𒈠𒀝;𒇻𒈬𒌦𒊏	lim-; lum-; li-im-ma-áš-pi; li-im-ma-ak; lu-mu-un-ra	™	flame lime lummern glimmen ge-limmen Lunte *līno- “flax, linen” ligne l'akni
2.210 	man (vs. woman) 	𒁀𒇷𒁁;𒊒𒄴;𒊒𒌑	bali; ba-li-be; ru-h; ru-ú	™+	"Baal,  Herr Ries ""er"" 𐀪 ri 𒊒𒄴 ruh 𒊒𒌑 ruú 人 rén <> LU 𒇽"
??	woman		zana (lady)	+++	жана́ žaná зан@Tajik gyne san 𓊃𓏏𓁐 zant жанчы́на žančýna <> ξανθός xanthos: blond
2.230 	male 	𒁀𒇷𒈾	ba-li-na	™	Baalᵒⁿ
2.240 	female 	𒈬𒄴𒋾𒅕𒊑;𒈬𒄴𒋾𒁁;𒈬𒌉	mu-h-ti-ir-ri; mu-h-ti-be; mu-tur	++	mother!
2.251 	young man (adolescent) 	𒁍𒄷	pu-hu	++	puer(sche)
2.261 	young woman (adolescent) 	𒁍𒄴	pu-h	++	puer
2.270 	child 	𒁍𒄭𒂊;𒈠𒌌;𒈠𒌌𒇷	pu-hi-e; ma-ul; ma-ul-li	<<<	puer; π.chil' 𒄭𒂊? mesul?
2.280 	infant, baby 	𒍢𒅔	zin; zí-in	ok?	𓌢 son, kin™ 𒁶𒋾 <> dumu
2.320 	wife 	𒈬𒋻;𒈬𒋾;𒅕𒋾𒊑;𒊑𒌅;𒊑𒋾;𒊒𒌅;𒊒𒌅;	mu-tar; mu-ti; ir-ti-ri; ri-tu; ri-ti; ru-tu; ru-tú; 	++, ok?	mother, 𐀪𐀴 Urte Grete Rita 𐀪.de 𐀪𐘠 𓈟 𓏏 𓁐 ; 𓌸 𓂋 𓏏
2.350 	father 	𒀜𒁕;𒀜𒋫	atta; ad-da; at-ta	++	𐌰𐍄𐍄𐌰
2.360 	mother 	𒄠𒈠	amma; am-ma	++	Amme
2.410 	son 	𒁍𒄷;𒊒𒄷;𒊕;𒊭𒀝;𒃻𒀝;𒃻𒀝𒄀	pu-hu; ru-hu; šak; ša-ak; šá-ak; šá-ag-gi	++!	𓅭 puer; sonᵏ < Sönke <>  𒋢𒌦𒆠𒅕 su-un-ki-ir /zunki®/ 𓅭𓇳𓊖 Ensi
2.420 	daughter 	𒉺𒀝	pak; pa-ak	!	𓅭ᵏ
2.430 	offspring (son or daughter) 	𒁍𒄷	puhu; pu-hu	++	puer <> 𓅭𓏏 παιδί paidí bata pedo пато́мак patómak пото́мък potómǎk  potomkini
2.440 	brother 	𒄿𒄀	i-gi	™	gigi 哥哥 ᵍhermano
2.450 	sister 	𒋗𒌅	šutu; šu-tú	++	svetu® šuestú®  (𒌅 •ST 𒊺 𒀜 ☑²)
2.480 	grandson 	𒊒𒄷𒃻𒀝𒊑	ru-hu.šá-ak-ri	<<	{groß}Sönke
2.510 	uncle 	𒌷;𒂊𒊑𒊑	eri; e-ri-ri	ok???	< farbror פֿעטער‎ feter Fetter ewythr < fǫðurbróðir < father-brother
2.550 	cousin 	𒄿𒍝	iza; i-za	ok??	<> niece
2.631 	son-in-law (of a woman) 	𒅖𒋾𒊑	iš-ti-ri	<>	<> sister Esther
2.810 	relatives, kinsmen 	𒀀𒀀𒉌𒅁;𒀀𒀀𒉌𒊑	a-a-ni-ip; a-a-ni-ri	++	Ahnen Ahne𓏥 Ahner! Latin anus PIE *h₂en- “ancestor” 
2.910 	I 	𒌋;	u; ù; •Eck	++	Iᶜ
2.920 	you (singular) 	𒉌;𒉡	ni; nu	!!	nǐ 你  an.tu, an.ku
2.942 	we (exclusive) 	𒉌𒅗;𒉡𒆪	ni-ka; nu-ku	++	nous
2.950 	you (plural) 	𒉡𒈪	nu-mi	!!	nǐmen 你门
3.110 	animal 	𒆲;𒆪𒌦	kun; ku-un	<<<++	𓃡 𓃹 •kwn > хайуан ḥēwān ḥayawān canavar կենդանի kendani  гынник gynnik জানোয়ার janoẏar
3.150 	livestock 	𒀸;𒆠𒋾	áš; ki-ti	++?	Aas < Viehs; goat/cattle see kutu
3.160 	pasture 	𒀀𒄴𒅖;𒆠𒁁	ahiš; a-h-iš; ki-bat	ok?	acres; ᵏorbit
3.180 	herdsman 	𒁀𒀜𒅕;𒆪𒂉	ba-at-ir; ku-dúr	ok?	Pater; wärter; cattler guarder
3.200 	cattle (bovine) 	𒆪𒌅	kutu; ku-tu	+++	goat/cattle
3.220 	ox 	𒁍𒌒𒄭𒅔	pu-up-hi-in	<<<<	par…oxen եզն ezn par.hando par.gendus 公牛 gōngniú
3.240 	calf 	𒋾𒆷	tila; ti-la	++++	теля́ teljá теле teľa teļš  vitulus m, vitula f, vitellus m, vitella f < taur
3.250 	sheep 	𒄭𒁺	hidu; hi-du	++?	𒇻 UDU ʰaita < kaṭh goat cattle > •hauðfé < sauðfé ヒチュチ hicuci ʰaŭcá овца́ аўца́ ὄϊς óïs ovis ewes  vs bedot ᵇhidu <> Beduin
3.260 	ram 	𒊐𒁺;𒊐𒌓	ráp-du; ráp-tam	<< OK?	> ram
3.290 	lamb 	𒋡𒊑;𒋡𒊑𒊑	kari; qa-ri; qa-ri-ri	+++	cáera caora ಕುರಿ kuri கொறி koṟi గొఱ్ఱె goṛṛe خَرُوف ḵarūf < capre ჩხური čxuri შხური šxuri 
3.350 	pig 	𒉽𒉿	pap-pi	OK??	papig  𒉽𒉿 pap•POIK pig < pork
3.360 	goat 	𒆠𒅁𒅆;𒆠𒅁𒋗;𒆪𒅁𒋗;𒃻𒄴𒅆𒅅𒈨𒈨	kipšu; kupši; ki-ip-ši; ki-ip-šu; ku-ip-šu; šá-h-ši-ik-me-me	~+	~ carpe
3.370 	he-goat 	𒆪𒈦	kumaš; ku-maš	+++	khímaros χίμαρος 
3.380 	kid 	𒉿𒌅;𒉿𒌅	pitu; pi-tú; pi-tu	+++	𓅭 𓏏 bat , Pete Pute <> puer™
3.410 	horse (equine) 	𒍽𒉿𒆷𒀭	lakpilan; lak-pi-la-an	++++	la'kapilaⁿ *kaballoˢ capall cavallu cheval 𓃗 ~ 𒍽 ḪUŠ pilān Horse pålle polle   
3.450 	foal, colt 	𒁺𒁺;𒁺𒌓𒁺	dudu; du-du; du-ud-du	~?	Stute тиха tih̬a <> milk?
3.460 	ass, donkey 	𒁺𒅁;;𒀉𒊏𒀭𒆪;𒅆𒅆	du-ip; 	ok??	Depp
3.460 	ass, donkey 	𒅆𒅆	ši-ši	+++	a'šiši  ass 
