Nr	english	word / syllables	PIE	normed cuneiform
1.212 	earth=ground, soil 	muru-; mu-ru-it; mu-ru-un		𒈬 𒊒 𒀉; 𒈬 𒊒 𒌦 
1.213 	dust 	su-uk-ma		
1.220 	mountain, hill 	am-ni	moun™	
1.270 	shore 	šà-ri-ut	shore™	
1.280 	cave 	du-ráš	<	
1.310 	water 	zul; zu-ul	quell, aqual, azur	
1.320 	sea 	kam	aquam	
1.370 	spring, well 	zu-ul.la-li	quell	
1.420 	tree 	husa; hu-sa; hu-sa-a	ʰEsche haEsche 	
1.430 	wood 	hu-h-qat; hu-uk; ma-lu	Hecke, hacked  2. 木林 mulin™	
1.440 	stone, rock 	har; ú-h-um-ma; h.har.lg, HAR.MEŠ	"chert  քար kʿar kʰɑɾ	ढुंगा kerre  ქვა kva ကျောက် kyau' quartz حجر‎ ħája  Ħaġra kura@Peru"	
1.520 	sun 	na-h-hu-un-te; na-hi-ti; na-hu-te	Tarhunt Tarḫunt Tarḫunz Tarḫunna Teshub	
1.530 	moon 	na-ap-ir; na-pir; itud?		
1.540 	star 	mar-du	𒀯 MULti	
1.550 	lightning 	luk; lu-uk	ligh™	
1.590 	rainbow 	ma-an-za-at	mánakʷan ደመና dämäna ಕಾಮನಬಿಲ್ಲು kāmana manlaa-taŋa …manitra یالمان‎ (yâlemân)	
1.610 	light (noun) 	hun; hu-un; hu-ni-in	shine	
1.630 	shade, shadow 	šad-da-ku	shade{que}	
1.710 	air 	si-me-in	𓊃 Simon <<<	
1.750 	rain (noun) 	te-ip	Tropf drop	
1.810 	fire 	lim; li-im; li-mi-in	🍋 lemon 🚨(lighthouse ⛯) flame 𓊪 𓂝 𓅱 𓊮 𓏪    <<< 𓈎 𓂋 𓂋 𓊮   ⲭⲣⲱⲙ khrōm(i)   le.mi  मि mi Proto-Sino-Tibetan *mej  火  𓏠𓈖 𓄤𓆑𓂋𓉴𓊖 muliro@Bantu	
1.852 	burn (vb intrans) 	lim-; lum-; li-im-ma-áš-pi; li-im-ma-ak; lu-mu-un-ra	lime	
2.210 	man (vs. woman) 	bali; ba-li-be; ru-h; ru-ú	Baal	
2.230 	male 	ba-li-na	Baalᵒⁿ	
2.240 	female 	mu-h-ti-ir-ri; mu-h-ti-be; mu-tur	mother!	
2.251 	young man (adolescent) 	pu-hu	puer	
2.261 	young woman (adolescent) 	pu-h	puer	
2.270 	child 	pu-hi-e; ma-ul; ma-ul-li	puer; mesul?	
2.280 	infant, baby 	zin; zí-in	𓌢 son, kin™ 𒁶𒋾 <> dumu	
2.320 	wife 	ir-ti-ri; ri-tu; ri-ti; ru-tu; ru-tú; mu-tar; mu-ti	mother, 𐀪𐀴 Urte Grete 𐀪.de 𐀪𐘠	
2.350 	father 	atta; ad-da; at-ta	𐌰𐍄𐍄𐌰	
2.360 	mother 	amma; am-ma	Amme	
2.410 	son 	pu-hu; ru-hu; šak; ša-ak; šá-ak; šá-ag-gi	puer; sonᵏ < Sönke !	
2.420 	daughter 	pak; pa-ak	𓅭ᵏ	
2.430 	offspring (son or daughter) 	puhu; pu-hu	puer	
2.440 	brother 	i-gi	gigi 哥哥	
2.450 	sister 	šutu; šu-tú	svetu® šustú®	
2.480 	grandson 	ru-hu.šá-ak-ri	{groß}Sönke	
2.510 	uncle 	eri; e-ri-ri		
2.550 	cousin 	iza; i-za		
2.631 	son-in-law (of a woman) 	iš-ti-ri	<> sister Esther	
2.810 	relatives, kinsmen 	a-a-ni-ip; a-a-ni-ri	<<	
2.910 	I 	u; ù	I	
2.920 	you (singular) 	ni; nu	nǐ 你  an.tu, an.ku	
2.942 	we (exclusive) 	ni-ka; nu-ku	nous	
2.950 	you (plural) 	nu-mi	nǐmen 你门	
3.110 	animal 	kun; ku-un	<<<<	
3.150 	livestock 	áš; ki-ti	Aas < Viehs; goat/cattle see kutu	
3.160 	pasture 	ahiš; a-h-iš; ki-bat		
3.180 	herdsman 	ba-at -ir; ku-dúr	Pater; cattler	
3.200 	cattle (bovine) 	kutu; ku-tu	goat/cattle	
3.220 	ox 	pu-up-hi-in	par… <<	
3.240 	calf 	tila; ti-la	< taur	
3.250 	sheep 	hidu; hi-du		
3.260 	ram 	ráp-du; ráp-tam	> ram	
3.290 	lamb 	kari; qa-ri; qa-ri-ri	< capri	
3.350 	pig 	pap-pi	papig	
3.360 	goat 	kipšu; kupši; ki-ip-ši; ki-ip-šu; ku-ip-šu; šá-h-ši-ik-me-me	~ carpe	
3.370 	he-goat 	kumaš; ku-maš	khímaros χίμαρος 	
3.380 	kid 	pitu; pi-tú; pi-tu	Pute <> puer™	
3.410 	horse (equine) 	lakpilan; lak-pi-la-an	XXX	
3.450 	foal, colt 	dudu; du-du; du-ud-du	тиха tih̬a <> milk?	
3.460 	ass, donkey 	du-ip; tranku; it-ra-an-ku; ši-ši	a'šiši 	
3.470 	mule 	paha; pa-ha	Pack{Esel}	
3.500 	fowl 	zamama; za-ma-ma	zu-Mama --	
3.540 	hen 	rum; ru-um	𓅱𓍢𓏲 •rwm>rwn	
3.560 	goose 	hi-pu-ur; ip-pu-ur	<> Puer 𓅭	
3.570 	duck 	šu-da-ba	<<<<<<<<<<<<<<<<<	
3.580 	nest 	hu-pi-e		
3.581 	bird 	ti-ut	𓅂 tyw™ tweet Tier	
3.584 	eagle 	ba-zi-zi; ba-iz-zí-zí	buzzard	
3.592 	parrot 	qa-iš-ba-h	???	
3.610 	dog 	hal-ki-ni	𒌨 ḪUL.κύon 犬 quǎn chien	
3.710 	wolf 	duma; du-ma		
3.780 	camel 	zibbaru; zib-ba-ru	zebra	
3.815 	scorpion 	lahi; la-hi	<> yolo ϭⲗⲏ clē ಚೇಳು cēḷu	
3.840 	worm 	za-na-bu-na	šin-bend 𓋴 𓃀 𓇋 𓆚 serpent 𓆑 𓈖 𓍿 𓆙 	
3.850 	snake 	šin; ši-in-pi; šim-bi	šinᵏ snake šin-bend 𓋴 𓃀 𓇋 𓆚 serpent	
4.120 	skin, hide 	ha-te-en	Häuten hides	
4.130 	flesh 	i-iš-ti	osteo?	
4.140 	hair (head) 	*ku-na; še-e	shair	
4.150 	blood 	san; sa-an	𓊃 𓈖 𓆑 𓅱 𓂐 sangue 𒊕 SAĜ 𒅘	
4.170 	horn 	kassu; qa-as-su; kás-su	𓈎 𓋴 𓌟 Кость < qars	
4.200 	head 	ukku; uk-ku; uk-gi; ukku.e	"Icke 1. ek <> egg 𓆇  KA 𒅗 kǒu 口 𒅴 KU2 | 𒅥 | খা kau 
"	
4.210 	eye 	el; el-ti	œil œil™ al.TI 𒋾  <> 𒅆 IGI	
4.220 	ear 	siri; si-ri	s'hear	
4.230 	nose 	ši-um-me; šim.e	𓋴 𓈖 𓂉 𓀁 <> smell	
4.260 	tongue 	tit; ti-ut	𓏏𓄓 ≠ tooth	
4.270 	tooth 	sihhan; si-h-ha	Zahn	
4.280 	neck 	ti-pi	𓁶 𓊪 tip,top	
4.330 	hand 	kir-; kur-; ki-ir-pi; kur-pi	𓎼 𓄿 𓃀 𓂢 ⋆carp! ⲕⲁϩ 𓐍 𓂋 𓊪 𓂥   手 shǒu 	
4.344 	fingernail 	pur; pu-ur	"парнягӱ́ч	pɑrnʲɑɡyˑt͡ʃ ფრჩხილი pʰrt͡ʃʰxili  paznokieć <> part/𓃀?"	
4.370 	foot 	pat; ba-at; pa-at	𓃀𓂾 pede pod …	
