𐀆	-de	-δε	de	allative/demonstrative
𐀖	-mi	-μιν	him man	him/her
𐀠	-pi	-φι	who wer wie was wem wen	instrumental/ablative case
𐀤	qe	 (>εγχέω)	que	and
𐀳	te	 (>Σελινούς;)	?	
𐀀𐀆𐀳	aⁿde-te	ανδετήρ	??	binder (>άνδημα= head-band)
𐀀𐀆𐀳𐀩	aⁿ-de-te-re	ανδετήρες		binder (>άνδημα= head-band)
𐀀𐀇𐀪𐀊𐀠	aⁿ-di-ri-ja-pi	ανδρίαφι	andriaphe?	 (decorated) with men
𐀀𐀇𐀪𐀊𐀠𐀤	aⁿ-di-ri-ja-pi-qe	ανδρίαφι		 (decorated) with men
𐀀𐀇𐀪𐀊𐀳	aⁿ-di-ri-ja-te	ανδριάντει		 (decorated) with men
𐀀𐀇𐀪𐀊𐀳𐀤	aⁿ-di-ri-ja-te-qe	ανδριάντει		 (decorated) with men
𐀀𐀇𐀪𐀍	aⁿ-di-ri-jo	ανδρίος (>άνερ)		 (decorated) with men
𐀀𐀁𐀴𐀵	aⁿ-e-ti-to	αέθιστος (>εθίζω;)	a¬…	not used?
𐀀𐀊𐀕𐀙	a-ja-me-na	αιασμένα	<<	inscribed/decorated
𐀀𐀊𐀕𐀜	a-ja-me-no	αιασμένoς		inscribed/decorated
𐀀𐀏𐀨𐀜	a-ka-ra-no	ακάρανος		 (>άκαρα= legs/kara= head)
𐀀𐀏𐀯𐀍𐀚	a-ka-si-jo-ne	Ακασιόνει (Ακάσιον)	Akkaδion	place name
𐀀𐀏𐀹𐀊𐀆	a-ka-wi-ja-de	ΑχαιFίανδε (ΑχαιFία)	^^	place name
𐀀𐀏𐀺	a-ka-wo	ΑχαιFός	Ahaivia 𓈉 𓌙 𓀀 𓈓	personal/ethnic name of ‘Ahaivia’
𐀀𐀐𐀍𐀍	a-ke-jo-jo	Αργείοιο (Αργείος)	Argos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Argos’
𐀀𐀐𐀃	a-ke-o	Αργείοιο (Αργείος)	Argos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Argos’
𐀀𐀐𐀩	a-ke-re	αγείρει (ν)	<<	to collect
𐀀𐀐𐀩𐀷	a-ke-re-wa	ΑγρέFα	Agrefa 𓈉	place name (fem. of ‘Agreus’?)
𐀀𐀐𐀩𐀷𐀆	a-ke-re-wa-de	ΑγρέFανδε	Agrefa 𓈉	place name (fem. of ‘Agreus’?)
𐀀𐀐𐀩𐀷𐀤	a-ke-re-wa-qe	ΑγρέFα	Agrefa 𓈉	place name (fem. of ‘Agreus’?)
𐀀𐀐𐀩𐀹𐀊	a-ke-re-wi-ja	ΑγρέFιος	Agrefa 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Agrefa’
𐀀𐀐𐀩𐀹𐀍	a-ke-re-wi-jo	ΑγρέFιος	Agrefa 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Agrefa’
𐀀𐀐𐀫	a-ke-ro	άγγελος	angelo @ anchor?	messenger
𐀀𐀐𐀀𐀐𐀁	a-ke-a-ke-e	άγει	<<<>>>	to send
𐀀𐀐𐀳𐀩	a-ke-te-re	αγέτερες	asketreiai!	official title/occupation  (see also ‘asketreiai’)
𐀀𐀐𐀴𐁈	a-ke-ti-ra2	ασκητριάων	??	decorators?  (fem.)
𐀀𐀐𐀴𐁈𐀃	a-ke-ti-ra2-o	ασκητριάων		decorators?  (fem.)
𐀀𐀐𐀴𐀪𐀊	a-ke-ti-ri-ja	ασκήτριαι		decorators?  (fem.)
𐀀𐀑𐁀𐀪𐀊𐀆	a-ki-a2-ri-ja-de	Αιγιhάλιανδε (Αιγιhάλια)	'Aigi''Haliande <<'	place name
