word,transcription,definition,note
-𐁐-𐀵-𐀜,*18-to-no,•anthroponym ,
-𐁒-𐀊-𐀫,*22-ja-ro,•meaning obscure; anthroponym? ,
-𐁒-𐀪-𐀲-𐀫,*22-ri-ta-ro,•anthroponym ,
-𐁓-𐀐-𐀳-𐀯,*34-ke-te-si,•anthroponym or theonym receiving offerings dative plural ,
-𐁓-𐀿,*34-zo,•anthroponym KN Da: tu-ni-ja KN Da: OVIS ,
-𐁔-𐀅,*47-da,plausible toponym •toponym ⇔ Ἁλαί Ἀλαι (where *47 = a4) Myc. -d- and Classical -λ- is irregular though it is attested elsewhere as is da-pu2-ri-to-jo •toponym? •allative of *47-da,
-𐁔-𐀓-𐀵-𐀆,*47-ku-to-de,•toponym allative ⇔ Ἄκυτος (where *47 = a4) a small island near Crete; its sister island Καῦδα has been proposed for ka-u-da on KN Fs 21. •toponym allative,
-𐁔-𐀰-𐀆,*47-so-de,•toponym allative ⇔ Ἄσος (where *47 = a4) on Crete which has a sanctuary of Zeus Asios •toponym allative KN Fh: e-ra-deallative KN Fh: OLE,
-𐁔-𐀴-𐀍,*47-ti-jo,•anthroponym KN K: a-ro-we me-wo-ni-jo anthroponym KN V: a-nu-mo anthroponym ja-ma-ra [[po-mi-ni-jo]] ta-za-ro anthroponym [[wa-du-na]] ,
-𐁕-𐀺,*49-wo,•anthroponym ,
-𐁖-𐀂-𐀴,*56-i-ti,•dative? theonym? •variant spelling of *56-i-ti ,
-𐁖-𐀉-𐀝-𐀏,*56-du-nu-ka,•anthroponym KN Da: do-ti-ja KN Dv: ra-to KN Da KN Dv: OVIS ,
-𐁖-𐀒-𐀸,*56-ko-we,•toponym •toponym   Appears as ki-nu-qa *56-ko-we on KN Ap 618+. Appears with sa-qa-re-jo on two KN Dl tablets. Appears as *56-ko-we / o-pi on KN Le 5646+. *56-ko-we (KN Db): ru-ki-totoponym *56-ko-we-e (KN Dl): e-ratheonym or toponym *56-ko-we-i (KN Dn): da-*22-totoponym *56-ko-we-i (KN Dm): e-ko-sotoponym LUNA: KN G M: KN Ga MUL: KN Ap OVIS: KN Da KN Db KN Dc KN Dd KN Df KN Dl KN Dn KN Dv TELA+TE: KN Le a-ra-si-jo: KN Df a-ze-ohapax: KN Dv a3-ta-ro-we?ro-u-so: KN Da da-ra-mu-rohapax: KN Dc ka-ptehapax: KN Df ka-*56-nohapax: KN Df ke-to (u-ta-jo): KN Da ki-nu-qahapax: KN Ap no-da-ro: KN Dc o-wi-rohapax: KN Dd sa-nu-we-tahapax: KN Db wi-na-joe-ra ra-su-to ru-ki-to: KN Db wi-*65-te-uhapax: KN Dc  van Alfen Peter G. A Companion to Linear B: Mycenaean Greek Texts and their World (ed. Yves Duhoux & Anna Morpurgo-Davies) The Linear B Inscribed Vases,
-𐁖-𐀡-𐀰,*56-po-so,•anthroponym? ,
-𐁖-𐀨-𐀓-𐀊,*56-ra-ku-ja, presumably refers to the colour of the cloths; if identical with pa-ra-ku-ja it could perhaps be compared to terms like σμάραγδος 'emerald' or βαρακίς γλαύκινον ἱμάτιον 'bluish green piece of cloth' (Hesychius) (??) with pa-ra-ku- colour •nominative plural neuter description of textiles ⇔ pa-ra-ku-ja ,
-𐁖-𐀪-𐀵,*56-ri-to,•anthroponym OVIS: KN Db ru-ki-to: KN Db ,
-𐁖-𐀬-𐀸,*56-ru-we, probable anthroponym Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World “Mycenaean Anthology”,
-𐁖-𐁊,*56-ro2,•anthroponym ,
-𐁗-𐀳-𐀨-𐀆,*63-te-ra-de, toponym VIN: TH Gp ,
-𐁚-𐀆,*82-de,•anthroponym ,
𐁁-𐀏-𐀭-𐀔,ai-ka-sa-ma,points heads,<> arrows?
𐁁-𐀭,ai-sa,portion,
𐁁-𐀼,ai-za,goat,αἶγες
𐀟,pe,last years,•past part port 𓉐
𐀡-𐀴-𐀛-𐀀,Po-ti-ni-a,goddess surname,√Potentza
𐀤,qe,and,
𐀀-35-𐀏,a-*35-ka,•adjective describing textiles? ,
𐀀-35-𐀵,a-*35-to,•adjective describing textiles? ,
𐀀-𐀁-𐀅-𐀈-𐀫,a-e-da-do-ro,•anthroponym KN F: a-me-ja anthroponym a-ta-ti-nuhapax anthroponym KN Sc: ku-ru-me-no anthroponym po-*34-wi-dohapax anthroponym KN Sc: BIG ,
𐀀-𐀁-𐀪-𐀤,a-e-ri-qe,•anthroponym? uncertain if -qe is the particle que 'and' ,
𐀀-𐀁-𐀪-𐀦,a-e-ri-qo,anthroponym shortened form of a-e-ri-qo-ta (cf. pe-ri-mo pe-ri-me-de; pe-ri-to pe-ri-to-wo; etc.) •anthroponym shortened form of a-e-ri-qo-ta? BOS: TH Wu OVIS: TH Wu VIR: PY An  ,
𐀀-𐀁-𐀪-𐀦-𐀲,a-e-ri-qo-ta,anthroponym probably Ἀερι-φόντᾶς ⇔ ἦρι 'early' compound anthroponym full form of a-e-ri-qo anthroponym ⇔ ἠεροφοῖτις 'walking in darkness' anthroponym ⇔ ἄορ 'killing with a sword' •anthroponym ⇔ Homeric ἦρι ἠέριος; -φοίτης PY An PY Aq: VIR PY An PY Aq: [[o-wi-to-no]]?   Hajnal Ivo 1992 Mykenaïka Der mykenische Personenname a-e-ri-qo-ta  ,
𐀀-𐀁-𐀮-𐀷,a-e-se-wa,•anthroponym dative ,
𐀀-𐀁-𐀴-𐀵,a-e-ti-to,henna?  not-Heti-scented or -softened •epithet of sage-scented oil: 'without e-ti' ,
𐀀-𐀂-𐀤-𐀄,a-i-qe-u,•anthroponym Lejeune 1968: anthroponym hypocoristic of *'A(h)ι῏φόντας 'he who kills with the sword' •genitive of a-i-qe-u •dative of a-i-qe-u  Lejeune 1968 TBD,
𐀀-𐀃-𐀪-𐀍,a-o-ri-jo,•toponym ,
𐀀-𐀃-𐀪-𐀕-𐀚,a-o-ri-me-ne,•anthroponym ⇔ ἄορ μένος ,
𐀀-𐀃-𐀽-𐀍,a-o-ze-jo,•second element of compound place name? see e-ro2-ne ,
𐀀-𐀄-𐀤,a-u-qe,•error for [[o-u-qe]] ,
𐀀-𐀄-𐀲-𐀙,a-u-ta-na,•anthroponym? ,
𐀀-𐀅-𐀔-𐀃,a-da-ma-o,•anthroponym •genitive of a-da-ma-o •defective spelling of a-da-ma-o-jo [[qe-re-qo-ta-o]] on PY En 659 ,
𐀀-𐀅-𐀨-𐀒,a-da-ra-ko,•anthroponym? dative ,
𐀀-𐀅-𐀨-𐀫,a-da-ra-ro,•anthroponym KN Da: da-wo KN Da: OVIS ,
𐀀-𐀅-𐀨-𐀳-𐀊,a-da-ra-te-ja,•feminine anthroponym? ⇔ Ἄδρήστεια ,
𐀀-𐀅-𐀨-𐀴-𐀍,a-da-ra-ti-jo,•patronymic adjective ⇔ Ἄδρηστος ,
𐀀-𐀅-𐀷-𐀯-𐀍,a-da-wa-si-jo,•adjective describing a man perhaps patronymic ,
𐀀-𐀅-𐀺-𐀚,a-da-wo-ne,•anthroponym dative? ,
𐀀-𐀆-𐀕-𐀸,a-de-me-we,•anthroponym ,
