★	Chinese	Pinyin	Meaning	Hook
★★★★★	拖	tuō	tow, drag	tow
★★★★★	嘿	hēi	hey!	hey!
★★★★★	癦	mò	mole	mole
★★★★★	鿖	—	Christ	Christ
★★★★★	网	wǎng	web, net	WWW / 万维网
★★★★★	快	kuài	quick, fast	quick
★★★★★	看	kàn	look, see	scan
★★★★★	咩	miē	sheep's bleat	meh
★★★★★	哞	mōu	moo	moo
★★★★★	嘘	xū	shh!	shh!
★★★★★	咚	dōng	thump, bang	dong!
★★★★★	爆	bào	explode	pow!
★★★★★	胖	pàng	fat	paunch
★★★★★	殁	mò	die	mort / morir / muerte
★★★★★	霉	méi	mold, mildew	mildew / mold
★★★★★	给	gěi	give	give
★★★★★	棒	bàng	excellent	banger!
★★★★★	拽	zhuài	pull, drag	zieh!
★★★★★	摆摆	bǎibai	wave/sway	bye-bye 👋
★★★★★	模式	móshì	mode, pattern	mode
★★★★★	疼	téng	ache, hurt	twinge
★★★★★	害	hài	harm	harm
★★★★★	雷达	léidá	radar	radar
★★★★★	舍	shě	shed, give up	shed
★★★★½	默	mò	silent	mute
★★★★½	哭	kū	cry	Kummer
★★★★½	陶	táo	pottery	Ton
★★★★½	炖	dùn	stew/braise	dünsten
★★★★½	霉	méi	mildew	mildew
★★★★½	蚂蚁	mǎyǐ	ant	Ameise
★★★★½	纆	mò	cord/rope	mooring
★★★★½	掐	qiā	pinch	quetschen
★★★★½	拍	pāi	pat/clap	pat
★★★★½	碰	pèng	collide/bump	bang
★★★★½	蹦	bèng	bounce/jump	bounce
★★★★½	崩	bēng	collapse/burst	bang
★★★★½	嚼	jiáo	chew	jaw
★★★★½	泉	quán	spring/source	Quell(e)
★★★★½	铃	líng	bell	ring
★★★★½	盆	pén	basin	pan
★★★★½	杯	bēi	cup	Becher
★★★★½	袋	dài	bag	Tüte
★★★★½	绳	shéng	rope/string	string
★★★★½	敲	qiāo	knock	K.O. → knock-out
★★★★½	良久	liángjiǔ	long time	lang
★★★★½	船	chuán	boat	Kahn
★★★★½	燃	rán	burn	brenn!
★★★★½	咳	ké	cough	kehh!
★★★★½	哼	hēng	hum/snort	hum
★★★★½	嘶	sī	hiss, neigh	ssss
★★★★½	扑	pū	pounce, rush at	pounce
★★★★½	太棒了	tài bàng le	fantastic!	banger!
★★★★½	幽默	yōumò	humor	humor
★★★★½	困难	kùnnan	difficulty	conundrum
★★★★½	恍惚	huǎnghū	dazed, in a trance	hungover
★★★★½	怕	pà	fear	peur
★★★★½	受	shòu	receive, suffer	suffer
★★★★½	堪	kān	can bear, endure	kann
★★★★½	挤	jǐ	squeeze, jostle	jostle
★★★★½	消	xiāo	vanish, dispel	ciao!
★★★★½	落	luò	fall, drop	lower
★★★★½	微弱	wēiruò	faint, weak	weak
★★★★½	亮	liàng	bright, light	light
★★★★½	破	pò	break, burst	pop / broke
★★★★½	离开	líkāi	leave, depart	leave
★★★★½	妄	wàng	absurd, presumptuous	wrong
★★★★½	守护	shǒuhù	guard, protect	Schutz
★★★★½	强	qiáng	strong	strong
★★★★½	歌声	gēshēng	singing, song	Gesang
★★★★½	颂	sòng	ode, praise	song
★★★★	舔	tiǎn	lick	tongue
★★★★	倒	dǎo	fall over	down
★★★★	低	dī	low	deep
★★★★	新	xīn	new	shiny
★★★★	沌	dùn	turbid/murky	Dunst / dunstig
★★★★	盹	dǔn	doze	dozing / duhn
★★★★	囤	dùn	store/hoard	ton [of grain]
★★★★	屯	tún	settlement	town
★★★★	魔	mó	demon/magic	monster / magic
★★★★	高	gāo	high/tall	groß
★★★★	捏	niē	pinch	nip
★★★★	吼	hǒu	roar	howl
★★★★	摇	yáo	sway	yaw
★★★★	啃	kěn	gnaw	knabbern
★★★★	窝	wō	nest/den	Wohnung
★★★★	漏	lòu	leak	loose
★★★★	砸	zá	smash	zap!
★★★★	踏	tà	step/tread	tap
★★★★	吸	xī	suck/draw in	zieh
★★★★	响	xiǎng	sound/ring	声 shēng → sound
★★★★	捆	kǔn	bind/tie	knot
★★★★	甩	shuǎi	swing/shake off	swing / shake
★★★★	良	liáng	good	langt = good enough
★★★★	浪	làng	wave	long wave
★★★★	渡	dù	cross/ferry	through
★★★★	凉	liáng	cool	冷 lěng
★★★★	测试	cèshì	test	checks
★★★★	自动	zìdòng	automatic	auto / self-doing
★★★★	列	liè	row/line	line
★★★★	跳水	tiàoshuǐ	dive	tauchen
★★★★	流	liú	flow	liquid / flow
★★★★	霜	shuāng	frost	snow
★★★★	挖	wā	dig	wühlen
★★★★	哽	gěng	choke	gag
★★★★	呼	hū	exhale, call out	huuh!
★★★★	搂	lǒu	embrace, hug	love
★★★★	纶	lún	silk thread	line
★★★★	闻	wén	smell	whiff
★★★★	爆炸	bàozhà	explosion	banger
★★★★	漂	piāo	float, drift	flow / drift
★★★★	复杂	fùzá	complicated	fuzzy / fussy
★★★★	设置	shèzhì	settings	set
★★★★	空壳	kōngké	empty shell	conch
★★★★	卷入	juǎnrù	get drawn into	reinziehen
★★★★	无力	wúlì	powerless, unable	unwell / unable
★★★★	沉	chén	sink	sunken
★★★★	全	quán	whole, entire	ganz
★★★★	明	míng	bright	morning / moon
★★★★	传	chuán	transmit, convey	convey / confer
★★★★	握	wò	grasp, hold	wield
★★★★	屋子	wūzi	room	Wohnzimmer
★★★★	落泪	luòlèi	shed tears	heulen
★★★★	颤抖	chàndǒu	tremble, shudder	shudder
★★★★	肯	kěn	consent, be willing	can
★★★★	投降	tóuxiáng	surrender	turn oneself in
★★★★	足	zú	foot	zapato / foot
★★★★	甚	shén	very, extremely	sehr
★★★★	散	sàn	scatter	asunder
★★★★	轮廓	lúnkuò	outline, contour	line + contour
★★★★	拼凑	pīncòu	piece together	pinch + patch
★★★★	指引	zhǐyǐn	point the way, guide	zeigen
★★★★	负荷	fùhè	burden, load	Fuhre
★★★★	依赖	yīlài	rely on	rely
★★★★	茫	máng	vast, boundless	mannigfaltig / many
★★★★	望	wàng	gaze, hope for	Wunsch / want
★★★★	慌	huāng	flustered, panicky	worrying
★★★★	挥	huī	wave, wield	hi! 👋
★★★★	磨	mó	grind, wear down	mahlen
★★★★	帽	mào	hat, cap	Mütze / miter
★★★★	泥淖	nínào	mire, bog	mire / morass
★★★★	彷徨	pánghuáng	pace irresolutely	pondering
★★★★	蘑菇	mógu	mushroom	mogu
★★★★	现代	xiàndài	modern	Hyundai
★★★★	跨	kuà	stride across	cross / queren
★★★★	民	mín	people	man / men
★★★★	刺	cì	sting, prick	zwicken / sting
★★★★	推开	tuīkāi	push away	push
★★★★	服务	fúwù	service	favor / serve
★★★★	谈论	tánlùn	discuss	tongue
★★★★	标记	biāojì	mark	blaze / brand
