753	啊	a1/a2/a3/a4/a	A 	(interj.)/ah/an interjection/to express doubt or to question/to show realization/to stress/(interj. for surprise)/oh (interjection)/(a modal particle showing affirmation/approval/or consent)	ā:啊:⿰口阿 koǔ ā							
471	阿	a1/a4/a/e1	A 	an initial particle/prefix to names of people/(phonetic character)/(final part.)/(interj.)/flatter	ā:阿:⿰阝可 fù kě							
1861	呵	a1/he1	Ah hale	(phonetic particle)/expel breath/my goodness	hē:呵:⿰口可 koǔ kě							
1121	埃	ai1	hēi 黑 ● huī 灰 暗 an Å 	dirt/dust/angstrom Å 	āi:埃:⿰土矣 tǔ yǐ	hun:dim						
1751	哀	ai1	ACHE	sorrow/grief/pity/to grieve for/to pity/to lament	āi:哀:⿻口衣 koǔ yī							
2294	哎	ai1	EY! 哎	an interjection/hey/lookout/why etc	āi:哎:⿰口艾 koǔ aì							
2012	挨	ai1/ai2	𓂋 à… 挨 	in order/in sequence/next to/lean to/suffer (hunger)/endure/drag out/delay/stall/play for time	āi:挨:⿰扌矣 shǒu yǐ							
2091	唉	ai1/ai4	ay! ah	an interjection/to express realization or agreement (yes/oh/right/etc)/alas/oh dear	āi:唉:⿰口矣 koǔ yǐ							
3952	皑	ai2	aice 冫	white (of snow/etc.)	aí:皑:⿰白岂 baí qǐ							
1799	癌	ai2/yan2	--	cancer/cancer (old pronuniation)/carcinoma	癌:癌:⿸疒嵒 nè ?							
2027	矮	ai3	a¬ 𓇋	short (not tall)	ǎi:矮:⿰矢委 shǐ weī							
3460	蔼	ai3	<3 爱	friendly	aǐ:蔼:⿱艹谒 cǎo yè							
4316	霭	ai3	AIR  / <3 爱  AIME amicable	cloudy sky/friendly	aǐ:霭:⿱⻗谒 yǔ yè							
3837	嗳	ai3/ai4	EY! AI! ++	(interj. of disapproval)/(interj. of regret)	aǐ:嗳:⿰口爱 koǔ aì							
394	爱	ai4	AIMER / MAI®	to love/affection/to be fond of/to like	aì:爱:⿳⺤冖友 zhǎo mì yoǔ							
1291	艾	ai4	Artemisia 艾 2-Beifuß	(surname)/Artemisia vulgaris/Chinese mugwort	ài:艾:⿱艹乂 cǎo yì							
1437	碍	ai4	AI! EY! (verb)	to hinder/to obstruct/to block	aì:碍:⿰石㝵 Shí *day							
3152	隘	ai4	ENG	a pass or defile/narrow/confined/in distress	ài:隘:⿰阜|⻖益 fù fù yì							
3802	暧	ai4	hēi 黑 ● huī 灰 埃 	hidden/obscure/clandestine	aì:暧:⿰日爱 rì aì							
232	安	an1	Calmn 𓊵 女 平	content/calm/still/quiet/to pacify/peace	ān:安:⿱宀女 mián nu:3							
3022	庵	an1	宀 mian	hut/Buddhist convent/small Buddhist temple	ān:庵:⿸广奄 guǎng yān							
3028	氨	an1	anmonia	ammonia	ān:氨:⿹气安 qì ān							
3168	鞍	an1	宀 mián 安 an1 	saddle	ān:鞍:⿰革安 gé ān							
3927	谙	an1	<<<	be versed in/know well	ān:谙:⿰讠音 yán yīn							
2749	俺	an3	an I ONE 𐎀𐎐 WON 我 	I (northern dialects)	ǎn:俺:⿰亻奄 rén yān							
518	案	an4	AHN Ahnen Ahnden 	incident/record/(legal) case/file/table	àn:案:⿱安木 ān mù							
573	按	an4	AN… hand	to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of	àn:按:⿰扌安 shǒu ān							
829	暗	an4	UN¬ ● HUN	dark/gloomy/hidden/secret/to shut the door/unilluminated	àn:暗:⿰日音 rì yīn	黯 an 混 hùn:dirty hūn:昏:twilight hún:浑:muddy						
971	岸	an4	an…bank 	bank/shore/beach/coast	àn:岸:⿱山厈 shān ?							
2881	黯	an4	UN¬ 黑 hun 暗	deep black/dark	àn:黯:⿰黑音 heī yīn							
3433	胺	an4	Amino 🌒	amine	胺:胺:⿰⺼安 ròu ān							
3194	肮	ang1, háng	黯 an4 ●🌒  black hun	filthy/dirty/filthy	háng:肮:⿰月亢 yuè kàng							
1952	昂	ang2	an…heben hun	'raise one''s head/high/raise (head)/high/soaring/raise/lift/expensive'	áng:昂:⿱日卬 rì áng 							
3410	盎	ang4	盎	Full/abundant/bowl/dish/pot	àng:盎:⿱央皿 yāng mǐn							
2862	凹	ao1	Hollow 凸凹 tū.aō tower  	hollow/a depression/indentation/concave								
2705	熬	ao1/ao2	huo 火	to boil/stew/to simmer/endure/to boil	áo:熬:⿱敖灬 aó huǒ							
3450	鳌	ao2	™	sea turtle	aó:鳌:⿱敖鱼 aó yú							
3573	敖	ao2	Au:loud rad.ao	ramble	áo:敖:⿰⿱士方攵  shì fāng pū							
4104	嗷	ao2	lAOde	loud clamor/the sound of wailing	áo:嗷:⿰口敖 koǔ aó							
4148	翱	ao2	--	soar/hover	áo:翱:⿰皋羽 gaō yǔ							
3480	袄	ao3	anorak	coat/jacket/short and lined coat or robe	aǒ:袄:⿰衤夭 yī yaō							
972	奥	ao4	奥 OH+ 噢 凹 aō 黑 ● ai	obscure/mysterious	aò:奥:⿱⿵⿱丿冂米大  piě jiōng mǐ dà	奥++ 暧 AIR 霭 IH 埃 huī灰						
1627	澳	ao4	奥 AO : Australia 澳	Australia/deep bay/cove/bay/harbor/(abbrev) Macao	ào:澳:⿰氵奧 shui ?							
1960	傲	ao4	Ao-gant = haughty	proud/overbearing/insolent/arrogant	ào:傲:⿰亻敖 rén aó							
3212	懊	ao4	奥 OH+ Au! ;)	to regret	ào:懊:⿰忄奧 xīn ?							
3629	拗	ao4/niu4	Niu ~ knee^^ gon 弓  무	bend/break in two/stubborn/contrary	ào:拗:⿰扌幼 shǒu yoù							
451	八	ba1	八 8	eight/8	bā:八:⿰丿乀,⿰丿乁 piě ? yì piě ?	bosmany						
546	巴	ba1	巴 Bar ba pa	(suff. for certain nouns)/to hope/to wish/Palestinian/Palestine (abbrev.)/Pakistan (abbrev.)/Pascal (unit of pressure)	bā:巴:⿴巳丨 sì shù gǔn 							
2704	叭	ba1	ba! bang	denote a sound or sharp noise (gunfire/etc.)	bā:叭:⿰口八 koǔ bā							
3055	疤	ba1	!	scar	bā:疤:⿸疒巴 nè bā							
3126	芭	ba1	banana	a herb/banana	bā:芭:⿱艹巴 cǎo bā							
3617	笆	ba1	bar	fence/an article made of bamboo strips	bā:笆:⿱𥫗巴 zhú bā							
470	吧	ba1/ba	ballaballa~blöd	(onomat.)/dumb/(modal particle indicating polite suggestion)/...right?/...OK?	ba:吧:⿰口巴 koǔ bā							
3121	扒	ba1/pa2	Push / pull @ peak ++	climb/pull (out)/to strip/hold on to/cling to/dig up/rake/push aside/climb/crawl/snatch	bā:扒:⿰扌八 shǒu bā							
1502	拔	ba2	pull	pull up/pull out/select/promote	bá:拔:⿰扌犮 shǒu you?  友	Patscher you?  友						
2917	跋	ba2	Bain 𓂾	travel/walk	bá:跋:⿰足犮 zú ?							
3237	靶	ba3	bar	target/mark	bǎ:靶:⿰革巴 gé bā	high bar						
110	把	ba3/ba4	BAR/bunch/Büschel	(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of/handle	bǎ:把:⿰扌巴 shǒu bā							
1050	爸	ba4	baba	father/dad/pa/papa	bà:爸:⿱父巴 fù bā							
1838	霸	ba4	boss pasha	feudal chief/rule by force/tyrant/lord/master/hegemon/usurp	bà:霸:⿱雨|⻗䩗 yǔ yǔ ?							
2786	坝	ba4	ban/bank 	embankment/dam/dyke	bà:坝:⿰土贝 tǔ beì BEÌ							
1305	罢	ba4/ba	BAR	to stop/cease/dismiss/suspend/to quit/to finish/(final part.)	bà:罢:⿱罒|⺲去 wǎng wǎng qù							
4126	耙	ba4/pa2	BAR ~ fork	a rake/harrow/a rake	pá:耙:⿰耒巴 lěi bā							
4253	掰	bai1	brake	to break with both hands	bāi:掰:⿲手分手 shoǔ fēn shoǔ							
286	白	bai2	白 white	white/snowy/empty/blank/bright/clear/plain/pure/gratuitous	bái:白:⿱丿日 piě rì							
407	百	bai3	百 100	hundred	bǎi:百:⿱一白 yī baí							
1158	摆	bai3	Put pendul	pendulum/to place/to display/to swing/to oscillate/to show/to move/to exhibit	baǐ:摆:⿰扌罢 shǒu bà							
1596	柏	bai3/bo4	BAUM BOREAL 白木	(surname)/cedar/cypress/cypress/cedar	bǎi:柏:⿰木白 mù baí	white leBANON cyress 						
862	败	bai4	beat(en)	be defeated/to defeat/loss	baì:败:⿰贝攵 beì BEÌ pū							
