sign	codepoint	sign_name	ur3_equiv	meaning_local	meaning_cl	epsd_word	epsd_meaning	proto_raw	wiki
𒂷	U+120B7	GA_2			Oma≈Mama 𒂷*𒀭 Gaia?; 𒂷; ≈ DGEN 𒂷; 𒂷; 𒂷; 𒂷; 𒂷; 𒂷; "basket" 𒂷𒋃 GÁ.rib 𒄀𒂷 Korb; "basket" 𒂷𒋃 GÁ.rib 𒄀𒂷 Ko				
𒞮	U+127AE	GA₂	𒂷					𒂷 see 𒟐 𒟑 𒟒 𒟓 𒟔 𒟕 𒟖 𒟗	
𒞰	U+127B0	GA₂·E₂						𒞮·𒝿	
𒞱	U+127B1	GA₂·EN	𒂗					𒞮·𒞇	
𒞲	U+127B2	GA₂·GEŠTU						𒞮·GEŠTU	
𒞳	U+127B3	GA₂·						𒞮·	
𒞴	U+127B4	GA₂·						𒞮·	
𒞵	U+127B5	GA₂·GIR	𒄫					𒞮·𒠒	
𒞶	U+127B6	GA₂·GIR	𒄫					𒞮·𒠒	
𒞷	U+127B7	GA₂·GISH	𒄑					𒞮·𒠠	
𒞸	U+127B8	GA₂·HAL						𒞮·𒡎	
𒞹	U+127B9	GA₂·HI						𒞮·𒡒	
𒞺	U+127BA	GA₂·KU	𒆬					𒞮·𒢨	
𒞻	U+127BB	GA₂·KU	𒄩					𒞮·𒢪	
𒞼	U+127BC	GA₂·KU	𒄩					𒞮·𒢪	
𒞾	U+127BE	GA₂·MASH	𒈦					𒞮·𒤅	
𒞿	U+127BF	GA₂·PAD	𒉻					𒞮·𒦃	
𒟂	U+127C2	GA₂·SUHUR						𒞮·𒧿	
𒟃	U+127C3	GA₂·SUKUD	𒃴					𒞮·𒨄	
𒟄	U+127C4	GA₂·SUMASH	𒋨					𒞮·𒨍	
𒟍	U+127CD	GA₂₂·SUHUR						GA₂₂·𒧿	
𒟎	U+127CE	GA₂₂·SHE	𒂠					GA₂₂·𒨧	
𒟏	U+127CF	GA₂₂·SHE	𒂠					GA₂₂·𒨧	
𒟓	U+127D3	GA₂·DUB	𒁾					𒞮·𒜮	
𒟔	U+127D4	GA₂·DUB	𒁾					𒞮·𒜮	
𒟕	U+127D5	GA₂·KU	𒄩					𒞮·𒢪	
𒟖	U+127D6	GA₂·ZATU						𒞮·𒬯	
𒂸	U+120B8	GA_2 x A + DA + ḪA			𒂸				
𒂹	U+120B9	GA_2 x A + ḪA			𒂹				
𒂺	U+120BA	GA_2 x A + IGI			𒂺				
𒂻	U+120BB	GA_2 x AB_2 /tenû/ + TAB			𒂻				
𒂼	U+120BC	GA_2 x AN		AMA	d'ama dame <> Mama; *; *; *; *; *; *; Oma≈Mama 𒂷*𒀭 Gaia?; *; *; 𒂼; *; *; #GÁ × AN; 𒂼; 𒂼; 𒂼𒀀𒌅; 𒂼𒀭𒈹; 𒂼				
𒂽	U+120BD	GA_2 x AŠ			𒂽; 𒂽				
𒂾	U+120BE	GA_2 x AŠ_2 + GAL			𒂾				
𒂿	U+120BF	GA_2 x BAD			𓎡 𓎡 𓇰 eţûtu 𒋯 <> 𒌖 itima tenebre; 𓎡 𓎡 𓇰 eţûtu 𒋯 <> 𒌖 itima tenebre; 𒂿; 𒂿; 𒂿; 𒂿				
𒃀	U+120C0	GA_2 x BAR + RA			𒃀				
𒃁	U+120C1	GA_2 x BUR			𒃁				
𒃂	U+120C2	GA_2 x BUR + RA			𒃂				
𒃃	U+120C3	GA_2 x DA			𒃃				
𒃄	U+120C4	GA_2 x DI			𒃄				
𒃅	U+120C5	GA_2 x DIM x ŠE			𒃅				
𒃆	U+120C6	GA_2 x DUB			GA₂×DUB; 𒃆				
𒃇	U+120C7	GA_2 x EL			𒃇				
𒃈	U+120C8	GA_2 x EL + LA			𒃈				
𒃉	U+120C9	GA_2 x EN			≈ DGEN 𒂷; 𒃉; 𒃉				
𒃊	U+120CA	GA_2 x EN x GAN_2 /tenû/		GA_2 x BURU_14	𒃊				
𒃋	U+120CB	GA_2 x GAN_2 /tenû/			𒃋; 𒃋				
𒃌	U+120CC	GA_2 x GAR		GALGA	𒃌; 𒃌; 𒃌; 𒃌				
𒃍	U+120CD	GA_2 x GI			𒃍; 𒃍				
𒃎	U+120CE	GA_2 x GI_4			𒃎				
𒃏	U+120CF	GA_2 x GI_4 + A			𒃏				
𒃐	U+120D0	GA_2 x GIR_2 + SU			𒃐				
𒃑	U+120D1	GA_2 x ḪA + LU + EŠ_2			𒃑; 𒃑; 𒃑; 𒃑; 𒃑				
𒃒	U+120D2	GA_2 x ḪAL			𒃒				
𒃓	U+120D3	GA_2 x ḪAL + LA			𒃓				
𒃔	U+120D4	GA_2 x ḪI + LI			𒃔				
𒃕	U+120D5	GA_2 x ḪUB_2			𒃕				
𒃖	U+120D6	GA_2 x IGI /gunû/			= 𒁈 BARA2 = 𒃖 bara₁₀ Führer #barag; = 𒁈 BARA2 = 𒃖 bara₁₀ Führer #barag; 𒃖; 𒃖				
𒃗	U+120D7	GA_2 x IŠ + ḪU + AŠ			𒃗				
𒃘	U+120D8	GA_2 x KAK			𒃘				
𒃙	U+120D9	GA_2 x KASKAL			𒃙; 𒃙				
𒃚	U+120DA	GA_2 x KID			𒃚				
𒃛	U+120DB	GA_2 x KID + LAL			𒃛				
𒃜	U+120DC	GA_2 x KU_3 + AN			𒃜				
𒃝	U+120DD	GA_2 x LA			𒃝				
𒃞	U+120DE	GA_2 x ME + EN		MEN	𒃞; Führer |GA₂×ME+EN|; 𒃞				
𒃟	U+120DF	GA_2 x MI		ITIMA	𒃟; "cry"; 𒃟				
𒃠	U+120E0	GA_2 x NUN		GANUN	𒃠; 𒂷·𒉣 GÁ×NUN GA₂.NUN; 𒃠; 𒃠				
𒃡	U+120E1	GA_2 x NUN / NUN		UR_3	𒃡; 𒃡; 𒃡				
𒃢	U+120E2	GA_2 x PA		GAZI, SILA_4	𒃢; 𒃢; capre 𒋡𒊑;𒋡𒊑𒊑; 𒃢				
𒃣	U+120E3	GA_2 x SAL		ARḪUŠ	𒃣; 𒃣; 𒃣; 𒃣; 𒃣; 𒃣; 𒃣				
𒃤	U+120E4	GA_2 x SAR			𒃤				
𒃥	U+120E5	GA_2 x ŠE		ESAG_2	𒃥; 𒃥; 𒃥; 𒃥; ŠE×GA₂ GA₂×ŠE granary; 𒃥; 𒃥				
𒃦	U+120E6	GA_2 x ŠE + TUR			ŠE×GA₂+TUR GA₂×ŠE+TUR "grain-store"; 𒃦				
𒃧	U+120E7	GA_2 x ŠID			GA₂×ŠID; 𒃧				
𒃨	U+120E8	GA_2 x SUM			𒃨; 𒃨				
𒃩	U+120E9	GA_2 x TAK_4			𒃩; 𒃩				
𒃪	U+120EA	GA_2 x U			𒃪; 𒃪; 𒃪				
𒃫	U+120EB	GA_2 x UD			GA2×UD guard; ≈ cairn  "heap, ruin mound" Akk. karmu; 𒃫				
𒃬	U+120EC	GA_2 x UD + DU			𒃬				
𒃭	U+120ED	GA_2 / GA_2			𒃭				
