Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	
you		2134713	6.3293	99.92	3.9233	Pronoun	2125610	1.00	Pronoun.Noun	2125610.79
I		2038529	6.3093	99.81	3.9229	Pronoun	1985051	0.99	Pronoun.Letter.Number.Noun	1985051.14126.11140.36
the		1501908	6.1766	100.00	3.9237	Article	1499459	1.00	Article.Adverb.Noun.Preposition.Adjective	1499459.774.147.105.1
to		1156570	6.0632	99.94	3.9235	To	787798	0.68	To.Preposition.Adverb.Noun.Adjective	787798.366834.931.79.68
a		1041179	6.0175	99.93	3.9234	Article	993445	0.96	Article.Adverb.Letter.To.Noun.Preposition.Adjective	993445.33186.6441.744.257.52.5
it		963712	5.9839	99.87	3.9231	Pronoun	952682	1.00	Pronoun.Noun.Adverb.Name	952682.2075.78.57
t		733338	5.8653	99.61	3.9220	Letter	4924	0.89	Letter.Pronoun.Name	4924.444.160
that		719677	5.8571	99.76	3.9227	Determiner	504680	0.71	Determiner.Conjunction.Adverb.Noun	504680.202232.8459.37
and		682780	5.8343	99.89	3.9232	Conjunction	680792	1.00	Conjunction.Adverb.Interjection.Noun.Name	680792.745.22.4.4
of		590439	5.7712	99.85	3.9230	Preposition	553506	0.94	Preposition.Adverb.Adjective.Conjunction.Noun.Name	553506.34686.1413.156.19.15
what		501965	5.7007	99.73	3.9225	Determiner	499381	1.00	Determiner.Noun	499381.21
in		498444	5.6976	99.81	3.9229	Preposition	443510	0.89	Preposition.Adverb.Conjunction.Noun.Verb.Adjective	443510.50997.3154.67.49.39
me		471339	5.6733	99.61	3.9220	Pronoun	470509	1.00	Pronoun.Noun	470509.113
we		459607	5.6624	99.65	3.9222	Pronoun	455958	1.00	Pronoun.Noun.Name	455958.13.1
he		389497	5.5905	99.55	3.9217	Pronoun	385304	1.00	Pronoun.Noun.Name	385304.14.1
on		354742	5.5499	99.81	3.9229	Preposition	225639	0.64	Preposition.Adverb.Noun.Adjective	225639.129167.22.13
for		351650	5.5461	99.83	3.9230	Preposition	344212	0.98	Preposition.Adverb.Conjunction.Noun	344212.5287.1830.50
