English	German	connecting
	empty means obvious	Best match by semantic levenshtein 
	/ << ? means missing unknown …	
	xx means ignored compounds / latin	
you		Dju
I		I (Bayern) / Ick
the		die
to		tsu
a		a (Bayern)
it		eth
that		datt (Friesen)
and		
of	/	a'von
what		wath
in		
me	mein | mir | mich	me'ich
we		
he	/	her
on	an | am	
for		
my		
your		
have		
do		
re	/	with.re wieder
no		ney, ne?
be	bin	
know	kenne	
not		ni't net @Swäbisch
can		
are	/	
all		
with		mwit
just		
get	ergattern	
here		
but	/	
there	dà | dort	
so		
they	sie	
right	recht/richt	
like	…lich	
out		outh
go		
she		
up	ob | auf	
about		übert
if	falls wenn ?? <<	even!
him	ihm	
got	ergattert	
oh		
at	?	
now		nown
come		
one		
how		hwie hwoi?
well	wohl	
yeah		
her		
want	wollt	(sic / N<>L)
think		
good		
see		
let		lath
did	tat	
why		whyrum
who		whor
will		
from		vrom 
when		
back	<<<	
okay		
time	<<	
look	<<	
take	trage?	
an		
man		
where		wo à
them	dem | denen	
would	würd	
been	bin	
some	<>	 *sem- (“one | whole”) <> Summe
hey		
tell	vertell | zähl	tellen (“to count”) <> (mit)teilen
or		o'er bri'ish
had	hatt'	
were	war	
say	sag	
could	könnt'	
down	Düne | drunter ƒ	ofdūne (“off the hill”)
then		
little	lütt	
way		
our		
make		
too		
never	nie…	wir=man
by		
over	über	
more		
mean	gemein	
very	wahr(lich)	
off	ab	
mr	Meister ƒ	
sorry	sorgig	
give	gib/gebe	
thank		
love		
said	sagte	sayde
am	!!	mein closest match?
people	Pöbel	
please	<< flach	*plā-k- (“wide and flat”)  
sure	sicher!?	
any	ein	
because	xx	
two		tzwo
should	sollt	
much	manch	
sir	Shar~Zar?	Schach
maybe	xx	mag…[sein]
help		Hilph
these	diese	
god		
even	eben	
night		
call	<<	cry Kreisch? closest match?
talk	<<	tell <> (er)zähl  thalk > sag??
into	xx	
first	(f)erst	
find		
wait	wart'	
put	<<	
great		greath ge'Riese groß
thought	(ge)dacht	
day		
work	Werk	
life	lebe…	
before		
better		bether
again	<<	against | entgegen closest match?
still	steh | stell	
home		
guy	<<	Guido Witold Widukind
won	gewonnen 	
those		
than	denn	
around	rund … (adv)	
other	ander…	
away	weg	
new		
last	letzt	
uh	öh	
ever	über…haupt	
stop		
keep	<<	kümbern > kümmern (care) ?
told	<<	tell = (er)zähl
must	musst	
big	<<	*bugja- (“swollen up | thick”) <> Beule Beuge Bucht
after	achter 	aghter <> enough = enouƒ
long		
their	derer	
nice	nett	Nietzsche?
name		
money	Moneten <<	
doesn't	tu's nicht ;)	
feel	fühl	
believe	gelaube	be<>ge
old		
place	Platz	
fine		
kind	xx <<	
hello		
lot	ganze/volle Latte;)	
made	machte	
leave	lass <<	
hi		
girl	Kerl!?	<> girlfriend
hear		
father		
through	durch	
every	<<<	
bad	Bett-legrig? battle beaten? 	<> put ?
listen	<<	
remember	erimmern	
three		
boy	Bursche	
wrong	<<	
might	mög...	
stay	steh	
house		
may	möge	
baby		
another	ein ander	
ok		
dad		
gotta	xx	
wanna	xx	
enough	genough	
show	zeig --	zhowig
course	Kurs	
care	kümmer?	
done	(ge)tan	
mind	mental™ Monat?	
left	--	verlässt verläƒƒt
ask	eischen! erheischen?	
car	Karre	
understand	und verstehen	
mother		
which	welch	
try	<<	tear ~ zerre
shit	Schiss	sheith | Scheiter…
hell		
came		
own	eign	bri'ish oi'wn-arten
world		
next	nächst	
kill	keilen?	
else	alter…nativ	ἄλλος (állos) … <<
dead	tot	
someone	xx	
real		
room		
huh		
hold		
woman	xx	Fraumann
yourself	Du selbst	
today	xx	
mom		
friend		
move	<<	
same	selbem	
job	?	chop ~ kapp(en) Kapitel
tonight	heu.te nacht	hoc die nyx
went	wander	
son		
best	beste	
saw	sah	
found	fand	
pretty	prächtig?	prettig QED  *prattugaz (“boastful”)
ready	Route?	
heard	ge…	
whole	voll	
seen	ge…	
together	xx	zu Gatter? zu Guarde? vergadern
fuck		
minute	2. mini	
men		
head	Haupt	heapht heavt head
matter	Materie 2. ?	
haven		
knew		<> kenne
excuse	xx	
many	manch	
idea		
without	xx	
play	<<< 	display? spiel…g? plage??
meet	Mette Mitte?	
most	meist…	
run		
while	wärend!?!	
wife	Weib	
once	einz…el/ig	
live		
somebody	xx	
everybody	xx	
use	<<	in use <> nutze <> util
myself	mich selb	
took	<<	steck!? touch
yet	<<	ja (aber) es …
start		
couldn't	könnt' nicht	
kid	Kitz | Kind	
tomorrow	zum Morgen	
happy	<<	*hampą  *kob- … ???
school		
problem		
watch	wache warte	
hope		
open		
already	xx all fertig?	
since	seit~	sein?
sit		
cause	kausal	
alone	allein	
hard		
stuff	Stoff	
turn	drehn	
until	nicht bis?	
few	<<	 *peh₂w-  <> “puh”?  poco paucus 
honey		
gone	(ver)gehn/gangen	
both	beid…	
door		
later	<<	<> letzter?
such	solch	
face	Fresse	
worry	Sworge	<> sorry
ago	xx	
five		
second		
brother		
damn		
case	Kasus --	
beautiful	<< bellitā.voll	
hand		
check		
year		
forget		
hit	<<	
lost	verlierst?	
crazy	kratzig~	
late	<<	
phone		
nobody	xx	
end		
easy	<< empty aisle	
doctor		
shut	Schotter	
under		
part	Partikel? <<	
deal	(aus/zu/...)teil(en)	
die	tot	
soon	Sonne?	
four		
anyone	irgendein	
pay	Pacht?	
happen	<<	
true	durch&durch? <<	
each	welch?	
em		
eat		
jack		
mine		
town	<<	
afraid	a Furcht / befürcht	
drink		
whatever		
hurt	<<	
heart		
gave		
young		
everyone		
chance		
read	<<	
number	<<	
change	Gang (der Zeit)?	
anyway		
week		
point	<<	
police		policei
word		
fun	<<	
wish	Wunsch	
bit	bisschen	
aren		
game	<<	
party		
set		
cut	haut? <<<	
sleep		
shot	Schuss	
anybody	xx	
stand		
water		
trouble	<<	
dear	teuer	
couple	<<	
break	brech	
story	Wisster <> Meister?	
far	fort	
um		
close	Klause --	
funny		
lady	Lotte	
death		
walk	walten	
fire		
hate		
gun	Kanone	
rest	Rast	
person		
inside	innenseite	
different	<<	
captain		
least	letzt	
important	<<	
ah		
also	xx ebenso	
line		
office	<<	
dinner	< X	
quite	<<	
against	gegen--	
fight	fecht	
side		
six		
half		
pick	<<	
question	was.tum ;)	
ahead		
michael		
cool	kalt … kühl	
women	<<	
body	<<	
high		
husband	haus.búa-andi	
john		
reason	rational	
almost		
dog	Dackel	
buy	<<	
truth	<<	
met		
hot		
o		
anymore		
behind	hinter	
speak		
moment		
blood		
ma		
shall		
daddy		
stupid	stupide	
along	entlang	
either	weder!	
though	doch	
front	frontal	
sister		
bye	<<	
send		
welcome		
trust	vertraust!	
free		
book		
answer	Antwort	
between	bei…zwischeen	
children	Kindern	
war	<< Furie	
hurry	hurtig	
fact	Fakt	
brought	brachte	
bet	biete	
clear	klar	
white		
glad	glück?	
daughter		
outside	außenseite	
city	stadtle	
bitch	<<	
black	<<	
full		
till	<<	
sick	siech…	
light		
shoot		
lose		
wonderful		
save	sicher --	
hour	<<	
country	Kanton	
wow		
able	apt (rare)	
frank		
perfect		
shouldn		
child		
whoa		
order		
alive		
food	Futter	
gentlemen	<<	
luck	glück	
hair		
drive	treibe	
promise	<<	
sex		
music		
ya		
power	<<	
sort		
special		
street		
dance		
hang		
touch	<<	
team	™	
company		
george		
pull	<<	
plan		
sweet		
ten		
coffee		
lucky		
sound	2.Sund	
safe		
date		
president	vorsitzend	
himself		
seem	schein	
air	aroma? orbit? ether?	
taken		
york	?	
picture	<<	
lord	Leibwärter!↯	
sent	gesendet	
fast	fest? festes Tempo fest anschnallen	
catch	Kescher?	
ride	route	
win		
top	™ / <<	
dream		
