northeuralex-0.9-concept-data.tsv
number	position_in_ranking	ranking_value	id_nelex	gloss_en	gloss_ru	annotation_en	annotation_en	annotation_ru	concepticon	concepticon_id	concepticon_proposed	comments
1	44	-2,539237	Auge::N	eye	глаз	[[Anatomie]]	[[anatomy]]	[[анатомия]]	EYE	1248	EYE	
2	34	-2,649194	Ohr::N	ear	ухо	[[Anatomie]]	[[anatomy]]	[[анатомия]]	EAR	1247	EAR	
3	149	-1,995463	Nase::N	nose	нос	[[Anatomie]]	[[anatomy]]	[[анатомия]]	NOSE	1221	NOSE	
4	25	-2,762589	Mund::N	mouth	рот	[[Anatomie]]	[[anatomy]]	[[анатомия]]	MOUTH	674	MOUTH	
5	31	-2,670705	Zahn::N	tooth	зуб	[BSP:menschlicher Schneidezahn]	[EX:human incisor]	[НАПР:человека]	TOOTH	1380	TOOTH	
6	66	-2,387728	Zunge::N	tongue	язык	[[Anatomie]]	[[anatomy]]	[орган в полости рта]	TONGUE	1205	TONGUE	
7	430	-1,243607	Lippe::N	lip	губа	[[Anatomie]]	[[anatomy]]	[[анатомия]]	LIP	478	LIP	
8	897	0,10952	Wange::N	cheek	щека	[[Anatomie]]	[[anatomy]]	[[анатомия]]	CHEEK	1730	CHEEK	
9	644	-0,75467	Gesicht::N	face	лицо	[des Menschen]	[of a human]	[человека]	FACE	1560	FACE	
10	452	-1,186739	Stirn::N	forehead	лоб	[des Menschen]	[of a human]	[человека]	FOREHEAD	123	FOREHEAD	
11	121	-2,128777	Haar::N	hair	волос	[Kopfhaar des Menschen]	[of human head]	[на голове человека]	HAIR	1040	HAIR	
12	988	1,003531	Schnurrbart::N	moustache	усы	[eines Mannes]	[of a man]	[мужчины]	MOUSTACHE	1165	MOUSTACHE	
13	358	-1,416858	Bart::N	beard	борода	[allgemein]	[generic]	[волосяной покров нижней части лица]	BEARD	678	BEARD	
14	405	-1,31055	Kinn::N	chin	подбородок	[[Anatomie]]	[[anatomy]]	[[анатомия]]	CHIN	1510	CHIN	
15	690	-0,647343	Kiefer[Anatomie]::N	jaw	челюсть	[[Anatomie]]	[[anatomy]]	[[анатомия]]	JAW	798	JAW	
16	361	-1,412143	Kehle::N	throat	горло	[Hals von innen]	[from inside]	[НАПР:полоскать горло]	THROAT	1346	THROAT	
17	267	-1,638234	Hals::N	neck	шея	[Hals von außen, rundum]	[from outside]	[НАПР:бусы на шее]	NECK	1333	NECK	
18	804	-0,344891	Genick::N	nape	затылок	[hinter Teil des Halses]	[back side of neck]	[задняя часть головы]	NAPE_(OF_NECK)	1347	NAPE_(OF_NECK)	
19	23	-2,81461	Kopf::N	head	голова	[BSP:des Menschen]	[EX:of a human]	[НАПР:человека]	HEAD	1256	HEAD	
20	431	-1,243134	Rücken::N	back	спина	[des Menschen]	[of a human]	[человека]	BACK	1291	BACK	
21	378	-1,37446	Bauch::N	belly	живот	[des Menschen]	[of a human]	[человека]	BELLY	1251	BELLY	
