https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/tablemain.html

@font-face {
    font-family: 'Hieroglyphic';
    src: url('NewGardiner.ttf') format('truetype');
}
@font-face {
    font-family: 'HieroglyphicAux';
    src: url('HieroglyphicAux.ttf') format('truetype');
}
@font-face {
    font-family: 'HieroglyphicPlain';
    src: url('CaslonRoman.ttf') format('truetype');;
}
##
Sign list
The 1071 hieroglyphs from Unicode 5.2
Appearance and sources

The descriptions of the signs mostly follow Gardiner's publications. However, an attempt was made to achieve a greater consistency.

The sources include the following publications:

    J.P. Allen (2000), Middle Egyptian: An introduction to the language and culture of hieroglyphs. Cambridge: Cambridge University Press.
    A.M. Blackman and H.W. Fairman (1943), "The myth of Horus at Edfu -- II", in The Journal of Egyptian Archaeology 29, pp. 2-36.
    A.M. Calverley (1935), The temple of king Sethos I at Abydos. Volume II: The Chapels of Amen-Re, Re-Harakhti, Ptah, and King Sethos. Chicago: University of Chicago Press.
    S. Cauville (2001), Dendara: Le fonds hiéroglyphique au temps de Cléopâtre. Paris: Cybèle.
    A. Erman and H. Grapow (1961), Wörterbuch der ägyptischen Sprache. Berlin: Akademie-Verlag.
    H.W. Fairman (1943), "Notes on the alphabetic signs employed in the hieroglyphic inscriptions of the temple of Edfu", in Annales du Service des Antiquités de l'Égypte 43, pp. 191-318.
    R.O. Faulkner (1962), A concise dictionary of Middle Egyptian. Oxford: Griffith Institute, Ashmolean Museum.
    A.H. Gardiner (1957), Egyptian grammar: being an introduction to the study of hieroglyphs. 3rd edition. Oxford: Griffith Institute, Ashmolean Museum.
    A.H. Gardiner (1928), Catalogue of the Egyptian hieroglyphic printing type, from matrices owned and controlled by Dr. Alan H. Gardiner. Oxford: University Press.
    A.H. Gardiner (1929), "Additions to the new hieroglyphic fount (1928)", in The Journal of Egyptian Archaeology 15, p. 95. London: The Egypt Exploration Society.
    A.H. Gardiner (1931), "Additions to the new hieroglyphic fount (1931)", in The Journal of Egyptian Archaeology 17, pp. 245-247. London: The Egypt Exploration Society.
    A.H. Gardiner (1953), Supplement to the catalogue of the Egyptian hieroglyphic printing type, showing acquisitions to December 1953. Oxford: University Press.
    GITB, Griffith Insititute Topographical Bibliography
    R. Hannig (1995), Grosses Handwörterbuch Ägyptisch-Deutsch: die Sprache der Pharaonen (2800-950 v.Chr.). Mainz: Verlag Philipp von Zabern.
    G. Möller (1927a), Hieratische Paläographie. Erster Band: Bis zum Beginn der achtzehnten Dynastie. Neudruck der zweiten verbesserten Auflage. Osnabrück: Otto Zeller.
    G. Möller (1927b), Hieratische Paläographie. Zweiter Band: Von der Zeit Thutmosis’ III bis zum Ende der einundzwanzigsten Dynastie. Neudruck der zweiten verbesserten Auflage. Osnabrück: Otto Zeller.

Sign	Description	Source	Comments
  A1	seated man	A.H. Gardiner (1957):442	
  A2	seated man with hand to mouth	A.H. Gardiner (1957):442	
  A3	man sitting on heel	A.H. Gardiner (1957):442	
  A4	seated man with hands raised	A.H. Gardiner (1957):442	
  A5	crouching man hiding behind wall	A.H. Gardiner (1957):442	
  A5a	seated man hiding behind wall	A.H. Gardiner (1953):2	
  A6	seated man under vase from which water flows	A.H. Gardiner (1957):442	
  A6a	seated man reaching for libation stone, under vase from which water flows	A.H. Gardiner (1953):2, R. Hannig (1995):663	
  A6b	seated man reaching down, under vase from which water flows	GITB:804-005-650, R.O. Faulkner (1962):211	
  A7	fatigued man	A.H. Gardiner (1957):442	
  A8	man performing hnw-rite	A.H. Gardiner (1957):443	
  A9	seated man with  W10 on head	A.H. Gardiner (1957):443	
  A10	seated man holding oar	A.H. Gardiner (1957):443	
  A11	seated man holding  S42 and  S39	A.H. Gardiner (1957):443	
  A12	soldier with bow and quiver	A.H. Gardiner (1957):443	
  A13	man with arms tied behind his back	A.H. Gardiner (1957):443	
  A14	falling man with blood streaming from his head	A.H. Gardiner (1957):443	
  A14a	man whose head is hit with an axe	A.H. Gardiner (1957):443	
  A15	man falling	A.H. Gardiner (1957):443	
  A16	man bowing down	A.H. Gardiner (1957):443	
  A17	child sitting with hand to mouth	A.H. Gardiner (1957):443	
  A17a	child sitting with arms hanging down	A.H. Gardiner (1957):443	
  A18	child wearing  S3	A.H. Gardiner (1957):443	
  A19	bent man leaning on staff	A.H. Gardiner (1957):444	
  A20	man leaning on forked staff	A.H. Gardiner (1957):444	
  A21	man holding staff with handkerchief	A.H. Gardiner (1957):444	
  A22	statue of man with staff and  S42	A.H. Gardiner (1957):444	
  A23	king with staff and  T3	A.H. Gardiner (1957):444	
  A24	man striking with both hands	A.H. Gardiner (1957):444	
  A25	man striking, with left arm hanging behind back	A.H. Gardiner (1957):445	
  A26	man with one arm pointing forward	A.H. Gardiner (1957):445	
  A27	hastening man	A.H. Gardiner (1957):445	
  A28	man with hands raised on either side	A.H. Gardiner (1957):445	
  A29	man upside down	A.H. Gardiner (1957):445	
  A30	man with hands raised in front	A.H. Gardiner (1957):445	
  A31	man with hands raised behind him	A.H. Gardiner (1957):445	
  A32	man dancing with arms to the back	A.H. Gardiner (1957):445	
  A32a	man dancing with arms to the front	A.H. Gardiner (1928):17, R.O. Faulkner (1962):187	
  A33	man with stick and bundle on shoulder	A.H. Gardiner (1957):445	
  A34	man pounding in a mortar	A.H. Gardiner (1957):446	
  A35	man building wall	A.H. Gardiner (1957):446	
  A36	man kneading into vessel	A.H. Gardiner (1957):446	
  A37	man in vessel	A.H. Gardiner (1957):446	
  A38	man holding necks of two emblematic animals with panther heads	A.H. Gardiner (1957):446	
  A39	man on two giraffes	A.H. Gardiner (1957):446	
  A40	seated god	A.H. Gardiner (1957):446	
