# ↔ δ λ Ϛζ α δ ɠ ~ σ ȳ ł := ɽ/ר/𐬭/λ/r/Ր/l/ƪ
# √ Ḫ ḫ ι ə γ δ φ ϑ Θ θ χ ψ ţ χ ξ
קול 	call 	call
קלך 	call'Euch 	your call
ך 	Euch 	you
ך 	Euch𓎡 	you
ו י 	vahi 	fai'
ו י 	vahi 	weihe
ו י 	vahi 	werde
ו י 	vahi 	cause*
י 	he 	he
# א 	it
רא 	eyra 	see
הי 	have 	there is
הי 	haie 	there is
# יהיו 	wejen 	werden
יהיו 	wejen 	become
# יהיו 	werden 	become
היה 	haia 	were
תן 	don 	give
עש 	does 	does
עש 	usher 	does
וירא 	voyra 	and he sees
וירא 	voyra 	voilà
ו	&	&
ה	ћe	ћe
יהי	weje	be
# כלו 	ciel 	heaven
כלו 	cwhole 	complete
# יהי	weja	werde
שמים	s’Himmeln	sky
את	et	:
# בראשית prepares In the beginning
ברא	beare	creates
ארץ	earth	earth
יאמר	jammer	say
יאמר	jamai	he-said
יאמר	λammer	say
אמר 	'omer 	say
אמר 	homer 	tell
יתה	ist	became
על	del 	on
טע 	do 	plant
תהו	Tohu	empty
בהו	Bohu	void
פני	plane’o	plane of
מרחפת	march'pod	hover
אלהים	Allah	Elohim
ירא 	voyre 	see
היו 	sheva 	she
היו 	heva 	she
בראשית	first	In the beginning	
הבדיל	abteil 	separate
יבדל 	abteil 	separate
יבדילם 	abteil'em 	separate-them
אבדילה 	abteile 	separate
הבדילו 		abteile 	separate
מבדיל 	im'abteil 	separating
יקרא 	a-cry 	call
קרא 	cry 	call
יום 	jourm 	day
בין 	be'een 	between
לילה 	Lila 	night
ערב 	Arbend 	evening
אחד 	erst 	first
תוך 	durch 	through
בתוך 	betwix 	a'midst
# בתוך 	b'durch 	a'midst
בקר 	Bwaker 	morning
טוב 	top 	good
יעש 	usher 	do
אשר 	wesser 	which
מתחת 	umdert 	from-under   	
מעל 	im-all 	from
כן 	sein 	so
שני 	zweini 	two
שני 	zweini 	second
יבשה 	a¬wasser 	dry
יקוו 	áquai 	flow
מקום 	Markum 	place
תראה 	to'eyra 	appear
ימים 	a'Marim 	Ocean
מקוה 	mische 	confluence
תדשא 	to-dash 	to-green
דשא 	dbush 	vegetation
עשב	 asbe 	herb
מזריע 	im-saarten 	sowing
זרע	throw 	seed
זרעו	throw 	his-seed
זרע	Saát𓇡 	seed
פרי 	fruit 	fruit
עשה 	usher 	do
מינו 	mannyr 	manner
מינה	mannyr 	manner
מינהו	mannyro 	his-manner
מינהם 	mannyren 	manners
בו 	bvon 	of-him
ב 	byn 	in
תוצא 	tchose 	bring-forth
תוצא 	schiesse 	shoot-forth
תוצא 	sprieß 	grows
שלישי 	thrithe 	third
מאור 	mover 	light-giver
מארת 	Marth♂ 	Light™
מאורת 	marth 	lights™
ממשלת 	im-marschel 	ruling
ממשלת 	im-marschel 	ruling
משל 	marschel 	rule
ביום	biom 	in-the-day
אתת 	tattoo 	signs
אתת 	autumns 	signs
מועדים 	modes 	seasons
ימים 	jourmen 	days
שנים 	sunmen 	years
האיר 	hoyra 	light
# האיר 	hoyra 	feuer
רקיע 	arc 	heaven
רקיע 	rock 	hull
רקיע 	rock 	stone
רקיע 	rock 	heaven
רקיע 	𓅜𓈌 	Rauch
רקיע 	rock𓈌 	atmosphere
הרקיע 	horizon𓈌 	horizon
גדלים 	gtallenm 	big
גדל 	gtall 	big
קטן 	cuten 	small
כוכבים 	guckuvoym𓁺 	𓁺stars
כוכבים 	concubines𓋴𓋴𓃀𓄿𓇼 	𓁺stars
יתן 	he'don 	he-gives
אתם 	à'them 	to-them
ישרצו 	itheros' 	to-roam
# שרץ 	chercher 	roamer
# שרצו 	cherche 	roame
שרץ 	Scharens 	roamer
שרצו 	schärens 	roame
יברא 	ibrahi 	bear
יברך 	a'bless 	bless
רמשת 	roames 	roames
נפש 	naufish 	creatures
נפש 	nouvis™ 	souls
חיה 	vhaie 	ל'vie
חיה 	vhaie 	live
חיה 	chien 	life
חיה 	shei' 	living
חיה 	zhoo' 	living
חיה 	vhaie 	alive
יעופף 	he'off 	flying
תנינם 	sna'𓆙 	monsters
פרו 	freue 	be-fruitful
רבו 	reben 	growe
כל 	qwhole 	all
כל 	quelle 	all
כל 	𐤲all 	all
כל 	all 	all
כל 	𓎡all 	all
כנף 	wings 	wings
מלאו 	maloch 	work
בימים 	biomarim 	in-the-sea
העוף 	ћaviƒ 	the-flyer
העוף 	higheƒ 	the-flyer
ירב 	ierbe 	growe
ירק 	verɠe 	green
בארץ 	b'eries 	in'earth
חמישי 	cimqs 	five
חיתו 	koyote 	animals-of
# רמש 	roamurs𒈶 	creepers
רמש 	roamers 	creepers
רומש 	roamers 	creepers
אדם 	Adam 	Adam
אדמה 	a'Domo 	the-Man
אדמה 	Adaman 	Earthling
אדמה 	Adaman 	Red-one
אדמה 	Adaman 	the-Man
נעשה 	nousha 	we-shall
נעשה 	nou'shall 	we-shall-make
נעשה 	nousha𓆙 	we-shall-make
בצלמנו 	bin𓏇siminlo𓆈 	similar
בצלמו 	bin𓏇similo𓆈 	similar
כדמותנו 	que'termiten𓏇 	us'similar
בצלם 	wie𓏇simil 	similar
# נעשה 	s𓋴nake 	snakes
# ירדו 	irrte 	swaye
ירדו 	herrde 	dominate
רדו 	herrde 	dominate
בדגת 	fishtaucht 	in-fish-of
ים 	aMean 	ocean
בעוף 	b'ovis 	in-birds
בכל 	oveḫ'all 	over-all
אתו 	at'he 	him
# זכר 	zir子kerl 	male
# נקבה 	Niggvyn 	female
# נקבה 	Kunigunde 	female
# נקבה 	nü女gvyn 	female
זכר 	Zeuger 	male
נקבה 	nu女kurva 	female
כבשה 	capriço 	ewe-lamb
כבשה 	capture 	capture
מלאו 	mvlauf	fill
הנה 	eyene 	behold
נתתי 	ante-don 	I-give
כם 	cyoum 	for-you
יהיה 	haie 	animal
חית 	haýwath 	animals
# חית 	chita 	animals
חית 	creata 	animals
חית 	critter 	animals
חית 	creature 	animals
לכל 	ל𓎡all 	to-all
אכלה 	essen 	food
אכלה 	a'kohl 	food
אכלה 	cookl 	food
מאד 	much 	very-much
יכלו 	a'wḫole 	completed
צבאם 	s'biom 	host?
מלאכתו 	maloched 	work
ישבת 	he'saveth 	he-rested
יקדש 	he'qadesh™ 	he-sanctified
מכל 	im𓎡all 	from-all
שביעי 	siebente 	seventh
שבת 	Siebent 	Sabbath
עשות 	𓊩𓁹! 	made
עשות 	osierit 	made
עשות 	dosiert 	made
עשות 	ushered 	made
תולדות 	totalte™ 	annals-of
# שביעי 	seventhe 	seventh
בהבראם 	be'bearen 	created
מן 	among 	from
השקה 	h'schüttqe 	watering
# אדמה 	𓌨artam 	ground
# אדמה 	𓌨ardam 	earth
# אדמה 	𓌨ardam 	Erden
אדמה 	𓌨erdem 	ground
שדה 	scot 	field
# שדה 	city 	field
טרם 	time¬ 	before
# יצמח 	? sprouteth
לא 	no 	no
יהוה 	יהוה 	Jehovah
יהוה 	YHWH 	Jehovah
יהוה 	Johan 	Jehovah
יהוה 	Jovan 	Jehovah
יהוה 	Jonas 	Jehovah
יהוה 	Jehovah  	Jehovah
