1	אב#1 #1	abba	ʼâb	father of an individual	2) of God as father of his people	3) head or founder of a household,  group,  family,  or clan	4) ancestor	4a) grandfather,  forefathers — of person	4b) of people	5) originator or patron of a class,  profession,  or art	6) of producer,  generator (fig.)	7) of benevolence and protection (fig.)	8) term of respect and honour	9) ruler or chief (spec.)
2	אב	abbe	ʼab	father
3	אב	hip	ʼêb	freshness,  fresh green,  green shoots,  or greenery
4	אב	feaDTh  𓇋𓆑𓂧 (arba'a) אַרְבָּעָה  (arba') אַרְבַּע  tetraba?	ʼêb	fruit,  fresh,  young,  greening
5	אבגתא	OF'GOOD!	ʼĂbagthâʼ	"Abagtha = ""God-given"""	one of the seven eunuchs in the Persian court of Ahasuerus				
6	אבד	avoid away	ʼâbad	perish, vanish, go astray, be destroyed	1a) (Qal)	1aperish,  die,  be exterminated	1a2) perish,  vanish (fig.)	1a3) be lost,  strayed	1b) (Piel)	1bto destroy,  kill,  cause to perish,  to give up (as lost),  exterminate	1b2) to blot out,  do away with,  cause to vanish,  (fig.)	1b3) cause to stray,  lose	1c) (Hiphil)	1cto destroy,  put to death	1c1a) of divine judgment	1c2) object name of kings (fig.)			
7	אבד	avoid away	ʼăbad	to perish,  vanish	1a) (P'al) shall perish	1b) (Aphel) destroy	1c) (Hophal) be destroyed		
8	אבד	הח ACHT𐎎𐎐 ‎(shmona) שְׁמוֹנָה  (shmone) שְׁמוֹנֶה  <> 8.mon <> 𐎘𐎐𐎎2.num  ÀŠ (6) 𒐋+ MIN(2)	ʼôbêd	destruction
9	אבדה	ab’da	ʼăbêdâh	a lost thing,  something lost
10	אבדה	ab’da	ʼăbaddôh	a lost thing,  something lost,  a perishing
11	אבדון	abdown abyss	ʼăbaddôwn	place of destruction,  destruction,  ruin,  Abaddon
12	אבדן	abdown	ʼabdân	destruction
13	אבדן	abdown	ʼobdan	destruction
14	אבה	ּ'wish ≠ haben	ʼâbâh	to be willing,  consent	1a) (Qal)	1ato be willing	1a2) to consent,  yield to,  accept	1a3) to desire	
15	אבה	 א׳בתס 'πάθ.ος pathos ˒אכדס 	ʼâbeh	entreat,  longing,  desire
16	אבה	rebe	ʼêbeh	reed,  papyrus	++++	Probably ships made of reeds or papyrus were the clipper sailing ships of those days because of their speed.			
17	אבוי	ohweh	ʼăbôwy	Oh!,  Woe!,  (exclamation of pain — indicates desire or uneasiness)
18	אבוס	φατνη ey-boy ;)	ʼêbûwç	crib,  manger,  feeding trough
19	אבחה	?	ʼibchâh	slaughter,  flesh,  meat,  slaughtered meat
20	אבטיח	?	ʼăbaṭṭîyach	watermelon,  Egyptian fruit
21	אבי	?	ʼĂbîy	"Abi = ""my father"""	mother of Hezekiah (cf  H029)				
22	אביאל	?	ʼĂbîyʼêl	"Abiel = ""El (God) is (my) father"""	Saul's grandfather				
23	אביאסף	?	ʼĂbîyʼâçâph	"Abiasaph = ""my father has gathered"""	son (descendant) of Korah				
24	אביב	?	ʼâbîyb	fresh,  young barley ears,  barley	2) month of ear-forming,  of greening of crop,  of growing green Abib,  month of exodus and passover (March or April)				
25	אבי גבעון	ab-ee' ghib-one'	ʼĂbîy Gibʻôwn	"Abi Gibon = ""father of Gibeon"""	site of great Bamah,  location of the tabernacle of the Lord in the high place				
26	אביגיל	?	ʼĂbîygayil	"Abigail = ""my father is joy"""	wife of Nabal,  then of David	2) sister of David			
27	אבידן	?	ʼĂbîydân	"Abidan = ""my father is judge"""	a prince (ruler) of Benjamin				
28	אבידע	?	ʼĂbîydâʻ	"Abida or Abidah = ""my father knows"""	fourth son of Midian and grandson of Abraham by his wife Keturah (after Sarah died)				
29	אביה	?	ʼĂbîyâh	"Abia or Abiah or Abijah = ""Jehovah is (my) father"""	king of Judah,  son and successor of Rehoboam	2) second son of Samuel	3) son of Jeroboam the first,  king of Israel	4) son of Becher,  a Benjamite	5) head of a priestly house (one of the 24 Levite groups)	6) head of a priestly house (after the exile)	7) wife of Hezron	8) mother of Hezekiah (cf  H021)		
30	אביהוא	?	ʼĂbîyhûwʼ	"Abihu = ""he is (my) father"""	a son of Aaron destroyed for sacrificing strange fire to God				
31	אביהוד	?	ʼĂbîyhûwd	"Abihud = ""my father is majesty"""	son of Bela,  a Benjamite				
32	אביהיל	?	ʼĂbîyhayil	"Abihail = ""my father is might"""	a Levite in Moses's time	2) a Gadite	3) father of Esther	4) wife of Abishur	5) wife of Rehoboam
33	אבי העזרי	ab-ee'-haw-ez-ree'	ʼĂbîy hâ-ʻEzrîy	"Abiezrite = ""my father is help"""	one of the family of Abiezer,  a descendant of Joseph's son,  Manasseh				
34	אביון	?	ʼebyôwn	in want,  needy,  chiefly poor,  needy person	2) subject to oppression and abuse	3) needing help,  deliverance from trouble,  especially as delivered by God	4) general reference to lowest class		
35	אביונה	?	ʼăbîyôwnâh	caper-berry-of stimulating desire
36	אביטוב	?	ʼĂbîyṭûwb	"Abitub = ""my father is good(ness)"""	son of Shaharaim,  a Benjamite				
37	אביטל	?	ʼĂbîyṭâl	"Abital = ""my father is (the) dew"""	a wife of David				
38	אבים	?	ʼĂbîyâm	"Abijam = ""my father is the sea"" or ""Yah(u) is (my) father"""	king of Judah,  son and successor of Rehoboam				
39	אבימאל	?	ʼĂbîymâʼêl	"Abimael = ""my father is El (God)"""	son of Joktan,  descendant of Shem				
