전원의  행진	promenade				
1회의 최저 판매량	minimum purchase				
70세	threescore				
걸쇠만 걸고	on the  latch				
검은고니	black  swan				
겨우 말문이 열리다	find one's  tongue				
경계인	marginal man				
곤경에 빠져 있는 것을 모른체하다	leave a person in the  lurch				
교수	teach(er/ing)	√class gJesu! Xuesung			
그런대로	for what it is  worth				
단면	fore edge				
대예언서	(the  Major Prophets				
뒤집히다	turn  turtle				
몹씁 장난	practical  joke				
물이 새지 않다	hold  water				
박탈하다	forejudge				
박탈하다	forjudge				
번지 레지스터	MAR				
베리식 신호광	very light				
살을 에는 듯하다	cut like a  knife				
살찌게 하다	tallow				
선의로 해석하다	take  kindly				
손가락 자국	thumbmark				
손님을 환대하다	keep  open house				
술통에서 갓낸	from the  wood				
스타트하다	get off the  mark				
아침 노래	matin				
어려움을 모면하여 배를 후진시키다	above  water				
여선생	schoolmarmish				
연장의 큰 브라운	(Brown  major				
열중하여	on the  make				
오락장거리	midway				
유행되고 있다	be in  wear				
일원이 되다	make  one				
일체 백지로 돌리다	clean the  slate				
자기의 것이 되다	come into one's  own				
자랑을 늘어 놓다	mount (ride) one's  hobby				
점잔빼다	look  wise				
정상이다	be  oneself				
정숙을 명하다	call to  order				
주맥	midrib				
주인	host	juin			
죽어서도 눈을 못 감게 하다	make (a person) turn in his  grave				
짓궂은 사람	dog in the  manger				
쨍쨍거리는 여자	common  scold				
처리할 수 있는	machinereadable				
총톤수	gross(net)  tonnage				
큰쪽의	major	conjogia			
키스를 보내다	blow a  kiss				
통틀어	in(by)the  lump				
하여주다	oblige				
해병대	marine	(s)he byong.de			
호화판	edition de  luxe				
100파운드	keg				
10걸	the best  ten				
10분의 1의 세	mixed tithe				
10일	tenth	10𓂋  10.Teil𓇺	10er 𓂌𓂍 fractions!		
12월	Adar				
16세기	cinquecento				
1단	tier				
1차 냉각수	primary coolant				
1차막	primary wall				
1통	counterpart				
1학년생의	freshman				
2개의 주사위를 굴리어 나온 질 숫자	crap				
2군 선수	halfblue				
2등	tourist class				
2인승 우주선	Gemini				
3배수의	triploid				
3색판	threecolo(u)r				
3행 광고	want ad				
4색 가설	fourcolor conjecture				
4인용 2륜마차	jaunting car				
4채널방식	quadraphonic				
4행정의	fourstroke				
5월의 여왕	Maid Marian				
60년제	diamond (silver)  jubilee				
6배의	six				
9일기도	novena				
가 지출결의	token vote				
가격 협정	pricefixing				
가까운	proximal				
가까이 못하게 하다	keep				
가끔	once in a  while	quoncem	com 끔 time		
가는 철사	cat('s) whisker	conan yhairsa			
가늘게 뜨다	squint				
가늘게 자르다	French				
가늘게 하다	thin				
가늘고 긴 홈	channel				
가닥이 진	proged				
가두다	lock in, shut in				
가두리를 꾸민	fringing				
가득찬	flush				
가라앉다	submerge				
가라앉히다	lull				
가락을 올리다	key				
가로막다	hedge				
가로수 길	vista				
가로장	tread				
가루 반죽	puff paste				
가루 부스러기	frass	ko…frass러기	Kot		
가르치다	accomplish				
가림 판	modesty panel				
가망 없는 것으로 치고 단념하다	give up for  lost				
가맹국	member nation	commun kurg		++	
가면극	masque	ga.myncec	𓋳 	+>	
가미하다	lace	gamasche!!	𓋳 	++	
가방	school bag	gab~bag~bang	√cover	++	
가벼운	venial		verzeihlich		
가사 일만을 맡아 보는 하녀	maid	gyn			
가상의 적과 싸우다	tilt	kipp			
가스	wind	gust, qo.shu		++	
가스 정류장 장치	manostat				
가슴걸이	martingale				
가슴으로 테이프를 끊다	breast the  tape				
가시 면류관	crown of  thorn  s				
가옥	a house, building	Gaog < keorg!			
가이드 레일	guide rail				
가장  않다	least				
가장자리	verge				
가장자리 레이스	seaming				
가정 수호신	household gods				
가정부	ladyhelp				
가죽	leather	le djurg			
가죽끈	leash				
가죽나무	tree	gajugna? Mu			
가죽배	umiak				
가죽을 대다	tap				
가죽을 두두리는 받침돌	lapstone				
가지	tine	gati			
가지가 7개 있는 장식 촛대	menorah				
가지치기	pruning				
가짜 자라 수프	mock turtle(soup)				
가짜약	quack	cajjayck			
가출옥 허가서	ticket of leave				
가출옥자	ticketofleave man				
가필하다	touch				
각 주파수	pulsatance				
각종 소형 자동차	funabout				
간격	interval				
간결함	laconism				
간담회	talkfest				
간선	main line				
간섭	meddling				
간이 부엌	kitchenet				
간이 의료 보조원	primary health worker				
간혹	once	gonhc			
갈기갈기	from  limb				
갈다	shed				
갈색 반점	fox mark				
감금되어 있다	be under  ward				
감는 장치	take up				
감다	wind				
감독 대리	vicargeneral				
감독을 받고	under  surveillance				
감독하다.	proctor				
감미로운	saccharine				
감상적인	melting				
감시원	tidewaiter	cam see.van			
감시하다	keep (a)  watch	cam see.hado			
감시하다	watch	cam see.hado			
감아 올리는 장치	take up				
감안	consideration for sth in the figuring of				
감은 끝의 공백의 부분	trailer				
감찰	license plate				
감탕흙	ooze				
갑상 연골	thyroid				
갑자기	all at  once				
갑자기	out of a clear  sky				
갑자기 길로 벗어나다	fly (go) off at a  tangent				
갑자기 되튀다	kick				
갑자기 정지하다	check				
갑작스레 죽다	hop the  twig				
갓	calyptra				
갓천	tabling				
강의뜻	coel-				
강적	tiger, enemy	kang zagh			
강제하다	wish				
강해지다	tone				
갖은 수가 다하여	at the end of one's  tether				
같은	Mephistophelean, Mephistophelian				
개가식	open access				
개괄적으로	in the  general				
개시	Throw off				
개인 부담 환자	private patient				
개인 영업	private practice				
개인 인쇄소	private press				
개인 천막	shelter tent				
개인주의	privatism				
개자식	son				
개정기	term				
개정일	juridical				
개종하다	find  salvation				
객석조명	houselights				
객원 강사	privatdocent				
객원 강사	privatdozent				
객원 교수	visiting professor				
거꾸로	upside				
거꾸로 말하면	over the  left				
거대 유조선	megatanker				
거두다	score				
거들어서 벗겨주다	help				
거물	big  shot	ka’mel malik 长 meyr!	≠ cháng		
거부권	veto	ceh’buquan			
거센파도	tide rip(s)				
거웃	fur, pubic hair	coat			
거의	kind	ki* kind			
거의  마찬가지	only	seul.ment!			
거점	toehold				
거짓말도 작작 해라	marine				
거짓말을 하여 법석 떨게 하다	cry  wolf				
거짓에 가득찬 생활을 보내다	live				
거짓잠	makebelieve				
거품	frog spit, foam!				
거품	frog spittle				
거품 이는	humming				
건곤일척의 승부를 하다	go the  vole				
건널목 안전 당번	crossing guard				
건반	keyboard	KeynBoan ~			
건재	hutting	contor √construct			
건조장	oast house	Con-…			
걷다	leg	goto! Go/iter			
걷어 올리다	tuck				
걷어차다	lash				
걷힘	lift				
걸다	hitch				
걸레받이널	mopboard				
걸리기 쉬운	liable				
걸리다	take				
걸쇠	agraffe				
걸언 가다	walk				
걸을 수 있게 되다	feel(find)one's  leg  s				
걸치다	shuffle				
검경관	object plate				
검량	metage				
검은 방울새의 일종	yellowbird				
검인 재판소	probate court				
것	concern				
것은 무엇이나	what				
겉	crust				
겉옷	crawler				
겉으로 보기에	seemingly				
겉잠	forty  wink  s				
겉치례뿐이다	have all one's goods in the (front)  window				
게다가	and  that				
게시판	tack board				
게시하다	write				
겨를 까부르다	winnow				
격발	spate				
격에 맞지 않게	out of one's  latitude				
격자	lattice				
격자형 배열	lattice				
견뎌내게 하다	tide				
견뎌내다	last				
견디다	keep				
견지	a slanting point of view (특수한), point of  view				
결빙	frazil				
결석의	lithic				
결승 시합을 하다	play (shoot) off the  tie				
결승전	cup final				
결승점	winning post				
결실	fructification				
결실 기관	fructification				
결정하지 않다	hang				
결코 아니다	(in) no  wise				
결코 않다	never				
결탁	logroll				
결투재판	wager				
결판내다	louse				
