a  [BIRD-CRY]  𒀀  a  "a bird-cry" 
A  [WEAPON]  𒋢𒀉  kuš A2  "a weapon or  a leather holder for a weapon" •arm
a'a  [TEXT]  𒀀 ;𒀀𒀀  a ;  a-a  "a text, the scribal exercise a-a" 
ab  [FISH]  𒀊𒄩  ab ku6  "a fish" 
ab  [FISH~A]  𒀊𒄩  AB ku6  "a fish" 
ab  [FISH~B]  𒀖𒄩  ab2 ku6  "a fish" 
AB.guda  [FISH]  𒀊𒄘𒁕𒄩  AB-gu2-da ku6  "a fish" 
ABA  [TREE]  𒄑𒀀𒁀  ĝeš A.BA  "a tree" •arbo- arba
abala'e  [FISH]  𒀀𒁄𒂊𒄩  a-bal-e ku6  "a fish" 
abala'e  [STONE]  𒎎𒀀𒁄𒂊  na4 a-bal-e  "a stone" 
abbun  [GRAIN]  𒀊𒁍𒈾;𒀊𒁍𒌝  ab-bu-na ;  ab-bu-um  "a qualification of grain" bueno? buena? buem? good
abdu  [VEGETABLE]  𒀊𒆕  ab-du3  "a part of a vegetable" #elītu 
abgal  [PROFESSION]  𒀖𒃲  ab2-gal  "a profession" #? 
abni  [CRUCIBLE]  𒆠𒉈  abni2  "a melting pot, crucible" #maşādu 
abri  [STUFF]  𒀖𒊑  ab2-ri  "a raw material" 
abrig  [FUNCTIONARY]  𒉣𒈨𒁺;𒀖𒉣𒈨𒁺;𒀖𒊑𒅅  abrig ;  abrig2 ;  ab2-ri-ig  "a cultic functionary" #abriqqu 
abseda  [FISH]  𒀊𒋧𒁕𒄩  ab-se3-da ku6  "a fish" 
abšar  [COW]  𒀖𒊹·(𒉈)  ab2-šar x (NE)  "a type of cow" 
abum  [FUNERARY MOUND]  𒀀𒁍𒌝  a-bu-um  "a festival; mound for funerary use" #apu opum? <<<
aburuma  [SHOE]  𒀉𒁍𒊒𒈠  a2-bu-ru-ma  "a shoe" 𓃀 bróg , پێڵاو pêllaw полуботи́нок polubotínok
aburusig  [BIRD]  𒉢𒁓𒄀𒄷;𒀉𒉢𒁓𒄀𒄷  buru4-sig17 mušen ;  a2-buru4-sig17 mušen  "a bird" 
ad  [BUSH]  𒌑𒄉; 𒄉  ad5 ;  ad2  "a thorn bush" #ašāgu ;  eddidu ;  eddittu 
adab  [DRUM]  𒀀𒁕𒀊;𒀀𒁕𒁀  a-da-ab ;  a-da-ba  "a drum; a song" #adapu 
adaba  [MUSICIAN]  𒀀𒁕𒁀  a-da-ba  "a musician" 
adagur  [POT]  𒀀𒁕𒆸;𒀀𒁕𒍀;𒀀𒁕𒆳  a-da-gur4 ;  a-da-gur5 ;  a-da-kur  "a libation pot" #adagurru 
ᵇˡadama  [DISCHARGE]  𒁁𒈪  adama  "a dark-colored bodily discharge" #adamatu 
ʷadama  [OBJECT]  𒄑𒀀𒁕𒈣  ĝeš a-da-ma2  "a wooden object" 
ᵇadamin  [FISH]  𒀀𒁕𒌋𒌋𒄩  a-da-min3 ku6  "a fish" 
ʷadar  [PLANT]  𒄑𒀀𒁯  ĝeš a-dar  "a type of wood; a plant" #atartu ;  na-ba-zu-um  water wood?
adardarak  [BIRD]  𒀀𒁯𒁯𒊏𒄷;𒁕𒁯𒄷;𒀀𒁯𒁯𒄷  a-dar-dar-ra mušen ;  da-dar mušen ;  a-dar-dar mušen  "a bird" #? 
adarhub  [FISH]  𒀀𒁯𒄸𒄩  a-dar-hub2 ku6  "a fish" 
addir  [PROFESSION]  ¿𒋛𒀀;¿𒀀𒋛;𒀀¿𒋛;¿𒋛;¿𒋛;¿𒉻𒋛  |LAK589.SI.A| ;  |LAK589.A.SI| ;  |A.LAK589.SI| ;  |LAK589.SI| ;  |LAK590.SI| ;  |LAK589.PAD.SI|  "a profession" 
addu  [BIRD]  𒄉𒌌;𒀖𒁺𒄷  ad2-du7 ;  ab2-du mušen  "a bird" 
adla  [HARNESS?]  𒀜𒇲  ad-la2  "a type of collar or harness?" 
adtab  [~HARNESS]  𒀜𒋰  ad-tab  "a part of a harness" 
adNE  [PROFESSION]  𒀜𒉈;𒇽𒄑𒀜𒉈  ad-NE ;  lu2 ĝeš ad-NE  "a profession" 
a'eĝir  [WEIR]  𒀀 𒂕 ;𒀀𒌈  a-eĝir ;  a-egir4  "a weir or dam" abgeir ≈ ᵍweir
aga  [VESSEL]  𒌓𒊕𒁇𒂇  zabar aga  "a type of vessel" 
agabal  [HOIST]  𒀀𒂵𒁄  a-ga-bal  "a hoisting device (connected to a pole) for drawing water" #dulûtu √aqua
agaGINma  [~AX]  𒄑𒂇𒂆𒈠  ĝeš aga-GIN2-ma  "a designation of axes" 
agam  [PROFESSION]  𒀀𒂵𒄠  a-ga-am  "a profession" 
aganĝar  [DISEASE]  𒀀𒂵𒀭𒃻  a-ga-an-ĝar  "a disease" ≈
AGAR  [VESSEL]  𒇋  |LAGAB×IGI@g|  "a vessel" 
agargara  [FISH]  𒉩𒄩;𒄩𒉩  agargara ku6 ;  ku6 agargara  "a fish" <> Gräte
agargarasila  [FISH]  𒉩𒋡𒄩  agargara-sila3 ku6  "a fish" 
agasilig  [AX]  𒂇𒍂  aga-silig  "a type of ax" #agasalakku 
aga'us  [SOLDIER]  𒂇𒍑;𒂆𒍑  aga-us2 ;  aga3-us2  "a soldier" #rēdû 
agia'um  [GARMENT]  𒌆𒀀𒄄𒀀𒌝;𒌆𒀀𒄄𒌝  tug2 a-gi4-a-um ;  tug2 a-gi4-um  "a garment" 
agir  [REED]  𒄀 𒀀𒁽  gi a-gir5  "a reed" 
aguba  [VESSEL]  𒂁𒀀𒇷𒁀  dug a-gub2-ba  "a cultic vessel for water" #agubbû 𒂁 ≈ 𓎯 aqua Kübel 𓈎 𓃀 𓎛 𓎯 𓏂 𓏁 𓈗  
agugPI  [OBJECT]  𒀀𒈖𒉿  a-gug2-PI  "a metal item" / AB.GAR5.PE / A.LU3.WE  
aĝar  [TOOL]  𒀉𒃻  a2-ĝar  "a tool" 
aĝiaĝi  [BIRD]  𒀀𒈪𒀀𒈪𒄷  a-ĝi6-a-ĝi6 mušen  "a bird" 
aĝizzal  [DISEASE]  𒀀𒄑𒌆𒉿𒎓𒉣·(𒄑𒌆𒉿¿𒋫??)  a-ĝizzal x (|GIŠ.TUG2 .PI.ŠIR2 t.SIL2 |)  "a disease" #na'lu 
ah  [SPITTLE]  𒌔;𒆵;𒀀𒄴  ah6 ;  uh3 ;  a ah  "a paste; phlegm, mucus, sputum; foam, scum; saliva, spittle; poison" #hahhu ;  hurhummatu ;  illātu ;  imtu ;  ru'tu ;  rupuštu ;  uhhu 
a'igi  [WEIR]  𒀀𒅆  a-igi  "a weir or dam" √guard  ≠ 𒀀𒅆 bu4igi Bach
a'igidu  [WORKER]  𒀀𒅆𒂃  a-igi-du8  "a canal worker" #sēkiru 
A'IGILU  [BOATMAN]  𒀀𒅆𒇻  A.IGI.LU  "a boatman" #? 
akan  [BIRD]  𒁛𒄷  akan mušen  "a bird" •Otter
akanni  [BIRD]  𒁛𒉌  akan-ni  "a bird" 
akiti  [FESTIVAL]  𒀉𒆠𒋾;𒀉𒆠𒋼;𒀉𒆠𒌈  a2-ki-ti ;  a2-ki-te ;  a2-ki-tum  "a festival at new year; month name" #akītu 
aktum  [GARMENT]  𒀀𒋢;𒌆𒀀𒋢;𒀀𒋢𒌆;𒌆𒋢𒀀;𒋢𒀀𒌆  aktum ;  tug2 aktum ;  aktum tug2 ;  tug2 aktum2 ;  aktum2 tug2  "a type of garment" #şapšu bags
ala  [DEMON]  𒀀𒇲  ᵛa-la2  "a demon" #alû vile villain < balla ≈ baal
ala  [DRUM]  𒋢𒀉𒇲;𒋢𒀀𒆷;𒋢𒌷  kuš a2-la2 ;  kuš a-la ;  kuš ala  "a wooden drum" #alû <> 𒀠𒃻 al-gar 
ala  [OBJECT]  𒍏𒀀𒇲;𒀀𒇲  urud a-la2 ;  a-la2  "a metal object" 
alad  [SPIRIT]  𒆘;𒆗  alad ;  alad2  "a spirit" #šēdu 
alal  [WOOD?]  𒀀𒋭;𒂊𒇷𒂖  a-lal3 ;  e-le-el  "a type of wood or a stone" #elallu 
alal  [~TEMPLE]  𒀀𒋭  a-lal3  "a part of a temple" 
alam  [EXCLAMATION]  𒀀𒇴  a-lam  "a type of exclamation" 
algameš  [STONE]  𒌓𒊩𒄸  algameš  "a stone; a jug, can" #algamišu ;  kûtu 
alĝar  [INSTRUMENT]  𒄑𒀠𒃻;𒀠𒃻  ĝeš al-ĝar ;  al-gar  "a musical instrument" #alû 
allub  [TOOL]  𒀠𒈜  al-lub  "a tool" ^^^ √grab
alšub  [TOOL]  𒄑𒀠𒊒;𒄑𒀠𒅇𒊒  ĝeš al-šub ;  ĝeš al-u3-šub  "a tool" #šelliptu 
am  [BIRD]  𒄠𒄷  am mušen  "a bird" 
amalug  [GODDESS]  𒂼 MUŠ3  amalug  "a priestess; goddess" #amalītu ;  ištaru 
amam  [JAR]  𒄠 𒄠;𒄠𒈠𒄠  am-am ;  am-ma-am  "a beer jar" #ammammu 
amama'um  [JAR]  𒄀𒄠𒈠𒄠𒈠𒌝  gi am-ma-am-ma-um  "a jar" 
amamdadu  [POT]  𒄠𒄠𒁕𒆕  am-am-da-du3  "a pot" marmita 𓐢 𓂋 𓏏 𓏊 𓈋 "jar" ≈ mount 𒄠
amam'usan  [~WHIP]  𒋢𒂼𒉮  kuš ama-usan3  "a part of the whip" 
amani  [PLANT]  𒌑𒂼𒉌  u2 ama-ni  "a plant" 
AMAR.GIŠ.da  [FISH]  𒀫𒄑𒁕𒄩  |AMAR.ĜIŠ|-da ku6  "a fish" 
amargaba  [~CHILD]  𒀫𒃮  amar-gaba  "a designation of children of female workers" 
amargu  [STONE]  𒎎𒀫𒄘  na4 amar-gu2  "a stone" 
amarsaĝ  [DOVE]  𒀫 𒊕  amar-saĝ  "a dove" #amursānu 
AMBAR.DAG  [BIRD]  𒆹𒁖𒄷  AMBAR-DAG mušen  "a bird" 
ame  [WEAPON]  𒀉𒀞  a2-me3  "a weapon" #? 
amharu  [PLANT]  𒄠𒄩𒊒  am-ha-ru  "a plant" #alamû ;  amhara 
amsihara  [PLANT]  𒌑𒄠𒋛𒄩𒊏;𒄠𒋛𒄩𒊏  u2 am-si-ha-ra ;  am-si-ha-ra  "a plant" 
amsiharranak  [PLANT]  𒌑𒄠𒋛𒄯𒊏𒀭𒈾  u2 am-si-har-ra-an-na  "a plant" 
AMUŠDU  [LAND]  𒀀𒈲𒁺  A.MUŠ.DU  "a qualification of land" 
ana  [OBJECT]  𒄑𒀉𒈾  ĝeš a2-na  "a wooden object" 
andahšum  [PLANT]  𒀭𒈭𒋳  an-dah-šum  "a plant" #andahšu 
