Glyphs	Convention	Transcribed	Meanings	Connection	√√	Akkadian
𒀉	a₂	a	arm; labor; wing; horn; side; strength; wage; power	•arm ≈ ahuᵐ		#ahu;idu 
𒀉	a₂	a	time	ahuʳ ≈ hour  idu ≈ ud	!!	
𒀉𒉘	a₂aĝ₂	a aĝ	to command; to instruct	act <> instruct		#(w)u'uru 
𒀉𒁁	a₂bad	a bad	'to spread the arms'	•part		#? 
𒀉𒁯	a₂dar	a dar	to confiscate, seize illegally; to sequester; to take hold of	≈		#dâşu 
𒀉𒁆	a₂dub₂	a dub	to flutter the wings	balag ≈ flutter ≈ порха́ть porxátʹ  a'dub <> ondear		#šâhu ša işşuri 
𒀉𒌓𒁺	a₂'e₃	a e	to rear, bring up (a child); to take care of	ar.ra'e₃ ≈  rear ≈ 'rādū ≈		#rubbû 
𒀉𒄥	a₂gur	a gur	'to turn the arm'	•churn		#? 
𒀉𒅅	a₂ĝal₂	a ĝal	to help, to assist	agnal ≈ օգնել ōgnel !!!  IG ≈ aid? give arm?		#? 
𒀉𒅅	a₂ĝal₂	a ĝal	strong	gro.os groß gran.de gro.al		#lē'û 
𒀉𒃻;𒀉𒂷𒂷;𒀉𒅅	a₂ĝar;a₂ĝa₂ĝa₂;a₂ĝal₂	a ĝar	to defeat	@guerre		#dâşu 
𒀉𒅍	a₂il₂	a il	to carry	𒅍 guru₃ carry		#? 
𒀉𒅍	a₂il₂	a il	'to raise the arm'	√il elevate		#idu našû 
𒀉𒇲	a₂la₂	a la	'to bind the arm'	…		#kamû;kasû 
𒀉𒈤	a₂mah	a mah	to strengthen	√arm		#? 
𒀉𒅆𒊒	a₂pad₃	a pad	?	?		#? 
𒀉𒋤	a₂sud	a sud	to spread,; to sail; to run	#šadāhu  𒋤 serpent ≈ spreading		#šadāhu 
𒀉𒋗𒌌	a₂šu du₇	a šu du	'to equip oneself perfectly'	𒋗𒌌 a'qad<e'quipt?		#? 
𒀉𒋧	a₂šum₂	a šum	to give power (to somebody)	•assume		#? 
𒀉𒋧	a₂šum₂	a šum	to overpower?	? supreme?		#? 
𒀉𒊑	a₂tal	a tal	to engulf?	?		#? 
𒀉𒉿	a₂tal₂	a tal	'to spread the arms'	•Teil		#? 
𒀉𒌅𒇻	a₂tu-lu	a tulu	'to slacken the arm'	<>		#ida #ramû 
𒀉𒍑	a₂us₂	a us	'to lean the arm against something'	/		#? 
𒀉𒍣	a₂zig₃	a zig	'to raise the arm'	•zeig		#? 
𒀉𒉘𒂷	a₂aĝ₂ĝa₂	a'aĝa	assignment; news 	≈ assign[ment]		
𒀉𒀭𒋩;𒀉𒀭𒀫;𒀭𒋩	a₂an-sur;a₂an-zur;an-sur	a'ansur	spadix; broom of date spadices	/		#sissinnu 
𒀉𒀾	a₂aš₂	a'aš	sign	𓏏𓇋𓏏𓂅 title 𒀉 IT 𒀉𒀾 :		#īttu 
𒀉𒀾	a₂aš₂	a'aš	supplies	IT.aš ≈		#hišihtu 
𒀉𒀾; 𒀾	a₂aš₂;aš₂	a'aš	wish, desire; curse	•ar.ITU ≈		#arratu 
𒀉𒂦;𒀭𒁁	a₂bad₃;an-bad	abad	shelter	Baut		#tabinu Anbaut Einbaut …
𒀉𒁁𒅅	a₂bad-ĝal₂	abadĝal	protective	𒀉 brachio 𒁁𒅅 •part-ek ≈ protect 		
𒀉𒁄	a₂bal	abal	substitute?	?		#enû 
𒀉𒁔;𒀊𒁔	a₂bur₂;ab-bur₂	abbur	nook 	√par(s/t) bazter پەنا pena		
𒀉𒁍𒁕	AR-gid₂da	agida	spear	as.pur.da spear™		#ariktu 
𒀉𒄞𒄷𒌝	a₂gu₄-hu-um	aguhum	"an item of clothing, sash?,	blanket?"	? юрған yurğan?		#patinnu 
𒀉𒄘𒍣𒂵	a₂gu₂zig₃-ga	aguziga	dawn	???		
𒋢𒀀𒂷𒇲;𒋢𒀉𒂷𒇲	kuš a-ĝa₂la₂;kuš a₂ĝa₂la₂	kuš'aĝala	leather sack	•GeSäckel @ Rock?		#naruqqu 
𒀉𒃻	a₂ĝar	aĝar	part of garment 	aĝar.ment		
𒀉𒃻	a₂ĝar	aĝar	part of roof 	𓎼 Giebel Gabel 		
𒀉𒄑𒃻𒊏;𒀉𒄑𒂷𒊏	a₂ĝeš-ĝar-ra;a₂ĝeš-ĝa₂ra	aĝešĝara	production norm	<<		#iškāru 
𒀉 𒄊	a₂ĝiri₃	aĝiri	limbs	limbs <> anger ancle? अङ्ग aṅga ☑ arc ағза ağza		
𒀉𒄾𒅅;𒀉𒄷𒌌𒅅	a₂hul-ĝal₂;a₂hu-ul-ĝal₂	ahulĝal	mistreatment	√Heul.ig		
𒀉𒅆𒌨	ᵐa₂hulu	ahulu	malice 	ᶠa₂hulu ≈ foul  ᵐa₂hulu ≈ malice 		
𒀉𒅍	a₂il₂	a'il	laborer wa'gur₃ worker	ail, labor		<<
𒀉𒋻	a₂kud	akud	cripple	<<		#akû 
𒀉𒌑;𒁹𒌑	a₂kuš₃;a₂₁(diš)-kuš₃	akuš	forearm; cubit 	𒌑≈fore 𒀉≈arm		#ammatu ≈ armatur
𒀉𒊨	a₂kuš₂	akuš	toil, labor	rackern		#manahtu ≈ manu
𒀉 𒇲	a₂la₂	ala	manacles 	𒀉 𒇲 manu-cul		manacles 
𒀀	a	a	water; semen; progeny	eau		#mû;rihûtu •Rhein 
𒀀𒌤	a de₂	a de	to irrigate (by flooding)	bu₄de ≈ flood @ 𒀀𒋻 bu₄tar water channel		#šaqû ša eqli 
𒀀𒅗	a dug₄	a dug	to irrigate (from canal water)	dig		#šaqû ša eqli 
𒀀𒄀;𒀀𒄄	a gi;a gi₄	a gi	to deflower	bu₄gi ≈ •fuck		#naqābu 
𒀀𒃻	a ĝar	a ĝar	to irrigate	acker		#rahāşu 
𒀀𒊏𒄴;𒀀𒊏	id₅ra-ah	a rah	to drown 	id₅rāhⁿ a'drown		
𒀀𒊑	a ri	a ri	to impregnate	bu₄ri 𒀀.𒊑 ambi.regna? 		#'rehû 
𒀀𒊒	a'ruᵏ	a ru	to dedicate	bu₄ru ≈ bear 𓉐 bring		#šarāku 
𒀀𒋩	ᵠa-sur	a sur	to urinate 	bu₄sur •pisser/wasser		
𒀀𒅎;𒀀𒀀𒋗𒉀;𒀀𒋗𒉀	ʷa.tu₁₅;ʷa.tu₁₇;ʷa.tu₅	a tu	to wash, bathe	•water wade>wath>wash		#ramāku •remake;)
𒀀𒀊𒁀	a-ab-ba	a'abak	sea(water) 	<> Ebbe √heb		
𒀀𒀝	a-ak	a'ak	? 	?		
𒀀𒆹	a-ambar	a'ambar	marsh water	/		#? 
𒀊;𒀀𒀊𒋫	ab;a-ab-ta	ab	sea	Ob Ebbe √heb	++	#tâmtu 
𒀊	ab	ab	window, window opening	abᵒⁿ •open 	++	#aptu
𒀀𒁀	a-ba	aba	who?	𓇋 𓊪 𓅱 •abho a'who? 𓊪𓍢	++	#mannu 
𒍱	|AB×A|	ABAᵗ	bathing chamber	Abort a'bath  	+++	
𒍱𒊮	|AB×A|-šag₄	ABAšag	center of the bathing chamber? 	/		
𒀀𒁀𒃻𒊏	a-ba-ĝar-ra	abaĝara	fetus	obĝar ≈ עוּבָּר 'ubar	+++	#kūbu gaba abag reverse <> Göre
𒀀𒁀𒄴𒊿	a-ba-ah-šin	abahšin	early harvested grain	/		#abahšinnu 
𒀀𒁀𒀠	a-ba-al	abal	dry	abaᵃˡ αὖος	<++	
𒀊𒄭𒅕	ab-hi-ir	abhir	dry, seasoned (of wood)	^^ pry paleo		#nahru 
𒇽𒀀𒁄;𒇽𒀊𒇲	lu₂ a-bala;lu₂ ab-la₂	abala	water drawer	√pull füll …	<++	#dālû 
𒀖	ab₂	ab	cow	꜂alp <> Kalb	!!!!	#arhu;littu 
𒀖𒂵	ab₂ga	abga	milk cow 	ob-cow alp-cow  reanalysis		
𒀖𒂵	ab₂ga	abga	suckling female calf 	ob-calf		
𒀖𒀫𒂵	ab₂amar-ga	abamarga	female calf 	Kalb'mother	<<	
𒀖𒊒𒌝	ab₂ru-um	abrum	storage facility 	… room		
𒀖𒊒𒋳	ab₂ru-šum	abrušum	medicinal plant	"""Calvesfoot"" or ""Coltsfoot"" (Tussilago farfara)  ""Abrohós"" (Sambucus ebulus)  ""Danewort"" or ""Dwarf Elder."" "	<<<??	#aprušu <> arbo
𒀖𒊕	ab₂saĝ	absaĝ	top strap 	<<		
𒀀𒁇 𒊏	"a-bar-raᵏ abara عرق ʕaraʾ عرق 'araq •rich ""sweat"""	abara	sweat 	аԥҳӡы apḥdzə عرق ʕaraʾ	+ ++>	#zūtu sweatu
𒀀𒁀𒊏𒁺	a-ba-ra-ša₄	abaraša	truly	wahrsag / •ambaraša <> merit <> maat		#abarša 
𒀊;𒀊𒁀;𒀋	ab;ab-ba;abba₂	abba	old (person); witness; father; elder; an official	Opa	+++	#abu šību 
𒌓𒄷𒄭𒉣	abbununnu	abbununnu	dark day	UD.HU.HI.NUN noon   dämmer dim dark noon nong 	<<	#ūmu da'mu 
𒉣𒈨𒅤;𒉣𒈨	abgal₂;abgal	abgal	sage; priest	𒉣𒈨 gnome < gnost!		#apkallu 
𒀊𒃻	AB.GAR	ABGAR	wave? 	a'Woger?		
𒀀𒁉𒃲;𒀀𒉈𒀀𒃲;𒀀𒁉𒅅;𒀉𒁉𒅅	a-bi-gal;a-bi₂a-gal;a-bi-ĝal₂;a₂bi-ĝal₂	abigal	person associated with funerals	•Abbe!		#abigallu  #qabbiru
𒀀𒁉𒍝	a-bi-za	abiza	stone chip 	<> petra? <> spitz?		<<
𒀊𒆠𒄑	ab-ki-iz	abkiz	cleaned furrow(?)	?		#apkisu 
𒀊𒇲	ab-la₂	abla	?	?		#? 
𒀊𒋭;𒆼;𒇦	ab-lal₃;ablal;ablal₃	ablal	nest	a'flügge ? dišpu		#qinnuˢ
𒀳;𒀊𒉆;𒆠𒀸𒀸	absin₃;ab-sin₂;absin	absin	furrow	bordzăⁿ ab'šan шан şırım шияр šiyar sulco  𐎚𐎍𐎎 tlm תֶּלֶם télem tilling sillon   ակոս akosᵒⁿ  𒆠𒀸𒀸 خط कुंड kuṇḍ ḵaṭ qırış Kante		#abšinnu;šer'u 
𒀊𒊮	ab-šag₄	abšag	center of the sea 	up-seaᵍ ≈ Hochseeᵍ		
𒀊𒌁	ab-tir	abtir	gore	a'Bluter		#paršu < βρότος brótos Brut > Blut, blood
𒀀𒁍𒄷	a-BU mušen	aBU	owl	aBUˡ ≈ owl		#eššebu (𒀀 eš₁₀ ≈ sea) 
𒀖𒇻	ab₂udu	abudu	livestock	𒇻 luv-udu ≈ lived		
𒆍𒃲;𒆍𒃲𒆷;𒀀𒇡𒆷	abul;abul-la;a-bul₅-la	abula	gate	aport		#abullu 
𒀀𒁍𒇸𒈝	a-bu-lil-lum	abulillum	boxthorn berry	Lycium	<<< specific!	#bulīlu 
𒀖𒌫;𒀖𒃡	ab₂ur₂;ab₂ur₃	abur	rear cow 	<> par=bull		
𒀉𒁍𒊒𒌝	a₂bu-ru-um	aburum	? 	? 		
𒌑𒀀𒀀𒋙	u₂ a-bu₄-šu₂	abušu	plant, bush	a bush!		#amuššu 
𒀖𒍝𒍝	ab₂za-za	abzaza	zebu; ~ figurine	<> al'picasso ≈ picture		#apsasû 
𒍪𒀊;𒌤	abzu;abzuₓ(UMUM×KASKAL)	abzu	(cosmic) underground water; a ritual water container in a temple	abyss		#apsû 
𒀜	ad	ᵇAD	bead 	bead		
 𒀜;𒄑𒀜	ad;ĝeš ad	ᵇAD	log; plank; raft	boat ≈ 𒀜 ᵇAD bead		
𒄑𒀀𒋫;𒄑𒀜	ĝeš a-ta;ĝeš AD	ᵇad	wooden raft; plank of a boat	board @ boat		#uddi elippi 
𒍞	ad₄	ad	crippled	bad		#kubbulu 
𒀜	ad	ᵛad	voice; cry; noise	voidh > voice ?  vōx  वाच् vāc آواز âvâz		#rigmu ᵛad > vote
𒀜𒄄	ad gi₄	ad gi	to advise, give advice	adgvice		#malāku 
𒀜𒂷𒂷	ad ĝa₂ĝa₂	ad ĝarĝar	to (re)sound?	"     הד צַלְצֵל""     hed zarzar"	<<<	#? 
𒀜𒁺	ad ša₄	ᵛad ša	to resound; to lament	hed sada ^^ صدى vátʹsja in  раздава́ться razdavátʹsja ^^	<<+	#nasāsu 𒀜 nass?
𒀀𒁕	ᶠa-da	ada	fight, contest?; riddle?	ᶠada ≈ fight		
𒀉𒆪	a₂dab₅	adab	driver? 	•trab ≈ drive		
𒀜𒀜𒁕	ᵖad-ad-da	ᵖadadda	grandfather	>> father		#abi abi Opa daddy
𒄀𒀀𒁖	gi ʷa-dag 	ʷadag	raft	"ᠠᡩᠠ ada ""water raft"" 𒀀𒁖 ba.dag 𑀩𑁂𑀟𑀕 beḍaga boat 𒀀𒁖 AB.PAR₃ ꠜꠥꠞꠣ búra ferry"		
𒀀𒁕 𒂵	a-da-ga	adaga	irrigation ditch 	dig ≈ ditch		
𒄀𒀀𒁕𒁽	gi a-da-gir₅	adagir	container	𓎼 ≈ 𒃶 ? --		#adaguru 
𒀀𒁕𒀠;𒀀𒁕𒇴;𒄿𒁕𒀠;𒄿𒁕𒇴;𒄿𒁕𒀠𒆷;𒄿𒁕𒆷;𒄿𒁕𒇲;𒄿𒊑;𒄿𒊑𒀀𒀭;𒄿𒊑𒆷	a-da-al;a-da-lam;i-da-al;i-da-lam;i-da-al-la;i-da-la;i-da-la₂;i-dal;i-dal-am₃;i-dal-la	adal	"an exclamation,	now"","	"ideolam! right now""		at-all battle! … ?? <<
adallabi	now	𒀀𒁕𒀠𒆷𒁉	a-da-al-la-bi	now"" "		#ašarma;inanna
𒀉𒁮	a₂dam	a'dam	habitation	domus domestic dome		#namû 
𒀀𒁕𒌋𒌋;𒀀𒁕𒈫;𒇽𒇽;𒈓;𒈘;𒄒;𒉫;𒂛;𒂜	a-da-min₃;a-da-min;adaminₓ(LU₂ .LU₂ );adamin;adamin₂;adamin₃;adamin₄;adamin₅;adaminₓ(EN@EN)	ᵇadamin	contest, dispute, debate	(de)batement (dis)putement con-teset #teşētu 	<<<	#teşētu 
𒀉𒁕𒁇;𒀜𒁇	a₂da-bar;ad-bar	ᵇadbar	black basalt	<<< bar-salt?		#atbaru 
𒇿;𒇼;𒇽𒁁	ᵇadda ; LU₂×BAD 	ᵇadda	body (corpse) 	body 𒇼 ᵇadda₂ 𒇽𒁁 LU₂×BAD ☑		
𒇿;𒇼;𒇽·𒎙·𒁁;𒁁𒇽;𒇽·𒃵;𒇽·𒎙;𒇽𒆦𒍗	ᵇadda;ᵇadda₂;adₓ(LU₂ @s×BAD);adₓ(BAD.LU₂ );adₓ(LU₂×GAM);adₓ(LU₂ @s);a-da ᵇaddaₓ(LU₂ @g.UŠ₂ )	ᵇadda	corpse; wreck (of a boat)	body (corpse) 		#pagru;šalamtu 
𒀜𒁕;𒀜	ad-da;ad	ᵛadda	father	father		#abu 
𒀜𒁕𒀊𒁀	ad-da-ab-ba	ᵛadda'abba	grandfather	"Vadda-Opa ""grandfather"" "		
𒀀𒉺𒄐𒉻𒋛𒀀;	ᶠaddir	ᶠaddir	ford	ᶠaddir ford < port 𒉺𒄐!		
𒀀𒉺𒄐𒉻𒋛𒀀;𒋛𒀀;𒉺𒄐𒋛𒀀;𒉺𒄐𒋛𒀀𒉻	addir;dir;addirₓ(PA.GISAL.SI.A);addirₓ(PA.GISAL.SI.A.PAD)	ᶠaddir	quay, port; crossing, ford	water ford		#kāru;nēberu 
𒀀𒉺𒄐𒉻𒋛𒀀	addir	ʷaddir	hire, wage 	≈ wedger add+		#igru 
𒀀 𒌤;𒀀𒌤𒀀	a-de₂;a-de₂a	ᶠadea	flooding; flood season 	pal'de ≈ flood		
𒀜𒄬	ad-hal	adhal	copper	ma.adhal metal		#erû ??
𒀜𒄬	ad-hal	adhal	secret 	mystical ≈ metal μυστικό mystikó heimlich 		
𒀜 𒆤 ;𒀜¿	ad-KID;ad-kup₅	adKID	basket weaver; reed worker	ткач tkač  𒀀𒇉 ≈ 𓈘 ≈ 𒀜 in  𓈘 𓏏 𓏥 ≈ 𓈘 𓈇 𓀀 𓏥 𓁐 ʳweaver		#atkuppu 
𒋠𒇴	adkin	adkin	preserved meat	#kirrētu ⇔ carne  muddulu ≈ meat		#kirrētu;muddulu 
𒍞𒇽	ad₄-lu₂	adlu	disabled person	quadʳlu  kijelölt/​kialakított käyttökelvoton  ma.quadl мүгедек mügedek		
𒀀𒂆;𒀀𒂇	A.|DUN₃@g|;a-DUN₃@g@g	ADUNGUNU	?			#? 
𒀀𒂄	a-dun bu-dun mu-sul	adun budun musul	canal digger?			
𒀜 𒍑	ad-us₂	adus	plank	до́шка dóška дъска́ dǎská deska dhogë => desk dachia Dach δοκός dokós		#aduššu
𒀜𒍑	ad-us₂	adus	ⲫⲟϧⲉⲛ 𓃀 𓈖 𓈙 𓆱	"дъска dŭska տախտակ taxtak ""beam"" ⲫⲁⲧⲥⲓ ⲫⲁ.ⲧⲥⲓ bu.taxi"		#amatu
𒀉𒌓𒁺	a₂e₃	a'e	foster-child	ᶠUD.DU 𓃀 ≈ 𓂾 #tarbûtu ᶠuddu ≈ foster @ aster 𒌓		#tarbûtu 
𒀀 𒌓𒁺𒀀	a-e₃-a ab.biru.du	a'ea	breach, water outlet; gushing water 	ab.biru.du a'breaᵈch		
𒀀𒄞𒄩	a-eštub ku₆	a'eštub	early flooding	…		#milu 
𒀀𒂵;𒀀𒁀	a-ga;a-ba	aga	rear a building or a part of a building	bu.ga back  aga ≈ #arkatu achter		#arkatu 
𒂇;𒂆	aga;aga₃	aga	tiara, crown	a crown 		#agûʳ.ᵒⁿ 
𒂇𒃸;𒂆𒃸	aga-kar₂;aga₃-kar₂	aga kar	to defeat; to conquer; to surround; to besiege	√guerre axe gear 		#kalû;kaşāru 
𒂇𒁺𒈾	aga-du-na	agaduna	beardedness	≈ мегеж megež ажакьа aẑakʲʼa ?		#darrūtu 
𒂆 𒃸 ;𒂇𒃸	aga₃-kar₂;aga-kar₂	agakar	conqueror 	√guerre somehow		
𒂇𒃸𒋧	aga-kar₂	agakar sig	conquer; besiege; to defeat; to surround; 	sig₁₀ ≈ Sieg		
𒀀𒂵𒆷𒋾𒆷;𒀀𒂵𒆷𒌀𒆷	a-ga-la-ti-la;a-ga-la-til-la	agalatila	dropsy 	aqua-flatulence		
𒀀𒂵𒀭𒉐	a-ga-an-tum₃	agantum	skin disease	 𒀀 •h₂ep		#epqēnu
𒀀𒈖;𒀀𒁈;𒂍𒃻;𒂍𒋞;𒀀𒃼	a-gar₅;a-bar₂;e₂gar;e₂gar₈;a-gar₃	agar	lead	•ab-guar? a-bar₂ ≈		#abārum 
𒀀𒃼;𒅊;𒇋;𒆻;𒀀𒁕𒅈	a-gar₃;agar₄;agar₂;agar₃;a-da-ar	agar	meadow	Acker acre		#ugāru 
𒀉𒃼	a₂gar₃	agar	?	?		#? 
𒉩	agargara	agargara	sheep droppings; fish-spawn	kaka;)		#agargarû;piqannu 
𒀀𒃻 𒅗	A.GAR.KA	AGARKA	part of temple 	√core guard <> храм chrám هَيْكَل haykal khangeri gero ἱερόν hierón		
𒂇𒋗𒋛;𒂇𒋛𒁲;𒂇𒋗𒍣;𒂆𒋗𒋛	aga-šu-si;aga-si-sa₂;aga-šu-zi;aga₃-šu-si	agašusi	plectrum?, fingertip? 	≈ fingernail by signs		
𒀀𒂵 𒍣	a-gaʳ-zi	agazi	#ašarēdu	Groß?		leader 
𒀀𒂵𒍣	a-gaʳzi	agazi	financial loss	≠ gross loss		#imbû 
𒀀𒂵𒍣	a-gaʳzig₃	agazig	hollow karst	a-gaʳzig₃ ≈ a Karst կարստ карст karst		
𒀀𒁶	a-gin₇	agin	thus	again		#kī 
𒄀𒀀𒁽𒁽	gi a-gir₅-gir₅	agirgir	reed 	!! Ackerkräuter?		
𒅆𒁾	agrig	agrig	steward, housekeeper	"οἰκονόμος oikonómos ""economist"""		#abarakku
𒅆𒁾𒈤	agrig-mah	agrigmah	top administrator 	^		
𒂍𒉣	agrun	agrun	cella; bedroom; a ritual building;	@ground		#agarunnu #kummu ≈ Kammer;šutukku 
𒂍𒉣	agrun	agrun	the sanctuary of the goddess Ningal šutukku 	/		
𒉘	aĝ₂	aĝ	to measure	ma.aĝ maß menge ?		#madādu ≈ meter
𒅐 ;𒅎𒂂	aĝar₅;aĝar₆	aĝar	rainshower, downpour	"ақәоура akʷowra а-қәа́ a-kʷá ᠠᡤᠠ aga √[[aqua]] ""rain""  "		#rādu 
𒀀𒃻;𒂷𒅈;𒃻	a-ĝar;ĝa₂ar;ĝar	aĝarak	depilation fluid 	aqua		
