No 	English 	Turkish 	Eurasian	Kyrgyz (Cyrillic) 	Mongolian (Cyrillic) 	Oroqen (IPA) 	Manchu (MT) 	Korean (RRK) 	Kor PIE		Japanese (Hepburn romanization)												
1	I 	ben 	me, bin	мен 	би 	bi: 	bi 	na jeo 	ana(I) je!		watakushi, watashi, atashi ware ore												
2	you (sing.) 	sen 	sen, thine	сен, сиз 	чи 	ʃi: 	si 	neo geudae janae 	ni, youne		anata kimi omae												
3	he 	o 	der, er!	ал 	тэр 	tarɪ, nɔ:nin 	i, tere 	geu 	ghe		kare												
4	we 	biz 	we(s), mir	биз 	бид 	bu:, mir 	be, muse 	uri jeohui(deul) 	ware vri wir! 		watashitachi wareware orera												
5	you (plural) 	siz 	ʃu 	силер, сиздер 	та 	ʃu 	suwe 	neohui(deul) 	ante ga/hui 𓈖𓏏 !!!		anatagata, kimitachi, omaera												
6	they 	onlar 	on, leur, 	алар 	тэд нар 	nɔ:tɪn 	ce, tese 	geudeul 			karera												
7	this 	bu 	ptu!	бул, бу, ушул, берки (this side), мобу 	энэ 	əri 	ere 	i 	(th)ee, ko*		kono (attr.), kore (subst.)												
8	that 	o şu ki (relative pronoun) 	der	тиги, ошо, аркы (that side) 	тэр 	tarɪ 	tere 	geu (mesial) jeo (distal) 	ceu geu jeu sor there		sono (mesial), ano (distal) [attributive] sore (mesial), are (distal) [substantive]												
9	here 	burada 	obar da! Bei ort (*rada!)	мында, бул жерде 	энд 	ədu 	uba 	yeogi 			koko												
10	there 	orada 	ort	тиги/ошол жакта, тиги/ошол жерде, анда, тээ 	тэнд 	tadu 	tuba 	geogi (mesial) jeogi (distal) 			soko (mesial) asoko (distal)												
11	who 	kim 	quim	ким 	хэн 	ni: 	we 	nugu nuga (nom.) 	nvgwho		dare												
12	what 	ne 	phon, nar!	эмне, не 	юу 	ikun 	ai 	mueot 	Mwhat ++		nani												
13	where 	nerede 	an ort	кайда, кана 	хаана 	ilə, idu 	yabade, aibide 	eodi 	wodenn?		doko												
14	when 	ne zaman	in time, quan	качан 	хэзээ 	alɪ 	atanggi 	eonje 	whenje		itsu												
15	how 	nasıl 		кандай, кантип 	яаж 	ɔ:n 	absi, adarame 	eotteohge, eojji 	howii 		ikani, ikaga dō												
16	not 	değil 	Nu, na, anti! Mis, bis, dis	эмес, жок 	бус 	ə- 	waka, akū 	ani, an eops- 	ani!		-na-, -nu na- ('be not (in a certain place), have not')												
17	all 	bütün, her 	pan, g’monde	баары, бардык, бүт, бүткүл 	бүх, бүтэн 	banbʊr ɔ:rin 	eiten gemu 	da modeun (attr.), modu (adv.) mojori mongttang joeda on, ontong 	Tout-de Monde!		subete mina												
18	many 	çok 	manh- 	көп 	олон 	bara:n 	labdu geren 	manh- 	many		oo-												
19	some 	bazı 	Peut ?	бир нече 	зарим 	adɪ: 	ememu ududu 	eotteon 			ikuraka (uncountable), ikutsuka (countable) nanraka							Number 	Sino-Korean cardinals 	Native Korean cardinals			
20	few 	Az <> kʿičʿ ?	(f)ewz, some	аз 	хэдхэн, цөөхөн 	atʃʊkʊn 	komso 	jeog- jogeum, jom ('a few, a bit') 			sukuna- wazuka sukoshi ('a few, a bit')							Hanja 	Hangul 	Latin 	Hangul 	Latin	
21	other 	diğer 	?	башка 	бусад 	oŋtu 	gūwa 	dareun 			hoka							0	零[1]/空 	영, 령, 공 	yeong, ryeong, gong 	— 	—
22	one 	bir 	бир  first	бир 	нэг 	umun 	emu 	han (attr.), hana (subst.) 	hain		hito(tsu)	hersto (tzahl)	1	一 	ichi / いち 	hito(tsu) / ひと・つ 	ichi	1	一 	일 	il 	하나 	hana
23	two 	iki 	secon, du!	эки 	хоёр 	dʒu:r 	juwe 	du (attr.), dul (subst.) 	duo		futa(tsu)	Zfueita 2.	2	二 	ni / に 	futa(tsu) / ふた・つ 	ni	2	二 	이 	i 	둘 	dul
24	three 	üç 	thyrs, thres	үч 	гурав 	ɪlan 	ilan 	se (attr.), ses (subst.) 	Se > san		mit(tsu)	Mitte !	3	三 	san / さん 	mit(tsu) / みっ・つ 	san	3	三 	삼 	sam 	셋 	set
