 № 	English 	Arabic 	Hebrew 	Syriac 	Akkadian 	Ge'ez 	Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali
1 	I 	أَنَا‎ (ʾanā) 	אֲנִי‎ (ʾanī), אָנֹכִי‎ (ʾânōxī) 	ܐܢܐ‎ (ʾenâ) 	𒀀𒈾𒆪 (anāku) 	አነ (ʾana) 	ⲁⲛⲟⲕ (anok) 	nəšš 	níi 	ana, na 	ani(ga)
2 	you (sg.) 	أَنْتَ‎ m (ʾanta), أَنْتِ‎ f (ʾanti) 	אַתָּה‎ m (ʾattâ), אַתְּ‎ f (ʾat) 	ܐܢܬ‎ m (ʾat), ܐܢܬܝ‎ f (ʾat(ti)) 	𒀜𒋫 m (atta), 𒀜𒋾 f (atti) 	አንተ m (ʾanta), አንቲ f (ʾanti) 	ⲛⲧⲟⲕ m (ntok), ⲛⲧⲟ f (nto) 	šəkk, šəmm 	kái, kée 	si 	adi(ga)
3 	he 	هُوَ‎ (huwa) 	הוּא‎ (hu) 	ܗܘ‎ (hu) 	𒋗𒌑 (šū) 	ውእቱ (wəʾətu) 	ⲛⲧⲟϥ m (ntof), ⲛⲧⲟⲥ f (ntoc) 	nətta m, nəttaŧ f 	shíi m, ítá f 	isa 	isa(ga) m, iya(da)f
4 	we 	نَحْنُ‎ (naḥnu) 	אֲנַחְנוּ‎ (ʾanaħnu), אָנוּ‎ (ʾânū) 	ܚܢܢ‎ (ħnan), ܐܢܚܢܢ‎ ((ʾ)naħnan) 	𒉌𒉡 (nīnu) 	ንሕነ (nəħna) 	ⲁⲛⲟⲛ (anon) 	nəššin 	múu 	nu 	inna(ga) (incl.), anna(ga) (excl.)
5 	you (pl.) 	أَنْتُمْ‎ m (ʾantum), أَنْتُنَّ‎ f (ʾantunna), أَنْتُمَا‎ c du (ʾantumā) 	אֲתֶּם‎ m (ʾattem), אַתֶּן‎ f (ʾatten) 	ܐܢܬܘܢ‎ m (ʾattōn), ܐܢܬܝܢ‎ f (ʾattên) 	attunu m, attina f 	አንትሙ m (ʾantəmu), አንትን f (ʾantən) 	ⲛⲧⲟⲧⲛ (ntōtn) 	kənniw, kənnint 	kúu 	isin 	idin(ka)
6 	they 	هُمْ‎ m (hum), هُنَّ‎ f (hunna), هُمَا‎ c du (humā) 	הֵם‎ m (hêm), הֵן‎ f (hên) 	ܗܢܘܢ‎ m (hennōn), ܗܢܝܢ‎ f (hennên) 	𒋗𒉡 m (šunu), 𒅆𒈾 f (šina) 	እሙንቱ m (ʾəmmuntu), እማንቱ f (ʾəmmāntu) 	ⲛⲧⲟⲩ (ntou) 	nihni, nihənti 	súu 	isaan 	iya(ga)
7 	this 	هٰذَا‎ m (hāḏā), هٰذِهِ‎ f (hāḏihi) 	זֶה‎ m (ze), זוֹ‎ f (zō), זֹאת‎ f (zōθ) 	ܗܢܐ‎ m (hânâ), ܗܕܐ‎ f (hâðê) 	annû 	ዝ- m (zə-), ዝንቱ m (zəntu), ዛ f (zā), ዛቲ f (zāti) 	-ⲉⲓ (-ei) 	=a 	wánnàn 	kana 	kan m, tan f
8 	that 	ذٰلِكَ‎ m (ḏālika), ﺫَﺍﻙَ‎ m, تِلْكَ‎ f (tilka), تِيكَ‎ f (tīka) 	הַהוּא‎ m (hahu), הַהִיא‎ f (hahi) 	ܗܘ‎ m (hâw), ܗܝ‎ f (hây) 	šū, ullû 	ዝክቱ (zəktu) 		=in, =ənni 	wáncàn 	san 	kaas m, taas f
9 	here 	هُنَا‎ (hunā) 	פֹּה‎ (pō), הִנֵּה‎ (hinnê) 	ܗܪܟܐ‎ (hârkâ), ܬܢܢ‎ (tnân) 	annânu 	ዘየ (zaya) 	ⲡⲉⲓⲙⲁ (peima) 	đa 	nan 		halkan, inta
10 	there 	هُنَاكَ‎ (hunāka), هُنَالِكَ‎ (hunālika), ثَمَّ‎ (ṯamma) 	שָׁם‎ (šâm) 	ܬܡܢ‎ (tammân) 	akannaka 	ህየ (həyya) 	ⲙⲙⲁⲩ (mmau) 	đin 	can 		halkaas
11 	who 	مَنْ‎ (man) 	מִי‎ (mī) 	ܡܢ‎ (man) 	mannu 	መኑ (mannu) 	ⲛⲓⲙ (nim) 	wi 	wanda 	eeññu 	yaa?, kuma?
