№ 	English 	Arabic 	Romanized Arabic 	Tarifiyt Berber 		Hebrew 	Romanized Hebrew 	Syriac 	Romanized Syriac 	Romanized Akkadian 	Ge'ez 	Romanized Ge'ez 	Maltese 	Romanized Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali
1	I 	أنا‎ 	ʾána 	nəšš 	an’isch  as@Litv	אני‎, אנכי‎ 	ʾani, ʾânóxi 	ܐܢܐ‎ 	ʾenā 	anāku 	አነ 	ʾana 	jiena, jien 	anok 	nəšš 	níi 	ana, na 	ani
2	you 	أنت‎ ,أنت‎ 	ʾanta m, ʾanti f 	šəkk, šəmm 	k	אתה‎, את‎ 	ʾattâ m, ʾat f 	ܐܢܬ‎ m, ܐܢܬܝ‎ f 	ʾat m, ʾa (ti) f 	atta m, atti f 	አንተ, አንቲ 	ʾanta m, ʾanti f 	inti, int 	ntok m, nto f 	šəkk, šəmm 	kái, kée 	si 	adi
3	he 	هو‎ 	húwa 	nətta m, nəttaŧ f 	ante’ a, at!	הוא 	hu 	ܗܘ‎ 	hu 	šū 	ውእቱ 	wəʾətu 	huwa, hu 	ntof m, ntos f 	nətta m, nəttaŧ f 	shíi m, ítá f 	isa 	isa m, iyaf
4	we 	نحن‎ 	náħnu 	nəššin 	nousn!	אנחנו 	ʾanaħnu 	ܚܢܢ‎, ܐܢܚܢܢ‎ 	ħnan, (ʾ)naħnan 	nīnu 	ንሕነ 	nəħna 	aħna 	anon 	nəššin 	múu 	nu 	inna (incl.), aanna (excl.)
5	you 	أنتم‎ m, أنتن‎ f, أنتما‎ m/f dual 	ʾántum m, ʾantunna f, ʾantumā m/f dual 	kənniw, kənnint 		אתם, אתן 	ʾattem m, ʾatten f 	ܐܢܬܘܢ‎ m, ܐܢܬܝܢ‎ f 	ʾattōn m, ʾattēn f 	attunu m, attina f 	አንትሙ, አንትን 	ʾantəmu m, ʾantən f 	intom 	ntōtn 	kənniw, kənnint 	kúu 	isin 	idin
6	they 	هم‎ m, هن‎f, هما‎ m/f dual 	hum m, húnna f, humā m/f dual 	nihni, nihənti 		הם‎, הן‎ 	hém m, hén f 	ܗܢܘܢ‎ m, ܗܢܝܢ‎ f 	hennōn m, hennēn f 	šunu m, šina f 	እሙንቱ, እማንቱ 	ʾəmmuntu m, ʾəmmāntu f 	huma 	ntou 	nihni, nihənti 	súu 	isaan 	iya
7	this 	هذا‎ m, هذﻩ‎ f 	hāðā m, hāðihi f 	'=a		הזה‎ ,זה ,זו, זאת 	ze m, zó, zóθ f 	ܗܢܐ‎ m, ܗܕܐ‎ f 	hānā m, hāðē f 	annû 	ዝ-, ዝንቱ, ዛ/ዛቲ 	zə-, zəntu m, zā/zāti f 	dan m, din f 	Err:509	#NAME?	wánnàn 	kana 	kan m, tan m
8	that 	ذلك‎ m, ﺫﺍﻙ‎ m, تلك‎ f, تيك‎ 	ðālika m, ðāka m, tílka f, tika f 	'=in, =ənni		ההוא‎, ההיא‎ 	hahu m, hahi f 	ܗܘ‎ m, ܗܝ‎ f 	hāw m, hāy f 	šū, ullû 	ዝክቱ 	zəktu 	dak m, dik f 	Err:509	Err:509	wáncàn 	san 	kaas m, taas f
9	here 	هنا‎ 	hunā 			הנה‎ ,פה 	pó, hinné 	ܗܪܟܐ‎ 	harkā 	annânu 	ዘየ 	zaya 	hemm 			nan 		halkan
10	there 	هناك‎, هنالك‎ 	hunāka, hunālika 			שם 	šâm 	ܬܡܢ‎ 	tammān 		ህየ 	həyya 	hawn 			can 		halkaas
