No. 	English 	Standard Eastern Armenian հայերեն (hayeren) 	Transcription (հh:P WT:HY TR) 	IPA pronunciation	cognate less PIE than ‘Kartvelian’ !	OK?	Egyptian match	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	𒌋	NOT Elamite 	
1	I 	ես 	es 	jɛs	jɛs ~ je,isch	+++		(𓈖𓏏) 𓅱 𓇋 𓀀,  𓇋, 𓍢 𓇋 , 𓏌𓎡𓍢 	𒌋,𒄷	u, hu	
2	you (singular) 	դու 	du 	du	Du	+++	 𓏏𓍢	(𓈖𓏏) 𓎡, 𓏏𓍢, 𓏏𓅱, 𓏏𓈖, 𓈖𓏏 𓏏, 𓈖𓏏 𓍿𓈖𓏥, 𓍿𓈖𓏮, 𓏏𓅱𓎡, 𓏏𓅱𓍿𓈖𓏥	𒉌,𒉡	ni, nu	
3	he 	նա 	na 	nɑ	on jener nächster 那 nage [[𓆑]]	~	𓊪𓈖	(𓈖𓏏) 𓇓𓅱, 𓇓𓅱𓏏, 𓆑, 𓊪𓈖	𒂊	e	
4	we 	մենք 	menkʿ 	mɛŋkʰ	man! meine [majest.] 我们  𓅱𓎡? 𓏌𓎡𓍢  	++	𓈖𓏥	(𓈖𓏏) 𓈖𓏥, 𓇋𓏌𓈖𓏥, 𓇋𓀁𓈖𓈖𓏥	𒉌𒅗	ni-ka	
5	you (plural) 	դուք 	dukʿ 	dukʰ	Dus	++	𓏏𓈖𓏥	(𓈖𓏏) 𓏏𓈖𓏥, 𓈖𓏏 𓏏𓈖𓏥, 𓍿𓈖𓏤𓏤𓏤			
6	they 	նրանք 	nrankʿ 	nəˈɾɑŋkʰ	'jenerens’  on.leuren	~-	𓈖𓏥	(𓈖𓏏) 𓊃𓈖, 𓋴𓈖𓏥, 𓈖𓏥, 𓈖𓏮, 𓅱𓏥, 𓋴𓏪, 𓋴𓏏𓏥	𒀊	ap	
7	this 	այս 	ays 	ɑjs	phos > was > es 'is < tis	?	𓅮𓄿	𓏏𓄿, 𓏏𓅱, 𓏏𓅱𓇋𓇋, 𓏏𓈖, 𓍿𓈖, 𓅮, 𓅮𓄿, 𓇑𓇑, 𓇑𓇑𓈖, 𓈖𓄿, 𓉐, 𓊪𓅮𓄿, 𓊪𓅱, 𓊪𓅱𓇋𓇋, 𓊪𓈖	𒄷,𒄭	hu, hi	
8	that 	այն 	ayn 	ɑjn	ein, am@pers	++	𓇑𓇑𓈖	𓏏𓆑𓄿,𓏏𓆑,𓏏𓅱,𓏏𓅱𓇋𓇋,𓈖𓆑,𓊪𓅱𓇋𓇋,𓊪𓆑𓏮,𓊪𓆑𓄿𓈐,	𒀝𒅗	ak-ka	
9	here 	այստեղ 	aysteł 	ɑjsˈtɛʁ	this.there ++	++	𓉻 𓂝 𓄿 𓇋𓇋 𓈐 ?	𓈖𓄿, 𓂧 𓏮 𓈐, 𓉻 𓂝 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐	𒀀𒄩,𒄿𒈠	a-ha, i-ma	
10	there 	այնտեղ 	aynteł 	ɑjnˈtɛʁ	this.there ++	++	𓉻 𓂝 𓄿 𓇋𓇋 𓈐 ?	𓂧 𓏮 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐, 𓇋𓅓,	𒄴	ah	
11	who 	ով 	ov 	ɔv	who 𓆑 < 𓊪𓅱 <  𓊪𓅮𓄿	++	𓊪𓅱	𓊪𓅱, 𓊪𓏏𓂋, 𓅓 𓂟, 𓅓 𓂝, 𓈖𓅓𓂝,𓊄 𓇋𓇋, 𓋴, 𓏶	𒀝𒋡	ak-qa	
12	what 	ինչ 	inčʿ 	int͡ʃʰ	quin?			𓊪𓅱, 𓊪𓏏𓂋, 𓅓 𓂟, 𓅓 𓂝, 𓈖𓅓𓂝,𓊄 𓇋𓇋, 𓐍 𓏮, 𓋴, 𓏶, 𓏏𓊪𓏮 𓆵 𓀁		appa	
13	where 	որտեղ, ուր 	orteł, ur 	vɔɾˈtɛʁ, uɾ	ort-wo ur~where(to)~orteł	++	𓏌𓅱 𓏏𓈖𓌙𓅯 NL	𓏏𓈖𓏮𓌙𓅯𓈐, 𓏏𓈖𓏌𓅱𓌙𓅯	𒄯	mur	
14	when 	երբ 	erb 	jɛɾpʰ	year/orbit?     jɛɾpʰ < kerph	!!?	𓐍𓆑	𓐍𓆑𓏏, 𓐍𓏏𓆑, 𓐍𓆑, 𓅯𓅯, 𓅓	?,𒀭𒅗	sap, an-ka	
15	how 	ինչպես 	inčʿpes 	int͡ʃʰˈpɛs	quin.phes  𐍈𐌰𐌽 𐍈𐌴 			𓅱,𓅱𓏮,𓏇𓇋𓅓𓂝		anka	
16	not 	ոչ, չ- 	očʿ, čʿ- 	vɔt͡ʃʰ, t͡ʃʰ	bes-@slavic as¬	++	𓂜𓏏   t͡ʃʰ	𓂜, 𓂜𓈖,𓂜𓏏, 𓅱𓂜, 𓂜𓇋𓇋 2. 𓄤𓊪𓅱, 𓅱, 𓅓, 𓅓𓂝, 𓅓𓂟, 𓇋𓂋𓆑, 𓅱𓂜, 3. 𓂜𓇋𓇋	𒅔𒈾	in-na	
17	all 	բոլոր 	bolor 	bɔˈlɔɾ	Baller << poly ყველაფერი (q̇velaperi) bary	<~	𓃀𓅱𓌡𓏤𓎟 bowl pan	𓎟  2. 𓂋 𓋴 𓋴  3.  𓇿 𓇿 𓈅 𓈅 𓏏𓍃 𓀀 𓏥 𓁐, 𓏏 𓏏 𓏝 , 𓇾 𓅓 𓅱𓀀 𓏥 𓁐, 𓇾 𓍃 𓅓 𓏥 4.  𓅓 𓃀 𓅱𓌡 𓏤	𒆪𒋾𒈾,𒈥𒁁𒅁	ku-ti-na, mar-be-ip	
18	many 	շատ 	šat 	ʃɑt	schar.t xat 𓈙 شط Shatt Shad Chad цад cad	ok?	𓆈 𓄿 𓏏𓀀 𓏥, 𓉻 𓏏𓏯 𓈙 𓏥	𓅨 𓂋, 𓁨 𓈖 2. 𓂝 𓈙 𓄿 𓆈, 𓆈 𓄿 𓏏𓀀 𓏥, 𓉻 𓏏𓏯 𓈙 𓏥	𒅕𒊺𒅅𒆠	ir-še-ik-ki	
19	some 	որոշ 	oroš 	vɔˈɾɔʃ	?  fewres<peuvres	?		𓈖 𓉔 𓅪 𓈒 𓏥, 𓈖 𓎡 𓏏 𓏴 𓏛	𒀸𒆠	aš-ki	
20	few 	քիչ 	kʿičʿ 	kʰit͡ʃʰ	𓅱! @Altaic klitze:klein cute	++	𓎡 𓏏, 𓎡 𓏮	𓂝 𓈖 𓂧 𓏏 𓅪		harikki	
21	other 	այլ, ուրիշ 	ayl, uriš 	ɑjl, uˈɾiʃ	alter, autris? 	++		𓎡 𓏏, 𓎡 𓏮		ᵃdaae	
22	one 	մեկ 	mek 	mɛk	µ.ek <> mich	+	𓏤 ? mɛkir	𓏤, 𓌡 , 𓏏 𓅱	𒆠𒅕	ki-ir	
23	two 	երկու 	erku 	jɛɾˈku	二 Secon? serko<>s-k-r √cut	±	𓌢 𓏌 𓏮 šoeurconti	𓌢 𓏌 𓏮, 𓌢 𓈖 𓏌 𓏲 𓏮	𒈠𒅕	ma-ir	
24	three 	երեք 	erekʿ 	jɛˈɾɛkʰ	二+1 (Th)res!  Erekʿ čerc 	±	𓐍 𓂸 𓏏 čirth	𓐍 𓂸 𓏏	𒍢𒋾	zí-ti	
25	four 	չորս 	čʿors 	t͡ʃʰɔɾs	quarth četyre четꙑре ЧⲦⲞⲞⲨ qvtour	+++	𓆑 𓂧 𓏤 𓏏 𓏤 𓏤 𓏤	𓆑 𓂧 𓅱 𓏤 𓏤 𓏤 𓏤, 𓇋 𓆑 𓂧 𓏏 𓏥, 𓆑 𓂧 𓏤 𓏏 𓏤 𓏤 𓏤			
26	five 	հինգ 	hing 	hinɡ	(p)heng penk pentu	+	𓏥 𓏮 𓏏𓅱𓂻	𓏥 𓏮 𓏏𓅱𓂻	?𒆪	*tu-ku	
27	big 	մեծ 	mec 	mɛt͡s	mega, much	++	𓄊 𓋴 ? 𓍶 ? 𓅔 𓏮 𓄛 ?	𓅨 𓂋 𓈉	𒅕𒃻𒈾	ir-šá-na	
28	long 	երկար 	erkar 	jɛɾˈkɑɾ	<< quer 𓂓𓂓  𓋴𓈎𓀠 jerk ;)	+++	𓇥 𓂋 𓂝 𓏤 ?	𓄫 𓅱, 𓍯 𓄿 𓈐, 𓈐, 𓇥 𓂋 𓂝 𓏤	𒈨𒇻𒊌	me-lu-uk	
29	wide 	լայն 	layn 	lɑjn	long line < Leitung !	++	𓄫 𓅱 ?	𓋴 𓐍 𓎺, 𓅱 𓋴 𓐍 𓎸 𓏛,		šadanika	
30	thick 	հաստ 	hast 	hɑst	feist fest bosteo ++	ok?	<?>	𓃀 𓅡 𓄿 𓎼 𓈗, 𓅱 𓂸 𓏏 𓏛 ~ ϧⲑⲏ			
31	heavy 	ծանր 	canr 	ˈt͡sɑnəɾ	ˈt͡sɑnə~dense 𓂧𓈖𓋴𓍖𓏜	+++	𓆓 𓈖 𓋴 𓍘 𓏜, 𓂧 𓈖 𓋴 𓍖 	𓆓𓈖𓋴𓍘𓏜, 𓂧𓈖𓋴𓍖 𓊌, 𓅱𓂧𓈖𓍖 𓈒 𓏥	𒀊𒁀𒊏,	ab-ba-ra,	
32	small 	փոքր 	pʿokʿr 	ˈpʰɔkʰəɾ	Poco pico pekuniar	+++?	𓊪 𓈎 𓏏 𓆀? 𓊪 𓈖 𓏌 𓅱 𓄛 ?	𓎡 𓏏 𓏏 𓅪, 𓈖𓆓 𓋴 𓅪, 𓈖 𓐍 𓅪, 𓀔 𓏥 𓈖𓂣		harikki	
33	short 	կարճ 	karč 	kɑɾt͡ʃ	kurz	+++	𓎡 𓏏 𓏏 𓅪	𓅪, 𓈙 𓂋 𓂋 𓅪, 𓎛 𓂝 𓅪, 𓎛𓅱𓂝𓅪			
34	narrow 	նեղ 	neł 	nɛʁ	nɛʁʁow  <> nail	+++	𓎛 𓆰 𓈖 𓋴 𓅪 ?	𓎼 𓄿 𓎣 𓅪, 𓎼 𓄿 𓐎 𓅪, 𓎛 𓆰 𓈖 𓋴 𓅪			
35	thin 	բարակ 	barak 	bɑˈɾɑk	brachio <> borke? broke?  𓊪 𓈎 𓏗 <> picor 	<< ++	𓆁 𓈎 𓏗	? <> 𓊪 𓈎 𓏗, 𓆁 𓈎 𓏗, 𓊪 𓅮 𓈎 𓏗, 𓅮 𓄿 𓈎 𓏏 𓂂	𒍨𒆠	zik-ki	
36	woman 	կին 	kin 	kin	queen gyne 𜏥𜎂 see wife	+++?	𓌢 𓈖 𓁐, 𓌢 𓁑, 𓈎 𓈖 𓈖 𓂡 𓍛 ?	𓊃 𓏏 𓁐, 𓈟 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓈞 𓏏 𓁐, 𓃀 𓂓 𓏏 𓁑	𜏥𜎂	zana (lady)	
37	man (adult male) 	տղամարդ 	tłamard 	təʁɑˈmɑɾtʰ	<< tyra.mars mate terra.adam? <> amur.cin	♂?	1 / 𓂋 𓐝 𓍿 𓀀 𓁐 	𓊃 𓀀	𒊒𒄴,?𒎌	ru-h, RUH.MEŠ	
38	man (human being) 	մարդ 	mard 	mɑɾtʰ	mate mars mensch mvirtu? Mandro ma.roth!?	♂?	𓐝 𓂋 𓍿 𓀀 𓁐	𓂋 𓐝 𓍿 𓀀 𓁐,  𓂋 𓍃 𓀀 𓏥 2. 𓂋 𓏏 𓀀 𓏥 𓁐  3. 𓂋 𓍿 𓀀, 𓂋 𓐍 𓏛 𓀀, 𓂋 𓍿 𓏏 𓀀 𓏥, 𓆂 𓏏 𓏥, 𓅓 𓏏 𓀐, 𓅷 𓄿 𓇋𓇋𓂺 𓀀, 𓍿𓈖𓇋𓀘, 𓀙, 𓎛 𓃹 𓈖 𓀔, 𓄊 𓂋 𓀀	?,𒇻™	ruh, LU.lg	
39	child 	երեխա 	erexa 	jɛɾɛˈχɑ	heirx cheirdch racheir Racker ~-	≈?≈	𓄡 𓂋 𓂧 𓀀, 𓐍 𓏤 𓀔	𓄡 𓂋 𓂧 𓀀, 𓐍 𓏤 𓀔, 𓀖 𓏏, 𓐍 𓇋 𓇋 𓀔 2. 𓐍 𓈖 𓏌 𓅱 𓀔, 𓎛 𓃹 𓈖 𓀔, 𓈖 𓐍 𓈖 𓅱 𓀔   2. 𓄟 𓋴 𓏯, 𓄟 𓅱 𓏏 𓏏 𓀔, 𓋴 𓆓 𓏏  3. 𓇋 𓈖 𓊪 𓅂	𒌉,??𒈠𒌌𒇷	tur, hh. ma-ul-li	
40	wife 	կին 	kin 	kin	gyna queen	+++	𓌢 𓈖 𓁐	𓌢 𓈖 𓏏 𓁐 2. 𓌢 𓈖 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓈞 𓏏 𓁐, 𓈟 𓏏 𓁐, 2. 𓌸 𓂋 𓏏, 3. 𓎟 𓏏 𓉐 𓏤	𒅕𒋾;𒊑𒌅;𒊑𒋾;𒊒𒌅;𒊒𒌅;?	ir-ti; ri-tu; ri-ti; ru-tu; ru-tú; 	
41	husband 	ամուսին 	amusin 	ɑmuˈsin	amur.syn home-syn homme.kin 	≈!	𓉔 𓂸 / 𓌢𓈖𓀀	𓉔 𓂸, 𓉔 𓇋𓂸𓀀 2. 𓎟 𓀀 3. 𓌢𓈖𓀀			
42	mother 	մայր 	mayr 	majɾ	mère mayr matr 	+++	𓄟 𓋴 𓁒, 𓅐 𓏏 𓁐	𓅐 𓏏 𓁐, 𓂠 𓏏 𓁐, 1b 𓄟 𓋴 𓏏 𓁒 2. 𓂸 𓏏 𓁐 3. 𓂠 𓏏 𓁐 4. 𓅐 𓂋 𓏏 𓁐?	𒄠𒈠	am-ma	
43	father 	հայր 	hayr 	hɑjɾ	père vayr vatr ᵛathɑjɾ 	+++	𓇋 𓏏 𓆑 𓀀	𓇋 𓏏 𓆑 𓀀	𒀜𒋫,𒀜𒁕	at-ta, ad-da	
44	animal 	կենդանի 	kendani 	kɛntʰɑˈni	kuon.tharni? Zoon? Ⲱⲱⲟⲛ  জন্তু zontu хайуан живо́тно	<<++	𓃡	𓄛   <>  𓂧 𓂋 𓄛 			
45	fish 	ձուկ 	juk 	d͡zuk	yú 鱼 𓇋𓆛 d͡zuk דָּג דאג ≠ duck	++™	𓇋𓆛	𓆑 𓏏 𓏏 𓅱, 𓂋 𓅓 𓆛 𓂻, 𓅱 𓎛 𓂝 𓆟			
46	bird 	թռչուն 	tʿṙčʿun 	tʰərˈt͡ʃʰun	𓅂 ṭīr ܛܝܪܐ ṭayrâ Tier@SEM! Tchirp? चिड़िया ciṛiyā	++™	𓅂	𓄿 𓏤, 𓄿 𓊪 𓂧 𓅬 2. 𓊪 𓅮 𓅯 3. 𓂧 𓎼 𓇋 𓇋 𓏏 𓀃 𓅭, 𓅭, 𓅿	𒄷	MUŠEN	
47	dog 	շուն 	šun 	ʃun	chien Ⲱⲱⲟⲛ <> կենդանի kɛntʰɑˈni 	+++	𓃡	𓍿 𓊃 𓅓 𓃡  2.  𓃛 𓅱 𓃡, 𓃛 𓅱 𓏮 𓊗 𓄛	𒌨™	UR.lg	
48	louse 	ոջիլ 	oǰil 	vɔˈt͡ʃʰil	ᑫvošlau the.lice @ Georgi  ճիճու čiču kitlaus 	ok?	𓎡 𓏏 𓏏 𓆨 •qvtthl	𓎡 𓏏 𓏏 𓆨			
