№ 	English 	Ilocano 	Malay 	Tagalog 	Cebuano 	Pampangan 	Pangasinan 	Sasak 	Chamorro 	Malagasy 	Tahitian 	Maori 	Sundanese 	Ibanag 	Itawit 	Javanese 
1 	I 	siak 	aku, saya 	ako 	ako 	aku 	ak, siák 	aku, tiang 	guåhu, yu', hu 	aho 	au, vau 	ahau, au, awahau, awau, wau 	abdi, aing, didieu, sim kuring, urang 	sakan, so' 	yakan 	aku, kula, dalem 
2 	you (singular) 	sika 	engkau, kamu, awak, anda 	ikaw, ka 	ikaw 	ika 	siká, ka 	kamu, side 	hågu, håo, mu 	ianao 	'oe 	koe 	anjeun, manéh, didinya, sia, silaing 	sikaw 	ikaw 	kowe, sampeyan, panjenengan 
3 	he 	isu 	dia (he/she), ia (it) 	siya 	siya 	iya 	si, sikato, to 	ie 	guiya 	izy 	'oia, 'ōna 	ia 	anjeunna, manéhna 	yayya 	iggina 	dheweke, panjenenganipun 
4 	we 	datayo (incl.), dakami (excl.) 	kita (incl.), kami (excl.) 	tayo (incl.), kami (excl.) 	kita (incl.), kami (excl.) 	ikata (incl.), ikami (excl.), itamu 	(si)katá (incl.), (si)kamí (excl.) 	ite 	hita (incl.), hami (excl.) 	isika (incl.), izahay (excl.) 	tātou (incl.), mātou (excl.) 	tātau, tātou (incl.); mātau, mātou (excl.) 	arurang, urang 	sitta (incl. for two people), sittam (incl. for more than two), sikami (excl.) 	itta (incl. for two people), ittera (incl. for more than two), ikami (excl.) 	awake dhewe, kawula sami 
5 	you (plural) 	dakayo 	kalian 	kayo 	kamo 	ika, ikayu (plural) 	sikayo, kayo, yo 	[[]] 	hamyu 	ianareo 	'outou 	koutou 	aranjeun, maranéh 	sikamu 	ikayu 	kowe kabeh 
6 	they 	isuda 	mereka 	sila 	sila 	ila 	sikara, ra 	[[]] 	siha 	isy ireo 	rātou 	rātau, rātou 	aranjeunna, maranéhna 	ira 	ira 	dheweke kabeh 
7 	this 	daytoy 	ini 	ito 	kiri, kini 	ini 	ya, aya 	ni 	ini, esti 	ity 	teie 	tēnei 	ieu 	yaw 	yaw 	iki, puniki 
8 	that 	dayta, daydiay 	itu 	iyan, iyon 	kana, kadto 	yan, ita 	man, tan, aman, atan 	no 	enao 	izany 	terrā 	tērā, tēraka 	éta 	yatun (near), yari (far yet visible), yuri (far and not visible) 	yan (near), nay (far) 	iku, kuwi, puniku (near), ika, punika (far) 
9 	here 	ditoy 	sini 	dito 	diri, dinhi 	keni, keti 	dia 	leq te 	mågi, guini 	eto 	iho nei 	konei 	dieu 	taw 	kanyaw, tiyaw 	kene, riki 
10 	there 	dita, sadiay 	sana, situ 	doon, diyan 	diha, didto 	keta, karin 	diman, ditan 	leq to 	guatu 	ao 	iho na 	korā, konā 	ditu, dinya 	tatun (near), tari (far yet visible), turi (far and not visible) 	kanyan, tiyan (near), kannay (far) 	kono, riku (near), kana, rika (far) 
11 	who 	asino 	siapa 	sino 	kinsa 	ninu 	siopá, opa 	sai 	håyi 	iza 	vai 	ko wai, ko 	saha 	sinni 	sinni 	sapa, sinten 
12 	what 	ania 	apa 	ano 	unsa 	nanu 	antó 	ape 	håfa 	inona 	aha 	he aha 	naon 	anni 	hanna 	apa, punapa 
13 	where 	ayan 	mana 	saan, nasaan 	asa, hain, diin, dis-a 	nukarin 	iner 	leq mbe 	manu nai, mångge 	aiza 	tei hea 	kai whea, kai hea, kei hea, kei whea 	palihmana 	sitaw 	betiyaw 	endi, pundi 
14 	when 	kaano 	bila, apabila, kapan 	kailan 	kanus-a 	kapilan 	kapigan, pigan 	piran 	ngai'an 	oviana (past), rahoviana (future) 	ahea 	āhea, āwhea 	iraha 	kanni 	kanna 	kapan 
15 	how 	kasano 	bagaimana 	paano 	unsaon, giunsa 	makananu 	pano, panon 	kembe 	taimanu 	manahoana 	nāhea 	pēhea 	kumaha 	kunnasi 	kunnasi, manna 	kepriye, pripun 
16 	not 	saan 	bukan, tidak 	hindi 	dili 	ali 	ag, aliwá, andí, aleg 	ndeq 	åhe', tis 	tsy 	'eaia 	ehara, kāhore (kaore), kāre, kīhai, kore, kaua, kauaka 	enteu, lain, sanés, teu 	ari 	mari 	dudu, ora 
17 	all 	amin 	semua 	lahat 	tanan 	ngan 	amín 	slapuq 	puru, todu 	ny ... rehetra 	anaʻe 	katoa 	kabéh, sadaya 	ngamin 	ngammin 	kabeh, sedaya, sedanten 
18 	many 	adu 	banyak 	marami 	daghan, sagad 	dakal 	dakél, amayamay 	[[]] 	bula 	betsaka 	rahi 	maha 	loba, seueur 	aru 	aru 	akeh, kathah 
19 	some 	dadduma 	beberapa 	ilan 	ubay-ubay, uban 	mapilan 	pigara, piga 	[[]] 	[[]] 	vitsivitsy 	nau, tau 	ētahi, tētahi 	sababaraha 	karuan 	karuan 	sawenèh 
20 	few 	sumagmamano 	sedikit 	kaunti 	pipila, diyotay 	ditak, mapilan 	daiset 	[[]] 	[[]] 	kely 	maʻa 	takitahi, ruarua, torutoru 	saalit, saeutik, sakedik 	baddi 	bissang 	sithik, sekedhik 
21 	other 	sabali 	lain 	iba 	lain 	aliua 	arom 	[[]] 	otru, palu 	hafa 	ʻē 	kē, atu, ētahi (atu), ērā (atu) 	séjén, lian 	duma 	tanakuan 	liya, sanes 
22 	one 	maysa 	satu, esa 	isa 	usa 	metung, isa 	isá, sakey 	sekeq, sai 	un (Spanish), håcha (native) 	iray, isa 	hō'ē 	tahi 	hiji 	tadday 	isa 	siji, setunggal 
23 	two 	dua 	dua 	dalawa 	duha 	adua 	dua, dua'ra 	due 	dos (Spanish), hugua (native) 	roa 	piti 	rua 	dua 	duwa 	duwa 	loro, kalih 
24 	three 	tallo 	tiga, telu 	tatlo 	tulo 	atlu 	talo, talo'ra 	telu 	tres (Spanish), tulu (native) 	telo 	toru 	toru 	tilu 	tallu 	tallu 	telu, tiga 
25 	four 	uppat 	empat 	apat 	upat 	apat 	apat, apatira 	mpat 	kuatro (Spanish), fatfat (native) 	efatra 	maha 	whā 	opat 	appa' 	appat 	papat, sekawan 
26 	five 	lima 	lima, delima 	lima 	lima 	lima 	lima, lima'ra 	lime 	sinko (Spanish), lima (native) 	dimy 	pae 	rima 	lima 	lima 	lima 	lima, gangsal 
27 	big 	dakkel 	besar, raya 	malaki 	dako 	maragul 	báleg 	beleq 	dånkulu 	lehibe 	rahi 	nui 	ageung, gedé 	dakal 	dakal 	gedhe, ageng 
28 	long 	tiddog 	panjang 	mahaba 	taas 	makaba 	andokéy 	[[]] 	anåkko 	lava 	roa 	roa 	panjang, paos 	apiddu 	anaddu 	dawa, panjang 
29 	wide 	lawa 	lebar, luas, lapang 	malapad 	lapad 	lapad, malapad 	malapar, maawang 	[[]] 	fedda' 	malalaka 	'ā'ano 	whānui, tīrara, pirara 	lega, rubak 	alawa 	alawa 	amba, jembar 
30 	thick 	puskol 	tebal 	makapal 	baga 	kapal, makapal 	kapal, makapal 	[[]] 	potpot 	matevina 	meʻumeʻu 	mātotoru, pōruru, kukū 	kandel 	kannak, nakannak 	kannag, nakannag 	kandel 
31 	heavy 	dagsen 	berat 	mabigat 	bug-at 	bayat, mabayat 	belat, ambelat 	[[]] 	makkat 	mavesatra 	teiaha, taimaha 	taumaha 	abot, beurat 	dammo' 	dammat 	abot, awrat 
32 	small 	bassit 	kecil 	maliit, munti 	gamay 	lati, malati 	melag, melanting, tingot 	[[]] 	dikiki' 	kely 	iti 	iti 	alit, leutik 	baddi 	bissang, bissut 	cilik, alit 
33 	short 	baba 	pendek 	maliit, pandak 	mubo, putot 	kuyad, makuyad 	antikey, kulang, abeba 	[[]] 	kadada 	fohy 	poto 	poto 	pondok 	alinno' 	alinnat 	cendhek 
34 	narrow 	kikid 	sempit 	makitid 	gip-ot, hiktin, piot 	kitid, makitid 	mainget 	[[]] 	anggosto 	tery 	oaoa 	whāiti 	heurin, heureut, seredek 	atazzi' 	atazzit 	ciyut 
35 	thin 	ingpis 	tipis, nipis 	manipis 	nipis 	impis, maiimpis 	maimpis, mabeng 	[[]] 	kanifes 	manify, mahia 	rairai 	rahirahi 	ipis 	eppi' 	empit 	tipis 
36 	woman 	babao 	perempuan 	babae 	babaye 	babai 	bií 	[[]] 	palao'an 	vehivavy 	vahine 	wahine 	awéwé, istri, wanoja 	babay 	babay 	wadon 
37 	man (adult male) 	lalaki 	lelaki 	lalaki 	lalaki 	lalaki 	laki, bolog 	[[]] 	låhi 	lehilahy 	tāne 	tāne 	lalaki, pameget 	lalaki 	lalaki 	lanang 
38 	man (human being) 	tao 	orang, manusia 	tao 	tawo 	tau 	too 	[[]] 	taotao 	olombelona 	taʻata 	tangata 	jalmi, jelema, manusa 	tolay 	tolay 	wong, manungsa 
39 	child (a youth) 	anak 	anak, kanak 	bata, anak 	bata, anak 	anak 	anak, ogaw 	[[]] 	påtgon 	zaza 	tamariʻi 	tamaiti (singular); tamariki (plural) 	budak, murangkalih 	ana' 	anak 	anak, lare 
40 	wife 	asawa 	isteri 	asawa 	asawa 	asawa 	asawa, akolaw, kaamong 	[[]] 	asågua 	vady 	vahine faʻaipoipo 	wahine 	garwa, pamajikan, pibojong 	atawa 	atawa 	bojo, semah, garwa 
41 	husband 	asawa 	suami 	asawa 	bana 	asawa 	asawa, masiken, kaamong 	[[]] 	asagua, esposu 	vady 	tāne faʻaipoipo 	tāne 	carogé, salaki 	atawa 	atawa 	bojo, semah, garwa 
42 	mother 	ina 	ibu, emak 	ina, nanay 	inahan (ina), nanay 	Ima 	ina 	[[]] 	nåna 	reny 	metua vahine 	whaea 	biang, ema, indung 	yena 	ina 	ibu 
43 	father 	ama 	bapa, ayah 	ama, tatay 	amahan (ama), tatay 	Tatang 	ama 	[[]] 	tåta 	ray 	metua tane 	matua 	abah, bapa, rama 	yama 	ama 	bapa, rama 
44 	animal 	ayup 	binatang, haiwan 	hayop 	mananap, hayop 	[[]] 	ayep 	[[]] 	gå'ga' 	biby 	manu 	kararehe 	sato 	ayam 	ayam 	sato, kewan 
45 	fish 	ikan, sida 	ikan 	isda 	isda 	asan 	sira 	[[]] 	guihan 	trondro, hazan-drano 	i'a 	ika 	lauk 	manango' 	manangat 	iwak, ulam 
46 	bird 	billit 	burung 	ibon 	langgam 	ayup 	ayep 	[[]] 	paluma 	vorona 	manu 	manu 	manuk 	mammanu' 	mammanuk 	manuk, peksi 
47 	dog 	aso 	anjing, asu, kuyuk 	aso 	iro 	asu 	aso 	[[]] 	ga'lågu 	alika, amboa 	'ūrī 	kurī 	anjing, guguk 	kitu 	atu 	asu, segawon 
48 	louse 	kuto 	kutu 	kuto 	kuto 	kutu 	kuto 	[[]] 	hutu 	hao 	ʻutu 	kutu 	otét, puntang 	kutu 	kutu 	tuma 
49 	snake 	uleg 	ular 	ahas 	bitin, halas 	ubingan 	oleg 	[[]] 	kolepbla 	bibilava 	'ōfī 	neke (from English) 	oray 	iraw 	zirian 	ula 
50 	worm 	igges 	ulat 	uod, bulate 	ulod 	bulati 	biges 	[[]] 	[[]] 	kankana 	toʻe, tuʻa 	noke, toke, ngaio 	cacing 	karalang 	karalang 	uler 
51 	tree 	kayo 	pokok, pohon, kayu 	punungkahoy, puno 	punoan, kahoy 	tanaman 	kiew, tanem 	[[]] 	tronkon håyu 	hazo 	rā'au 	rākau 	tangkal 	kayu 	kayu 	wit 
52 	forest 	kakayuan 	hutan 	kakahuyan, gubat 	lasang 	gubat 	kakiewan, katakelan 	[[]] 	hålomtåno 	ala 	aru 	wao, ngahere 	leuweung 	kakayuan 	kakayuan 	alas, wono 
53 	stick (of wood) 	kayo, sanga 	kayu, batang, tongkat 	patpat 	pupot 	tingting 	bislak, sanga 	[[]] 	[[]] 	kibay, tehina 	mauhaʻa 	rākau, tokotoko 	régang 	billa' 	paluk 	pang 
54 	fruit 	bunga 	buah 	bunga, prutas < from Spanish /frutas/ 	bunga 	bunga 	bunga 	[[]] 	inasahan 	voankazo 	mā'a 	hua 	buah 	vunga 	vunga 	woh 
55 	seed 	bin-i 	benih, biji 	binhi, buto 	binhi 	butul 	bokel 	[[]] 	pipitas, simiya 	voa 	huero 	kākano, purapura 	binih, siki 	vullung 	vukal 	wiji 
56 	leaf 	bulong 	daun 	dahon 	dahon 	bulung 	bulong 	[[]] 	håggon 	ravina 	raoʻere 	rau 	daun 	don 	don 	godhong, ron 
57 	root 	ramut 	akar 	ugat 	gamot 	yamut 	lamot 	[[]] 	hale' 	faka, fototra 	aʻa 	aka 	akar 	gamu' 	gamut 	oyod 
58 	bark (of tree) 	ukis ti kayo 	kulit kayu 	balat ng puno 	upak 	tangke 	obak 	[[]] 	[[]] 	hodi-kazo 	paʻa, ʻiri 	hīako, peha 	papagan 	[[]] 	[[]] 	klika 
59 	flower 	sabong 	bunga 	bulaklak 	bulak 	sampaga 	bulaklak 	[[]] 	flores 	voninkazo 	tiare, pua 	putiputi, puāwai 	kembang, kusuma, puspa 	lappao 	lappao 	kembang, sekar 
60 	grass 	ruot 	rumput 	damo 	balili, sagbut 	dikut 	dika 	[[]] 	chåguan 	ahitra, bozaka 	ʻaihere, matie 	pātītī 	jukut 	kaddo' 	kaddat 	suket 
