№ 	English 	Best	PIE / SEM	EG	Malay 	Tagalog 	Cebuano 	Pampangan 	Pangasinan 	Sasak 	Chamorro 	Malagasy 	Tahitian 	Maori 	Sundanese 	Ibanag 	Itawit 	Javanese 	Ilocano 	
1	I 	ako	ike, ego	𓏌𓎡𓍢	aku, saya 	ako 	ako 	aku 	ak, siák 	aku, tiang 	'guåhu, yu'', hu '	aho 	au, vau 	ahau, au, awahau, awau, wau 	abdi, aing, didieu, sim kuring, urang 	'sakan, so'' '	yakan 	aku, kula, dalem 	siak 	
2	you (singular) 	ka, engkau	(ante) ka	(𓈖𓏏) 𓎡	engkau, kamu, awak, anda 	ikaw, ka 	ikaw 	ika 	siká, ka 	kamu, side 	hågu, håo, mu 	ianao 	'oe 	koe 	anjeun, manéh, didinya, sia, silaing 	sikaw 	ikaw 	kowe, sampeyan, panjenengan 	sika 	
3	he 	siya, dia, to, ia	sie, su, der, die	𓇓𓅱, 𓋴	siya 	siya 	iya 	si, sikato, to 	ie 	guiya 	izy 	oia, ''ōna '	ia 	anjeunna, manéhna 	yayya 	iggina 	dheweke, panjenenganipun 	isu 	
4	we 	kami	ego.me	𓇋𓀁𓈖𓈖𓏥	kita (incl.), kami (excl.) 	tayo (incl.), kami (excl.) 	kita (incl.), kami (excl.) 	ikata (incl.), ikami (excl.), itamu 	(si)katá (incl.), (si)kamí (excl.) 	ite 	hita (incl.), hami (excl.) 	isika (incl.), izahay (excl.) 	tātou (incl.), mātou (excl.) 	tātau, tātou (incl.); mātau, mātou (excl.) 	arurang, urang 	sitta (incl. for two people), sittam (incl. for more than two), sikami (excl.) 	itta (incl. for two people), ittera (incl. for more than two), ikami (excl.) 	awake dhewe, kawula sami 	datayo (incl.)	 dakami (excl.) 
5	you (plural) 	kamo, kalian 	kam, kan	𓍿𓈖𓏤𓏤𓏤	kalian 	kayo 	kamo 	ika, ikayu (plural) 	sikayo, kayo, yo 	 	hamyu 	ianareo 	'outou 	koutou 	aranjeun, maranéh 	sikamu 	ikayu 	kowe kabeh 	dakayo 	
6	they 	siha 	sie	𓋴𓏪	sila 	sila 	ila 	sikara, ra 	 	siha 	isy ireo 	rātou 	rātau, rātou 	aranjeunna, maranéhna 	ira 	ira 	dheweke kabeh 	isuda 	
7	this 	ni, ito, esti 	na, it	𓈖𓄿, 𓏏𓄿	ito 	kiri, kini 	ini 	ya, aya 	ni 	ini, esti 	ity 	teie 	tēnei 	ieu 	yaw 	yaw 	iki, puniki 	daytoy 	
8	that 	itu 	tui	𓏏𓅱𓇋𓇋 …	iyan, iyon 	kana, kadto 	yan, ita 	man, tan, aman, atan 	no 	enao 	izany 	terrā 	tērā, tēraka 	éta 	yatun (near), yari (far yet visible), yuri (far and not visible) 	yan (near), nay (far) 	iku, kuwi, puniku (near), ika, punika (far) 	dayta	 daydiay 
9	here 		dito?	𓂧 𓏮 𓈐, 𓉻 𓂝 𓈐	dito 	diri, dinhi 	keni, keti 	dia 	leq te 	mågi, guini 	eto 	iho nei 	konei 	dieu 	taw 	kanyaw, tiyaw 	kene, riki 	ditoy 	
10	there 			^^	doon, diyan 	diha, didto 	keta, karin 	diman, ditan 	leq to 	guatu 	ao 	iho na 	korā, konā 	ditu, dinya 	tatun (near), tari (far yet visible), turi (far and not visible) 	kanyan, tiyan (near), kannay (far) 	kono, riku (near), kana, rika (far) 	dita	 sadiay 
