 No. 	English 	Aryan	Lithuanian 	Old Prussian	Latvian 	Latgalian 	Samogitian 	Old Prussian
1	I 	aisch	aš 	as	es 	es|aś 	aš 	as
2	you (singular) 	tu	tu 	tū	tu 	tu 	to 	tū
3	he 	his|dens(sein)	jis 	tāns	viņš 	jis 	ons 	tāns
4	we 	meis	mes 	mes	mēs 	mes|ḿaś 	- 	mes
5	you 	yous	jūs 	jūs	jūs 	jius 	jūs 	jūs
6	they 	sje	jie 	tenei	viņi 	jī 	anėi 	tenei
7	this 	this	šis|šitas 	šis	šis 	šys|itys 	- 	šis
8	that 	thas	tas|anas 	stas	tas 	tys 	tas 	stas
9	here 	<<	čia|čionai|šičia 	stwi	šeit 	ite|te|iťa 	šen 	stwi
10	there 	dan durt	ten|tenai 	stwen	tur 	tī 	- 	stwen
11	who 	qwhos	kas|kuris|katras 	kas	kurš|kas 	kurs 	kas 	kas
12	what 	qwhath	kas|ką|kuo 	kawīds	kas 	kas 	kas 	kawīds
13	where 	qwhere	kur|kame 	kwēi	kur 	kur|kimā 	kamė|kor 	kwēi
14	when 	qwhenda	kada 	kadan	kad 	kod 	kumet 	kadan
15	how 	qwoi(p?)	kaip 	kāi	kā 	kai 	kāp 	kāi
16	not 	na	ne 	ni	nē 	nā 	ne 	ni
17	all 	<<	viskas|visa|visas 	wisāi	viss 	vyss 	sovėsam 	wisāi
18	many 	namz|many  toti? 	daug 	tūlan	daudz 	daudzi|namoz 	daug 	tūlan
19	some 	Quelques|…?	kažkiek|keli|keletas 	deli	daži|kautcik 	nazcik|kuri nakuri 	- 	deli
20	few 	Ne-toti	keletas|nedaug|truputis 	mazzan kas	nedaudzi 	nadaudzeji 	- 	mazzan kas
21	other 	ceteris!	kitas|anas 	kitan	cits 	cyts 	kėts 	kitan
22	one 	veins!	vienas 	ains	viens 	vīns 	vėins 	ains
23	two 	dvi	du|dvi 	dwai	divi 	div 	do|dvė 	dwai
24	three 	treis	trys 	trijan	trīs 	treis 	- 	trijan
25	four 	qvtouri	keturi 	keturjāi	četri 	četri 	- 	keturjāi
26	five 	phienci	penki 	pēnkjāi	pieci 	pīci 	- 	pēnkjāi
27	big 	de.tallis!  de’bigan!	didelis 	debīkan	liels 	lels 	dėdėlis 	debīkan
28	long 	Ilongros legs?	ilgas 	ilgāi	garš|ilgs 	gars|ilgs 	- 	ilgāi
29	wide 	Plattos < platon	platus 	platus	plats 	plots 	pluots 	platus
30	thick 	<<	storas|tankus|tirštas 	stārs	biezs 	bīzs 	- 	stārs
31	heavy 	sunk? Groß schmackes	sunkus 	brendus	smags 	gryuts 	smagoms 	brendus
32	small 	miczras mice	mažas 	līkuts	mazs 	mozs 	mažos 	līkuts
33	short 	s’	trumpas 	īnsan	īss 	eiss 	- 	īnsan
34	narrow 	šaurs ~short	siauras|ankštas 	anzuks	šaurs 	šaurs 	- 	anzuks
35	thin 	plain plane	plonas|liesas 	lāils	plāns|tievs 	plans 	tēvs 	lāils
