№ 	English 	BEST			Fang 	Punu 	Lingala 	Kikumu 	Kikuyu 	Sukuma 	Zaramo 	Duala corrupt	Swahili 	Kongo 	Kituba 	Kimbundu																																																										
1	I 	me, ménu 	me, mine	++	me; me, ma (E) mǎ; me-, ma- 	ménu 	ngáí, na- 	eme 				me, ménu 	mimi 	ngi- 	mono 	eme																																																										
2	you (sing) 	Ndéju, yó, o- 	(ante) you, “we”	++	we; ô, wa (E) wǎ; o-, wa- 	ndéju 	yó, o- 	obɛ, oɛ, o- 	wee 	ying'we 	mweye 	yó, o- 	wewe, u- 	u- 	nge 	eie																																																										
3	he 	Aa, é	(an) ha hé	+	nye, énye; a, a (E) é ñe; a-, aa- 	a 	yé, a- (person), e- (thing) 	yɛ, a- 	we 	weyi 	ijya 	a (sub), mo̱ (ob) 	yeye, a- 	u- 	yandi 	muene																																																										
4	we 	√Bia/Via  t’weye 	wir	+!	bîe; bî, bîa (E) bíyǎ; bí-, bíyá- 		bísó, to- 	besu 	ithuĩ 	yise 	tweye 	di (sub), biso̱ (ob) 	sisi 	tu- 	beto 	etu																																																										
5	you (pl) 	benu	你 nǐ ?	-	mine; mi, mia (E) mínǎ; mín-, míná- 		bínó, bo- 	benu, bo, bo- 	ĩnyui 	bebe 	gwewe 	lo (sub), bińo̱ (ob) 	ninyi, wa, m- 	lu- 	beno 	enu																																																										
6	they 			-	ba 	banga, ba- (persons), e-/i- (things) 	bɔ, ba, bá- 	o acio 	boyi 	waja 	wao, ba, wa- 	ba (sub), babo̱ (ob) --- 	be- 	bau 	ene																																																											
7	this 		乃 na 那 nà		ényina, é more (E) é-ñí 		óyo 	ambe, búndé, mmbe, nde, nnde, unge 				bón, nunan, nu 	huyu, hii, hiki, hili, huu -ki 																																																													
8	that 	é-te 	é-te 	+?	éto, ôto (E) é-te 	ike 	wâná 	ambɔ, búndɔ́, mmbɔ, ndɔ, nndɔ, ungɔ 	nĩkĩo 	yo 	wijya 	nune̱ 	lile, ule, yule, ile, kile -kina 		kiná																																																											
9	here 	vá haha	wo here	+?	nne, va (E) vá, váná, mú 	avàve, agunu 	áwa 	oani 	haha, gũkũ 	aha 	hano 	wan 	hapa 	vava, eva, kuku, eku 																																																												
10	there 	Va avàne 	Wo over vana	+?	va (E) váa 	avàne 	kúná, wâná 	koni, ndosi 	harĩa, hau, ho, kũrĩa, kũu, kuo 	aho 	kudya 	wa 	hapo, huko 	vana, kuna 																																																												
11	who 	Nẑa náni ani?	Ante … nanu any?	+?	nẑa? (E) nza?, nzá? 		náni 	ani 	nũ? -ũ? 	nani 	yalihi 	nde 	nani 	nani 	náni 	mukuanhi																																																										
12	what 	zè? [ʣɛ] (E) dze? 	(ni) que?	+?	zè? [ʣɛ] (E) dze? 		níni 	sina 	nĩkĩ 	kiyi 	choni 	nje 	nini 	nki 	wápi, ínki 	nii																																																										
13	where 	o ve? 	Ou? wea? wo?	++	vé? (E) ve?, o ve? 	avéñi, avè 	wápi 	sua 	kũ? ha? 			ó, wé, wéni 	wapi 	kweyi 	wápi -ebi																																																											
14	when 	tángo 	ri~ ray Tángo ~ time	-	é ñgeñ? (E) ó dén? 		tángo 	mbenɔ nde 	rĩ? 			pe̱ 	lini 		tángu 	ki, kiondo																																																										
15	how 	bóní? na? ya? 	na? boni?	+?	na? (E) ya?, na? 	nane 	bóní 		atĩa? 			ne̱, ne̱ni 	vipi 	bwe, bweyi 	íkwa 	kiebi																																																										
16	not 	nao, (no) ata 	NO! anti kein di¬	+++	nési 	... tɛ́ -nao-, (no) ata 	ĩhĩ, (no) aca 			si 	ka...ko 	-nao-, (no) ata 		ki																																																												
17	all 	Kadi , tû 	kal’tout toso	+-	kadi 	nyɛ́, tû 	bɔbhi 	ciothe 	ose 	wose -ote -onso 	nyónso 	be̱se̱, ńe̱se̱, le̱se̱ 	hoso																																																													
18	many 	míngi 	Menge abun(den) Üppig 	+++	abî, ébyer, azô (E) abuíñ, ábíra; angan 	pwèle 	míngi 	kpuu, -si -ĩngi 	ingi 	wamema, vingi -ingi -bidi 	míngi 	jita, njoasoa, eyeka 	kiavulu																																																													
19	some 	bɔ̌kɔ́  nichtig	poco emosi ~ s-o-m-e	++	nẑu (E) -bɔ́’ɔ́, enziŋ 	imosi, amosi 	bɔ̌kɔ́ 	buambo 					baadhi ya, -chache 																																																													
20	few 	pesu nini	poco mini	++	avétsañ (E) avétsáŋ 	pesu, digasu 	mɔkɛ́mɔkɛ́ 		nini 	gehu 	vidodo 	ngusu 	kidogo -n'ke, -ndwêlo, -fyôti 		féle, kiatolo																																																											
21	other 	mbokh	ambi?		mbokh, mfe (E) mbɔ́’ɔ́, mfé 	mususu, isusu 	mosúsu, -súsu 	angbo -ngĩ 		-ingine -n'kaka 	-amukuâ, hengi																																																															
