 No. 	English 	Basque euskara =  Aquitanian	PIE anknüpfbar?	remotely	Dravidian anknüpfbar? NO	DRAVIDIAN connection? NO	Aryan
1	I 	ni	🗸	ani, me	🗸	నేను (/neːnu/)	an’ nous
2	you (singular) 	hi, zu	🗸	his, cu		నీవు (/niːvu/)	an’ vous
3	he 	hura, bera	🗸	he, her, ?	🗸 Bera ~ వాడు (/vɑːɽu/) 	అతడు (/at̪aɽu/) వాడు (/vɑːɽu/) 	ante’ er/lui   hver ander der
4	we 	gu		cum?		ನಾವು (nāvu)	Nove nous mir man! 
5	you (plural) 	zuek	🗸	cous		తమరు (/tamaru/)	Ta! mir nin.kal!
6	they 	haiek	🗸	haims -c -k plural	~	അവർ (/aʋar/)	Eux ^^ er
7	this 	hau	🗸	hoc		ఇది (/idi/)	'die[s] itt@turk
8	that 	hori, hura	some words, remote base			అది (/adi/)	'dai[s] ott@turk that
9	here 	hemen, hon-	long contact with PIE		:	ఇక్కడ (/ikːaɽa/) ఇచ్చట (/icːaʈa/)	ici.da <> where ahere
10	there 	hor, han		here	Hor < అక్కడ (/akːaɽa/) 	అక్కడ (/akːaɽa/) 	ahere, ante, [th]ere
11	who 	nor (interrogative)	!	na?		ఎవరు evaru யார் (yār)	'wer!
12	what 	zer (interrogative)		quer?		ఏమిటి (/eːmiʈi/) ఏంటి (/eːɳʈi/) 	'mwit, ‘na
13	where 	non (no movement, interrogative)				ఎక్కడ (/ekːaɽa/) 	a’kwhere ++ <> here
14	when 	noiz (interrogative)				ఎప్పుడు (/epːuɽu/) 	ap’houra ! ++
15	how 	nola (interrogative)				எப்படி (eppaṭi)  ಹೇಗೆ (hEge) 	a’what? Howgue?
16	not 	ez	¬	as- at- anti--	cutz	కాదు (kādu) లేదు(lēdu)	Cut kein let! Lass! la! ¬des
17	all 	guzti, den, oro			Aro ~ alle ~ ella	ಎಲ್ಲ (ella) 	ella!! adam! Einige
18	many 	asko				చాలా (cālā)  பல (pala) 	c’alle! Poly பல (pala) viele PQ
19	some 	batzuk, zenbait				కొందరు (koMdaru) (humans)	Kaum khumen… < calle
20	few 	gutxi	🗸	guci@…		కొన్ని (/konːi/) 	~kaum>kein ^^
21	other 	beste	🗸	bosther@…		ఇతర itara	Othera ++ mbere~andere
22	one 	bat	🗸	phairst bhat -+-		ఒకటి (okaṭi) 	Ek第 ++ einer erst
23	two 	bi	🗸🗸			ಎರಡು (eraDu)	èr 二 …Du ! 第
24	three 	hiru	🗸	thiru		மூன்று (mūṉṟu)	man! 第 more
25	four 	lau	🗸	nilau!	NilAu !	നാൽ- (/n̪aːl-/)	nailu!  第
26	five 	bost	🗸	pest		ஐந்து (aintu) 	(p)aintu! 第
27	big 	handi			phandi plenty	పెద్ద (pedda) பெரிய (periya) 	<> pod super? Da^ better
28	long 	luze	~			పొడవైన (poḍavaina) 	<> pod  𓈖𓄣 nile.manner
29	wide 	zabal				వెడల్పైన (veḍalpaina)	veda… alipine
30	thick 	lodi, gizen, potolo				t̪aʈit͡ʃt͡ʃa ;)	thick… 
31	heavy 	astun				బరువైన (baruvaina) 	bary
32	small 	txiki			kot͡ʃt͡ʃ	cunz, kot͡ʃt͡ʃ ;) ++	kurz
33	short 	labur, motz				കുറു (/kuru/), കുള്ളൻ (/kuɭɭan/)	kurz, klein, petit
34	narrow 	estu, mehar	~	meharrow		సన్నని (sannani)	thin/ schmal
35	thin 	argal		marger?		సన్నని (sannani)	thin
36	woman 	emakume	~-	femme.gyne		பெண் (peṇ) మహిళ (mahiḷa) 	Femme / matha
37	man (adult male) 	gizon	<	Kishon?			mega.vadu! [m]Ahn! Pere:bara@rom
38	man (human being) 	gizaki				மனிதன் (maṉitaṉ)	manys.tan
39	child 	haur, ume, sein	🗸	chair, son		పిల్ల (pilla) (female)	fille, fils < copile @ROM 
40	wife 	emazte	🗸	Emanze ;)		భార్య (bhārya), ఆలి (āli) 	man.eve  wo.man
41	husband 	senar	🗸	senior?			^^ man = Macker భర్త bharta@ROM
42	mother 	ama	🗸🗸		🗸🗸	அம்மா (ammā)	Mama Amme
43	father 	aita	🗸🗸		🗸🗸	அப்பா (appā)  	Papa t’andro
44	animal 	abere (domestic), animalia	🗸				jungle Tierv
45	fish 	arrain		rom@rhein		மீன் (mīṉ) 	Min ~ naun   చేప cēpa~fish -
46	bird 	txori	🗸	tyr	piteri	പറവ (/paraʋa/)   పిట్ట (piṭṭa)  	bird, papagei
47	dog 	txakur		dogge	da.ku	కుక్క (kukka) நாய் (nāy) 	Kuan*2
48	louse 	zorri				పేను (pēnu) 	
49	snake 	suge	🗸			పాము (pāmu) 	phy.ma <> wurm?
50	worm 	har	🗸	ver	പുഴു (/puɻu/), വിര (/ʋiɾa/)	പുഴു (/puɻu/), വിര (/ʋiɾa/)	Pwurm VER புழு (puzhu) <> pytho?
51	tree 	zuhaitz	? 	cedar?	~~	చెట్టు (ceṭṭu) மரம் (maram) 	cedar 𒄑  木 mùr
52	forest 	oihan, baso				காடு (kāṭu)	cedar 𒄑
53	stick 	makila		木 mù		కట్టె (kaṭṭe) కర్ర (karra)	cedar 𒄑 cut
54	fruit 	fruitu, zitu, igali	🗸🗸		🗸🗸	പഴം (/paɻam/)  ఫలము (phalamu) 	Phrui Pflaume 👁
55	seed 	ale, hazi	𓂋, hazel?		Ale < അരി (/aɾi/)  𓂋 !!	കുരു (/kuɾu/), അരി (/aɾi/) 	vita corn 𓂋
56	leaf 	hosto, orri			orri <இலை (ilai) 	இலை (ilai) 	foil~leaf
57	root 	erro, sustrai		erroot	🗸 వేరు (vēru)[t]  < ಬೇರು (bēru)	వేరు (vēru)[t]  < ಬೇರು (bēru)	bu.root
58	bark (of a tree) 	azal		*baza		బెరడు (beraḍu) 	bark ~ bardge
59	flower 	lore, lili	🗸🗸			పువ్వు (puvvu), పుష్పము (puṣpamu) 	phlower
60	grass 	belar, bedar				గడ్డి (gaḍḍi) 	gradh ~ grass growth
61	rope 	soka		zug, cord?	~?	తాడు (tāḍu) கயிறு (kayiṟu) 	tau! Cord
62	skin 	larru		leder		చర్మము(carmamu) 	Teil/Tol < leDer,  γδέρ κρέαma
63	meat 	haragi		cargni?	கறி (kaRi)	கறி (kaRi)	Carne κρέα  mamf;)
64	blood 	odol			odal (Te) body?	రక్తము (raktamu) குருதி (kuruthi)	^^ red
65	bone 	hezur		hosteo?		బొమికె (bomike)	bome
66	fat (noun) 	gantz		Gans!!	~	కొవ్వు (kovvu)	covfat
67	egg 	arrautza		<		முட்டை (muṭṭai)	egg/ei@mutheo  yumurta!
68	horn 	adar		<		ಕೊಂಬು (koṃbu)	khornm jambe
69	tail 	buztan		Buschel, Bürzel		తోక (tōka[l]) வால் ([t]vāl)	
70	feather 	luma	🗸	plume		ఈక (īka)  இறகு (iraku) 	ikarus [f]üka=fligh@TURK
71	hair 	ile	~			వెంట్రుకలు (veMṭrukalu), జుట్టు (juṭṭu) 	
72	head 	buru	<	bu.ratiol		తల (tala) 	Tall Teil tell?
73	ear 	belarri	<	bel’ear!		చెవి (cevi) 	~vocer
74	eye 	begi	🗸	veyegi		కన్ను (kannu), నేత్రం (netram) 	AuGen / keyen
75	nose 	sudur	<			ముక్కు (mukku) 	mucus@noco~nose
76	mouth 	aho	🗸	os		నోరు (nōru), మూతి (mūti) 	MOUTH pheme, నోరు (nōru) 𓂋 ore@lat!
77	tooth 	hortz, hagin	-	hook		పన్ను (pannu) 	pain;) zwang zahn dent
78	tongue (organ) 	mihi				నాలుక (nāluka) 	'licker’ [g]lisso 'snake’
79	fingernail 	azazkal				గోరు (gōru) 	Kralle>köröm Nagel
80	foot 	oin	🗸	boin		పాదము (pādamu), అడుగు (aḍugu) 	పాదము (pādamu), అడుగు (aḍugu) 
81	leg 	hanka, zango		Hink!		కాలు (kālu) 	Kehleg 
82	knee 	belaun				మోకాలు (mōkālu) 	Kehle
83	hand 	esku	<		~	చెయ్యి (ceyyi), చేయి (cēyi) 	khand, kaf, käsi@Uralic …
84	wing 	hego		flhegol	~+	రెక్క (rekka) 	Icar = [Fl]ight @ TURK
85	belly 	Para, sabel	🗸		pura (Malto)	పొట్ట (poṭṭa), కడుపు (kaḍupu) 	pott=belly botton@SEM
86	guts 	heste, tripa				పేగులు (pēgulu) 	
87	neck 	lepo				మెడ (meḍa), కంఠం (kaMṭhaM) 	
88	back 	bizkar				వీపు (vīpu), వెన్ను (vennu) 	
89	breast 	bular	🗸	~	buru (Te) round 	చన్ను (cannu), స్తనము (stanamu) 	
90	heart 	bihotz	🗸	bu.Herz	biho	గుండె (guMḍe) 	
91	liver 	gibel			കരൾ /kaɾaɭ/	కాలేయం (kālēyam) 	viral Coeur
92	to drink 	edan	ƒ			తాగు (tāgu) 	s’agua കുടി (/kuʈi/)~ici@TURK
93	to eat 	jan		<>	e’tjan	తిను (tinu) 	i’tin
94	to bite 	kosk egin	<	… egin:DOIN	🗸	కొరుకు (koruku), కరచు (karacu) 	Cut ,kau
95	to suck 	xurgatu	~		~~	చీకు (cīku) 	చీకు (cīku)  cus=suc=joice
96	to spit 	txistu egin				ఉమ్ము (ummu) 	ఉమ్ము ([v]ummu[t]) 
97	to vomit 	goitikatu	!🗸	kotz	~+	కక్కు (kakku) 	kak=bad
98	to blow 	putz egin	🗸	pust!		ఊదు (ūdu) (transitive), వీచు (vīcu) (intransitive) 	Wud ~ wind < blasen
99	to breathe 	arnas egin				ఊపిరి పీల్చు (ūpiri pīlcu) 	
100	to laugh 	barre egin				నవ్వు (navvu) 	~ lache, necke
101	to see 	ikusi	🗸	eik🗸	~+	చూచు (cūcu) 	Guck +++ ceen ^ eye
102	to hear 	entzun	~	zTn	~	విను (vinu) 	Kher ~ kel
103	to know 	jakin	🗸	ya.know		తెలుసుకొను (telusukonu), ఎరుగు (erugu) 	
104	to think 	pentsatu	🗸🗸	pense	~-	ఆలోచించు (ālōcincu) 	al cinc = think
105	to smell 	usaindu	~🗸	sense	~++	వాసన చూచు (vāsana cūcu), మూచ్చూచు (mūccūcu) 	<> nose
106	to fear 	beldur izan		… izan:sein		బెదురు (beduru), భయపడు(bhayapaḍu) 	bhe’ur
107	to sleep 	lo egin				కునుకు (kunuku), తూగు (tūgu), నిద్ర పోవు (nidra pōvu) 	Knacke Knarze ;)
108	to live 	bizi izan	;) 🗸	busy		బతుకు (batuku) 	Vital <> vir
109	to die 	hil	🗸	kill, fall		చచ్చు (caccu) 	Cesse, cede
110	to kill 	erahil	🗸	kill, fall		చంపు (caMpu) 	கொல் (kol) 
111	to fight 	borrokatu	<	<<<>>>	++++	పోరాడు (pōrāḍu) 	Phoirad <> sport
112	to hunt 	ehizatu			~~!	వేటాడు (vēṭāḍu) 	vettern?
113	to hit 	jo				కొట్టు (koṭṭu) 	కొట్టు (koṭṭu) 
114	to cut 	moztu				కోయు (kōyu) 	കോത് (/koːt̪ɨ̆/) 
115	to split 	pitzatu	~		~~	చీల్చు (cīlcu) 	
116	to stab 	sastatu	~			పొడుచు (poḍucu), కుచ్చు /kuɕːu/ 	Cut / pod
117	to scratch 	urratu	+🗸	squrrat	~--	గీరు (gīru) 	சொரி (sori) 
118	to dig 	aitzurtu			~-	తవ్వు (tavvu) 	
119	to swim 	igeri egin	🗸	niger	Idger @ Iter	ఈదు (īdu) 	vhita, naun <> turk/hun
120	to fly 	hegaz egin	🗸	flhegol	Ikarus ^^++	ఎగురు (eguru) (intransitive), ఎగరవేయు (egaravēyu) (transitive) 	பற (paṟa)  icaru@turk/hun
121	to walk 	ibili	<			నడుచు (naḍucu) 	Ante …?
122	to come 	etorri	🗸?	arri(ve)?		వచ్చు (vaccu) 	வா (vā)  walk
123	to lie (as in a bed) 	etzan (action), etzanda egon (state)				పడుకొను (paḍukonu) 	beine strecken?
124	to sit 	eseri (action), eserita egon (state	~			కూర్చొను (kūrconu) 	
125	to stand 	zutitu (action), zutik egon (state)	~			నిలుచొను (niluconu), నిలబడు (nilabaḍu) 	Nil’baden ;)
126	to turn (intransitive) 	biratu	~-			తిప్పు (tippu) (transitive), తిరుగు (tirugu) (intransitive) 	തിരി (/t̪iɾi/)  tip’ing point
127	to fall 	erori, jausi	🗸?	error		పడు (paḍu) 	^^ lie
128	to give 	eman	🗸?	manu?		ఇచ్చు (iccu) 	தா (thā)
129	to hold 	eduki	🗸🗸?	√duct	pa.ducin	పట్టుకొను (pattukonu) 	𓂘 con
130	to squeeze 	estutu				పిసుకు (pisuku) 	quetch
131	to rub 	igurtzi				రుద్దు (ruddu) 	rud
132	to wash 	ikuzi, garbitu, xahutu				కడుగు (kaḍugu) 	<> Turk/hun ?
133	to wipe 	xukatu, lehortu				తుడుచు (tuḍucu) 	
134	to pull 	erakarri				లాగు (lāgu) 	இழு (izhu)  zieh, lag
135	to push 	bultzatu	~-			నెట్టు (neṭṭu), తోయు (tōyu) 	
136	to throw 	bota, jaurti(ki)	~?			విసురు (visuru) 	
137	to tie 	lotu				కట్టు (kaṭṭu) 	Cattie ++
138	to sew 	josi				కుట్టు (kuṭṭu) 	<> Kutte
139	to count 	zenbatu, kondatu	🗸🗸			లెక్కించు (lekkincu) 	le’kincu
140	to say 	esan, erran	🗸?			చెప్పు (ceppu) 	Say / chat / sappel
141	to sing 	abestu				పాడు (pāḍu) 	bird?
142	to play 	jokatu	🗸	joke?		ఆడు (āḍu) 	
143	to float 	igerikatu				తేలు (tēlu) 	
144	to flow 	isuri	🗸	ithury!!		పారు (pāru) 	Flow < para:around ?
145	to freeze 	izoztu	~			గడ్డకట్టు (gaḍḍakaṭṭu) 	
146	to swell 	hanpatu, puztu	🗸?	Pust? –		వాచు (vācu) 	
147	sun 	eguzki, iguzki, eki	??			సూర్యుడు (sūryuḍu), పొద్దు (poddu) 	Sarah
148	moon 	ilargi	??			చంద్రుడు (caMdruḍu), చందమామ (caMdamāma), నెలవేల్పు (nelavēlpu) 	camdra (Hindi)
149	star 	izar	🗸	isais, istar ++		నక్షత్రం (nakṣatraM), తార (tāra), చుక్క (cukka) 	akstra@nakht!!
150	water 	ur	!!!	1.eaur	నీరు (nīru) 	నీరు (nīru) 	νερό,neró,naur, nil!!
151	rain 	euri	~	<<^^>>	<కురియు (kuriyu)	కురియు (kuriyu), వర్షించు (varṣiMcu) 	kurain.yu 雨 +  weather<water
152	river 	ibai	~			నది (nadi) 	nauturu, aria, pour, ariva, rod
153	lake 	aintzira, zingira	? 			సరస్సు (sarassu) 	Sea / thalassea
154	sea 	itsaso	~-			సముద్రం (samudraM) కడలి (kaḍali) 	Sea.Ma’ra
155	salt 	gatz	🗸	gsa’tz		ఉప్పు (uppu) 	[s]up’pur
156	stone 	harri	<<<	ORE < bherit?	ore…	రాయి (rāyi) 	rock! ġebla  kar,kő...@Uralic
157	sand 	hondar, hare	🗸	sa’hare		ఇసుక (isuka) 	
158	dust 	hauts	~!		~~	దుమ్ము (dummu) 	Pust! dumnst@Turk! 
159	earth 	lur	<<			మన్ను (mannu), మట్టి (maṭṭi), నేల (nēla) 	Mud <> Mutter Nature
160	cloud 	hodei				మబ్బు (mabbu) 	<> abbu=water
161	fog 	laino				పొగమంచు (pogamancu) 	పొగమంచు (poga)
162	sky 	zeru, ortzi	<<<!?	zeir,ciel?		నింగి (ningi), ఆకాశం(ākāśaM] 	Nir.vanam!!! Nin.Gün svnne
163	wind 	haize	🗸	haze		గాలి (gāli) 	gale++ காற்று (kāṟṟu) quru@lat
164	snow 	elur, edur				మంచు (mancu) 	@manchu
165	ice 	izotz	🗸🗸			గడ్డమంచు (gaḍḍamancu) 	
166	smoke 	ke	½ 	smo.ke / fo.ge	~~	పొగ (poga) 	పొగ (poga) fog vs smog rauch 
167	fire 	su	? 	chau’?	~~	మంట (maNța), నిప్పు (nippu)  ---	Thyssen @Turk/Hun
168	ash 	hauts, errauts	🗸	Chauts ^^ !!		బూడిద (būḍida) 	
169	to burn 	erre	🗸	[fei]err		కాలు (kālu), మండు (maNḍu) 	char, chot, [b]eri
170	road 	bide	<	pod@	!!!	బాట (bāṭa) 	വഴി (/ʋaɻi/) way , pod, lu
171	mountain 	mendi	🗸🗸	mount	kmounta!	కొండ (koNḍa) 	Himalaya!
172	red 	gorri	🗸🗸	kirish!	!!!	ఎర్ర (erra) 	erra.de <> ver:wurm
173	green 	berde, orlegi	🗸🗸	> verde !!	<>	పచ్చ (pacca) 	Fresh, vir see Uralic
174	yellow 	hori	🗸	shori!!		పసుపు (pasupu) 	man.yellow @mango?
175	white 	zuri	<<		~-	తెల్ల (tella) 	வெள்ளை (vellai) 
