 No. 	English 	Basque euskara =  Aquitanian	PIE anknüpfbar?		EG anknüpfbar?	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	Caucasus anknüpfbar?	Uralic anknüpfbar?	Dravidian anknüpfbar? NO	DRAVIDIAN connection? NO	Aryan	
1	I 	ni na- (prefix)	✓️	ani / me	nati  𓏏=>ø	(𓈖𓏏) 𓅱 𓇋 𓀀,  𓇋, 𓍢 𓇋 , 𓏌𓎡𓍢 	closest living proxy to AF / EEF ?		ni na- ++ that's it ;)	నేను (/neːnu/)	an’ nous	
2	you (singular) 	hi ha- / zu	✓️	his / cu	cu  𓏏=>ø	(𓈖𓏏) 𓎡, 𓏏𓍢, 𓏏𓅱, 𓏏𓈖, 𓈖𓏏 𓏏, 𓈖𓏏 𓍿𓈖𓏥, 𓍿𓈖𓏮, 𓏏𓅱𓎡, 𓏏𓅱𓍿𓈖𓏥				నీవు (/niːvu/)	an’ vous	
3	he 	hura / bera	✓️	he / her / er ? kur 𓆑	𓆑 !? 𓇓𓅱 => h	(𓈖𓏏) 𓇓𓅱, 𓇓𓅱𓏏, 𓆑, 𓊪𓈖			✓️ Bera ~ వాడు (/vɑːɽu/) 	అతడు (/at̪aɽu/) వాడు (/vɑːɽu/) 	ante’ er/lui   hver ander der	
4	we 	gu	✓️!?	gwo~we~wo! Ego? Cum?		(𓈖𓏏) 𓈖𓏥, 𓇋𓏌𓈖𓏥, 𓇋𓀁𓈖𓈖𓏥				ನಾವು (nāvu)	Nove nous mir man! 	
5	you (plural) 	zuek	✓️	𓎡! cous 𓎡=tkvin@Kartvelian	𓎡=tkvin	(𓈖𓏏) 𓏏𓈖𓏥, 𓈖𓏏 𓏏𓈖𓏥, 𓍿𓈖𓏤𓏤𓏤				తమరు (/tamaru/)	Ta! mir nin.kal!	
6	they 	haiek	✓️	haims -c -k plural	-	(𓈖𓏏) 𓊃𓈖, 𓋴𓈖𓏥, 𓈖𓏥, 𓈖𓏮, 𓅱𓏥, 𓋴𓏪, 𓋴𓏏𓏥			~	അവർ (/aʋar/)	Eux ^^ er	
7	this 	hau	✓️	hoc	𓅮 𓄿,  𓏏=>ø	𓏏𓄿, 𓏏𓅱, 𓏏𓅱𓇋𓇋, 𓏏𓈖, 𓍿𓈖, 𓅮, 𓅮𓄿, 𓇑𓇑, 𓇑𓇑𓈖, 𓈖𓄿, 𓉐, 𓊪𓅮𓄿, 𓊪𓅱, 𓊪𓅱𓇋𓇋, 𓊪𓈖				ఇది (/idi/)	'die[s] itt@turk	
8	that 	hori / hura		here	𓆑𓄿, 𓏏=>ø	𓏏𓆑𓄿,𓏏𓆑,𓏏𓅱,𓏏𓅱𓇋𓇋,𓈖𓆑,𓊪𓅱𓇋𓇋,𓊪𓆑𓏮,𓊪𓆑𓄿𓈐,				అది (/adi/)	'dai[s] ott@turk that	
9	here 	hemen / hon-			𓈖𓄿, 𓂧 𓏮	𓈖𓄿, 𓂧 𓏮 𓈐, 𓉻 𓂝 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐			:	ఇక్కడ (/ikːaɽa/) ఇచ్చట (/icːaʈa/)	ici.da <> where ahere	
10	there 	hor / han	<<>>>	Here / herein	^^	𓂧 𓏮 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐, 𓇋𓅓,			Hor < అక్కడ (/akːaɽa/) 	అక్కడ (/akːaɽa/) 	ahere / ante / [th]ere	
11	who 	nor (interrogative)	那	那 na?	𓈖𓅓𓂝	𓊪𓅱, 𓊪𓏏𓂋, 𓅓 𓂟, 𓅓 𓂝, 𓈖𓅓𓂝,𓊄 𓇋𓇋, 𓋴, 𓏶				ఎవరు evaru யார் (yār)	'wer!	
