№	English	Proto-Celtic (WTF WTF!)	Best	PIE		Breton	Cornish	Welsh	Old Irish (some German!)	Irish	Scottish Gaelic	Manx	Gaulish
1	I	*mī	me	🗸	🗸	me	my	mi, fi	mé	mé	mi	mee	mi
2	you	*tū	te	🗸	🗸	te	ty	ti	tú	tú	thu	oo	tu
3	he	*em		'em him	🗸	eñ	ev	ef, fe, fo	é	sé	e	eh	[Term?]
4	we	*snīs		nois	🗸	ni	ni	ni	sní	sinn, muid	sinn	shin	sni
5	you (plural)	*swīs		wes	🗸	c'hwi	hwi	chwi, chi	síi, sib	sibh	sibh	shiu	suis
6	they	*yoi		[t]hey	🗸	i, int	i	hwy, hwynt, nhw	é	siad	iad, 'ad	ad	[Term?]
7	this	*sindos, *so-sin, *se-		ce thois	🗸	an ... mañ	an ... ma	hwn, y ... yma	in ... so	an ... seo, an ... so	an ... seo	yn ... shoh	sosin
8	that	*emo-, *sindo-de		se / NA!	🗸	an ... se	an ... na	hwnnw, y ... yna	in ... sin, in ... tall	an ... sin, an ... siúd	an ... sin, an ... siud	yn ... shen, yn ... shid	[Term?]
9	here	*sondo, *uman?				amañ	omma	yma	sund	anseo	an-seo	ayns shoh, aynshoh	[Term?]
10	there	*kē, *anda?				aze, eno	ena	yna	tall	ansin, ansiúd	an sin, an siud	ayns shen, ayns shid	[Term?]
11	who	*kʷē		𓊪 𓅱 phoiw!	🗸	piv	piw	pwy	cía	cé	cò	quoi	[Term?]
12	what	*kʷid		phatr 𓇋 𓏏 𓂋 𓆵	🗸	petra	pyth	beth	cid	cad é, céard	ciod, dè	cre, c'red	[Term?]
13	where	*kʷuts		phich… 𓍿𓈖𓌙𓅯	~	pelec'h	ple	ble	cía airm, cairm, cía dú	cá, cá háit, cén áit	càite	c'raad	[Term?]
14	when	*kʷan(o)		phe.hour 𓅯𓅯	~	peur, pegoulz, pedavare, pevare	p'eur	pryd	cuin	cathain, cá huair, cén uair	cuin	cre'n traa, cuin	[Term?]
15	how			Phe.… 𓅱	~-	penaos, pegiz, pevod	fatell	sut	co, cía chruth, cía indas, cindas	conas, cén chaoi, cad é mar	ciamar, cionnas	kys, kanys, cre'n aght	[Term?]
16	not	*ne		ni kein!!	!🗸	ne ... ket	ny	dim	ní, nícon	ní, cha	na, cha	ny, cha	ne
17	all	*ollos		kholl whole ++	🗸	holl, tout	oll	holl, i gyd	uile	uile	uile	ooilley	ollon
18	many	*ɸilu-		quelqs kallies++ katll!	🗸	kalz	lower, lies	llawer	il, imdae, mór	a lán, mórán	mòran	ram, mooarane	[Term?]
19	some	*nekʷos		𓎟nubis!!!	!🗸	bennak, meur a	nebes	rhai, rhyw	nach	éigin, roinnt	eigin, roinn	ennagh, shiartanse, kuse	nepi
20	few	*nekʷos, *bikkano		𓎟nubis!!!	!🗸	nebeut	nebes	ychydig	úathad, terc, bec	beagán	beagan	beggan	[Term?]
21	other	*alyos		(k)allos   all:other!	!🗸	all, arall	erell	arall	aile	eile	eile	elley	[Term?]
22	one	*oinos	aon	🗸	🗸	unan	onan	un	óen	aon	aon	unnane, nane, un	[Term?]
23	two	*dwau	dó	🗸	🗸	daou	dew	dau, dwy	dá	dó	dà	daa	[Term?]
24	three	*trīs	trí	🗸	🗸	tri	tri	tri	trí	trí	trì	tree	tri-
25	four	*kʷetwares		🗸 <<	🗸	pevar	peswar	pedwar	cethair	ceathair	ceithir	kiare	petuar
26	five	*kʷinkʷe		🗸	🗸	pemp	pymp	pump	cóic	cúig	còig	queig	pempe
27	big	*māros		mahr more	~🗸	bras, (old) meur	bras (old) meur	mawr	mór, oll	mór	mòr	mooar	[Term?]
28	long	*sīros		menhir! √ghir	~🗸	hir	hir	hir	fota, sír	fada	fada	foddey, liauyr	sirus
29	wide	*ɸlitanos		leiter??		ledan	ledan	llydan	lethan	leathan	leathann	lhean	[Term?]
30	thick	*tegus		fat, the[iwg] Talg?	🗸 ~🗸	tev, fetis	tew	tew	tiug, remor	tiubh	tiugh	çhiu	[Term?]
31	heavy	*trummos		pond, trauma! Dram?<<	🗸™	pounner	poes	trwm	trom	trom	trom	trome	[Term?]
32	small	*bekkos		pico	🗸	bihan	bian, byghan	bach, bychan	bec	beag	beag	beg	lagu-
33	short	*birros		Bird! <<	<<	berr	berr	byr	cummair, berr; Middle Irish gerr	gearr	goirid	giare	birrus
34	narrow	*angus		Eng ++ culein	!🗸	enk, strizh	kul	cul	cáel, cumung	cúng	cumhang	coon	[Term?]
35	thin	*tanauyos		thain, moon?	🗸 , ?	moan, tanav	moon, tanow	tenau	tanae, séim	tanaí	tana	thanney	[Term?]
36	woman	*benā		binta!! martha!	<🗸	maouez	benyn	gwraig, merch, dynes, menyw	ben	bean	bean	ben	bnanom
37	man (adult male)	*wiros		gwirus, don <<> sir	!🗸	gwaz, den, gour	gwas, gour	gŵr, dyn	fer	fear	fear	fer, dooinney	viro-
38	man (human being)	*gdonyos		don, adon, adam, andruined	🗸	den	den	dyn	duine	duine	duine	dooinney	xtonion
39	child (a youth)	*mustākos		bengel, Flügg!/Floh/Fluch ++	!<	bugel	flogh	plentyn	lenab, noídiu	leanbh, páiste	leanabh, pàiste	lhiannoo, paitçhey	[Term?]
40	wife			Gwin-reg?	~	gwreg	gwreg	gwraig	ben, séitig	bean chéile	bean-phòsda	ben, ben phoost, ben heshey	[Term?]
41	husband			gVIR	🗸	gwaz	gour	gŵr	fer, céile	fear céile	fear-pòsda	dooinney, dooinney poost, sheshey, sheshey poost	[Term?]
