№	English	Maryan Coptic (ⲙⲩⲧⲭⲏⲙⲉ)
1 	I 	ⲁⲛⲟⲕ
2 	you (singular) 	ⲛ̀ⲑⲟⲕ, ⲛ̀ⲑⲟ
3 	he 	ⲛ̀ⲑⲟϥ
4 	we 	ⲁⲛⲟⲛ
5 	you (plural) 	ⲛ̀ⲑⲱⲧⲉⲛ
6 	they 	ⲛ̀ⲑⲱⲩ
7 	this 	ⲫⲁⲓ, ⲑⲁⲓ
8 	that 	ⲫⲏ, ⲑⲏ
9 	here 	ⲉⲙⲛⲁⲓ
10 	there 	ⲙ̀ⲙⲁⲩ
11 	who 	ⲛⲓⲙ
12 	what 	ⲁϣ, ⲩ
13 	where 	ⲑⲱⲛ
14 	when 	ⲛ̀ⲑⲛⲁⲩ
15 	how 	ⲁϣⲣⲏⲧⲉ
16 	not 	ⲁⲛ
17 	all 	ⲧⲏⲣ
18 	many 	ⲩⲙⲏϣ-
19 	some 	ϩⲁⲛ-
20 	few 	ϩⲁⲛ-
21 	other 	ⲕⲉ-
22 	one 	ⳣⲁ
23 	two 	ⲥⲛⲁⲩ
24 	three 	ϣⲟⲙⲧ
25 	four 	ϥⲧⲟⲩ
26 	five 	ϯⲩ
27 	big 	ⲛⲓϣ
28 	long 	ϣⲏⲩ
29 	wide 	ⲫⲟⲣϣ
30 	thick 	ⳣⲟⲙⲧ
31 	heavy 	ϩⲟⲣϣ
32 	small 	ⲕⲩϫⲉ, ϣⲏⲙ
33 	short 	ϣⲏⲧ
34 	narrow 	ⲡⲉϫⲓⲧ
35 	thin 	ⲡⲉϫⲓⲧ
36 	woman 	ϩⲓⲙⲉ
37 	man (adult male) 	ϩⲱⲩⲧ
38 	man (human being) 	ⲣⲱⲙⲉ
39 	child 	ⲁⲗⲩ
40 	wife 	ϩⲓⲙⲉ
41 	husband 	ϩⲁⲓ
42 	mother 	ⲙⲁⲩ
43 	father 	ⲓⲱⲧ
44 	animal 	ⲧⲉⲃⲛⲏ
45 	fish 	ⲧⲉⲃⲧ
46 	bird 	ϩⲁⲗⲏⲧ
47 	dog 	ⲩϩⲟⲣ
48 	louse 	ⲕⲁⲕⲧⲉ
49 	snake 	ϩⲟϥ
50 	worm 	ϥⲉⲛⲧ
51 	tree 	ϣⲏⲛ
52 	forest 	ⲙⲁⲛϣⲏⲛ
53 	stick 	ⲗⲁϧⲉⲙ
54 	fruit 	ⲩⲧⲁϩ
55 	seed 	ⲃⲣⲁ
56 	leaf 	ϫⲱⲃⲉ
57 	root 	ⲛⲩⲛⲉ
58 	bark (tree) 	ⲁⲥⲁϥ
59 	flower 	ϩⲣⲏⲣⲉ
60 	grass 	ⲥⲓⲙ
61 	rope 	ⲛⲟϩ
62 	skin 	ⲁⲛⲟⲙ
63 	meat 	ⲁϥ
64 	blood 	ⲥⲛⲟϥ
65 	bone 	ⲕⲁⲥ
66 	fat (noun) 	ⲱⲧ
67 	egg 	ⲥⲱⲩϩⲉ
68 	horn 	ⲧⲁⲡ
69 	tail 	ⲥⲁⲧ
70 	feather 	ⲙⲉⳕϩⲉ
71 	hair 	ϥⲱⲓ
72 	head 	ⲁⲫⲉⳕ
73 	ear 	ⲙⲁϣϫ
74 	eye 	ⲓⲣⲉ
75 	nose 	ϣⲁⲓ
76 	mouth 	ⲣⲟ
77 	tooth 	ⲛⲁϫϩⲉ
78 	tongue (organ) 	ⲗⲁⲥ
79 	fingernail 	ⲓⲉⲃⲧⲏⲃ
80 	foot 	ⲣⲁⲧ
81 	leg 	ⲫⲁⲧ
82 	knee 	ϭⲁⲗⲟϫ
83 	hand 	ⲧⲱⲣⲉ
84 	wing 	ⲧⲉⲛϩ
85 	belly 	ⲛⲉⳕϫⲉ
86 	guts 	ⲙⲁϧⲧ
87 	neck 	ϧⲁϧ
88 	back 	ⲫⲁϩⲩ
89 	breast 	ⲉⲙⲛⲟⲧ
90 	heart 	ϩⲏⲧ
91 	liver 	ⲩⲫⲁϫⲉ
92 	to drink 	ⲥⲱ
93 	to eat 	ⳣⲱⲙ
94 	to bite 	ⳣⲱⲙ
95 	to suck 	ⲥⲱⲛⲕ
96 	to spit 	ⲛⲉϫⲑⲁϥ
97 	to vomit 	ϣⲓⲧⲉ
98 	to blow 	ⲛⲓϥⲉ
99 	to breathe 	ⲛⲓϥⲉ
100 	to laugh 	ⲥⲱⲃⲉ
101 	to see 	ⲛⲁⲩ
102 	to hear 	ⲥⲱⲧⲉⲙ
103 	to know 	ⲓⲙⲉ
104 	to think 	ⲙⲉⳕⳣⲉ
105 	to smell 	ϣⲱⲗⲉⲙ
106 	to fear 	ⲉⲣϩⲟⲧⲉ ⲛ̀-
107 	to sleep 	ⲉⲛⲕⲟⲧ
108 	to live 	ⲱⲛϧ
109 	to die 	ⲙⲩ
110 	to kill 	ϧⲱⲧⲉⲃ
111 	to fight 	ⲙⲗⲁϧ
112 	to hunt 	ϭⲱⲣϫ
113 	to hit 	ϣⲁⲣⲉ
114 	to cut 	ϣⲱⲡ
115 	to split 	ⲫⲱϣ
116 	to stab 	ⲑⲟⲛ
117 	to scratch 	ϧⲱϧ
118 	to dig 	ϣⲓⲕⲉ
119 	to swim 	ⲛⲓⲃⲉ
120 	to fly 	ϩⲱⲗ
121 	to walk 	ⲙⲟϣⲉ
122 	to come 	ⲓ
123 	to lie (in bed) 	ⲉⲣϣⲏⲓⲣⲉ
