Page	Dravidian	English	PIE	Basque	English	
164	ura	wife	whore	urruxa	female	
165	irru (Ta)	to bring forth	bear	errun	to lay eggs	
165	iru	to be	are	iruditu	to resemble	
165	il	to be	are	illi (Berber)	to be	
165	ul (Ta)	to exist	--	ulertu	to understand	
165	aru	to give birth	bear	aur	child	
166	ali (Ma)	woman	elle	ala	girl	
166	ir (Brahui)	sister	^^	arre	sister	
167	kappu (Ka)	meat	carbon carne ?	kaba(l)	domestic animal	
167	odal (Te)	body	--	odol	blood	
167	biho	heart	bu.Herz!	bihotz	heart	
167	pala	flesh	a’phla.os	opa	offering	
167	iracci (Ma)	meat		aragi	meat	
168	suri (S.Dr)	to pour	usher	isuri	to pour	
168	ana (Ka)	breath	@nose	asnasa	respiration	
168	naru (S.Dr)	odor		narru	skin	
168	usir (Ka)	breath	usher nose	usna	smell	
168	u-suru	nose	^^ QED	sur	nose	
169	sindu (Ka)	bad smell	ShIndus sünd stink!	sund-da	stink	
169	kuku (Malto)	summit	kur.kur	kukula	summit, peak	
170	buru (Te)	something round 	bulb breast	bular/burar	breast	
171	karata (Ka)	skull, coconut	Karkarnut? <<	garaun 	skull/brain	
171	mula (Ma)	brain		muin	brain	
171	kara	height	Karade great	garai	high, prominent	
171	bhala	forehead		belar (Zuber)	forehead	
172	gadda	chin	chingd!	ganga	mouth	
172	ba (Ka)	mouth	le.pa	abo	mouth	
174	begu (Ka)	to spy	<<	behatu	to observe	
175	kan (Brahui)	to know	Know < äugen: ☑	ikan	to look	
175	aks (S.Dr)	sight	Looks @ Auge𒈨 𒅆 	ikus	to see	
175	vili	eye	Voir @ Auge𒅆 	igi	eye	
175	muso (Malto)	nose	nose	musu	face	
175	mugu (Ka)	face	^^	musu	face	
175	muti (Ka)	face	s’nout < nose	mutur	snout	
175	motu (Ta)	stupidity	moot	mutur	snout	
175	mukka-ra(Te)	nose-ring	^^	moko	beak	
176	musu (Ka)	to smell	^^	mustur	snout	
176	ba (Ka)	mouth	le’pa:	abo	mouth	
177	appu (Ka)	to embrace		apa	kiss	
178	alasu (Ta)	to rinse	lyse	latsatu	to wash	
180	ele (Te)	song	tell	ele	story	
180	gol (Ka)	throat	Gurgel	golo	goiter	
180	karai (Ta)	to cry out	c’ry	garrasi	shrill cry	
181	kar-utti (Ma)	neck		garondo	nape of the neck	
182	kai (Tulu)	hand	Khãt @ akkad	uka	hand (*Kante)	
183	kurukh(C.Dr)	to seize	Charge <<	kargatu	to load	
183	kadi (S.Dr)	to steal	klau.doer	kaldar	thief, scoundrel	
184	adi (S.Dr)	foot	feet / footer	adar	foot of chair	
184	anga (Tel)	stride	ankle	anka	foot	
186	karu (Tu)	leg	Carry? <<	garra (Navar)	leg	
188	ola (Ka)	inside		ola	cabin, hut	
189	alku (Ta)	vulva	vulva > alu	alu	vulva	
190	eru (Ka)	dung	earth?	errai	dung	
191	tottu (Ma)	nipple	tits	titi	nipple	
192	pal (Ka)	milk	? galac	galatz	milk	
192	putti (S.Dr)	to be born		puta	womb	
193	pukku (S.Dr)	vulva		puta	womb	
195	tshika (Tulu)	small child	chick, chica	txiki	small	
195	tkuri (S.Dr)	short	kurz	korro	short	
195	tkittu (S.Dr)	small	kurz, cute	kuto	small	
196	iri (S.Dr)	sick	irritate  *h₃riH-to whirled	eri	sick	
196	kira (Gond)	old man	gero	kira	age	
	agura	old man	agero	agure	old man	
197	ala (Ta)	affliction	;)	aldia	mental disorder	
197	eriyu (Te)	to grieve		auri	lamentation	
197	madi (Ta)	death	moot, mord	amata	to kill	
197	mara (Ka)	death	moot, mord, mourn	marrakari	tearful	
198	malagu (Ta)	to perish		malgu	soft, weak	
199	adu (S.Dr)	age	adge, age, a’dayn	adin	age	
199	gasi (S.Dr)	hunger		gose	hunger	
199	manku (S.Dr)	staggering	maimed	mainku	crippled, lame	
199	ala (Ta)	afflicted	lax	alusu	feeble, weak	
199	alasu (Ka)	exhausted	lax	lazu	weak man	
