 № 	English 	Aryan		Telugu 	Tamil 	Malayalam 	Kannada 	Tulu 	Gondi 	Konda-Dora 	Brahui
1	I 	an’e / nous	~+	నేను (/neːnu/) 	நான் (/nɑːɳ/) 	ഞാൻ (/ɲaːn/), അടിയൻ (/aʈijan/) (servile; archaic; from foot+I) 	ನಾನು (/nɑːnu/) 	 	 	 	ای (/iː/)
2	you (singular) 	an’ vous	~+	నువ్వు (/nuvːu/), నీవు (/niːvu/) 	நீ (/niː/) 	നീ (/n̪iː/), താൻ (/t̪aːn/) (polite, familiar; from self), താങ്കൾ (/t̪aːŋkaɭ/) (polite, formal; from self+plural), അങ്ങ് (/aŋŋɨ̆/) (honorific; archaic; from there) നമ്മൾ (/n̪ammaɭ/) (honorific; from inclusive we) 	ನೀನು (/niːnu/) 	 	 	 	نی (/niː/)
3	he 	ant’ er	~+	అతడు (/at̪aɽu/), అతను (/at̪anu/) వాడు (/vɑːɽu/) వారు (/vɑːru/) 	அவன் (avaṉ) 	അവൻ (/aʋan/) (distal), ഇവൻ (/iʋan/) (proximal), അയാൾ (/ajaːɭ/) (distal), ഇയാൾ (/ijaːɭ/) (proximal), അങ്ങേര് (/aŋŋeːɾɨ̆/) (distal; colloquial), ഇങ്ങേര് (/iŋŋeːɾɨ̆/) (proximal; colloquial) 	ಅವನು (avanu) 	 	 	 	او (ō)
4	we 	mir	~+	మేము (/meːmu/) (exclusive) మనము (/manamu/) (inclusive) நாம் (nām) நாங்கள் (nāṅkaḷ) 	നമ്മൾ (/n̪ammaɭ/) (inclusive), ഞങ്ങൾ (/ɲaŋŋaɭ/) (exclusive), നാം (/n̪aːm/) 	ನಾವು (nāvu) 	 	 	 	نن (nan)	
5	you (plural) 	Ta! mir	~	మీరు (/miːru/) (plural/honorific) తమరు (/tamaru/) (plural/honorific) நீங்கள் (nīṅkaḷ) 	നിങ്ങൾ (/n̪iŋŋaɭ/) 	ನೀವು (neevu) 	 	 	 	نُم (num)	
6	they			അവർ (/aʋar/) (distal), ഇവർ (/iʋar/) (proximal), അവന്മാർ (/aʋanmaːr/) (distal; masc.), ഇവന്മാർ (/iʋanmaːr/) (proximal; masc.), അവളുമ്മാർ (/aʋaɭummaːr/) (distal; fem.), ഇവളുമ്മാർ (/iʋaɭummaːr/) (proximal; fem.), അവറ്റകൾ (/aʋarrakaɭ/) (distal), ഇവറ്റകൾ (/iʋarrakaɭ/) (proximal) 	ಅವರು (avaru) 	 	 	 			
7	this 	'die[s]	~+	ఇది (/idi/) 	இது (itu) 	ഈ (/iː/), ഇ- (/i-/), ഇത് (/it̪ɨ̆/) (thing/fact) 	ಇದು (idu) 	 	 	 	
8	that 	'dai[s]	~+	అది (/adi/) 	அது (/at̪ɨ̆/) 	ആ (/aː/), അ- (/a-/), അത് (/at̪ɨ̆/) (thing/fact) 	ಅದು (adu) 	 	 	 	
9	here 	ahere	~+	ఇక్కడ (/ikːaɽa/) ఇచ్చట (/icːaʈa/) ఈడ (/iːɽa/) இங்கே (iṅkē) 	ഇവിടെ (/iʋiʈe/), ഇങ്ങ് (/iŋŋɨ̆/) 	ಇಲ್ಲಿ (illi), ಇದರಲ್ಲಿ (idaralli) 	 	 	 		
10	there 	ahere	~+	అక్కడ (/akːaɽa/) అచ్చట (/acːaʈa/) ఆడ (/ɑːɽa/) அங்கே (aṅkē) 	അവിടെ (/aʋiʈe/), അങ്ങ് (/aŋŋɨ̆/) 	ಅಲ್ಲಿ (alli) 	 	 	 		
11	who 	'wer!	~++	ఎవరు (/evaru/) 	யார் (yār) 	ആര് (/aːɾɨ̆ /), എവൻ (/eʋan/) (singular masculine), എവൾ (/eʋaɭ/) (singular feminine), എവർ (/eʋar/) (plural) 	ಯಾರು (yāru) 	 	 	 	
12	what 	mwit, ‘na	~+	ఏమిటి (/eːmiʈi/) ఏంటి (/eːɳʈi/) 	என்ன (eṉṉa) 	എന്ത് (/en̪t̪ɨ̆/), എന്നത് (/ennat̪ɨ̆/), എന്ന- (/enna-/) 	ಏನು (Enu) 	 	 	 	
13	where 	a’kwhere ++	~++	ఎక్కడ (/ekːaɽa/) ఎచ్చట (/ecːaʈa/) ఏడ (/iːɽa/) எங்கே (eṅkē) 	എവിടെ (/eʋiʈe/), എങ്ങ് (/eŋŋɨ̆/) 	ಎಲ್ಲಿ (elli) 	 	 	 		
14	when 	a’houra ! ++	~++	ఎప్పుడు (/epːuɽu/) 	எப்பொழுது (eppoḻutu) 	എപ്പോൾ (/eppoːɭ/), എപ്പം (/eppam/) എന്ന് (/en̪n̪ɨ̆/) (which day) 	ಯಾವಾಗ (yāvāga) 	 	 	 	
