№	English	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!				
1	I	𓅱𓇋𓀀		‘ I, we, 𓀀, 𓀭, IA, ‘mon 𓀻  εἶναι eînai εἰμί “I am”.‘		
2	you	𓏏𓅱		you 	tu	
2	you	𓈖𓏏 𓍿𓈖𓏥		 you	ante cu / thy thine	
2	you	𓈖𓏏 𓏏		 you	ante Tu	
2	you	𓍿𓈖𓏮		 you two, your	thine	
2	you	𓏏𓅱𓎡		 you	Duk~Dich	
2	you	𓏏𓅱𓍿𓈖𓏥		 you	tu,δon,ton,Dein	
2	you	𓏏𓅱𓏏𓀾 𓏜		 you	tuth / Duda / ⇔ du, tu, thy ... normal	
2	you	𓏏𓈖		 you, your	ton	
3	he	𓆑		 he, him, his, it, its	sin / his / S / su / fth: / its / it	
3	he	𓇓𓅱		 he, she, it	‘shu / she / she, ‘he? / sun‘t ⇔ sein‘	
3	he	𓇓𓅱𓏏		 he, it,  she	sunt ⇔ sind!	
3	he	𓊪𓈖		this, he of	whon, one	
4	we	𓇋𓀁𓈖𓈖𓏥		 we	‘einen / a‘nous‘	
4	we	𓇋𓏌𓈖𓏥		 we	‘wirn / ‘uns nourns‘	
4	we	𓈖𓏥		 we, us, our	nous, man	
4	we	𓈖𓏥		 we two, us two, our, they,them		
5	you	𓈖𓏏𓏏𓈖𓏥		 you	ante thine  Anton 	
5	you	𓏏𓈖𓏥		 you, your	thine, Dein,sen@Turk,Pers	
6	they	𓈖𓏏𓊃𓈖		 they	ante zem, sen@Pers	
6	they	𓅱𓏥		 they, them, their	‘em	
6	they	𓈖𓏏𓋴𓈖𓏥		 they	nuth-them ⇔ mith-them?	
6	they	𓈖𓏥		 we two, us two, our, they,them	en ‘em!‘	
6	they	𓈖𓏮		 we two, us two, our, they, them	on, den (2)	
6	they	𓊃𓈖		 they, them, their	them, šan,  ایشان ishån 	
6	they	𓊃𓈖𓏥		 they, them, their	them, šan,  ایشان ishån 	
6	they	𓊃𓏥		 they, them, their	‘they ce‘	
6	they	𓋴		 they, them, their	sey	
6	they	𓋴𓈖		 they, them, their	senm/semn = them	
6	they	𓋴𓈖𓏥		 they, them, their	šan,  ایشان ishån 	
6	they	𓋴𓈖𓏮		 they two, them two	sem / them <> sind	
6	they	𓋴𓏏𓏥		 they	cet / ces / thosen / diese [[reverse]]	
6	they	𓋴𓏪		 they, them, their	sem ~ them	
7	this	𓅮		 this, the	αυτό (aftó)  of / flu / who = ποιος poios	
7	this	𓅮𓄿		 this, the	DER !! / over / off-er αυτό (aftó) 	
7	this	𓇑𓇑		this, these, here, hither	sese = these / hier	
7	this	𓇑𓇑𓈖		this, these, here, hither	diesen	
7	this	𓈖𓄿		 this, these, the, here, hither	na: 那 nà / 那儿 / 哪 CN! ⇔ nach... next einer jener این in(a) أَنَّ‎ ʾanna nam nämlicher	
7	this	𓉐		this, the	DER! ⇔ door porte~pth,what	
7	this	𓊪𓅮𓄿		 this, the	whoaer : whoa, wer, where, qua, que? / whoδer : wessen welcher / what was der the	
7	this	𓊪𓅱		 this	who, whon	
7	this	𓊪𓅱𓇋𓇋		 this, that	whoi: who  ποιος poios	
7	this	𓊪𓈖		this, he of	whon	
7	this	𓍿𓈖		 this	den GR!	
